,https://roic.ai/company/BLL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-9800000,-9300000,-100000,-65500000,32400000,-13000000,-85600000,3200000,-33400000,27700000,-49100000,-73800000,155800000,12400000,38500000,-49300000,-54200000,-132200000,-41000000,2400000,95700000,-153100000,27500000,29100000,21400000,-23800000,96900000,30000000,-66000000,-248000000,-45000000,-64000000,-464000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163800000,68800000,111100000,55900000,50900000,355300000,124600000,-55000000,639000000,592000000,72000000,66000000,1312000000
81,Other Working Capital,- -,- -,- -,- -,154700000,219200000,192300000,260100000,240900000,198400000,95200000,255600000,-39700000,198000000,225700000,310200000,218800000,155600000,62400000,249300000,49800000,307000000,329800000,302900000,494700000,922400000,465800000,653600000,538300000,306700000,42400000,684000000,-349000000,-155000000,-693000000,231000000,1000000
82,Other Non-Cash Items,- -,- -,- -,- -,-4600000,-67400000,25800000,-123800000,195200000,75500000,70400000,-206200000,245900000,-21800000,-23100000,-145100000,356400000,179500000,4000000,-204500000,341800000,-476200000,108900000,18000000,-280900000,-617300000,631500000,-35000000,249200000,481300000,766400000,-870600000,1326000000,181000000,887000000,-762000000,27000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,48600000,102600000,164400000,117000000,185400000,240700000,47900000,84300000,143500000,387100000,306000000,176500000,320800000,452300000,364000000,535900000,558800000,401400000,673000000,627600000,559700000,515200000,948400000,853200000,839000000,1012500000,1006700000,194000000,1478000000,1566000000,1548000000,1432000000,1760000000
84,CAPEX,- -,- -,- -,- -,-55700000,-33700000,-95800000,-110200000,-140900000,-94500000,-206200000,-196100000,-97700000,-922600000,-107000000,-98700000,-68500000,-158400000,-137200000,-196000000,-291700000,-279600000,-308500000,-306900000,-187100000,-250200000,-443800000,-305000000,-378300000,-390800000,-527900000,-606000000,-556000000,-816000000,-598000000,-1113000000,-1726000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77900000,-856900000,-28000000,-17200000,- -,-791100000,- -,6400000,-574700000,-125800000,-295200000,-71200000,-14200000,- -,-29100000,-441000000,-2000000,539000000,160000000,-86000000,112000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2400000,-30100000,-127700000,-68400000,-3400000,5200000,194500000,177700000,-153200000,7500000,14300000,46200000,23500000,-5900000,41400000,3600000,1700000,77300000,42700000,-117500000,180400000,4300000,1000000,-284800000,-364900000,-391400000,-2691600000,1365000000,-543000000,-745000000,-582000000,-1095000000,-1751000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-58100000,-63800000,-223500000,-178600000,-144300000,-89300000,-11700000,-18400000,-250900000,-915100000,-92700000,-52500000,-122900000,-1021200000,-123800000,-209600000,-290000000,-993400000,-265800000,-418000000,-581400000,-110200000,-738000000,-356000000,-379100000,-391400000,-2720700000,672000000,-545000000,-206000000,-422000000,-1181000000,-1639000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1188800000,-2144900000,-815800000,-1071600000,-1294900000,-897800000,-2429800000,-4624000000,-1810000000,-1533000000,-1524000000,-2794000000,-750000000
91,Common Stock Issued,- -,- -,- -,- -,82600000,12100000,118200000,21500000,20000000,19800000,32500000,21400000,21700000,31500000,36800000,30700000,32100000,35000000,35500000,35300000,- -,38400000,46500000,27200000,31900000,47500000,39300000,53100000,32900000,37200000,36000000,48000000,27000000,28000000,19000000,- -,47000000
92,Common Stock Repurchased,- -,- -,- -,- -,-59400000,-10900000,-100000,-50500000,-8600000,-9900000,-27500000,-10200000,-32100000,-34900000,-72300000,-91600000,-85900000,-104100000,-63400000,-85300000,-358100000,-84100000,-257800000,-326800000,-37000000,-554200000,-513200000,-547200000,-431700000,-397300000,-135500000,-107000000,-103000000,-739000000,-964000000,-75000000,-766000000
93,Dividends Paid,- -,- -,- -,- -,-27700000,-30300000,-37600000,-37600000,-40800000,-22900000,-23000000,-22800000,-22900000,-22700000,-22500000,-21600000,-20400000,-20400000,-26800000,-38900000,-42500000,-41000000,-40600000,-37500000,-37400000,-35800000,-45700000,-61800000,-75200000,-72700000,-71800000,-83000000,-129000000,-137000000,-182000000,-198000000,-229000000
94,Other Financing Activites,- -,- -,- -,- -,8700000,9900000,-30600000,131700000,-18000000,-136200000,-23500000,109800000,-3000000,562600000,-153500000,-51700000,-66200000,830900000,-409200000,-79200000,-10100000,766900000,-160500000,131600000,1332100000,2227800000,1118600000,1140600000,1564900000,485300000,4338200000,4379000000,942000000,1341000000,2605000000,2465000000,804000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4200000,-19200000,49900000,65100000,-47400000,-149200000,-41500000,98200000,-36300000,536500000,-211500000,-134200000,-140400000,741400000,-463900000,-168100000,-410700000,680200000,-412400000,-205500000,100800000,-459600000,-216800000,-486900000,-204000000,-845300000,1737100000,-387000000,-1073000000,-1040000000,-46000000,-602000000,-894000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,1000000,4000000,4200000,2300000,5300000,-28300000,4100000,-4000000,20200000,-2000000,-14000000,-400000,9500000,-106000000,-9000000,-51000000,-2000000,-74000000,-29000000
97,Net Change In Cash,- -,- -,- -,- -,4200000,-19200000,49900000,65100000,-47400000,2200000,-5300000,164100000,-143700000,536500000,1800000,-10200000,57500000,176100000,-222700000,162200000,-137700000,90500000,100000,-24200000,83200000,-58600000,13800000,8300000,241900000,-224600000,32600000,373000000,-149000000,269000000,1078000000,-425000000,-802000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,5100000,169200000,25500000,- -,35800000,25600000,83100000,259200000,36500000,198700000,61000000,151500000,151600000,127400000,210600000,152000000,165800000,174100000,416000000,191400000,224000000,597000000,448000000,728000000,1806000000,1381000000,579000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15700000,10400000,30000000,11000000,14500000,8200000,10400000,5100000,169200000,25500000,34000000,35800000,25600000,83100000,259200000,36500000,198700000,61000000,151500000,151600000,127400000,210600000,152000000,165800000,174100000,416000000,191400000,224000000,597000000,459000000,728000000,1806000000,1381000000
100,Free Cash Flow,- -,- -,- -,- -,-7100000,68900000,68600000,6800000,44500000,146200000,-158300000,-111800000,45800000,-535500000,199000000,77800000,252300000,293900000,226800000,339900000,267100000,121800000,364500000,320700000,372600000,265000000,504600000,548200000,460700000,621700000,478800000,-412000000,922000000,750000000,950000000,319000000,34000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/0000009389-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/9389/0000009389-97-000006-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938904000059/0000009389-04-000059-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938905000060/0000009389-05-000060-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/9389/000000938908000054/0000009389-08-000054-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938909000006/0000009389-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938910000007/0000009389-10-000007-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000000938911000014/0000009389-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465912011588/0001104659-12-011588-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465913013165/0001104659-13-013165-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465914012614/0001104659-14-012614-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465915012578/0001104659-15-012578-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000110465916097390/0001104659-16-097390-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837017001300/0001558370-17-001300-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837018001345/0001558370-18-001345-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837019000909/0001558370-19-000909-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837020001005/0001558370-20-001005-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837021001121/0001558370-21-001121-index.htm,https://www.sec.gov/Archives/edgar/data/9389/000155837022001251/0001558370-22-001251-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
