,https://roic.ai/company/UHS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13096000,16799000,18225000,22518000,27783000,31092000,39971000,48109000,56738000,66581000,69431000,65837000,73686000
77,Change in Working Capital,- -,- -,- -,- -,700000,- -,- -,- -,14600000,7300000,32000000,15600000,80000000,36500000,41615000,-2069000,10617000,13875000,89231000,-255141000,141927000,61081000,-58844000,-14912000,291437000,23155000,-14534000,-140997000,59870000,185587000,-253900000,-414030000,539096000,-136520000,448286000,-426348000,53376000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22445000,-1402000,22726000,-134838000,-71068000,-49708000,-105708000,-45814000,-87881000,-24719000,-42239000,-42056000,-145901000,-8873000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,14600000,21900000,53900000,69500000,149500000,186000000,227615000,225546000,236163000,250038000,339269000,84128000,226055000,287136000,228292000,213380000,504817000,527972000,513438000,372441000,432311000,617898000,363998000,-50032000,489064000,352544000,800830000,374482000,-35549000
82,Other Non-Cash Items,- -,- -,- -,- -,6500000,-14200000,2500000,22600000,15400000,-7900000,-6400000,-8600000,-70700000,-73300000,-52115000,-21648000,74305000,17229000,-56191000,311852000,-121060000,-314994000,53671000,82869000,-236304000,7210000,20532000,181614000,-51501000,-101770000,155681000,535378000,-613439000,178051000,-384494000,1266234000,-768170000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,52200000,47600000,47200000,81700000,84600000,60600000,91700000,145300000,173500000,151700000,175600000,182454000,312187000,331259000,376775000,392880000,425426000,169239000,348495000,463100000,533305000,501344000,718251000,815271000,884241000,1035876000,1020898000,1288474000,1182581000,1340893000,1438469000,2360169000,883695000
84,CAPEX,- -,- -,- -,- -,-34800000,-27500000,-28700000,-40400000,-62100000,-75700000,-252200000,-274100000,-180700000,-286100000,-99200000,-113900000,-152938000,-200930000,-224370000,-230760000,-241412000,-341140000,-339813000,-354537000,-379748000,-257245000,-323931000,-891039000,-371129000,-822536000,-912976000,-1155217000,-609431000,-811669000,-663518000,-786218000,-855659000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141333000,-263463000,-3000000,-281268000,-162930000,-280828000,-81800000,-109736000,59062000,-12499000,-1958298000,-29466000,- -,-12636000,- -,- -,- -,-7976000,-15331000,-14579000,-2672000,-105315000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,-12273000,- -,- -,- -,- -,- -,- -,- -,-1249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,16300000,-1200000,26500000,15000000,18800000,5000000,21900000,-5300000,15200000,16400000,16400000,16253000,- -,8369000,25376000,73971000,476207000,144571000,- -,- -,9770000,21460000,67592000,101449000,307000,-10310000,91000,-53475000,-36039000,-22641000,-31731000,-16574000,46508000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-18500000,-28700000,-2200000,-25400000,-43300000,-71800000,-230300000,-279400000,-165500000,-269700000,-82800000,-251253000,-416401000,-195561000,-480262000,-319719000,-46033000,-278369000,-449549000,-296724000,-382477000,-2194083000,-285805000,-789590000,-383458000,-832846000,-912885000,-1187217000,-624399000,-813398000,-688410000,-802562000,-914466000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166557000,-66499000,-1392086000,-381517000,-849647000,-440224000,-879129000,-68166000,-459183000,-143106000,-830496000,-57142000,-962567000,-3037868000
91,Common Stock Issued,- -,- -,- -,- -,100000,- -,200000,1100000,500000,1000000,500000,100300000,1600000,1500000,2500000,5260000,2009000,2947000,3152000,3072000,13487000,5637000,2264000,2354000,3290000,3594000,4779000,5435000,5708000,6863000,8441000,9503000,10254000,10196000,10806000,12318000,13372000
92,Common Stock Repurchased,- -,- -,- -,- -,-5700000,-5100000,- -,-2900000,-3200000,-13100000,- -,- -,- -,-24900000,-71200000,-35985000,-7734000,-76615000,-54318000,-23534000,-249055000,-350372000,-74091000,-149404000,-63288000,-11528000,-60482000,-19154000,-27201000,-100749000,-209782000,-353380000,-364401000,-397425000,-770504000,-206719000,-1220875000
93,Dividends Paid,- -,- -,- -,- -,-2900000,- -,- -,- -,- -,- -,- -,- -,- -,-1800000,-18400000,-7633000,-14644000,- -,-4644000,-18628000,-17885000,-17445000,-17169000,-16150000,-16706000,-19422000,-19466000,-58395000,-19621000,-29665000,-39532000,-38875000,-38211000,-37342000,-53003000,-17344000,-65896000
94,Other Financing Activites,- -,- -,- -,- -,-18000000,-12100000,-45400000,-70500000,-44700000,23500000,137300000,34100000,-9500000,144200000,-700000,111521000,136886000,-67128000,176410000,-35809000,-151102000,478286000,191465000,152487000,-3905000,3132475000,35995000,878322000,-25678000,815256000,231794000,715987000,16311000,762865000,24807000,789453000,3242317000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-26500000,-17200000,-45200000,-72300000,-47400000,11400000,137800000,134400000,-7900000,119000000,-87800000,73163000,116517000,-140796000,120600000,-74899000,-404555000,116106000,102469000,-177270000,-147108000,1713033000,-420691000,-43439000,-507016000,-187424000,-77245000,-125948000,-519153000,-492202000,-845036000,-384859000,-1068950000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-775000,-1609000,-2790000,1647000,-2905000,959000,739000,-499000
97,Net Change In Cash,- -,- -,- -,- -,-26500000,-17200000,-45200000,-72300000,-47400000,11400000,137800000,134400000,-7900000,119000000,4900000,4364000,12303000,-5098000,17113000,-1738000,-25162000,6976000,1415000,-10894000,3720000,20294000,11755000,-17758000,-6233000,14831000,29159000,-27481000,40676000,32388000,-94018000,1173487000,-1100220000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,10545000,22848000,17750000,34863000,33125000,7963000,14939000,16354000,5460000,9180000,29474000,41229000,23471000,17238000,32069000,61228000,33747000,74423000,199685000,105667000,1279154000,178934000
99,Cash at the Beginning of Period,- -,- -,- -,- -,14000000,21200000,22900000,22700000,6700000,600000,800000,- -,300000,300000,1300000,6181000,10545000,22848000,17750000,34863000,33125000,7963000,14939000,16354000,5460000,9180000,29474000,41229000,23471000,17238000,32069000,61228000,33747000,167297000,199685000,105667000,1279154000
100,Free Cash Flow,- -,- -,- -,- -,17400000,20100000,18500000,41300000,22500000,-15100000,-160500000,-128800000,-7200000,-134400000,76400000,68554000,159249000,130329000,152405000,162120000,184014000,-171901000,8682000,108563000,153557000,244099000,394320000,-75768000,513112000,213340000,107922000,133257000,573150000,529224000,774951000,1573951000,28036000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352915/000095011695000067/0000950116-95-000067-index.html,- -,https://www.sec.gov/Archives/edgar/data/352915/000095010997002516/0000950109-97-002516-index.html,https://www.sec.gov/Archives/edgar/data/352915/000103605098000452/0001036050-98-000452-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/352915/000103605001000510/0001036050-01-000510-index.html,https://www.sec.gov/Archives/edgar/data/352915/000092838502001053/0000928385-02-001053-index.html,https://www.sec.gov/Archives/edgar/data/352915/000093176303000570/0000931763-03-000570-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312504040653/0001193125-04-040653-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312505052511/0001193125-05-052511-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312506054843/0001193125-06-054843-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312507042808/0001193125-07-042808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312508041955/0001193125-08-041955-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312509039205/0001193125-09-039205-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312510040694/0001193125-10-040694-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312511050142/0001193125-11-050142-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312512081900/0001193125-12-081900-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312513084679/0001193125-13-084679-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312514073337/0001193125-14-073337-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000119312515065954/0001193125-15-065954-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459016013375/0001564590-16-013375-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459017002860/0001564590-17-002860-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459018003808/0001564590-18-003808-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459019004919/0001564590-19-004919-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459020006793/0001564590-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459021008851/0001564590-21-008851-index.htm,https://www.sec.gov/Archives/edgar/data/352915/000156459022006717/0001564590-22-006717-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
