,https://roic.ai/company/MTX,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,-1900000,-10000000,-2300000,-2300000,-2300000,-2300000,-2300000,-2200000,-2100000,-2049000,-1960000,-2026000,-2024000,-4102000,-4070000,-3911000,-3845000,-3782000,-3743000,-3720000,-3601000,-4409000,-6946000,-6900000,-7000000,-7000000,-7000000,-7100000,-7000000,-6800000,-6800000
94,Other Financing Activites,-4100000,-4600000,- -,4200000,13700000,36900000,-11300000,-13600000,-11000000,51326000,20007000,-39968000,-360000,-3588000,29022000,50505000,-74987000,5450000,184000,-192000,9544000,4872000,85787000,1506700000,15000000,8000000,8400000,113300000,-3100000,395800000,108800000
95,Cash Used/Provided by Financing Activities,-6000000,-14600000,- -,1900000,12100000,31200000,-17900000,-51900000,-57800000,10273000,5205000,-29942000,7484000,-9742000,-13919000,-3037000,-86218000,-49189000,-15808000,-36434000,-42336000,-33979000,-50212000,1324800000,-183800000,-194800000,-118200000,4200000,-143300000,-43000000,5600000
96,Effect of Forex Changes on Cash,500000,-1200000,-300000,1300000,-1200000,-800000,-3200000,-200000,600000,-1020000,-1930000,1747000,3930000,7739000,-9717000,4919000,14328000,-13338000,2466000,-8012000,-8973000,1042000,-2249000,-13300000,-21800000,-9600000,11800000,-11200000,-200000,7200000,-27600000
97,Net Change In Cash,-6000000,-14600000,- -,1900000,12100000,31200000,-17900000,-51900000,-300000,-13686000,6354000,18716000,58753000,15252000,-54667000,16829000,61056000,52891000,129070000,56881000,27325000,58940000,36175000,-240700000,-20200000,-40900000,23700000,-3400000,32800000,126100000,-68200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,20400000,6692000,13046000,31762000,90515000,105767000,51100000,67929000,128985000,181876000,310946000,367827000,395152000,454092000,490267000,249600000,229400000,188500000,212200000,208800000,241600000,367700000,299500000
99,Cash at the Beginning of Period,23900000,14300000,23200000,38100000,56200000,11300000,15400000,41500000,20700000,20378000,6692000,13046000,31762000,90515000,105767000,51100000,67929000,128985000,181876000,310946000,367827000,395152000,454092000,490300000,249600000,229400000,188500000,212200000,208800000,241600000,367700000
100,Free Cash Flow,-5200000,24000000,15300000,15200000,-56800000,-27400000,43300000,400000,56400000,-12173000,35249000,80731000,47423000,22800000,-33022000,50440000,133619000,103184000,134238000,107901000,81599000,87788000,90966000,229000000,184000000,162700000,130900000,127700000,173300000,173800000,146400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101402000005/form10k01final2.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101403000013/form10-k2003.htm,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101405000081/form10k-04.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101406000048/form10k05final.htm,https://www.sec.gov/Archives/edgar/data/891014/000093041307001756/c46802_10-k.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101408000026/frm10k-07.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101409000016/0000891014-09-000016-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101410000009/0000891014-10-000009-index.html,- -,https://www.sec.gov/Archives/edgar/data/891014/000089101412000009/0000891014-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101413000010/0000891014-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101414000006/form10k2013.htm,https://www.sec.gov/Archives/edgar/data/891014/000114036115007848/0001140361-15-007848-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036116054076/0001140361-16-054076-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036117008053/0001140361-17-008053-index.html,https://www.sec.gov/Archives/edgar/data/891014/000114036118008762/0001140361-18-008762-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101419000010/0000891014-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101420000010/0000891014-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/891014/000089101421000011/0000891014-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/891014/000089101422000009/0000891014-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
