,https://roic.ai/company/VOD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,-105776120,7714486,3301556,-33374165,-92582854,47020243,-30637949,33387910,-147229920,1285266152,15071947723,115877300,-107999500,-356318740,-477515170,226877750,724606080,4432330,17277194,507407550,644203831,247232321,377294032,1671369054,-1981386430,-346172710,-48000000,-858000000,577000000,-70000000,-216000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-698287,1683567,-1025823,-10050907,-487920,4981473,-847132,-11491653,-21695466,-108355772,24265237,204219400,-24711750,-152592080,32400060,33000400,-33685200,-98144450,87465797,2245166,-121784116,28803766,85425064,4841040,-99821401,-124267127,117000000,-26000000,-131000000,68000000,-68000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045336658,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,6757542,-65840912,-126627803,-206698351,-68703405,-143491952,-35100818,-76541522,-55378940,-84077540,-190745942,-185574660,-284285415,-370076635,2403876174,16859573500,6417733000,6866643600,3972093070,39856233100,14825199330,-2769780027,1151093076,-4657597182,-7055511570,-5947977586,-556449374,-57108538400,-5811519895,6546848717,9387000000,1482000000,10481000000,4049000000,3072000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,191606323,206933355,330047283,308743243,254206413,481380369,510114794,867930356,965373420,2990619294,4100825102,13249020400,15115353750,19285041600,18552891500,16991080950,15218973360,13153255870,13187898443,14665425303,13652340908,15308001233,12687994895,7536288991,13284450771,13290242380,14223000000,13600000000,12980000000,17379000000,17215000000
84,CAPEX,- -,- -,- -,- -,- -,-214874877,-86302401,-174545493,-209393894,-229322484,-431808640,-495854735,-801931000,-1128762722,-3389035131,-27275744399,-6778248400,-7793353750,-6743271280,-7128784630,-7420139940,-6678652320,-5900064420,-7524218157,-7830016954,-9833782863,-9423631962,-10324568129,-8136577949,-12146760288,-15031250183,-8861000000,-8163000000,-8151000000,-7605000000,-8640000000
85,Acquisitions Net,- -,- -,- -,- -,- -,70538574,2192553,1857436,-44713650,-1341780,3037483,-271082315,-565886244,-474008524,-7928308452,49586821248,-11685250500,-7058408000,-3473093140,-3587920930,-6006072800,5838019440,-7481139850,-1499876438,-1994830126,-457544064,9345621764,-1674093959,37069053397,-4308729221,-57061436,477000000,312000000,-499000000,-7292000000,428000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-7264209,-82932470,-58648680,-41749921,-209195776,-33776815,-339417649,- -,-6284204,-28339202,-5263938810,-72279900,-809996250,-64121140,-27771480,-81675990,-253761840,-120306100,-143616678,-585988366,-361937841,-500465426,-5041265224,-258995639,-283055204,-97638457,-2219000000,-3901000000,-3629000000,-1832000000,-3726000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,20975,- -,- -,- -,- -,6635869,- -,80198412,1652008763,829871115,522021500,831962250,184246820,32400060,861310440,4713682320,985876830,273195636,19083912,5084202320,79210355,1806977392,1794815573,1229307385,1720719293,3597000000,1250000000,2269000000,7792000000,1704000000
88,Other Investing Activites,- -,- -,- -,- -,- -,741570,-13092393,-24266187,-59016864,-127957067,-92096497,-65087993,26399742,25436063,450093205,-11242893279,-1834532700,-915250,1750750620,820801520,1751496230,2074259760,1786228990,-389816698,-352491086,-1455718551,1402983414,1666975204,3922452645,-1777641380,-5769545161,-3993000000,-2585000000,-2305000000,-1574000000,-2255000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-150858943,-180113736,-255602924,-354874329,-567817107,-554644469,-1164806823,-1341417501,-1503420974,-9243580817,6634115876,-19848290000,-14830711000,-8345488120,-9891275460,-10895082060,5693547360,-10729404550,-7379521654,-8348650335,-2142034647,4612202959,-8777425307,37207023037,-14121309636,-12871791852,-8423000000,-9841000000,-9217000000,-8088000000,-9262000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-215373,-2319440,- -,- -,-201052717,-177965323,-195109569,-2293808333,-15626812816,-7744553169,-239104878,-3442652467,-2661963414,-2033344075,-2889163439,-4833674505,-2946841468,-5819470665,-4625520087,-4224552281,-2040709858,-11846024834,-5565384934,-3471871352,-9267000000,-4664000000,-6180000000,-16028000000,-12237000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,20625098,1004659,5540885,3903361,8869452,22025438,23138598,15860134,665137736,176327391,5875323300,42101500,88470940,167400310,510681190,284452800,389411850,23756142,78580815,121784116,85211140,61695879,45989880,24613496,16484415,25000000,20000000,7000000,7000000,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1708219,-26483431,- -,- -,- -,- -,-1345732280,-5908382370,-9264862300,-8481933360,-8864660,-1039871137,- -,-2375359356,-4300162165,-1860368056,-18546024169,- -,- -,- -,-1766000000,-475000000,-821000000,-62000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-93450240,-107434944,-129497811,-183707117,- -,-177427540,-523150000,-1251138800,-2411624600,-1522060750,-1881427880,-2902891090,-3944372810,-10087594560,-4593793450,-4333336318,-4646371351,-5085340490,-7972642273,-5702123010,-6143279736,-4002427937,-3801559646,-3714000000,-3920000000,-4064000000,-2296000000,-2427000000
94,Other Financing Activites,- -,- -,- -,- -,- -,887287,4659175,-0,93450240,275889386,183200517,1050888148,611386976,910285415,8598155497,5877710710,10898480869,2002791628,-2759241593,4693138604,7447884705,7393997519,-830210045,5536260977,3816782458,2564295462,-2033065785,6034331591,-4960855721,6236786409,11010321017,3860000000,3096000000,15149000000,9786000000,-475000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,887287,25284273,789286,3221445,172357803,62572158,688153752,454852033,527125009,6446334900,-10823913515,6617626400,283727500,-9340583280,-6612697960,-7284013290,-13780241040,-9877130810,-2760031804,-6570478743,-9400140355,-18445211364,-3507173453,-41450194580,-3306412966,3753374434,-9096000000,-7234000000,4437000000,-9352000000,-15196000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2308487,5647548,7454045,-27680422,526775751,- -,- -,-1196973511,- -,42276527,48675590,-464107200,162096640,400614945,-288503851,-13658032,-415254287,201698067,-139179899,-302199035,73545850,-313000000,-433000000,11000000,-256000000,-255000000
97,Net Change In Cash,- -,- -,- -,- -,- -,41634667,52103891,75233645,-42909641,-141252892,-8383454,39109272,-11181067,-38602967,720149128,-88972537,18356800,568370250,1598970200,2048146650,-1139338810,6668172480,-7291182850,3448959930,-542207626,2096507874,1059738541,605094202,3153937548,-4445470865,4245370813,-3609000000,-3908000000,8211000000,-317000000,-7498000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,45368485,96075202,160770336,123445754,-24396009,-82012052,-222654589,-735776351,-555254303,-1008542181,6551614069,149149000,687352750,2107881020,4154921980,4207551000,10988860800,2074330440,5232830251,4897829960,7062340586,8506712092,9014717151,12238149073,9381844234,12945337702,9302000000,5394000000,13605000000,13288000000,5790000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3733818,43971310,85536691,166355395,116856883,-73628598,-261763861,-724595284,-516651336,-1728691309,6640586606,130792200,118982500,508910820,2106775330,5346889810,4320688320,9365513290,1783870321,5440037586,4965832712,7446973551,8409622949,9084211525,13827315100,8699966889,12911000000,9302000000,5394000000,13605000000,13288000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-23268553,120630954,155501790,99349349,24883929,49571729,14260059,65999356,-163389302,-398415837,-23174919297,6470772000,7322000000,12541770320,11424106870,9570941010,8540321040,7253191450,5663680286,6835408349,3818558045,5884369270,2363426766,-600288958,1137690483,-1741007803,5362000000,5437000000,4829000000,9774000000,8575000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/839923/000102123103000664/0001021231-03-000664-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123104000405/0001021231-04-000405-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123105000453/0001021231-05-000453-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000102123106000376/0001021231-06-000376-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000115697307000970/0001156973-07-000970-index.htm,- -,https://www.sec.gov/Archives/edgar/data/839923/000095012309010070/0000950123-09-010070-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000095012310055041/0000950123-10-055041-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000095012311059893/0000950123-11-059893-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312512256443/0001193125-12-256443-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312513251392/0001193125-13-251392-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000119312514231067/0001193125-14-231067-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000110465915043811/0001104659-15-043811-index.htm,https://www.sec.gov/Archives/edgar/data/839923/000110465916126489/0001104659-16-126489-index.htm,- -,- -,- -,- -,- -
102,Forex Rate,0.9334,1.1474,1.2515,1.0976,1.2065,1.2119,1.2431,1.207,1.1517,1.3319,1.2557,1.1661,1.0768,1.077,0.9562,0.8778,0.8718,1.0924,1.2315,1.2963,1.2119,1.3358,1.5774,1.3251,1.3512,1.4165,1.3343,1.2818,1.377,1.073,1.1378,1.0649,1.2321,1.1217,1.1029,1.1728
