,https://roic.ai/company/BEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,300000,700000,-1300000,4000000,-8300000,600000,- -,- -,- -,- -,- -,- -,- -,-20894000,49150000,-20071000,111982000,- -,- -,13182000,-12057000,-3306000,16300000,- -,- -,- -,- -,- -,-50600000,-1300000,-7100000,3700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80705000,84443000,81710000,88700000,101300000,113400000,127700000,140000000,131500000,123400000,117800000,111500000,122300000,171900000
77,Change in Working Capital,- -,- -,- -,- -,- -,2900000,91200000,-520300000,318900000,191728000,-90155000,277711000,-197613000,314711000,225489000,186572000,404083000,443650000,521670000,1352195000,-180250000,238714000,309851000,-403514000,605138000,837271000,948553000,1471596000,-447400000,905200000,647300000,58300000,407100000,-2977700000,-839000000,-2012300000,-102400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-56300000,-22900000,100000,-14900000,-33400000,-260713000,-125087000,-130768000,-63098000,-88360000,66266000,-49205000,-252414000,-309387000,-483664000,-556343000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,3300000,-300000,2500000,15500000,-3600000,3500000,6800000,142599000,98808000,69295000,90660000,74826000,90906000,95536000,203305000,360246000,130177000,361299000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17200000,233100000,-26800000,-26800000
81,Other Working Capital,- -,- -,- -,- -,- -,429100000,520300000,- -,318900000,510628000,420473000,698184000,500571000,815282000,1040771000,1227343000,1631426000,2075076000,2596746000,3948941000,3768691000,4007405000,4317256000,3913742000,4518880000,5356151000,6304704000,7776300000,7328900000,8234100000,8881400000,8939700000,9346800000,6369100000,5530100000,3517800000,114800000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,12500000,-115700000,463900000,-274700000,-196622000,76124000,-273349000,68171000,-312872000,-267747000,-246587000,-559463000,-322694000,-633001000,-1348088000,19726000,-555645000,-607775000,-71385000,-1139411000,-969019000,-1579323000,-2666396000,126000000,-1373800000,-668000000,-275900000,-1172100000,4299400000,-358700000,1991100000,-969600000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,100700000,69700000,70700000,199400000,274807000,296454000,359583000,428529000,693663000,584467000,701713000,553187000,736800000,548025000,943358000,1089209000,1277890000,1673633000,1409241000,641402000,1651039000,1621778000,1066200000,2035700000,2138000000,2252000000,1727700000,1135400000,2229700000,201600000,1021400000,1245400000
84,CAPEX,- -,- -,- -,- -,- -,-12800000,-6500000,-16400000,-20100000,-39200000,-40300000,-64419000,-82973000,-162181000,-135168000,-108432000,-107326000,-53062000,-52653000,-25933000,-82271000,-69050000,-94144000,-70215000,-45183000,-57403000,-131722000,-78400000,-62200000,-53100000,-68800000,-97600000,-74900000,-106500000,-233700000,-103700000,-79300000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-550742000,-64333000,- -,- -,-99058000,-51779000,- -,-68255000,-37000,-3795000,-92307000,6717000,533000,- -,-111052000,- -,800000,- -,- -,- -,-14000000,-86800000,-684200000,-3821400000,-9000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-19400000,-5000000,-232300000,-33500000,-106955000,-149488000,-131704000,-137139000,-518358000,-756689000,-660994000,-1078717000,-1775919000,-2619955000,-2348952000,-1340595000,-774086000,-1067228000,-2101371000,-2078482000,-759708000,-1587812000,-853200000,-1256500000,-1037600000,-736100000,-712700000,-522900000,-456600000,-502400000,-249400000,-4808800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,8700000,43600000,40700000,140926000,113265000,166603000,127202000,114587000,940667000,400551000,650358000,1494235000,2416341000,3504809000,1086807000,875865000,939455000,1231465000,2413071000,784443000,1986308000,1575700000,1526500000,1253800000,1053800000,1002500000,713000000,359500000,343200000,972000000,2218200000
88,Other Investing Activites,- -,- -,- -,- -,- -,-60800000,-66300000,- -,-526900000,-268168000,-75443000,104132000,50215000,151809000,-21521000,-66964000,-144870000,169827000,-15136000,-119985000,78537000,7590000,8056000,-162718000,- -,- -,280191000,229300000,24300000,227500000,- -,- -,-49200000,- -,- -,-40600000,63000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-93000000,-69100000,-205100000,-539800000,-273397000,-151966000,74612000,-593437000,-478476000,27289000,-435839000,-779613000,-216698000,-271403000,941684000,-257559000,36524000,-306168000,-1096122000,289939000,-32668000,435913000,873400000,232900000,390600000,248900000,192200000,52000000,-290400000,-1077100000,-3243100000,-2615900000
90,Debt Repayment,- -,- -,- -,- -,- -,-5700000,-100000,-300000,-22600000,-437813000,-32832000,-203083000,-128807000,-171214000,-265972000,-526006000,-496320000,-75859000,-23218000,-199914000,-39076000,-341194000,-677310000,-1764387000,-649231000,-66000000,-360109000,-401800000,-1361700000,-973600000,-982200000,-221000000,-662200000,-382900000,-3500000,-141300000,-2065700000
91,Common Stock Issued,- -,- -,- -,- -,- -,800000,200000,400000,2000000,158000,375000,1200000,1878000,2891000,1456000,1142000,2158000,17045000,43435000,128919000,130651000,98298000,66131000,- -,- -,41762000,49591000,49100000,41300000,32600000,25500000,24100000,24900000,24800000,23300000,20600000,22300000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-14700000,-6300000,- -,- -,-26410000,-41749000,-54613000,-19135000,-42592000,-64334000,-250042000,-172113000,-124929000,-575681000,-67593000,-170135000,-985915000,-1288657000,-1543311000,-376907000,-675754000,-954172000,-797400000,-491000000,-622200000,-1059800000,-1308000000,-765300000,-1424800000,-754500000,-218200000,-208200000
93,Dividends Paid,- -,- -,- -,- -,- -,-2200000,-17400000,-19700000,-22300000,-25415000,-31688000,-34650000,-40387000,-49274000,-54279000,-57953000,-63471000,-71778000,-75441000,-82006000,-598659000,-117730000,-142747000,-179033000,-192784000,-883539000,-216342000,-663000000,-882700000,-290400000,-666400000,-408700000,-441200000,-2116900000,-518600000,-533200000,-559700000
94,Other Financing Activites,- -,- -,- -,- -,- -,14500000,22000000,152900000,377600000,395494000,12729000,97441000,291911000,158304000,34574000,493746000,779144000,119816000,427374000,199045000,80540000,493103000,593336000,2186756000,878314000,988612000,512847000,728200000,676000000,658300000,1070700000,112900000,887800000,138100000,1212800000,1066300000,4841400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-7300000,-1600000,133300000,334700000,-93986000,-93165000,-193705000,105460000,-101885000,-348555000,-339113000,49398000,-135705000,-203531000,-21549000,-596679000,-853438000,-1449247000,-1299975000,-340608000,-594919000,-968185000,-1084900000,-2018100000,-1195300000,-1612200000,-1800700000,-956000000,-3761700000,-40500000,194200000,2030100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52830000,-69775000,-13834000,-4187000,-14609000,-1900000,21200000,-60400000,-116600000,-4000000,35000000,-16700000,-37000000,27400000,-2200000
97,Net Change In Cash,- -,- -,- -,- -,- -,-7300000,-1600000,133300000,334700000,-92576000,51323000,240490000,-59448000,113302000,263201000,-73239000,-177028000,384397000,73091000,1863493000,234971000,460976000,-28952000,-1056631000,576899000,1019265000,1074897000,852800000,271700000,1272900000,772100000,115200000,266400000,-1839100000,-953000000,-2000100000,657400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,210376000,261699000,502189000,442741000,556043000,819244000,746005000,568977000,980604000,1053695000,2917188000,3152159000,3613135000,3584183000,2527552000,3104451000,4123716000,5198613000,6051400000,6323100000,7596000000,8368100000,8483300000,8749700000,6910600000,5957600000,3957500000,4647200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,4700000,5000000,3900000,308600000,302952000,210376000,261699000,502189000,442741000,556043000,819244000,746005000,596207000,980604000,1053695000,2917188000,3152159000,3613135000,3584183000,2527552000,3104451000,4123716000,5198600000,6051400000,6323100000,7596000000,8368100000,8483300000,8749700000,6910600000,5957600000,3989800000
100,Free Cash Flow,- -,- -,- -,- -,- -,87900000,63200000,54300000,179300000,235607000,256154000,295164000,345556000,531482000,449299000,593281000,445861000,683738000,495372000,917425000,1006938000,1208840000,1579489000,1339026000,596219000,1593636000,1490056000,987800000,1973500000,2084900000,2183200000,1630100000,1060500000,2123200000,-32100000,917700000,1166100000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000003877794000129/0000038777-94-000129-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877795000111/0000038777-95-000111-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877796000161/0000038777-96-000161-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877797000384/0000038777-97-000384-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877798000595/0000038777-98-000595-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877799000471/0000038777-99-000471-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877700000380/0000038777-00-000380-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877701500097/0000038777-01-500097-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877702000444/0000038777-02-000444-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/38777/000119312506257302/d10k.htm,https://www.sec.gov/Archives/edgar/data/38777/000119312507255169/0001193125-07-255169-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312508243375/0001193125-08-243375-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312509241304/0001193125-09-241304-index.html,https://www.sec.gov/Archives/edgar/data/38777/000119312510261858/0001193125-10-261858-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877711000225/0000038777-11-000225-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877712000243/0000038777-12-000243-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877713000227/0000038777-13-000227-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877714000259/0000038777-14-000259-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877715000278/0000038777-15-000278-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877716000609/0000038777-16-000609-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877717000268/0000038777-17-000268-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877718000233/0000038777-18-000233-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877719000186/0000038777-19-000186-index.html,https://www.sec.gov/Archives/edgar/data/38777/000003877720000203/0000038777-20-000203-index.htm,https://www.sec.gov/Archives/edgar/data/38777/000003877721000205/0000038777-21-000205-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
