,https://roic.ai/company/RTX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,620200000,675000000,735000000,852000000,815000000,840000000,844000000,853000000,848000000,854000000,844000000,859000000,905000000,727000000,799000000,978000000,984000000,1033000000,1173000000,1321000000,1258000000,1356000000,1347000000,1524000000,1821000000,1907000000,1863000000,1962000000,2140000000,2433000000,3783000000,4156000000,4557000000
75,Deferred Income Tax,- -,- -,- -,- -,103400000,-141000000,-346000000,-626000000,- -,- -,- -,- -,-526000000,-252000000,4000000,108000000,-5000000,318000000,254000000,209000000,262000000,-214000000,58000000,45000000,451000000,413000000,331000000,120000000,242000000,376000000,662000000,398000000,62000000,735000000,669000000,-99000000,-88000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,180000000,198000000,211000000,153000000,154000000,229000000,210000000,275000000,240000000,158000000,152000000,192000000,251000000,356000000,330000000,442000000
77,Change in Working Capital,- -,- -,- -,- -,-204100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2892000000,956000000,-1779000000,506000000,-714000000,1775000000,966000000,63000000,616000000,497000000,1364000000,-1318000000,818000000,221000000,-2775000000,2556000000,1823000000,-4332000000,-1224000000,4617000000,-927000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-491000000,955000000,-319000000,-729000000,-165000000,-531000000,7000000,-438000000,-941000000,-448000000,-2426000000,419000000,1318000000,-570000000
79,Inventory,- -,- -,- -,- -,317300000,-182000000,168000000,328000000,335000000,290000000,2000000,-364000000,174000000,-99000000,331000000,-184000000,-154000000,327000000,77000000,-144000000,-430000000,-789000000,-1111000000,-562000000,695000000,-244000000,-314000000,-539000000,-1096000000,-1091000000,-844000000,-719000000,-1074000000,-537000000,-1216000000,412000000,163000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,917000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2892000000,3848000000,2069000000,2575000000,1861000000,3636000000,4602000000,4665000000,5281000000,5778000000,7142000000,5824000000,6642000000,6863000000,4088000000,6644000000,8467000000,4135000000,2911000000,7528000000,6601000000
82,Other Non-Cash Items,- -,- -,- -,- -,-45500000,-133300000,2522000000,1264000000,206000000,-68000000,450000000,336000000,737000000,652000000,2090000000,-272000000,-2845000000,-1384000000,1240000000,-782000000,580000000,-1703000000,-1289000000,-168000000,-954000000,-887000000,-1660000000,980000000,-2000000000,-1628000000,-1190000000,-6243000000,-3138000000,1966000000,-238000000,-1879000000,-777000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1176100000,1151300000,1890000000,1203000000,1508000000,1357000000,2044000000,2095000000,2131000000,2509000000,4469000000,2503000000,2885000000,2853000000,2875000000,3699000000,4334000000,4803000000,5330000000,6161000000,5353000000,5906000000,6590000000,6646000000,6877000000,7336000000,6326000000,3880000000,5631000000,6322000000,8883000000,3606000000,7071000000
84,CAPEX,- -,- -,- -,- -,-1411700000,-1200400000,-1048000000,-920000000,-846000000,-759000000,-984000000,-794000000,-1427000000,-2107000000,-4309000000,-937000000,-793000000,-586000000,-530000000,-795000000,-929000000,-954000000,-1153000000,-1216000000,-826000000,-865000000,-983000000,-2932000000,-2410000000,-2304000000,-2089000000,-2087000000,-2394000000,-2302000000,-2607000000,-1967000000,-2322000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1168000000,-422000000,-376000000,-1082000000,-1048000000,-3755000000,-460000000,-1739000000,337000000,-545000000,-2550000000,140000000,-15601000000,1409000000,-58000000,-338000000,-499000000,435000000,-14293000000,82000000,5345000000,791000000
86,Purchases of Investments,- -,- -,- -,- -,-9400000,- -,- -,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1252000000,- -,- -,- -,-100000000,-245000000,-202000000,-286000000,-438000000,-1514000000,-988000000,-787000000,-312000000,-16000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,110000000,331000000,277000000,466000000,222000000,749000000,465000000,368000000,158000000
88,Other Investing Activites,- -,- -,- -,- -,126800000,239600000,20000000,-6000000,-160000000,470000000,330000000,-8000000,242000000,-162000000,-102000000,4000000,-855000000,-712000000,-679000000,-714000000,-894000000,-801000000,-1443000000,-1421000000,-559000000,-637000000,-847000000,-195000000,-2387000000,-2376000000,6820000000,-2032000000,-2162000000,-2441000000,-2852000000,-2299000000,-2297000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1294300000,-960800000,-1028000000,-926000000,-1026000000,-289000000,-654000000,-802000000,-1185000000,-2269000000,-4411000000,-2101000000,-1277000000,-1088000000,-1761000000,-1762000000,-4649000000,-1261000000,-3182000000,-2336000000,-1104000000,-3187000000,-707000000,-15821000000,-1113000000,-2305000000,6473000000,-2503000000,-3019000000,-16973000000,-3092000000,3102000000,-1364000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-354000000,-231000000,-1092000000,-535000000,-504000000,-825000000,-330000000,-48000000,-1012000000,-1892000000,-616000000,-1056000000,-2975000000,-651000000,-1764000000,-2783000000,-1875000000,-2876000000,-2830000000,-16082000000,-4254000000
91,Common Stock Issued,- -,- -,- -,- -,52200000,77300000,73000000,112000000,110000000,- -,101000000,96000000,143000000,220000000,354000000,438000000,315000000,183000000,331000000,431000000,282000000,346000000,415000000,163000000,342000000,386000000,226000000,- -,- -,- -,1100000000,- -,- -,- -,- -,- -,7000000
92,Common Stock Repurchased,- -,- -,- -,- -,-593700000,-84900000,- -,- -,- -,-270000000,-221000000,-459000000,-849000000,-650000000,-822000000,-800000000,-599000000,-700000000,-401000000,-992000000,-1181000000,-2068000000,-2001000000,-3160000000,-1100000000,-2200000000,-2175000000,- -,-1200000000,-1500000000,-10000000000,-2254000000,-1453000000,-325000000,-151000000,-47000000,-2327000000
93,Dividends Paid,- -,- -,- -,- -,-227400000,-253500000,-281000000,-264000000,-267000000,-340000000,-363000000,-356000000,-430000000,-453000000,-512000000,-580000000,-423000000,-462000000,-533000000,-660000000,-832000000,-951000000,-1080000000,-1210000000,-1356000000,-1482000000,-1602000000,-1752000000,-1908000000,-2048000000,-2184000000,-2069000000,-2074000000,-2170000000,-2442000000,-2732000000,-2957000000
94,Other Financing Activites,- -,- -,- -,- -,955100000,6300000,-309000000,-283000000,-222000000,-488000000,-391000000,-336000000,-133000000,542000000,1355000000,360000000,292000000,-41000000,-1000000,354000000,2570000000,156000000,1041000000,2017000000,-1065000000,2035000000,162000000,10829000000,143000000,-60000000,2063000000,5918000000,4409000000,13336000000,859000000,13587000000,2846000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,186200000,-254800000,-517000000,-435000000,-379000000,-1098000000,-874000000,-1055000000,-1269000000,-341000000,375000000,-582000000,-769000000,-1251000000,-1696000000,-1402000000,335000000,-3342000000,-1955000000,-2238000000,-4191000000,-3153000000,-4005000000,8021000000,-5940000000,-4259000000,-10785000000,-1188000000,-993000000,7965000000,-4564000000,-5274000000,-6685000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-44100000,-1400000,-23000000,-11000000,-36000000,-5000000,-2000000,-11000000,-49000000,-4000000,-26000000,-29000000,-29000000,8000000,125000000,107000000,-38000000,99000000,165000000,-164000000,64000000,68000000,-1000000,30000000,-41000000,-156000000,-174000000,-120000000,210000000,-120000000,-19000000,-22000000,-1000000
97,Net Change In Cash,- -,- -,- -,- -,186200000,-254800000,-517000000,-435000000,67000000,-35000000,514000000,227000000,-372000000,-105000000,407000000,-209000000,810000000,522000000,-457000000,642000000,-18000000,299000000,358000000,1423000000,122000000,-366000000,1877000000,-1124000000,-217000000,616000000,1840000000,37000000,1796000000,-2866000000,1166000000,1412000000,-1000000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,421000000,386000000,900000000,1127000000,755000000,550000000,957000000,748000000,1558000000,2080000000,1623000000,2265000000,2247000000,2546000000,2904000000,4327000000,4449000000,4083000000,5960000000,4836000000,4619000000,5235000000,7075000000,7157000000,8985000000,6152000000,7378000000,8832000000,7832000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,242600000,266500000,201000000,523000000,354000000,421000000,386000000,900000000,1127000000,655000000,550000000,957000000,748000000,1558000000,2080000000,1623000000,2265000000,2247000000,2546000000,2904000000,4327000000,4449000000,4083000000,5960000000,4836000000,4619000000,5235000000,7120000000,7189000000,9018000000,6212000000,7420000000,8832000000
100,Free Cash Flow,- -,- -,- -,- -,-235600000,-49100000,842000000,283000000,662000000,598000000,1060000000,1301000000,704000000,402000000,160000000,1566000000,2092000000,2267000000,2345000000,2904000000,3405000000,3849000000,4177000000,4945000000,4527000000,5041000000,5607000000,3714000000,4467000000,5032000000,4237000000,1793000000,3237000000,4020000000,6276000000,1639000000,4749000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101829/000010182902000006/0000101829-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182903000069/0000101829-03-000069-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312504015495/0001193125-04-015495-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312505025271/0001193125-05-025271-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312506024473/0001193125-06-024473-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312507024306/0001193125-07-024306-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312508022346/0001193125-08-022346-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312509024624/0001193125-09-024624-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312510027861/0001193125-10-027861-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312511029695/0001193125-11-029695-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312512047752/0001193125-12-047752-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000119312513042195/0001193125-13-042195-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182914000006/0000101829-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182915000005/0000101829-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182916000050/0000101829-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182917000007/0000101829-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182918000005/0000101829-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182919000007/0000101829-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182920000013/0000101829-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182921000008/0000101829-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101829/000010182922000005/0000101829-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
