,https://roic.ai/company/CAMP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9018000,-16304000,-150532000,-32430000,-38077000,-50364000,-19543000,-6264000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045000,- -,992000,- -,566000,- -,- -,15145000,71991000,114426000,22382000,56358000,37055000,6264000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,100000,- -,- -,400000,900000,7000,51000,3000000,327000,2201000,1749000,146000,256000,4427000,-554000,-777000,-785000,-1076000,-1398000,-2204000,-7492000,-4427000,-7964000,-8475000,-12117000,-22028000,-13694000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-400000,-200000,-1000000,-3300000,-3200000,-2900000,-3400000,-3400000,-2400000,-400000,-11515000,-4286000,1466000,-17877000,-492000,-2386000,-7047000,-53111000,-24035000,-1441000,215000,-785000,-510000,-2398000,-64176000,-8651000,-90674000,-45586000,-26451000,-21785000,-65698000,-13694000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11452000,-22728000,- -,-5000000,-1735000,-3379000,-2673000,-2037000,- -,- -,-53683000,-94683000,-57599000
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,- -,600000,3300000,300000,2700000,700000,- -,- -,4136000,2210000,69000,160000,617000,1056000,2290000,1397000,213000,- -,3967000,- -,- -,44784000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,-49000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,100000,-600000,-200000,800000,-200000,100000,400000,-400000,600000,-700000,904000,2258000,-599000,11029000,-4281000,-3043000,-2888000,27075000,-6728000,- -,12008000,1183000,-5562000,252000,871000,-2370000,150515000,-819000,-2264000,201178000,-137000,30283000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,100000,-100000,-200000,1400000,3100000,400000,3100000,300000,600000,-700000,5040000,4468000,-530000,11189000,-3664000,-1987000,-598000,28472000,-6515000,-11452000,-6753000,1183000,-10562000,43301000,-2508000,-5043000,148478000,-25819000,-2264000,98495000,-94820000,-27316000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56000,-473000,-102000,- -,- -,- -,- -,-330000,1077000,-542000,139000,- -,- -,- -,- -,- -,- -,-73000,718000,-553000,-122000,-355000
97,Net Change In Cash,- -,- -,- -,- -,100000,-100000,-200000,1400000,3100000,400000,3100000,300000,600000,-700000,-6238000,7218000,13147000,-1209000,938000,8163000,14735000,-8246000,-30949000,325000,-3927000,1255000,1360000,57500000,-43868000,14951000,105204000,-45682000,38897000,123897000,-149096000,-12780000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3074000,10009000,23156000,21947000,22885000,31048000,45783000,37537000,6588000,6913000,2986000,4241000,5601000,63101000,19233000,34184000,139388000,93706000,132603000,256500000,107404000,94624000
99,Cash at the Beginning of Period,- -,- -,- -,- -,100000,100000,100000,500000,800000,700000,1700000,11600000,3200000,4400000,9312000,2791000,10009000,23156000,21947000,22885000,31048000,45783000,37537000,6588000,6913000,2986000,4241000,5601000,63101000,19233000,34184000,139388000,93706000,132603000,256500000,107404000
100,Free Cash Flow,- -,- -,- -,- -,-200000,-100000,500000,-700000,-2800000,400000,6900000,-8700000,200000,4700000,-5059000,3172000,10779000,3809000,2401000,10177000,20084000,13895000,-2835000,12929000,1406000,-388000,11356000,14745000,20683000,21208000,43083000,17834000,58555000,35733000,-10648000,17229000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025502000014/0000730255-02-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000073025507000011/0000730255-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025508000019/0000730255-08-000019-index.html,https://www.sec.gov/Archives/edgar/data/730255/000073025509000017/0000730255-09-000017-index.html,https://www.sec.gov/Archives/edgar/data/730255/000095012310045515/0000950123-10-045515-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/730255/000120677413001591/0001206774-13-001591-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677414001353/0001206774-14-001353-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677415001341/0001206774-15-001341-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677416005479/0001206774-16-005479-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000120677417001612/0001206774-17-001612-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459018012631/0001564590-18-012631-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459019014471/0001564590-19-014471-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459020021390/0001564590-20-021390-index.htm,https://www.sec.gov/Archives/edgar/data/730255/000156459021020114/0001564590-21-020114-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
