,https://roic.ai/company/CERN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-3600000,-3200000,-1800000,-4700000,-7100000,-32200000,-18900000,-15300000,- -,-15000000,-30500000,-16154000,-25722000,-59699000,- -,-83583000,-100583000,-192955000,-250328000,- -,-182398000,-221497000,-208357000,-306488000,-584331000,- -,-467901000,-771595000,-665877000,-757440000,-780976000,-617501000,-627281000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16829000,-4045000,-26016000,- -,-6380000,-119683000,-13731000,-24061000,- -,-5719000,-3529000,-65341000,-40540000,-67877000,- -,-7476000,- -,- -,- -,-74539000,179651000,-355504000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-161230000,- -,-495508000,- -,-488761000,-266776000,-1083274000,-1286997000,-1106819000,- -,-1214036000,-482078000,-632048000,-623293000,-364648000,-696548000,-615330000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26152000,1572000,95134000,- -,- -,- -,29122000,482231000,- -,506271000,97481000,791881000,932394000,1070598000,- -,1404846000,463899000,292074000,551796000,579755000,333161000,858932000
88,Other Investing Activites,- -,- -,- -,-500000,-3100000,-4000000,-4100000,-6700000,-8100000,-9200000,-13200000,- -,-22600000,-26300000,-36585000,-38990000,-49689000,- -,-58085000,-62472000,20000,- -,- -,- -,-90232000,-103562000,-123059000,-231454000,- -,-191317000,-312168000,-303794000,-310512000,-309458000,-333520000,-328238000
89,Cash Used for Investing Activites,- -,- -,- -,-4100000,-6300000,-5800000,-8800000,-13800000,-40300000,-28100000,-28500000,- -,-37600000,-56800000,-43416000,-67185000,-40270000,- -,-148048000,-443968000,-177544000,-287666000,- -,-170607000,-394321000,-565091000,-701631000,-688429000,- -,-284567000,-789774000,-1005851000,-828937000,-640408000,-801237000,-729834000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32352000,-25701000,-17083000,-24700000,- -,-14930000,- -,- -,-75000000,- -,-2500000,- -
91,Common Stock Issued,- -,- -,- -,100000,100000,- -,300000,1000000,1000000,109700000,800000,- -,1000000,16200000,7052000,4067000,8996000,- -,8755000,51744000,22714000,29085000,- -,15364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-4900000,-5600000,- -,- -,-500000,- -,- -,- -,- -,-15100000,- -,- -,-179000,-609000,- -,-6534000,-832000,- -,- -,- -,-28002000,- -,- -,- -,-170042000,- -,-217082000,-700275000,-173434000,-623127000,-1320542000,-756950000,-1500000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-113823000,-221461000,-267478000
94,Other Financing Activites,- -,- -,- -,200000,5700000,-1900000,-400000,500000,18900000,-100000,-100000,- -,-100000,-100000,-967000,16454000,29070000,- -,-12918000,89979000,-23579000,7998000,- -,984000,49122000,74554000,83117000,75353000,- -,111688000,113623000,62450000,88340000,832985000,519414000,712633000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-4600000,200000,-1900000,-100000,1000000,19900000,109600000,700000,- -,-14200000,16100000,6085000,20342000,37457000,- -,-10697000,140891000,-865000,37083000,- -,-11654000,16770000,48853000,66034000,-119389000,- -,-120324000,-586652000,-110984000,-609787000,-601380000,-461497000,-1054845000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,-200000,-100000,-766000,-1352000,914000,- -,3740000,-2515000,-4821000,-3613000,- -,-11961000,1489000,-1421000,1257000,-2790000,- -,-9310000,-10447000,9222000,-12082000,-3594000,-199000,-12773000
97,Net Change In Cash,- -,- -,- -,-4600000,200000,-1900000,-100000,1000000,19900000,96800000,700000,- -,-33400000,16100000,15216000,16643000,35007000,- -,-20704000,-76727000,49488000,20369000,- -,87580000,-28771000,28635000,73974000,-114743000,- -,432826000,-231261000,200062000,3203000,67717000,173772000,-25768000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,112100000,- -,- -,77500000,- -,90893000,107536000,142543000,- -,121839000,113057000,162545000,182914000,- -,270494000,241723000,243146000,317120000,202377000,- -,635203000,170861000,370923000,374126000,441843000,615615000,589847000
99,Cash at the Beginning of Period,- -,- -,- -,7300000,7400000,7100000,8700000,13700000,16800000,15300000,112100000,- -,110900000,77500000,75677000,90893000,107536000,- -,142543000,189784000,113057000,162545000,- -,182914000,270494000,214511000,243146000,317120000,- -,202377000,402122000,170861000,370923000,374126000,441843000,615615000
100,Free Cash Flow,- -,- -,- -,5100000,2500000,7600000,9300000,8800000,-13300000,-3600000,11300000,- -,3700000,-24500000,37159000,39116000,-22793000,- -,50718000,128282000,39763000,24237000,- -,99404000,125794000,337937000,401826000,111534000,- -,379126000,384017000,641798000,696569000,532123000,819204000,1144403000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/804753/000080475399000056/0000804753-99-000056-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/804753/000095013403003674/c75354e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013704001988/c83827e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013706003137/c03479e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013707002997/c12737e10vk.htm,https://www.sec.gov/Archives/edgar/data/804753/000095013708002851/c24264e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000095013709001436/0000950137-09-001436-index.html,https://www.sec.gov/Archives/edgar/data/804753/000095012310015243/0000950123-10-015243-index.html,https://www.sec.gov/Archives/edgar/data/804753/000119312512063585/0001193125-12-063585-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475313000004/0000804753-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475314000006/a201310-k.htm,undefined,https://www.sec.gov/Archives/edgar/data/804753/000080475315000009/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475317000004/0000804753-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475318000006/0000804753-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475319000009/0000804753-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475320000007/0000804753-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/804753/000080475321000009/0000804753-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/804753/000080475322000009/0000804753-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
