,https://roic.ai/company/MU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,38400000,78300000,90400000,105100000,138700000,181200000,199000000,363700000,461700000,606600000,843300000,994300000,1114400000,1177400000,1209900000,1217500000,1264500000,1281000000,1718000000,2060000000,2139000000,2005000000,2105000000,2141000000,1804000000,2103000000,2667000000,2980000000,3861000000,4759000000,5424000000,5650000000,6214000000
75,Deferred Income Tax,- -,- -,- -,- -,16200000,- -,- -,6800000,-5200000,- -,- -,48100000,93900000,30100000,- -,- -,- -,11400000,70500000,57800000,-9700000,-24000000,-11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,76000000,87000000,91000000,115000000,168000000,191000000,215000000,198000000,243000000,328000000,378000000
77,Change in Working Capital,- -,- -,- -,- -,-34900000,- -,- -,- -,- -,519000000,150300000,-370300000,923000000,-463000000,1149000000,1348900000,-805900000,-1085000000,-322000000,623000000,280000000,1493000000,-232000000,-1027000000,-729000000,2179000000,-279000000,163000000,1271000000,648000000,-743000000,-31000000,2463000000,3162000000,-172000000,1217000000,2153000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-19200000,-11000000,-20800000,1700000,-8700000,-17900000,-76000000,-61100000,-194200000,140000000,-42800000,-339100000,-482800000,-378900000,-196200000,-160500000,-193300000,-12000000,-591000000,-40000000,-356000000,-121000000,-357000000,258000000,83000000,194000000,116000000,-549000000,50000000,-472000000,-1528000000,-489000000,866000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,519000000,669300000,299000000,1222000000,759000000,1908000000,3256900000,2451000000,1366000000,1044000000,1667000000,1947000000,3440000000,3208000000,2181000000,1452000000,3631000000,3352000000,3515000000,4786000000,5434000000,4691000000,4660000000,7123000000,10285000000,10113000000,11330000000,13483000000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,8000000,-9100000,-10200000,19700000,-543700000,-154600000,425000000,-1207000000,249500000,-1075400000,-1779100000,1105600000,1381300000,598800000,-896500000,-485000000,-1139000000,-218000000,1604000000,1631000000,-3031000000,415000000,755000000,-2545000000,-212000000,217000000,304000000,-3475000000,-4854000000,1381000000,-1576000000,-2138000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,125900000,91200000,86400000,108300000,257300000,557500000,1038800000,1060500000,603600000,189200000,847900000,2068300000,789100000,578100000,284200000,1158800000,1237800000,2019000000,937000000,1018000000,1206000000,3096000000,2484000000,2114000000,1811000000,5699000000,5208000000,3168000000,8153000000,17400000000,13189000000,8306000000,12468000000
84,CAPEX,- -,- -,- -,- -,-199100000,-79800000,-52000000,-50900000,-83400000,-251000000,-730000000,-1425900000,-516900000,-707100000,-803900000,-1188200000,-1488600000,-1012300000,-821500000,-1080700000,-1064800000,-1365000000,-3603000000,-2529000000,-488000000,-616000000,-2550000000,-1699000000,-1244000000,-2658000000,-4021000000,-5817000000,-4734000000,-8879000000,-9780000000,-8223000000,-10030000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000000,-73000000,- -,- -,518000000,-159000000,- -,69000000,105000000,1000000,6000000,-2634000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-407400000,-189100000,-114000000,-96900000,-218000000,-403600000,-719600000,-194600000,-446800000,-653600000,-2888700000,-2750600000,-2976600000,-1867900000,-758000000,-1799400000,-1848600000,-3080000000,-1466000000,-367000000,-414000000,-408000000,-31000000,-751000000,-1177000000,-1089000000,-4524000000,-1178000000,-1513000000,-945000000,-4218000000,-1857000000,-3163000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,414600000,299500000,118800000,105700000,114700000,185300000,651800000,613800000,89100000,950100000,1690000000,2387800000,3442900000,2438600000,1171100000,1404700000,1836100000,2222000000,2696000000,571000000,171000000,- -,- -,152000000,705000000,557000000,2248000000,4025000000,1154000000,1087000000,3045000000,2272000000,2106000000
88,Other Investing Activites,- -,- -,- -,- -,-3800000,-77300000,1100000,-4700000,-1800000,-10500000,27200000,26300000,195700000,224600000,-25400000,28300000,-360300000,-72300000,-109700000,162700000,-6600000,51000000,55000000,233000000,57000000,58000000,539000000,-14000000,-65000000,632000000,64000000,-104000000,190000000,521000000,868000000,219000000,-9532000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-195700000,-46700000,-46100000,-46800000,-188500000,-479800000,-770600000,-980400000,-678900000,-186000000,-2028000000,-1522700000,-1382600000,-513900000,-518100000,-1312700000,-1083900000,-1756000000,-2391000000,-2092000000,-674000000,-448000000,-2201000000,-2312000000,-1712000000,-2453000000,-6232000000,-3068000000,-7537000000,-8216000000,-10085000000,-7589000000,-10589000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429000000,-840000000,-1215000000,-203000000,-743000000,-3843000000,-2329000000,-870000000,-2558000000,-10194000000,-3340000000,-4366000000,-1520000000
91,Common Stock Issued,- -,- -,- -,- -,77600000,1700000,3900000,11500000,19400000,12100000,18400000,25100000,90200000,24000000,621900000,247900000,598400000,71800000,53500000,487000000,40900000,113000000,69000000,4000000,276000000,8000000,28000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67500000,- -,- -,- -,- -,- -,- -,-163000000,-6000000,-5000000,-76000000,-884000000,-148000000,-35000000,- -,-2729000000,-251000000,-1294000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1900000,- -,-12200000,-30800000,-31200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-8400000,-29400000,-50800000,-55400000,-76400000,-46700000,-206100000,74000000,328500000,-88100000,294000000,-386400000,-237500000,-206900000,352500000,-349800000,-156400000,531000000,2146000000,121000000,-137000000,-388000000,314000000,706000000,1070000000,1971000000,2495000000,2763000000,2942000000,2418000000,3631000000,4300000000,1033000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,69200000,-27700000,-46900000,-47800000,-57000000,-46800000,-218500000,67900000,418700000,-64100000,915900000,-138500000,360900000,-135100000,406000000,69700000,-115500000,644000000,2215000000,125000000,-290000000,-1220000000,-1036000000,497000000,322000000,-1948000000,-718000000,1745000000,349000000,-7776000000,-2438000000,-317000000,-1781000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000,-121000000,8000000,-12000000,-37000000,26000000,11000000,41000000
97,Net Change In Cash,- -,- -,- -,- -,69200000,-27700000,-46900000,-47800000,-57000000,30900000,49700000,148000000,343400000,-60900000,-264200000,407100000,-232600000,-70900000,172100000,-84200000,38400000,907000000,761000000,-949000000,242000000,1428000000,-753000000,299000000,421000000,1270000000,-1863000000,1853000000,953000000,1371000000,692000000,411000000,139000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,78400000,128100000,276100000,619500000,558600000,294600000,701700000,469100000,398200000,570300000,486100000,524500000,1431000000,2192000000,1243000000,1485000000,2913000000,2160000000,2459000000,2880000000,4150000000,2287000000,4140000000,5216000000,6587000000,7279000000,7690000000,7829000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12400000,11800000,28600000,22100000,35700000,47500000,78400000,128100000,276100000,619500000,558800000,294600000,701700000,469100000,398200000,570300000,486100000,524000000,1431000000,2192000000,1243000000,1485000000,2913000000,2160000000,2459000000,2880000000,4150000000,2287000000,4263000000,5216000000,6587000000,7279000000,7690000000
100,Free Cash Flow,- -,- -,- -,- -,-73200000,11400000,34400000,57400000,173900000,306500000,308800000,-365400000,86700000,-517900000,44000000,880100000,-699500000,-434200000,-537300000,78100000,173000000,654000000,-2666000000,-1511000000,718000000,2480000000,-66000000,415000000,567000000,3041000000,1187000000,-2649000000,3419000000,8521000000,3409000000,83000000,2438000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723125/000072312594000020/0000723125-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/723125/000072312595000016/0000723125-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/723125/000095010996006513/0000950109-96-006513-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000101287098002758/0001012870-98-002758-index.html,- -,https://www.sec.gov/Archives/edgar/data/723125/000091205700045119/0000912057-00-045119-index.html,https://www.sec.gov/Archives/edgar/data/723125/000091205701535432/0000912057-01-535432-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000091205702038669/0000912057-02-038669-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000104746903033422/0001047469-03-033422-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465904030617/0001104659-04-030617-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465905052716/0001104659-05-052716-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000110465906072331/0001104659-06-072331-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/723125/000072312509000128/0000723125-09-000128-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312510000174/0000723125-10-000174-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312511000189/0000723125-11-000189-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312512000156/0000723125-12-000156-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312513000228/0000723125-13-000228-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312514000195/0000723125-14-000195-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312515000112/0000723125-15-000112-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312516000269/0000723125-16-000269-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312517000131/0000723125-17-000131-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312518000092/0000723125-18-000092-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312519000094/0000723125-19-000094-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312520000082/0000723125-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/723125/000072312521000065/0000723125-21-000065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
