,https://roic.ai/company/BIO-B,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166372000,190258000,205512000,212342000,253045000,321015000,375616000,351206000,398100000,433510000,448370000,501291000,470997000,490224000,524961000,594804000,583815000,554007000000,622253000,572239000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59409000,97893000,82836000,135618000,95682000,126142000,135198000,120920000,164063000,152856000,161750000,214985000,170095000,109620000,107775000,162020000,202424000,118831000000,107040000,123394000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,465796000,670878000,911224000,1008211000,1129777000,1028974000,1093941000,1562674000,1975346000,1798155000,1929932000,1747856000,1716367000,1777596000,1844524000,1976649000,2023478000,2180155000000,2139835000,1989088000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142235000,179123000,202324000,180258000,189627000,271561000,300732000,302417000,333617000,349501000,416938000,429355000,428836000,437690000,488614000,493496000,508690000,1382172000000,693507000,695750000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119492000,328439000,321820000,327626000,363981000,468933000,495400000,517800000,500400000,495900000,477100000,506100000,219800000,264131000000,291900000,347300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69519000,69503000,171914000,141725000,44605000,210304000,228590000,204779000,203881000,259497000,260900000,266200000,254200000,214000000,161600000,174100000,133100000,145525000000,199500000,253900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69519000,69503000,171914000,141725000,164097000,538743000,550410000,532405000,567862000,728430000,756300000,784000000,754600000,709900000,638700000,680200000,352900000,409656000000,491400000,601200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377870000,389309000,719840000,830790000,1027736000,2655709000,4638205000,9561140000,14387006000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26544000,14003000,9100000,20429000,12361000,13272000,12976000,11189000,15477000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43153000,67354000,79996000,82385000,103567000,111887000,79820000,125085000,172963000,209528000,318049000,49751000,52097000,66442000,47852000,94949000,70298000,-4638205000,86723000,102669000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254907000,315980000,480778000,418371000,466391000,942620000,943323000,973179000,1087418000,1298648000,1506764000,1640976000,1624842000,1933872000,2005956000,2296381000,3587597000,1791828000000,10832770000,15786625000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31573332000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720703000,986858000,1392002000,1426582000,1596168000,1971594000,2037264000,2535853000,3062764000,3096803000,3436696000,3388832000,3341209000,3711468000,3850480000,4273030000,5611075000,3971983000000,12972605000,17775795000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75233000,53995000,71194000,72950000,83411000,96470000,117982000,92988000,113440000,129124000,130867000,148510000,128608000,122391000,296473000,135182000,122450000,107014000000,139451000,141941000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7486000,10423000,9457000,3341000,3042000,15627000,9578000,5132000,233181000,814000,1750000,1786000,265000,298000,334000,420000,493000,461537000,38305000,36924000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33731000,42322000,50935000,52285000,32299000,33555000,35165000,29339000,28124000,39941000,56188000,36285000,57335000,46299000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24322000,26288000,26390000,26716000,29683000,31003000,28233000,26936000,33735000000,42468000,50852000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139290000,169908000,234724000,242952000,233080000,302071000,290474000,321852000,320006000,304855000,311015000,310786000,291172000,288979000,143512000,338861000,300916000,764284463000,411312000,451221000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222009000,234326000,315375000,319243000,319533000,414168000,418034000,419972000,666627000,459115000,469920000,487472000,446761000,441351000,471322000,502696000,450795000,905495000000,631536000,680938000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105768000,225835000,425979000,425687000,425625000,441805000,445979000,737919000,731100000,731698000,732414000,435615000,435710000,435707000,434186000,434581000,438937000,426172000000,187386000,186452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9839000,13991000,24772000,- -,7512000,51215000,42570000,42894000,59738000,85522000,115054000,162110000,154917000,233475000,222919000,222209000,553239000,- -,2076785000,3059080000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16899000,28988000,23678000,23960000,58282000,89950000,55855000,64780000,76086000,108095000,116871000,118735000,110506000,135318000,183276000,147766000,160923000000,196971000,182191000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115607000,256725000,479739000,449365000,457097000,551302000,578499000,836668000,855618000,893306000,955563000,714596000,709362000,779688000,792423000,840066000,1139942000,587095000000,2461142000,3427723000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1935402000000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211383000,211635000,212373000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337616000,491051000,795114000,768608000,776630000,965470000,996533000,1256640000,1522245000,1352421000,1425483000,1202068000,1156123000,1221039000,1263745000,1342762000,1590737000,2253802000000,3092678000,4108661000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2000000,3000,3000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344841000,421012000,489254000,570807000,674070000,762067000,851577000,996197000,1181687000,1359910000,1523688000,1606117000,1694962000,1808055000,1836180000,1830439000,3722073000,5470779000000,9268012000,13507241000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2102000,32628000,58003000,27052000,67235000,110991000,64750000,133082000,198020000,198690000,274901000,340717000,218945000,382138000,417766000,738794000,-46958000,-87348000,282456000,-175553000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36141000,42164000,49628000,60112000,78230000,98629000,124401000,130444000,156986000,185334000,212143000,239885000,271245000,300307000,332810000,361014000,345213000,-5464938595000,329469000,335443000
