,https://roic.ai/company/DHI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-956200000,-1019900000,-519300000,-17500000,-345100000,-796900000,-1456200000,-549700000,-1245300000,-1964000000,-2434900000,-1439200000,-826300000
91,Common Stock Issued,- -,40400000,1100000,900000,800000,44000000,41600000,4900000,3500000,4066000,12403000,12368000,11561000,15400000,24800000,12400000,12700000,9500000,4400000,7600000,- -,50900000,- -,- -,- -,- -,- -,- -,100700000,- -,33500000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-22400000,-14543000,- -,- -,-58859000,- -,- -,-36800000,- -,- -,- -,- -,-38600000,- -,- -,- -,- -,- -,-60600000,-127500000,-479800000,-398600000,-926900000
93,Dividends Paid,-5000000,-12200000,- -,- -,- -,- -,-2100000,-4700000,-7100000,-9288000,-13728000,-26107000,-40097000,-66900000,-96500000,-137600000,-188400000,-142000000,-47500000,-47700000,-47800000,-47800000,-60200000,-48600000,-91600000,-118700000,-149600000,-188400000,-223400000,-256000000,-289300000
94,Other Financing Activites,200000,-500000,30600000,40500000,44100000,-300000,116100000,169200000,271600000,127650000,320617000,162493000,191305000,464300000,1392400000,873900000,-1458000000,-623100000,487500000,20600000,33400000,765900000,1344300000,1473400000,1664800000,82400000,896000000,2197400000,2547300000,2364400000,1923900000
95,Cash Used/Provided by Financing Activities,-4800000,27700000,31700000,41400000,44900000,43700000,155600000,169400000,245600000,107885000,319292000,148754000,103910000,412800000,1320700000,711900000,-1633700000,-755600000,-511800000,-1039400000,-572300000,751500000,939000000,627900000,117000000,-586000000,-559500000,-82500000,-490100000,270600000,-85100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,51800000,-56043000,166755000,-134936000,478561000,-64900000,631800000,-562200000,-318000000,1117700000,570000000,-648000000,-576700000,315100000,-111200000,-315600000,722000000,-80600000,-295400000,465300000,8000000,1526100000,197100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,128600000,72525000,239280000,104344000,582905000,518000000,1149800000,587600000,269600000,1387300000,1957300000,1309300000,732600000,1047700000,936500000,661800000,1383800000,1303200000,1007800000,1473100000,1514000000,3040100000,3237200000
99,Cash at the Beginning of Period,6600000,14400000,8500000,19900000,11200000,16700000,32500000,78200000,76800000,128568000,72525000,239280000,104344000,582900000,518000000,1149800000,587600000,269600000,1387300000,1957300000,1309300000,732600000,1047700000,977400000,661800000,1383800000,1303200000,1007800000,1506000000,1514000000,3040100000
100,Free Cash Flow,9400000,-33500000,-20300000,-46600000,-34700000,-26600000,-88400000,-136900000,-188200000,-123337000,-88652000,-130415000,374651000,-477700000,-688900000,-1274100000,1315700000,1873300000,1135000000,690200000,-1400000,-331700000,-1289100000,-761600000,644300000,531900000,277800000,477100000,764900000,1134800000,267000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882184/000093066100003182/0000930661-00-003182-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013401508934/0000950134-01-508934-index.html,https://www.sec.gov/Archives/edgar/data/882184/000093066102004301/d10k.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013403016601/d10877e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013404019034/d20584e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013405023092/d30840e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013406022931/d41553e10vk.htm,https://www.sec.gov/Archives/edgar/data/882184/000095013407024545/0000950134-07-024545-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095013408021337/0000950134-08-021337-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012309064812/0000950123-09-064812-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012310106707/0000950123-10-106707-index.html,https://www.sec.gov/Archives/edgar/data/882184/000095012311099334/0000950123-11-099334-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218412000065/0000882184-12-000065-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218413000084/0000882184-13-000084-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218414000097/0000882184-14-000097-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218415000085/0000882184-15-000085-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218416000203/0000882184-16-000203-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218417000103/0000882184-17-000103-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218418000120/0000882184-18-000120-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218419000147/0000882184-19-000147-index.html,https://www.sec.gov/Archives/edgar/data/882184/000088218420000143/0000882184-20-000143-index.htm,https://www.sec.gov/Archives/edgar/data/882184/000088218421000190/0000882184-21-000190-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
