,https://roic.ai/company/CRH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,160927494,120517571,154943494,374898730,336623694,434626298,569732018,825129933,925003197,1179954931,1006456000,1353207000,1518069000,1716685000,1646130000,2279691000,3434000000,2635242364,3060347298,1849980051,1329790681,1355569075,1507912397,1504207403,2456650559,2460981869,2626148715,2172271791,3882516355,3938000000,4210000000
84,CAPEX,- -,- -,-36757812,-51704650,-71981318,-100844984,-168272127,-256025997,-243165239,-384927832,-581888107,-635679527,-403135000,-385880000,-505269000,-704663000,-771760000,-1098470000,-1501000000,-1446390289,-762221331,-619763266,-746549154,-760441188,-686293463,-528965417,-964292743,-897101510,-1252489383,-1282315260,-1376691460,-996000000,-1554000000
85,Acquisitions Net,- -,- -,- -,-94298822,-112234631,-315751066,-222025620,-831137406,-351816466,-817996632,-1868449385,-2415462427,-667316000,-833623000,-1809111000,-675268000,-956623000,-2611092000,-2713000000,-1287691066,-249297954,-329831095,-684336725,398074431,-440498219,204290092,-7069293508,80981027,-2005902536,-630290551,1566000538,-226000000,-1407000000
86,Purchases of Investments,- -,- -,- -,-4236,-2704056,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9767000,- -,-69604922,-349590234,-89107594,- -,-42320205,-107708028,-3648037,-20772746,-7361912,-13196727,-2287806,-32484990,-1000000,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,294748,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76565415,44415153,46548743,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-24505208,-90202950,-98045374,-199869246,172582839,-487400112,-301284561,-152875619,893618895,-264069557,-236284000,2310000,-73420000,-427105000,-224865000,309362000,154000000,233872539,-15760215,184865009,609163372,48932737,63520119,46208473,66691448,50481679,50387504,93800046,61609463,163000000,419000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1217193000,-2387800000,-1807036000,-1953248000,-3409967000,-4060000000,-2493248323,-1332454582,-807288203,-821722507,-355754225,-1170979591,-282114889,-7987667549,-773000715,-3221201142,-1821093571,218433551,-1060000000,-2546000000
90,Debt Repayment,- -,- -,- -,-111559592,-72293503,-68273756,- -,- -,- -,- -,- -,- -,-1292390782,- -,- -,-477799878,-249999641,-655999796,-753000366,-1425508812,-3583299903,-1177018221,-715442940,-554130188,-809191085,-1135755630,-3041567358,-2119178831,-433092593,-281400137,-640738417,-4943000000,-1183000000
91,Common Stock Issued,- -,- -,5528614,3105075,227710712,3383262,14075762,238170638,14051238,16931302,28309603,547854381,1081949000,14494000,17224000,49578000,47103000,119178000,53000000,8352591,1858272680,59848384,7776554,21160103,26236571,26752274,1803949008,54688486,50387504,20590254,22403441,6000000,13000000
92,Common Stock Repurchased,- -,- -,- -,- -,-6183849,- -,-302836470,-3695962,- -,- -,- -,- -,- -,- -,- -,-406000,- -,-20721000,-45000000,-533173706,-2865494,- -,- -,- -,-8285233,- -,-3279907,-4206807,-3599107,-905971174,-954386594,-249000000,-896000000
93,Dividends Paid,- -,- -,- -,-26316090,-25990090,-33923136,-36187824,-37281008,- -,-48516354,- -,-64277289,-70324000,-117214000,-154384000,-172170000,-194331000,-261188000,-365000000,-490018654,-340993753,-396329299,-401788607,-478747322,-506780082,-429252396,-414361621,-370198982,-562660460,-595973461,-654180482,-707000000,-906000000
94,Other Financing Activites,- -,- -,- -,155514880,92506538,28925099,150145887,1050026202,141077930,486230149,589491614,1739357292,515444782,18170000,1000228000,693181878,738785641,1932509796,1649000366,2028287440,1190612643,851177018,23329661,671833258,2127923997,1076171020,6205584589,617348870,1360462605,1633493480,-325970069,6180000000,-333000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,20744272,215749808,-69888531,-174802645,1247219870,155129167,454645098,617801217,2222934384,234679000,-84550000,863068000,92384000,341558000,1113779000,539000000,-412061141,-878273827,-662322117,-1086125332,-339884148,829904167,-462084732,4550324711,-1821547263,411497949,-129261039,-2552872121,287000000,-3305000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-26146735,49544332,-36932229,- -,- -,- -,11785353,240229727,62881626,- -,- -,- -,-20100132,56216000,-45533000,-51000000,-18097280,-28654937,95757415,14257015,-34385167,-71805352,158081619,131196292,60998696,-193152098,19446351,30244646,338000000,-297000000
97,Net Change In Cash,- -,- -,- -,-23178628,252468123,-123364674,-44697401,126023688,-42746793,-8965429,292317523,212393028,13726000,51464000,-6663000,2032000,90656000,-62030000,-140000000,-288164379,820963952,476127145,-563800143,625545534,1095031622,918089401,-849495988,-72567414,-376706577,241363532,1578322430,3503000000,-1938000000
98,Cash at the End of Period,- -,- -,- -,428867459,670734794,544039654,592775280,1303337455,1730744623,1867873787,1152127734,433745381,1304239000,1610320000,1631846000,1791323000,1359368000,1453892000,1469000000,1112286661,1965728695,2300837877,1678439505,2338191340,3507415283,4006761029,2752935517,2575617349,2561364782,2683596431,4206246079,7721000000,5783000000
99,Cash at the Beginning of Period,- -,- -,375871041,452046088,418266671,667404328,637472681,1177313767,1773491416,1876839216,859810211,221352353,1290513000,1558856000,1638509000,1789291000,1268712000,1515922000,1609000000,1400451040,1144764743,1824710733,2242239647,1712645806,2412383662,3088671628,3602431505,2648184763,2938071358,2442232899,2627923649,4218000000,7721000000
100,Free Cash Flow,- -,- -,124169682,68812921,82962177,274053746,168351567,178600301,326566779,440202102,343115090,544275404,603321000,967327000,1012800000,1012022000,874370000,1181221000,1933000000,1188852076,2298125967,1230216784,583241527,595127886,821618935,975241986,1492357816,1563880358,1373659332,889956532,2505824895,2942000000,2656000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849395/000119312504098758/0001193125-04-098758-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312505134929/0001193125-05-134929-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312506120931/0001193125-06-120931-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312507100954/0001193125-07-100954-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312508113260/0001193125-08-113260-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312509104764/0001193125-09-104764-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312510074375/0001193125-10-074375-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312511084349/0001193125-11-084349-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312512136915/0001193125-12-136915-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312513129631/0001193125-13-129631-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312514098046/0001193125-14-098046-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312515089240/0001193125-15-089240-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312516506917/0001193125-16-506917-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312517077859/0001193125-17-077859-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312518076345/0001193125-18-076345-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312519068446/0001193125-19-068446-index.htm,https://www.sec.gov/Archives/edgar/data/849395/000119312520064341/0001193125-20-064341-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
