,https://roic.ai/company/HWKN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3198910000,- -,- -,- -,- -,- -,- -,1844000,-462000,5356000,-1846000,-1185000,335000,563000,3831000,562000,4157000,-4137000,4228000,2551000
81,Other Working Capital,- -,- -,- -,- -,9800000,13500000,15000000,17200000,20500000,23600000,24300000,26400000,28700000,30500000,33400000,26100000,1125169,26746453,33500000,33600000,21400000,31800000,40300000,42500000,56300000,66900000,64700000,74600000,75956000,78800000,77997000,77523000,65247000,74415000,84013000,68811000,92545000
82,Other Non-Cash Items,- -,- -,- -,- -,700000,-6000000,-2900000,-1200000,-1800000,-4300000,1400000,-3100000,-5800000,-6700000,100000,5956295,-68485,-3637930,-3401644,-1751120,12171264,-12577032,-12367210,-5021450,-22075000,-9721000,1933000,-11808000,8108000,-2409000,-11975000,344000,12099000,18354000,-9200000,23301000,-46244000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3000000,2000000,2900000,5800000,6400000,5800000,8800000,7200000,5700000,6100000,13800000,9693479,9950745,3860000,14589108,7411596,12617158,9457722,8729475,12205477,24429000,38782000,28533000,33682000,35474000,34612000,20664000,36333000,44855000,27349000,47990000,58902000,43793000
84,CAPEX,- -,- -,- -,- -,-1700000,-1300000,-2200000,-2200000,-1300000,-3500000,-3700000,-4300000,-4000000,-5000000,-2400000,-7216301,-7056226,-1145030000,-2348124,-4897551,-5922862,-6948010,-4687973,-5777957,-14211000,-8331000,-12421000,-20057000,-26660000,-12261000,-14552000,-24183000,-21616000,-19703000,-12618000,-24549000,-20794000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,- -,- -,- -,-5963182,- -,- -,-25500000,-1709000,-100000,-2416000,-10068000,-159199000,-2199000,- -,- -,- -,-51000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-100000,-2100000,-3700000,-2300000,-3200000,-1500000,-2600000,-4800000,-2247230,-800597,-3600099000,-21395228,-8506919,-11491472,-2069866,- -,- -,- -,-41240000,-14210000,-14165000,-18755000,-25161000,-15303000,-6091000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,500000,100000,1000000,- -,- -,- -,900000,600000,- -,- -,1900000,7638064,1032018,- -,6022000,9630392,11201957,4822151,3293320,14069317,2841000,6450000,30545000,15270000,14900000,16612000,13280000,37763000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,- -,100000,100000,-100000,- -,800000,300000,900000,400000,800000,464480,449559,4749389000,328272,245739,286366,393634,2200141,93653,93000,148000,143000,255000,233000,115000,223000,358000,324000,364000,275000,346000,362000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1400000,-1200000,-1100000,-2200000,-3500000,-7200000,-4300000,-6600000,-4600000,-7200000,-4500000,-4060987,-6375246,4260000,-17393080,-3528339,-5926011,-3802091,805488,2421831,-11277000,-42973000,-21443000,-20406000,-30382000,-23111000,-26420000,-151352000,-23491000,-19339000,-12343000,-24203000,-71432000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,-26625000,-29125000,-109000000,-44000000,-37000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752000,968000,917000,988000,1081000,1291000,1405000,1338000,1400000,1583000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,-1600000,-4900000,-5020366,-1421641,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-485000,-2498000,-5500000,-631000,- -,-4618000,-6196000,-4194000
93,Dividends Paid,- -,- -,- -,- -,-400000,-600000,-700000,-800000,-1000000,-1300000,-1400000,-1600000,-1900000,-2200000,-2800000,-3109181,-3118722,-1540000,-3065380,-3678008,-3685326,-3890417,-4272028,-4711066,-5125000,-6573000,-7005000,-6417000,-6936000,-7410000,-7859000,-8257000,-8683000,-9161000,-11975000,-9825000,-10029000
94,Other Financing Activites,- -,- -,- -,- -,-100000,-400000,- -,- -,- -,- -,-100000,- -,- -,- -,-100000,-95362,-102037,109070000,-116823,- -,- -,- -,- -,- -,- -,- -,83000,2015000,1025000,248000,278000,130320000,131000,27000000,92817000,19000000,76000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-500000,-1000000,-800000,-800000,-1000000,-1300000,-1500000,-1600000,-1900000,-3800000,-7800000,-8224909,-4642400,-1900000,-3182203,-3678008,-3685326,-3890417,-4272028,-4711066,-5125000,-6573000,-6922000,-3650000,-4943000,-6730000,-9091000,116394000,-34517000,-9881000,-31438000,-39621000,26360000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-500000,-1000000,-800000,-800000,-1000000,-1300000,-1500000,-1600000,-1900000,-3800000,1600000,-2592417,-1066901,6220000,-5986175,205249,3005821,1765214,5262935,9916242,8027000,-10764000,168000,9626000,149000,4771000,-14847000,1375000,-13153000,-1871000,4209000,-4922000,-1279000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,2185757,1118856,7320000,1353720,1558969,4564790,6330004,11592939,21509181,29536000,18772000,18940000,28566000,28715000,33486000,18639000,20014000,6861000,4990000,9199000,4277000,2998000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2900000,4100000,3900000,4800000,7500000,9500000,6900000,9900000,8900000,8100000,3200000,4778174,2185757,1100000,7339895,1353720,1558969,4564790,6330004,11592939,21509000,29536000,18772000,18940000,28566000,28715000,33486000,18639000,20014000,6861000,4990000,9199000,4277000
100,Free Cash Flow,- -,- -,- -,- -,1300000,700000,700000,3600000,5100000,2300000,5100000,2900000,1700000,1100000,11400000,2477178,2894519,2710000,12240984,2514045,6694296,2509712,4041502,6427520,10218000,30451000,16112000,13625000,8814000,22351000,6112000,12150000,23239000,7646000,35372000,34353000,22999000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205796030470/0000912057-96-030470-index.html,https://www.sec.gov/Archives/edgar/data/46250/000104746997008969/0001047469-97-008969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/46250/000091205700054869/0000912057-00-054869-index.html,- -,https://www.sec.gov/Archives/edgar/data/46250/000110465902002921/0001104659-02-002921-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465903013294/0001104659-03-013294-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465904016596/0001104659-04-016596-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465905031014/0001104659-05-031014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000110465906042138/0001104659-06-042138-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710107001283/0000897101-07-001283-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710108001344/0000897101-08-001344-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710109001182/0000897101-09-001182-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000089710110001212/0000897101-10-001212-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000095012311057926/0000950123-11-057926-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000119312512256380/0001193125-12-256380-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625013000007/0000046250-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625014000013/0000046250-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625015000011/0000046250-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625016000047/0000046250-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625017000016/0000046250-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625018000014/0000046250-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625019000017/0000046250-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625020000027/0000046250-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/46250/000004625021000019/0000046250-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
