,https://roic.ai/company/PEAK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8600000,2100000,5400000,-5400000,4854000,-4023000,-4747000,6500000,1392000,8219000,28061000,26634000,- -,- -,- -,- -,14267000,3065000,28354000,-23757000,42024000,4817000,40625000,71659000,93495000,7768000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000000,-61000000,-37000000,-113000000,-140000000,-305000000,-300000000,-235000000,2336281000,-386000000,-497000000,3059461000,7887137000,8689122000,-145025000,-205738000,716065000,-239352000,608001000,791591000,1099016000,1174437000,1808566000,437507000,-33607000,446525000,1666664000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-200000,400000,-100000,-800000,700000,42021000,-8793000,-14756000,76088000,22567000,148103000,-5846000,-69416000,-2560543000,2741774000,125145000,-3553482000,-5055222000,-1239541000,8627788000,126415000,-994007000,787802000,-1024313000,-462086000,-461968000,1170342000,-684735000,1260470000,-288807000,-339487000,-1575209000,-433382000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,28400000,39100000,44900000,53000000,62700000,65519000,71164000,90585000,87544000,112311000,124117000,205511000,200848000,223840000,257173000,272542000,282090000,334216000,453051000,568697000,515634000,580498000,724161000,1034870000,1148987000,1248621000,1222145000,1214131000,847041000,848709000,846073000,758431000,795248000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52413000,-83345000,-115308000,-200032000,-411722000,-240752000,-21558000,-155329000,-272853000,-222745000,-340864000,-447152000,-480137000,-887218000,-215522000,-137230000,-304847000,-198385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-298911000,- -,- -,- -,- -,- -,- -,-3463212000,- -,-724000,-7975000,-2200000,-4254698000,-186478000,- -,-373121000,-840261000,-10186000,415908000,717503000,429686000,-433295000,-25260000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181302000,- -,-60061000,-343394000,-953822000,-30089000,-165494000,-298085000,-392388000,-1916269000,-16706000,- -,- -,-73278000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,46100000,81022000,29303000,- -,- -,- -,6482000,7550000,53817000,27490000,168074000,179215000,- -,- -,28403000,- -,628049000,231990000,558769000,148024000,274150000,202763000,- -
88,Other Investing Activites,- -,- -,- -,- -,-44800000,-54800000,-1500000,-69100000,-29300000,-61383000,2718000,10511000,-5206000,-27302000,263103000,4250000,7863000,-118440000,91163000,258904000,85945000,589423000,-1100892000,586181000,40517000,-5012000,264987000,-211405000,-208345000,-1138758000,-1459793000,-559143000,271580000,963752000,-2152614000,-777168000,556292000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-44800000,-54800000,-1500000,-69100000,-29300000,-61383000,-80627000,-104797000,-205238000,-417524000,-230460000,63714000,-118163000,-391293000,-312884000,-81960000,-414786000,-3689770000,-2888115000,427327000,-61406000,-430929000,-4580484000,-2314152000,-196648000,-1511879000,-1672005000,-410617000,1246257000,1829279000,-1448778000,-1007700000,531032000
90,Debt Repayment,- -,- -,- -,- -,- -,-18100000,-33200000,-1300000,-76900000,-26100000,-173100000,-113300000,-12500000,-27500000,-15000000,-10000000,-14000000,-124579000,-36000000,-161381000,-90389000,-321689000,-144926000,-2369673000,-712675000,-1042518000,-462048000,-405565000,-852119000,-934784000,-457845000,-2362180000,-1468446000,-1604026000,-1654142000,-568343000,-18211001000
91,Common Stock Issued,- -,- -,- -,- -,23900000,61500000,2200000,66900000,2700000,1709000,47109000,1536000,53667000,23871000,34269000,19257000,176310000,102338000,515770000,42629000,45238000,989039000,618854000,1060538000,852912000,2426900000,1327813000,1792786000,114082000,96592000,206471000,67650000,28121000,217656000,795586000,1068877000,5036000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2300000,-17819000,- -,- -,-586080000,- -,- -,- -,- -,- -,-9097000,- -,- -,-295500000,- -,-12703000,-8738000,-8685000,-4785000,-3432000,-5043000,-10529000,-12841000
93,Dividends Paid,- -,- -,- -,- -,-24800000,-33200000,-37300000,-44100000,-49000000,-52831000,-60167000,-65905000,-71926000,-89210000,-106177000,-175079000,-190123000,-213349000,-223231000,-243250000,-248389000,-266814000,-393566000,-495495000,-532613000,-590735000,-787689000,-865306000,-956685000,-1001559000,-1046638000,-979542000,-694955000,-696913000,-720123000,-787072000,-650082000
94,Other Financing Activites,- -,- -,- -,- -,17600000,8300000,24300000,-5900000,114400000,48804000,194693000,192692000,149726000,398472000,198743000,-34657000,-105087000,403130000,394525000,174207000,430616000,2994363000,2392566000,769899000,1942000,-18774000,2775052000,1267034000,794306000,1997251000,1920837000,2228492000,-8396000,-533821000,2230993000,543517000,17580371000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,16700000,18500000,-44000000,15600000,-8800000,-28418000,8535000,15023000,118967000,305633000,109535000,-218298000,-132900000,167540000,64984000,-187795000,137076000,3394899000,2472928000,-1034731000,-399531000,774873000,2853128000,1493449000,-900416000,144797000,614087000,-1054265000,-2148461000,-2620536000,647271000,246450000,-1288517000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,1715000,-1537000,-1019000,376000,191000,245000,-153000,- -
97,Net Change In Cash,- -,- -,- -,- -,16700000,18500000,-44000000,15600000,-8800000,-28418000,8535000,811000,1273000,420000,3192000,50927000,-50215000,87000,9273000,2787000,4380000,39345000,37864000,-38707000,54697000,924442000,-1003195000,214167000,52883000,-116746000,162690000,-251770000,-54787000,57643000,44811000,-73225000,37763000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2811000,4084000,4504000,7696000,58623000,8408000,8495000,17768000,20555000,21342000,60687000,96269000,57562000,112259000,1036701000,33506000,247673000,300556000,183810000,346500000,94730000,82203000,139846000,184657000,111432000,219448000
99,Cash at the Beginning of Period,- -,- -,- -,- -,500000,900000,3700000,3100000,2600000,27200000,2900000,2000000,2811000,4084000,4504000,7696000,58623000,8408000,8495000,17768000,16962000,21342000,58405000,96269000,57562000,112259000,1036701000,33506000,247673000,300556000,183810000,346500000,136990000,82203000,139846000,184657000,181685000
100,Free Cash Flow,- -,- -,- -,- -,28400000,39100000,44900000,53000000,62700000,13106000,-12181000,-24723000,-112488000,-299411000,-116635000,183953000,45519000,-49013000,34428000,-68322000,-165062000,-145921000,-434167000,353175000,378404000,275651000,525776000,1034870000,1148987000,1248621000,1222145000,1214131000,847041000,848709000,846073000,758431000,795248000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/765880/000076588095000014/0000765880-95-000014-index.html,https://www.sec.gov/Archives/edgar/data/765880/000076588096000003/0000765880-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/765880/000101706201000490/0001017062-01-000490-index.html,- -,https://www.sec.gov/Archives/edgar/data/765880/000102140803003237/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312504042307/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000119312505049849/d10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465906008648/a06-2628_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000110465907009885/a07-3771_110k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746908001116/a2182240z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746909001929/0001047469-09-001929-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746910000766/0001047469-10-000766-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746911000945/a2201949z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000104746912000940/0001047469-12-000940-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746913000878/0001047469-13-000878-index.html,https://www.sec.gov/Archives/edgar/data/765880/000104746914000766/a2218127z10-k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837015000067/hcp-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/765880/000155837016003110/0001558370-16-003110-index.html,https://www.sec.gov/Archives/edgar/data/765880/000155837017000535/0001558370-17-000535-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828018001552/0001628280-18-001552-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828019001407/0001628280-19-001407-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828020001456/0001628280-20-001456-index.html,https://www.sec.gov/Archives/edgar/data/765880/000162828021001804/0001628280-21-001804-index.htm,https://www.sec.gov/Archives/edgar/data/765880/000162828022002117/0001628280-22-002117-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
