,https://roic.ai/company/BBY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
73,Net Income,- -,- -,- -,- -,5700000,4500000,9600000,19900000,41000000,58000000,48000000,2000000,94500000,224000000,347000000,396000000,570000000,99000000,705000000,984000000,1140000000,1377000000,1407000000,1003000000,1317000000,1277000000,-1231000000,-441000000,532000000,1233000000,897000000,1228000000,1000000000,1464000000,1541000000,1798000000,2450000000
74,Depreciation and Amortization,- -,- -,- -,- -,5500000,7800000,10000000,14800000,22400000,38600000,54900000,66800000,68300000,78400000,109541000,167369000,309000000,310000000,385000000,459000000,456000000,509000000,580000000,793000000,926000000,978000000,945000000,832000000,716000000,656000000,657000000,654000000,683000000,770000000,812000000,839000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-200000,- -,-5300000,-5900000,- -,- -,- -,- -,- -,42793000,23000000,-37000000,-14000000,-28000000,-151000000,82000000,74000000,-43000000,-30000000,-134000000,28000000,-19000000,-28000000,-297000000,49000000,201000000,162000000,10000000,70000000,-36000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000000,121000000,120000000,107000000,90000000,87000000,104000000,108000000,129000000,123000000,143000000,135000000,- -
77,Change in Working Capital,- -,- -,- -,- -,22400000,-13800000,62200000,-7900000,244100000,246000000,-23000000,-19000000,109600000,-600000,-223000000,-239000000,667000000,193000000,149000000,721000000,-15000000,851000000,-2207000000,-816000000,1831000000,222000000,-368000000,-205000000,1812000000,903000000,-991000000,433000000,-1382000000,-655000000,-560000000,1222000000,-2154000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-551000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,8900000,-2700000,-40200000,-114200000,-388000000,-269700000,-293500000,69100000,71300000,14400000,-137315000,-143969000,-330000000,-225000000,-507000000,-240000000,-457000000,-550000000,-562000000,258000000,-609000000,-400000000,120000000,-912000000,597000000,-141000000,86000000,193000000,-335000000,-194000000,237000000,-435000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-443000000,574000000,1735000000,-986000000,434000000,-536000000,518000000,-196000000,432000000,47000000,1676000000,- -
81,Other Working Capital,- -,- -,- -,- -,78400000,64600000,126800000,118900000,363000000,609000000,586000000,567000000,676600000,676000000,453000000,214000000,881000000,1074000000,1223000000,1944000000,1929000000,2780000000,573000000,-243000000,1588000000,1810000000,1442000000,1237000000,3049000000,3952000000,2961000000,3394000000,2012000000,1357000000,797000000,2019000000,-135000000
82,Other Non-Cash Items,- -,- -,- -,- -,600000,23100000,-75300000,-57800000,-428400000,-374100000,19600000,-70200000,270000000,360600000,526687000,441042000,9000000,102000000,136000000,-295000000,265000000,-1057000000,2171000000,940000000,-1956000000,-1274000000,3799000000,1106000000,-2028000000,-647000000,606000000,-79000000,1549000000,696000000,559000000,969000000,-296000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,34200000,21600000,6300000,-31000000,-126200000,-37400000,99500000,-20400000,542400000,662400000,760228000,808204000,1578000000,667000000,1361000000,1841000000,1695000000,1762000000,2025000000,1877000000,2206000000,1190000000,3293000000,1380000000,1094000000,1935000000,1322000000,2545000000,2141000000,2408000000,2565000000,4927000000,- -
84,CAPEX,- -,- -,- -,- -,-9700000,-20300000,-25300000,-74900000,-101400000,-118100000,-126200000,-87600000,-72100000,-165700000,-361024000,-657706000,-627000000,-725000000,-545000000,-502000000,-648000000,-733000000,-797000000,-1303000000,-615000000,-744000000,-766000000,-705000000,-547000000,-561000000,-649000000,-582000000,-688000000,-819000000,-743000000,-713000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-326077000,-368000000,-3000000,-3000000,- -,- -,-421000000,-89000000,-2316000000,-7000000,21000000,-174000000,-31000000,206000000,39000000,103000000,- -,- -,-787000000,-145000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7789000000,-4319000000,-4541000000,-8501000000,-81000000,-16000000,-267000000,-112000000,-135000000,-230000000,-2804000000,-2281000000,-3045000000,-4325000000,- -,-330000000,-620000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7118000000,4187000000,4910000000,10935000000,246000000,114000000,427000000,290000000,- -,50000000,1580000000,2427000000,2689000000,4018000000,2098000000,322000000,546000000,- -
88,Other Investing Activites,- -,- -,- -,- -,1700000,300000,500000,-1100000,37900000,-73900000,-32300000,67200000,49800000,-83900000,-39090000,-46019000,30000000,69000000,5000000,7000000,26000000,5000000,-84000000,-119000000,-16000000,-6000000,38000000,333000000,4000000,34000000,-19000000,51000000,-7000000,16000000,1000000,-1000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8000000,-20000000,-24800000,-76000000,-63500000,-192000000,-158500000,-20400000,-22300000,-249600000,-400114000,-1029802000,-965000000,-659000000,-543000000,-1166000000,-754000000,-780000000,1464000000,-3573000000,-540000000,-569000000,-724000000,-538000000,-517000000,-1712000000,-419000000,-887000000,-1002000000,508000000,-895000000,-788000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5342000000,-3120000000,-3412000000,-1614000000,-2033000000,-24000000,-28000000,-394000000,-46000000,-546000000,-15000000,-1916000000,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,- -,91200000,4900000,86500000,232400000,3100000,2700000,14900000,20600000,32229000,235379000,726000000,40000000,114000000,256000000,292000000,217000000,146000000,83000000,138000000,179000000,67000000,- -,171000000,50000000,47000000,171000000,163000000,38000000,48000000,28000000,4000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-37500000,- -,- -,- -,- -,- -,-2500000,-397451000,- -,- -,- -,-100000000,-200000000,-772000000,-599000000,-3461000000,- -,- -,-1193000000,-1500000000,-97000000,- -,- -,-1055000000,-698000000,-2004000000,-1505000000,-1003000000,-312000000,-13000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000000,-137000000,-151000000,-174000000,-204000000,-223000000,-234000000,-237000000,-228000000,-224000000,-233000000,-251000000,-499000000,-505000000,-409000000,-497000000,-527000000,-568000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-3300000,1600000,13100000,34000000,155900000,81800000,-2400000,41400000,-104700000,-165300000,-29946000,-17625000,-231000000,5000000,-17000000,-378000000,-10000000,43000000,141000000,877000000,5090000000,3014000000,2595000000,1724000000,2414000000,2000000,20000000,22000000,-1000000,492000000,-1000000,1892000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-3200000,1600000,104300000,1400000,242400000,314200000,700000,44100000,-89800000,-147200000,-395168000,217754000,495000000,45000000,-133000000,-459000000,-641000000,-513000000,-3378000000,737000000,-348000000,-1357000000,-2478000000,-211000000,319000000,-223000000,-1515000000,-1404000000,-2297000000,-2018000000,-1498000000,-876000000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,9000000,27000000,-12000000,122000000,19000000,10000000,13000000,5000000,-4000000,-44000000,-52000000,-38000000,10000000,25000000,-14000000,-1000000,7000000,- -
97,Net Change In Cash,- -,- -,- -,- -,-3200000,1600000,104300000,1400000,242400000,314200000,700000,44100000,-89800000,-147200000,-35054000,-3844000,1108000000,53000000,686000000,225000000,327000000,457000000,233000000,-940000000,1328000000,-723000000,96000000,627000000,852000000,-52000000,-650000000,264000000,-1133000000,884000000,171000000,3270000000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750723000,746879000,1855000000,1914000000,2600000000,470000000,681000000,1205000000,1438000000,498000000,1826000000,1103000000,1199000000,1826000000,2678000000,2432000000,1976000000,2240000000,1300000000,2184000000,2355000000,5625000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,800000,23800000,27100000,112800000,7100000,59900000,144700000,86400000,89800000,520100000,785777000,750723000,747000000,1861000000,1914000000,245000000,354000000,748000000,1205000000,1438000000,498000000,1826000000,1103000000,1199000000,1826000000,2484000000,2626000000,1976000000,2433000000,1300000000,2184000000,2355000000,5625000000
100,Free Cash Flow,- -,- -,- -,- -,24500000,1300000,-19000000,-105900000,-227600000,-155500000,-26700000,-108000000,470300000,496700000,399204000,150498000,951000000,-58000000,816000000,1339000000,1047000000,1029000000,1228000000,574000000,1591000000,446000000,2527000000,675000000,547000000,1374000000,673000000,1963000000,1453000000,1589000000,1822000000,4214000000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205794001820/0000912057-94-001820-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205797018902/0000912057-97-018902-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/764478/000091205700026218/0000912057-00-026218-index.html,https://www.sec.gov/Archives/edgar/data/764478/000091205701518254/0000912057-01-518254-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465902002715/0001104659-02-002715-index.html,https://www.sec.gov/Archives/edgar/data/764478/000110465903011338/j1536_10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746904014114/a2134459z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000104746905014212/a2157382z10-k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465906033306/a06-10808_110k.htm,https://www.sec.gov/Archives/edgar/data/764478/000110465907034935/0001104659-07-034935-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746908005591/0001047469-08-005591-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746909004730/0001047469-09-004730-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746910004349/0001047469-10-004349-index.html,https://www.sec.gov/Archives/edgar/data/764478/000104746911004045/0001047469-11-004045-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447812000035/bby-201210k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447813000014/bby-2013x10kt.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447814000011/bby-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447815000014/bby-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447816000064/0000764478-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447817000008/0000764478-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447818000013/0000764478-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447819000009/0000764478-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447820000017/0000764478-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/764478/000076447821000024/0000764478-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/764478/000076447822000008/0000764478-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
