,https://roic.ai/company/VLGEA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,- -,4500000,-1100000,1400000,-1800000,400000,-7200000,-1700000,2900000,2500000,17900000,6300000,3200000,8000000,3700000,5300000,6900000,-21800000,-13500000,22100000,10300000,3200000,27300000,22600000,-77500000,24960000,18778000,24741000,3922000,-32894000,-21785000,9501000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-300000,-2400000,300000,300000,700000,-1400000,- -,-1800000,-2700000,-1303189,-242633,-3365303,1126000,-73890,375000,397000,-1015000,-4023000,-2164000,-1565000,-2703000,-1423000,-860000,-2963000,-1202000,3932000,271000,2615000,1196000,661000,-718000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,-6399000,8321000,32000,2246000,7472000,-4043000,-540000,481000,4381000,1902000,25076000,-14386000
81,Other Working Capital,- -,- -,- -,- -,- -,-2600000,-3700000,-2300000,-4100000,-3700000,-10900000,-12600000,-9700000,-7200000,10700000,17000000,20200000,28200000,31900000,37200000,44100000,22300000,8800000,30900000,41200000,44400000,71700000,94300000,16800000,41760000,60538000,85279000,89201000,56307000,34522000,44023000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,900000,-2100000,-4500000,4100000,2300000,7200000,6800000,-4200000,1400000,-21230200,-4230539,-2953902,-6293000,2291259,-4111000,1560000,25398000,21816000,-19413000,-19316000,19859000,-39296000,-17204000,107492000,-79452000,-6947000,-31404000,2218000,34638000,34945000,-12484000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,15300000,5300000,6900000,9400000,11800000,10500000,13900000,9800000,15200000,13633910,19653184,22876027,24830000,30898877,29473000,35514000,35875000,45339000,47863000,35313000,64144000,43432000,51273000,52447000,17468000,64101000,46153000,58884000,55788000,83948000,52692000
84,CAPEX,- -,- -,- -,- -,- -,-19000000,-14500000,-2000000,-6000000,-6900000,-9800000,-8600000,-10000000,-11900000,-13312329,-15069721,-20766878,-10851000,-14277616,-17933000,-14296000,-15692000,-24898000,-26625000,-20204000,-13346000,-16729000,-21888000,-50322000,-23517000,-19971000,-27726000,-35464000,-27988000,-54495000,-25233000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,- -,- -,-6595000,-4123000,1980000,- -,- -,- -,- -,- -,-5267000,-73622000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-800000,-800000,- -,-400000,-400000,- -,- -,-100000,- -,- -,- -,- -,- -,-20273739,22790000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,300000,1700000,200000,- -,900000,-200000,- -,-200000,520441,- -,- -,4006000,- -,- -,480000,-29241000,-1880000,-28171000,-5741000,-14654000,-18135000,-23391000,-68499000,-24340000,-20366000,-29671000,-42550000,-31013000,-56034000,-26373000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-19800000,-15000000,-300000,-6200000,-7300000,-8900000,-8800000,-10100000,-12100000,-12791888,-15069721,-20766878,-6845000,-34551355,4857000,-13816000,-44933000,-30278000,-28171000,-5741000,-21249000,-22258000,-21411000,-68499000,-24340000,-20366000,-29671000,-42550000,-36280000,-129656000,-26373000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5618000,-5448000,-749000,-1294000,-1630000,-1429000,-1691000,-1625000,-1452000,-944000,-1576000,-13581000,-58414000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,200000,248987,174000,450000,146000,- -,381000,10000,266000,588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7754137,-55000,- -,- -,- -,- -,- -,-2171000,-9000,- -,-2569000,- -,-978000,-4081000,-632000,-1070000,-4389000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-400000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-322000,-798057,-1092000,-3028000,-3711000,-21093000,-8471000,-10820000,-19086000,-9758000,-24048000,-12432000,-12577000,-12634000,-12788000,-12878000,-12890000,-12965000,-13050000
94,Other Financing Activites,- -,- -,- -,- -,- -,2200000,5300000,-5400000,-2600000,-2100000,-8100000,-4100000,1200000,800000,14858602,677068,55423,-3079000,676250,-7694000,-6811000,-6362000,-513000,1474000,773000,1430000,1628000,2284000,263000,2828000,841000,895000,6793000,1041000,87203000,49778000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,500000,5100000,-5400000,-2600000,-2100000,-8100000,-4100000,1700000,1000000,15107589,851068,505423,-3255000,-7875944,-8460000,-9829000,-9807000,-21018000,-12615000,-15495000,-20576000,-9433000,-23394000,-16167000,-11440000,-14396000,-17426000,-7661000,-14495000,56268000,-21686000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,500000,5100000,-5400000,-2600000,-2100000,-8100000,-4100000,1700000,4100000,15949611,5434531,2614572,14730000,-11528422,25870000,11869000,-18865000,-5957000,7077000,14077000,22319000,11741000,6468000,-32219000,-18312000,29339000,-944000,8673000,5013000,10560000,4633000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,25721033,31155564,33770136,48500000,36971758,62842000,74711000,53846000,47889000,54966000,69043000,91362000,103103000,109571000,77352000,59040000,88379000,87435000,96108000,101121000,111681000,116314000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,13900000,9900000,5300000,6600000,7200000,9700000,3200000,4300000,5700000,9771422,25721033,31155564,33770000,48500180,36972000,62842000,72711000,53846000,47889000,54966000,69043000,91362000,103103000,109571000,77352000,59040000,88379000,87435000,96108000,101121000,111681000
100,Free Cash Flow,- -,- -,- -,- -,- -,-3700000,-9200000,4900000,3400000,4900000,700000,5300000,-200000,3300000,321581,4583463,2109149,13979000,16621261,11540000,21218000,20183000,20441000,21238000,15109000,50798000,26703000,29385000,2125000,-6049000,44130000,18427000,23420000,27800000,29453000,27459000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/103595/000010359594000011/0000103595-94-000011-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359595000006/0000103595-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359596000006/0000103595-96-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359597000006/0000103595-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359598000007/0000103595-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359599000012/0000103595-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359500000014/0000103595-00-000014-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359501500009/0000103595-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359502000008/0000103595-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359503000012/0000103595-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/103595/000010359504000015/0000103595-04-000015-index.html,https://www.sec.gov/Archives/edgar/data/103595/000109690605000641/0001096906-05-000641-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690606001258/0001096906-06-001258-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690607001366/0001096906-07-001366-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690608001852/0001096906-08-001852-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690609001197/0001096906-09-001197-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690610001278/0001096906-10-001278-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690611002364/0001096906-11-002364-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690612002512/0001096906-12-002512-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690613001552/0001096906-13-001552-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000109690614001399/0001096906-14-001399-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359515000018/0000103595-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359516000036/0000103595-16-000036-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359517000020/0000103595-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359518000017/0000103595-18-000017-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359519000015/0000103595-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359520000033/0000103595-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/103595/000010359521000014/0000103595-21-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
