,https://roic.ai/company/SKYW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000,18916000,25540000,21076000,15260000,4201000,-21464000,-40700000,26831000,-30093000
79,Inventory,- -,- -,- -,- -,- -,-200000,-1300000,-100000,200000,200000,-1300000,-1700000,-1100000,-1700000,-5500000,-2332000,-4301000,-3750000,953000,-7842000,-8355000,-16549000,-20578000,1355000,14507000,-2071000,-8639000,1630000,-24513000,-890000,-2860000,-1986000,-1246000,-7935000,-4303000,19307000,-12897000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23666000,46908000,6289000,- -,- -,- -,- -,- -,- -,- -,- -,-54043000,-26984000,231177000
81,Other Working Capital,- -,- -,- -,- -,- -,5600000,11000000,14600000,12000000,11300000,12300000,66600000,46000000,32900000,45300000,143200000,154179000,391845000,518409000,536506000,77715000,687023000,811920000,834064000,804264000,806925000,656316000,842615000,843973000,606648000,266184000,299812000,174308000,95968000,-164330000,41080000,37014000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-2700000,-7000000,-2800000,2900000,4400000,- -,-49700000,20500000,11400000,-5600000,-101715000,35560000,-230570000,-201112000,40402000,420825000,-569960000,-203129000,-6755000,46800000,-53374000,80523000,-240083000,-57799000,277004000,299032000,425527000,222890000,153669000,153203000,-51193000,75757000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,10100000,7200000,9600000,14900000,32800000,30000000,26900000,32100000,48400000,78000000,86499000,150791000,173703000,157743000,246866000,207534000,491635000,396016000,415543000,389500000,347089000,162126000,288824000,289890000,285539000,420104000,506665000,684124000,802534000,721030000,633563000,831820000
84,CAPEX,- -,- -,- -,- -,- -,-8100000,-14700000,-10100000,-20900000,-45600000,-39300000,-64700000,-19800000,-29800000,-110900000,-75456000,-199928000,-26273000,-63090000,-215721000,-328254000,-251636000,-371175000,-238375000,-447042000,-151265000,-186198000,-64939000,-152001000,-675439000,-721276000,-1153963000,-735376000,-1138714000,-714732000,-447921000,-681402000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94519000,-740506000,- -,-371912000,- -,- -,- -,- -,- -,- -,8064000,16658000,17237000,- -,- -,- -,- -,53200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2200000,- -,-100000,-1000000,-9400000,-9800000,- -,- -,- -,-95000000,-38815000,-41590000,- -,- -,-499265000,-332269000,-317014000,-1370189000,-1305015000,-854715000,-1073479000,-683396000,-736330000,-488564000,-326964000,-1170439000,-2511388000,-1533867000,-2308768000,-1938750000,-1347775000,-1517861000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4900000,- -,200000,- -,- -,2200000,1100000,3300000,- -,- -,- -,- -,- -,429665000,599815000,255918000,1067815000,1254574000,772616000,1047553000,857031000,677798000,557424000,398148000,1299069000,2388168000,1440283000,2451344000,1866761000,1170556000,1526057000
88,Other Investing Activites,- -,- -,- -,- -,- -,4600000,1600000,3600000,1900000,-3300000,5700000,12400000,7100000,11300000,24400000,8943000,21894000,18985000,-8094000,47796000,10167000,7322000,11290000,4580000,-60671000,-185000,1010000,7047000,522000,1792000,22930000,100105000,77623000,12734000,76487000,-58331000,-25316000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-5700000,-8200000,-6600000,-19800000,-58300000,-43400000,-50100000,-11600000,-15200000,-181500000,-105328000,-219624000,-101807000,-811690000,-237525000,-422453000,-305410000,-662259000,-284236000,-589812000,-177376000,-11553000,-108360000,-65961000,-585226000,-569716000,-1177078000,-751337000,-983404000,-657034000,-683471000,-698522000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119823000,-147315000,-185632000,-159038000,-218270000,-171453000,-185357000,-354277000,-302158000,-330258000,-370775000,-382442000,-187404000,-540537000
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,200000,800000,66300000,100000,400000,900000,65700000,5000000,3258000,9920000,8869000,6814000,7771000,21785000,114948000,28950000,17361000,8787000,4907000,4446000,6231000,4385000,2692000,9754000,8142000,4660000,5212000,6271000,2819000,3146000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-800000,- -,- -,- -,- -,-16100000,-4200000,- -,- -,- -,- -,- -,- -,- -,-12266000,- -,- -,-125991000,-102632000,-18445000,-30009000,-60681000,-902000,-11739000,-8414000,-18726000,- -,-20008000,-54448000,-94621000,-20000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1000000,-400000,-400000,-1500000,-3100000,-2600000,-1800000,-2000000,-2800000,-2943000,-4498000,-4569000,-4615000,-6401000,-7039000,-7485000,-8061000,-6951000,-9052000,-9000000,-8466000,-8177000,-8258000,-8195000,-8260000,-9256000,-15015000,-19744000,-23467000,-13059000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-2200000,3500000,-2700000,5700000,7200000,3600000,26700000,-6300000,5100000,13700000,-9179000,39913000,12072000,633195000,2168000,227767000,-18848000,78693000,83828000,316859000,85945000,90354000,44900000,- -,460600000,591881000,917416000,462860000,767217000,189085000,396069000,446791000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-2900000,2500000,-2900000,6100000,72000000,-15500000,20300000,-7200000,68800000,15900000,-8864000,45335000,16372000,635394000,-8728000,242513000,88615000,-26409000,-128217000,150834000,-133789000,-133385000,-176218000,-187065000,261326000,220372000,614144000,102239000,327462000,-305174000,178425000,-90600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-2900000,2500000,-2900000,6100000,72000000,-29000000,-2900000,13300000,102000000,-87600000,-27693000,-23498000,88268000,-18553000,613000,27594000,274840000,-292652000,3090000,-49478000,35924000,17188000,4246000,36864000,-38361000,70760000,-56269000,35026000,146592000,-241178000,128517000,42698000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,24500000,37800000,139800000,52200000,24544000,42692000,130960000,112407000,113020000,140614000,415454000,122802000,125892000,76414000,112338000,129526000,133772000,170636000,132275000,203035000,146766000,181792000,328384000,87206000,215723000,258421000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,5400000,6900000,8500000,8700000,9800000,56400000,27400000,24500000,37800000,139800000,52237000,66190000,42692000,130960000,112407000,113020000,140614000,415454000,122802000,125892000,76414000,112338000,129526000,133772000,170636000,132275000,203035000,146766000,181792000,328384000,87206000,215723000
100,Free Cash Flow,- -,- -,- -,- -,- -,2000000,-7500000,-500000,-6000000,-12800000,-9300000,-37800000,12300000,18600000,-32900000,11043000,-49137000,147430000,94653000,31145000,-120720000,239999000,24841000,177168000,-57542000,195824000,-24072000,223885000,137889000,-389900000,-301172000,-647298000,-51252000,-336180000,6298000,185642000,150418000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014997001279/0000950149-97-001279-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793733/000095014900001386/0000950149-00-001386-index.html,- -,https://www.sec.gov/Archives/edgar/data/793733/000091205703000160/0000912057-03-000160-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746904007527/0001047469-04-007527-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746905006092/0001047469-05-006092-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465906016557/0001104659-06-016557-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000110465907015112/0001104659-07-015112-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746908001764/0001047469-08-001764-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746909001647/0001047469-09-001647-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746910001111/0001047469-10-001111-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746911001402/0001047469-11-001402-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746912001456/0001047469-12-001456-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746913001174/0001047469-13-001174-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746914000913/0001047469-14-000913-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000104746915000907/0001047469-15-000907-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837016003629/0001558370-16-003629-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837017001066/0001558370-17-001066-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837018001097/0001558370-18-001097-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837019000847/0001558370-19-000847-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837020000911/0001558370-20-000911-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837021001367/0001558370-21-001367-index.htm,https://www.sec.gov/Archives/edgar/data/793733/000155837022001335/0001558370-22-001335-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
