,https://roic.ai/company/MDC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000000,344800000,315800000,351500000,432300000,604909000,778368000,1070030000,1450551000,2070305000,2581682000,3025741000,2251665000,2046350000,1952689000,2092886000,1525046000,899180000,1386047000,1619231000,1707145000,1776721000,2090405000,2299597000,2459653000,3194515000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,88100000,1100000,23000000,12500000,-55900000,-52300000,-390200000,54700000,11900000,-85700000,-188500000,-370541000,-265108000,-656404000,-538384000,-1067822000,-1483465000,-284118000,1991942000,895598000,250935000,-307777000,564143000,433357000,-897146000,-504106000,-200958000,-85624000,-446012000,-466950000,-403275000,-1193455000,23157000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,118100000,18800000,25100000,16400000,-34200000,-36800000,22600000,47900000,18500000,800000,-3800000,-63457000,93251000,-166429000,83927000,-23864000,-424929000,363048000,592583000,479511000,202454000,-209081000,-80284000,-108819000,-269549000,-163647000,215000,115917000,65472000,-7906000,57833000,-23095000,-207990000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,-3600000,-3160000,-3219000,-12441000,-6785000,-29917000,-22889000,-10221000,-27024000,-514000,-7954000,-8149000,- -,-1268000,-1785000,-3242000,-1491000,-4468000,-2539000,-27166000,-24714000,-26777000,-29693000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7500000,-22100000,-8700000,-6400000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94767000,-389741000,-934240000,-538425000,-478701000,-404965000,-428709000,-53822000,-48050000,-67239000,-18850000,-11708000,-10804000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5900000,100000,7500000,700000,181900000,65500000,- -,- -,3600000,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,39903000,172703000,296245000,942689000,458188000,376348000,855031000,102675000,61736000,127568000,66230000,7637000,59266000,- -
88,Other Investing Activites,- -,- -,- -,- -,131800000,110900000,121600000,312300000,-4100000,20300000,9100000,14000000,-100000,21200000,-100000,- -,- -,- -,- -,- -,- -,- -,25577000,-58061000,- -,1678000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2014000
89,Cash Used for Investing Activites,- -,- -,- -,- -,137700000,111000000,121600000,290900000,169100000,79400000,8700000,14000000,3500000,15100000,-1900000,-3160000,-3219000,-12441000,-6785000,-29917000,-22889000,-10221000,-1447000,-113439000,-224992000,-644466000,404264000,-21781000,-30402000,423080000,47362000,9218000,57790000,20214000,-28785000,21685000,-27679000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139870000,-152951000,-629096000,-196402000,-234671000,-519902000,- -,- -,-2145000,- -,- -,-255000000,-276951000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,900000,3625000,7571000,7684000,17039000,10989000,26263000,7306000,11206000,11997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,- -,- -,- -,-15200000,-1500000,-5500000,-12900000,-7300000,- -,- -,-30828000,-3845000,-29403000,-26731000,-6812000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,-2200000,-2200000,-2100000,-2800000,-4400000,-5220000,-6456000,-8292000,-11812000,-18624000,-33532000,-44963000,-45773000,-46391000,-46925000,-47140000,-47432000,-96915000,- -,-48820000,-48868000,-49088000,-51897000,-67718000,-73117000,-89008000,-118529000
94,Other Financing Activites,- -,- -,- -,- -,-236200000,-130400000,-146200000,-294800000,-117700000,-59400000,-46400000,-56300000,-12300000,-18100000,38100000,74225000,-64817000,201223000,88985000,302813000,268659000,-21754000,-59753000,-31713000,138857000,391611000,123684000,240651000,573865000,263776000,28454000,25874000,153299000,11309000,48142000,375178000,730636000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-236600000,-130400000,-146200000,-294800000,-132900000,-62000000,-54100000,-71400000,-21700000,-17500000,34600000,41802000,-67547000,171212000,67481000,288366000,261390000,-59411000,-94320000,-66107000,-47938000,191520000,-552844000,-52666000,339194000,-304946000,-20414000,-23214000,99257000,-56409000,-24975000,31170000,335156000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28800000,-24815000,22485000,-7658000,144623000,234585000,-186428000,293416000,496816000,299965000,-70476000,-662027000,-228864000,-183266000,39243000,-45513000,27163000,101921000,222519000,-44101000,4073000,29760000,99487000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38900000,14115000,36600000,28942000,173565000,408150000,214531000,507947000,1004763000,1304728000,1234252000,572225000,343361000,160095000,199338000,153825000,180988000,282909000,505428000,470139000,474212000,503972000,603459000
99,Cash at the Beginning of Period,- -,- -,- -,- -,29500000,48700000,48100000,48600000,61000000,63000000,43600000,20800000,11300000,11700000,10100000,38930000,14115000,36600000,28942000,173565000,400959000,214531000,507947000,1004763000,1304728000,1234252000,572225000,343361000,160095000,199338000,153825000,180988000,282909000,514240000,470139000,474212000,503972000
100,Free Cash Flow,- -,- -,- -,- -,118100000,18800000,25100000,16400000,-34200000,-36800000,22600000,47900000,18500000,-5300000,-7400000,-66617000,90032000,-178870000,77142000,-53781000,-447818000,352827000,565559000,478997000,194500000,-217230000,-80284000,-110087000,-271334000,-166889000,-1276000,111449000,62933000,-35072000,33119000,-49872000,-237683000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/0000912057-94-001562-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/773141/000077314104000004/form10_k03.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570405000091/d21846e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000103570406000152/d33548e10vk.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312507042675/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312508022491/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312509023530/0001193125-09-023530-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312510022961/0001193125-10-022961-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312511031993/d10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000119312512035434/0001193125-12-035434-index.html,https://www.sec.gov/Archives/edgar/data/773141/000119312513031624/0001193125-13-031624-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774914001560/mdc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774915001397/mdc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/773141/000143774916024659/0001437749-16-024659-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774917001467/0001437749-17-001467-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774918001473/0001437749-18-001473-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774919001602/0001437749-19-001602-index.html,https://www.sec.gov/Archives/edgar/data/773141/000143774920001403/0001437749-20-001403-index.html,https://www.sec.gov/Archives/edgar/data/773141/000077314121000024/0000773141-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/773141/000077314122000012/0000773141-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
