,https://roic.ai/company/WM,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,14900000,20000000,86700000,-412300000,-1269000000,-480000000,-597000000,-473000000,-744000000,-386000000,194000000,-86000000,-118000000,-701000000,109000000,-3000000,-689000000,-613000000,-515000000,156000000,-165000000,-418000000,-638000000,-463000000,3065000000,-13000000,-103000000
82,Other Non-Cash Items,- -,- -,- -,- -,-3300000,300000,-6700000,-13900000,-121500000,11100000,-256900000,1723200000,1011900000,-61000000,467000000,-334000000,-61000000,-571000000,-671000000,360000000,-21000000,635000000,-544000000,50000000,722000000,9000000,1017000000,-877000000,719000000,567000000,225000000,-121000000,-3084000000,3055000000,366000000
83,Cash Provided by Operating Activities,- -,- -,400000,900000,1500000,13300000,12100000,18900000,-35500000,205200000,452800000,1502000000,1689600000,2125000000,2355000000,2153000000,1926000000,2218000000,2391000000,2540000000,2439000000,2575000000,2362000000,2275000000,2469000000,2295000000,2455000000,2331000000,2498000000,2960000000,3180000000,3570000000,3874000000,3403000000,4338000000
84,CAPEX,- -,- -,-2200000,-800000,-4600000,-6300000,-22500000,-40900000,-84600000,-348400000,-2255300000,-3597700000,-2616000000,-1313000000,-1328000000,-1287000000,-1200000000,-1258000000,-1180000000,-1329000000,-1211000000,-1221000000,-1179000000,-1104000000,-1324000000,-1510000000,-1271000000,-1151000000,-1233000000,-1339000000,-1509000000,-1694000000,-1818000000,-1632000000,-1904000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000000,-116000000,-162000000,-337000000,-130000000,-142000000,208000000,188000000,-168000000,-253000000,-363000000,-831000000,-283000000,-619000000,2185000000,-429000000,-589000000,-101000000,-252000000,-472000000,-3200000000,21000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-12600000,- -,- -,- -,-40700000,- -,- -,- -,- -,- -,-1079000000,-3001000000,-1220000000,- -,- -,-173000000,-155000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57500000,9800000,54000000,- -,- -,- -,- -,784000000,3123000000,1404000000,- -,- -,34000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,-4500000,-24900000,-17500000,-26300000,-15900000,-4100000,-229100000,223800000,-1014900000,630000000,2562000000,212000000,487000000,453000000,525000000,555000000,211000000,78000000,206000000,182000000,- -,125000000,-37000000,-10000000,-39000000,54000000,-4000000,231000000,-223000000,-86000000,-1647000000,-1915000000
89,Cash Used for Investing Activites,- -,- -,-2100000,-5300000,-29500000,-23800000,-48800000,-56800000,-101300000,-577500000,-2031500000,-4555100000,-2016900000,1072000000,-1232000000,-962000000,-1084000000,-863000000,-1062000000,-788000000,-761000000,-1183000000,-1250000000,-1606000000,-2185000000,-1830000000,-1900000000,995000000,-1608000000,-1932000000,-1379000000,-2169000000,-2376000000,-4847000000,-1894000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1785000000,-1335000000,-1112000000,-503000000,-1058000000,-1152000000,-3568000000,-2764000000,-2682000000,-1907000000,-499000000,-533000000,-7807000000,-8404000000
91,Common Stock Issued,- -,- -,- -,4300000,7200000,200000,- -,600000,123600000,26900000,543300000,1078100000,175900000,20000000,50000000,27000000,52000000,193000000,129000000,295000000,142000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-982000000,-550000000,-496000000,-706000000,-1072000000,-1421000000,-410000000,-226000000,-501000000,-575000000,- -,-239000000,-600000000,-600000000,-725000000,-750000000,-1004000000,-248000000,-402000000,-1350000000
93,Dividends Paid,- -,- -,- -,- -,-700000,- -,-1300000,- -,- -,- -,- -,-93800000,-6200000,-6000000,-6000000,-6000000,-6000000,-432000000,-449000000,-476000000,-495000000,-531000000,-619000000,-649000000,-696000000,-658000000,-683000000,-693000000,-695000000,-726000000,-750000000,-802000000,-876000000,-927000000,-970000000
94,Other Financing Activites,- -,- -,-200000,1200000,23100000,21600000,29600000,39300000,-3800000,347800000,1060700000,1971500000,256500000,-3293000000,-529000000,-697000000,-469000000,-395000000,-64000000,-550000000,-172000000,1470000000,1723000000,989000000,1208000000,1186000000,1387000000,2789000000,1904000000,3098000000,1596000000,797000000,3621000000,7577000000,7824000000
95,Cash Used/Provided by Financing Activities,- -,- -,-200000,5500000,29600000,18300000,28300000,39900000,119800000,374700000,1604000000,2955800000,426200000,-3279000000,-485000000,-1658000000,-973000000,-1130000000,-1090000000,-1803000000,-1946000000,-1256000000,-457000000,-1273000000,-566000000,-530000000,-687000000,-2072000000,-2155000000,-1035000000,-1811000000,-1508000000,1964000000,-1559000000,-2900000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-5800000,-4400000,-5000000,-2000000,1000000,2000000,1000000,3000000,-1000000,2000000,-4000000,5000000,3000000,1000000,1000000,-4000000,-5000000,-3000000,- -,- -,-3000000,2000000,4000000,2000000
97,Net Change In Cash,- -,- -,-200000,5500000,29600000,18300000,28300000,39900000,- -,- -,- -,- -,94500000,-87000000,636000000,-466000000,-129000000,226000000,242000000,-52000000,-266000000,132000000,660000000,-601000000,-281000000,-64000000,-136000000,1249000000,-1268000000,-7000000,-10000000,-110000000,3464000000,-2999000000,-454000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181400000,94000000,730000000,264000000,135000000,443000000,666000000,614000000,348000000,480000000,1140000000,539000000,258000000,194000000,58000000,1307000000,39000000,32000000,22000000,183000000,3647000000,648000000,194000000
99,Cash at the Beginning of Period,- -,- -,3000000,1200000,2300000,3900000,11700000,4600000,30200000,21100000,26100000,189900000,86900000,181000000,94000000,730000000,264000000,217000000,424000000,666000000,614000000,348000000,480000000,1140000000,539000000,258000000,194000000,58000000,1307000000,39000000,32000000,293000000,183000000,3647000000,648000000
100,Free Cash Flow,- -,- -,-1800000,100000,-3100000,7000000,-10400000,-22000000,-120100000,-143200000,-1802500000,-2095700000,-926400000,812000000,1027000000,866000000,726000000,960000000,1211000000,1211000000,1228000000,1354000000,1183000000,1171000000,1145000000,785000000,1184000000,1180000000,1265000000,1621000000,1671000000,1876000000,2056000000,1771000000,2434000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/823768/000095013496000861/0000950134-96-000861-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/823768/000095012904000722/h12380e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012905001427/h22314e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012906001649/h32785e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013407003484/h43426e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095013408002947/h53869e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012909000426/0000950129-09-000426-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012310013022/0000950123-10-013022-index.html,https://www.sec.gov/Archives/edgar/data/823768/000095012311015242/h76657e10vk.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312512065370/0001193125-12-065370-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312513058892/0001193125-13-058892-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312514056656/d581129d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000095012315002550/d793975d10k.htm,https://www.sec.gov/Archives/edgar/data/823768/000119312516467957/0001193125-16-467957-index.html,https://www.sec.gov/Archives/edgar/data/823768/000119312517046480/0001193125-17-046480-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837018000716/0001558370-18-000716-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837019000662/0001558370-19-000662-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837020000762/0001558370-20-000762-index.html,https://www.sec.gov/Archives/edgar/data/823768/000155837021001348/0001558370-21-001348-index.htm,https://www.sec.gov/Archives/edgar/data/823768/000155837022001179/0001558370-22-001179-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
