,https://roic.ai/company/LUB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-1100000,800000,-500000,600000,200000,-400000,-200000,-500000,- -,-600000,1400000,-167000,1152000,504000,399000,-294000,-123000,-177000,-182000,-474000,17000,411000,-1094000,629000,-903000,-530000,1073000,-616000,143000,432000,590000,345000,-950000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1046000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38300000,-79300000,-35100000,-29700000,-32300000,-39700000,-31420000,-8975000,-119600000,-103300000,-24000000,-26153000,-17700000,-1900000,-17800000,-21100000,-23200000,-18658000,-22100000,-30000000,-34100000,-29400000,-26161000,-27389000,-61814000,-5559000,888000,888000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,4400000,6400000,-1100000,4500000,35300000,44000000,-42900000,7100000,36700000,10900000,-4559000,13991000,111899000,-5823000,-76369000,1386000,-18679000,-15011000,13366000,20550000,2526000,-10165000,7349000,13779000,9903000,-13259000,-7124000,9339000,31751000,-69297000,-11142000,713000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,45100000,49300000,49900000,46700000,55400000,52100000,56400000,60400000,57400000,48000000,55300000,35266000,16920000,14608000,4618000,16464000,28127000,25595000,33465000,17601000,4760000,9297000,16453000,29262000,29442000,20439000,10316000,13859000,9640000,-8453000,-13130000,-21597000,19000
84,CAPEX,- -,- -,- -,- -,-39500000,-40000000,-35400000,-31300000,-18300000,-29800000,-37200000,-48500000,-62400000,-26000000,-38700000,-56872000,-17630000,-13097000,-9057000,-8921000,-10058000,-15911000,-19495000,-40228000,-12348000,-3580000,-11038000,-25845000,-31339000,-46184000,-20378000,-18253000,-12502000,-13247000,-3987000,-2120000,-433000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63064000,-600000,- -,-10169000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19984000,-4138000,- -,- -,- -,- -,-42806000,-25650000,- -,- -,- -,-177000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5300000,5300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3624000,16114000,617000,1667000,34206000,24900000,625000,8539000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,100000,- -,1100000,200000,1200000,900000,100000,2800000,4900000,6000000,1935000,7825000,3609000,26991000,20652000,17684000,7989000,1767000,3977000,3307000,9393000,14672000,5232000,6041000,4153000,13335000,4811000,9286000,16261000,21836000,24902000,114000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-39400000,-34600000,-35400000,-30200000,-18100000,-28600000,-36300000,-48400000,-59600000,-21100000,-32700000,-54937000,-29789000,-13626000,21558000,27845000,8243000,-6255000,-26328000,-37001000,-8416000,-48712000,3034000,-20790000,-35467000,-42031000,-7043000,-13442000,-3216000,3014000,17849000,22782000,-319000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24828000,-80600000,-106650000,-51800000,-63500000,-83100000,-112500000,-106500000,-148815000,-139079000,-93107000,-11816000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,300000,100000,1700000,2500000,3200000,16100000,2900000,- -,- -,- -,- -,- -,- -,41000,1202000,1086000,531000,11243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-4300000,-400000,-50800000,-45900000,-4800000,-21100000,- -,-12900000,- -,- -,- -,- -,- -,- -,- -,- -,-4775000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10200000,-11700000,-12600000,-13700000,-14700000,-15700000,-15900000,-17000000,-18800000,-18600000,-18200000,-17936000,-2242000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-400000,-800000,-400000,-500000,-1900000,17000000,40000000,-16000000,43000000,-11000000,5000000,38000000,18531000,-3497000,-26889000,-44010000,-38094000,-13500000,131000,-16000,24800000,121433000,86115000,43299000,69830000,105952000,107940000,105921000,142148000,147144000,97422000,19700000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-10600000,-12300000,-12700000,-18400000,-15300000,-47000000,-18600000,-21700000,6000000,-29600000,-26100000,20064000,16289000,-3497000,-26889000,-43969000,-36892000,-12414000,662000,6452000,-28000,40833000,-20535000,-8501000,6330000,22852000,-4560000,-579000,-6667000,8065000,4315000,7884000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-10600000,-12300000,-12700000,-18400000,-15300000,-47000000,-18600000,-21700000,6000000,-29600000,-3500000,393000,3420000,-2515000,-713000,340000,-522000,6926000,7799000,-12948000,-3684000,1418000,-1048000,-29000,305000,1260000,-1287000,-162000,-243000,2626000,9034000,9069000,-300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,679000,4099000,1584000,871000,1211000,2789000,9715000,17514000,4566000,882000,2300000,1252000,1223000,1528000,2788000,1501000,1339000,1096000,3722000,12756000,21825000,21525000
99,Cash at the Beginning of Period,- -,- -,- -,- -,14800000,9900000,12300000,14200000,12300000,34300000,10900000,12400000,2700000,6400000,3800000,286000,679000,4099000,1584000,871000,3311000,2789000,9715000,17514000,4566000,882000,2300000,1252000,1223000,1528000,2788000,1501000,1339000,1096000,3722000,12756000,21825000
100,Free Cash Flow,- -,- -,- -,- -,5600000,9300000,14500000,15400000,37100000,22300000,19200000,11900000,-5000000,22000000,16600000,-21606000,-710000,1511000,-4439000,7543000,18069000,9684000,13970000,-22627000,-7588000,5717000,5415000,3417000,-1897000,-25745000,-10062000,-4394000,-2862000,-21700000,-17117000,-23717000,-414000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16099/000001609994000018/0000016099-94-000018-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609995000011/0000016099-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609996000016/0000016099-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609997000012/0000016099-97-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609998000012/0000016099-98-000012-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609999000017/0000016099-99-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/16099/000001609902000022/0000016099-02-000022-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609903000030/r10k803.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609904000038/r10k804.htm,https://www.sec.gov/Archives/edgar/data/16099/000114036105009562/body.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609906000032/form10_k.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609907000043/0000016099-07-000043-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312508230188/0001193125-08-230188-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312509229563/0001193125-09-229563-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312510252333/0001193125-10-252333-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312511309873/0001193125-11-309873-index.html,https://www.sec.gov/Archives/edgar/data/16099/000119312512465459/0001193125-12-465459-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774913014511/0001437749-13-014511-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774914020335/0001437749-14-020335-index.html,https://www.sec.gov/Archives/edgar/data/16099/000143774915020265/0001437749-15-020265-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609916000059/0000016099-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609917000106/0000016099-17-000106-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609918000141/0000016099-18-000141-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609919000084/0000016099-19-000084-index.html,https://www.sec.gov/Archives/edgar/data/16099/000001609920000124/0000016099-20-000124-index.htm,https://www.sec.gov/Archives/edgar/data/16099/000001609921000047/0000016099-21-000047-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
