,https://roic.ai/company/AMD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,136400000,128300000,155900000,152300000,175067000,215984000,262501000,332640000,394465000,467521000,515520000,579070000,622867000,756169000,995663000,1224252000,1219344000,837000000,1138000000,1223000000,1128000000,383000000,317000000,260000000,236000000,203000000,167000000,133000000,144000000,170000000,258000000,354000000,463000000
75,Deferred Income Tax,- -,- -,- -,- -,-10600000,-2700000,-15500000,-19100000,-27021000,- -,41607000,17134000,-18566000,-106861000,160668000,-19076000,-36052000,35427000,2971000,-39240000,-21806000,-2000000,-24000000,26000000,130000000,-5000000,-6000000,-40000000,1000000,- -,- -,11000000,- -,-4000000,-4000000,-1223000000,308000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,87000000,90000000,97000000,91000000,81000000,63000000,86000000,97000000,137000000,197000000,274000000,379000000
77,Change in Working Capital,- -,- -,- -,- -,-19600000,-238900000,91900000,214300000,124367000,-114567000,80032000,-29032000,2000000,273000000,-222000000,934580000,-394580000,-391000000,800000000,-66000000,355000000,-626000000,80000000,-1038000000,1912000000,-145000000,-465000000,-587000000,398000000,30000000,-379000000,267000000,-63000000,435000000,682000000,1488000000,-774000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-960000000,-1138000000,-347000000,290000000,-200000000,7000000,280000000,222000000,-89000000,-806000000,-623000000,-219000000,-640000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156284000,-36975000,-51975000,-77426000,-179981000,-27780000,6000000,4000000,152000000,89000000,-144000000,157000000,-83000000,-322000000,199000000,-11000000,-73000000,12000000,-151000000,-137000000,-417000000,-556000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,-28000000,-232000000,266000000,-231000000,-156000000,58000000,-75000000,207000000,373000000,-513000000,801000000
81,Other Working Capital,- -,- -,- -,- -,317900000,79000000,170900000,385200000,509567000,395000000,475032000,446000000,448000000,721000000,499000000,1433580000,1039000000,648000000,1448000000,1382000000,1737000000,1111000000,1191000000,153000000,2065000000,1920000000,1455000000,868000000,1266000000,1296000000,917000000,1184000000,1121000000,1556000000,2238000000,3726000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,3300000,274900000,-188500000,-203800000,-44966000,166456000,-72763000,-178505000,42016000,-385247000,-105368000,-1272048000,36010000,813494000,-1228548000,-123691000,-235183000,1244000000,1875000000,2195000000,-3148000000,-1203000000,-45000000,1115000000,-791000000,-9000000,583000000,90000000,-77000000,-1041000000,-981000000,-2312000000,-17000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,155600000,108000000,189100000,388700000,456228000,573173000,611898000,73237000,398815000,144413000,259920000,1205552000,167645000,-88910000,295586000,1086521000,1482855000,1287000000,-310000000,-692000000,473000000,-412000000,382000000,-338000000,-148000000,-98000000,-226000000,90000000,68000000,34000000,493000000,1071000000,3521000000
84,CAPEX,- -,- -,- -,- -,-158800000,-304200000,-111000000,-222100000,-323669000,-548742000,-620815000,-485018000,-685100000,-996170000,-619772000,-805474000,-678865000,-705147000,-570316000,-1440137000,-1513173000,-1857000000,-1685000000,-624000000,-466000000,-148000000,-250000000,-133000000,-84000000,-95000000,-96000000,-77000000,-113000000,-163000000,-217000000,-294000000,-301000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26509000,-6265000,- -,- -,-3893000000,157000000,127000000,- -,-904000000,- -,-281000000,- -,- -,- -,342000000,1000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-401300000,-316600000,-147300000,-594800000,-715487000,-1245167000,-1326083000,-633476000,-537147000,-1591802000,-1579813000,-4179993000,-4130769000,-4465252000,-1029884000,-377087000,-1720757000,-2119000000,-545000000,-200000000,-1486000000,-1800000000,-1586000000,-944000000,-1043000000,-790000000,-227000000,- -,-222000000,-123000000,-284000000,-850000000,-2056000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,320400000,449700000,96400000,432600000,566773000,1416431000,1246001000,840492000,545478000,1482890000,1598946000,3781766000,4376732000,4333901000,1512093000,227257000,1096869000,3263000000,307000000,416000000,617000000,1709000000,1726000000,1348000000,1344000000,873000000,462000000,- -,222000000,45000000,325000000,192000000,1678000000
88,Other Investing Activites,- -,- -,- -,- -,10400000,30800000,87000000,22500000,4648000,-137117000,-13185000,2489000,43468000,106968000,458265000,387899000,-120619000,8618000,177555000,34183000,-132521000,303000000,91000000,254000000,62000000,20000000,-3000000,-9000000,238000000,- -,8000000,2000000,-2000000,71000000,27000000,- -,-7000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-229300000,-140300000,-74900000,-361800000,-467735000,-514595000,-714082000,-275513000,-633301000,-998114000,-142374000,-815802000,-553521000,-854389000,83183000,-1555784000,-2269582000,-4303000000,-1675000000,-27000000,-1273000000,-1123000000,-113000000,-19000000,455000000,-12000000,147000000,267000000,-114000000,-170000000,-149000000,-952000000,-686000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1820000000,-1074000000,-209000000,-489000000,-55000000,-1115000000,-44000000,-1343000000,-110000000,-41000000,-403000000,-200000000,- -
91,Common Stock Issued,- -,- -,- -,- -,8500000,7600000,8900000,25700000,42401000,39565000,23073000,47043000,40474000,44099000,43777000,122994000,36706000,29179000,35436000,123677000,189349000,726000000,686000000,- -,127000000,15000000,18000000,14000000,3000000,4000000,5000000,667000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3536000,- -,- -,- -,- -,- -,-77220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78000000,-1999000000
93,Dividends Paid,- -,- -,- -,- -,-10400000,-10400000,-10400000,-10400000,-10350000,-10350000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-13300000,4500000,-7800000,-144200000,-12148000,-26873000,111368000,195111000,268476000,930852000,-217320000,-223845000,272226000,878261000,231966000,289123000,304840000,3037000000,1351000000,220000000,3217000000,1543000000,185000000,512000000,65000000,1157000000,98000000,798000000,77000000,69000000,446000000,284000000,104000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-15200000,1700000,-9300000,-128900000,19903000,2342000,130895000,242154000,308950000,974951000,-173543000,-100851000,231712000,907440000,267402000,412800000,494189000,3763000000,2037000000,220000000,1524000000,484000000,-6000000,37000000,13000000,46000000,59000000,122000000,-33000000,28000000,43000000,6000000,-1895000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11786000,8433000,-10005000,37319000,32173000,6657000,7228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-15200000,1700000,-9300000,-128900000,8396000,60920000,28711000,39878000,74464000,121250000,-67783000,297332000,-164169000,1460000,678344000,-49806000,-285310000,747000000,52000000,-499000000,724000000,-1051000000,263000000,-320000000,320000000,-64000000,-20000000,479000000,-79000000,-108000000,387000000,125000000,940000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,60423000,121343000,113354000,166194000,240658000,361908000,294125000,591457000,427288000,428748000,968183000,918377000,633067000,1380000000,1432000000,933000000,1657000000,606000000,869000000,549000000,869000000,805000000,785000000,1264000000,1185000000,1083000000,1470000000,1595000000,2535000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,168600000,79700000,49100000,153900000,52027000,60423000,84643000,126316000,166194000,240658000,361908000,294125000,591457000,427288000,289839000,968183000,918377000,633000000,1380000000,1432000000,933000000,1657000000,606000000,869000000,549000000,869000000,805000000,785000000,1264000000,1191000000,1083000000,1470000000,1595000000
100,Free Cash Flow,- -,- -,- -,- -,-3200000,-196200000,78100000,166600000,132559000,24431000,-8917000,-411781000,-286285000,-851757000,-359852000,400078000,-511220000,-794057000,-274730000,-353616000,-30318000,-570000000,-1995000000,-1316000000,7000000,-560000000,132000000,-471000000,-232000000,-193000000,-322000000,13000000,-45000000,-129000000,276000000,777000000,3220000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000095013195000530/0000950131-95-000530-index.html,https://www.sec.gov/Archives/edgar/data/2488/0000898430-96-003467-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287097000533/0001012870-97-000533-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287099000892/0001012870-99-000892-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/2488/000101287002001071/0001012870-02-001071-index.html,https://www.sec.gov/Archives/edgar/data/2488/000101287003001181/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312504037179/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312505039876/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312506040130/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312507044191/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312508038588/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312509036235/0001193125-09-036235-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312510035218/0001193125-10-035218-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312511040392/d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000119312512075837/0001193125-12-075837-index.html,https://www.sec.gov/Archives/edgar/data/2488/000119312513069422/0001193125-13-069422-index.html,- -,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248816000111/0000002488-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248817000043/0000002488-17-000043-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/0000002488-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/0000002488-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/0000002488-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/2488/000162828021001185/0001628280-21-001185-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000016/0000002488-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
