,https://roic.ai/company/GTLS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,-4000000,600000,600000,-1600000,-2600000,-2000000,-7972000,-27073000,-45270000,-82194000,-427000,-6494000,1116000,15255000,-3317000,-362250000,-38664000,-18541000,-65676000,-802000,-64215000,-59672000,-224347000,-74981000,-72485000,-73524000,-18081000,-480000000,-127900000,-642700000,185000000,-361200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-47993000,-55300000,-36762000,-236039000,-120981000,-105258000,-55291000,-40428000,-34890000,- -,- -,- -,-6825000,- -,-21107000,-241125000,-82208000,-215153000,-155599000,-67196000,-9010000,-264100000,-379800000,-453900000,-567200000,-976700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,766000,34136000,783000,8000,139000,51000,- -,- -,400000,111298000,211733000,42839000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295800000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-3732000,-5646000,-8278000,-728000,-156000,-181000,-219000,-111000,- -,- -,- -,- -,- -,- -,- -,- -,-4484000,-2002000,-3367000,-948000,-704000,-2000000,-2700000,-2000000,-19300000,- -
93,Dividends Paid,-1900000,-3300000,-4400000,- -,-2800000,-2800000,-2800000,-3002000,-3858000,-4821000,-2370000,- -,- -,- -,- -,- -,- -,-150313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2200000,-1200000,- -,-2700000,5400000,-1800000,-4000000,38250000,48000000,43594000,326148000,111239000,105892000,39646000,10656000,-1254000,237191000,-52185000,-35395000,2764000,776000,1805000,308836000,104133000,225262000,88173000,67536000,17445000,541300000,420700000,671700000,223100000,1358600000
95,Cash Used/Provided by Financing Activities,-4100000,-4500000,-4400000,-2700000,2600000,-4600000,-6800000,-15711000,17332000,-5484000,87019000,-9759000,504000,-15864000,-29883000,-35744000,348489000,9235000,7444000,-4061000,776000,-19302000,67711000,17441000,8107000,-70793000,-608000,7731000,275200000,38200000,511600000,-363400000,381900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106000,602000,-1853000,-403000,1282000,-43000,216000,-1018000,559000,2605000,1221000,2103000,-1113000,2052000,3902000,3058000,-9128000,-7805000,-2213000,7200000,-11400000,-1900000,11800000,-3100000
97,Net Change In Cash,2000000,-2200000,1600000,-2700000,2600000,-4600000,-6800000,9179000,12687000,-19926000,145000,2607000,6880000,-4576000,11375000,-3786000,3963000,7528000,74015000,29296000,89003000,-46056000,91749000,-115363000,-4153000,-33689000,20052000,158251000,-150600000,-12300000,900000,6100000,-3700000
98,Cash at the End of Period,120100000,-2200000,1900000,- -,- -,- -,- -,9408000,22095000,2169000,2314000,4921000,11801000,7225000,46415000,14814000,15433000,18854000,92869000,122165000,211168000,165112000,256861000,141498000,137345000,103656000,123708000,281959000,131400000,119100000,120000000,126100000,122400000
99,Cash at the Beginning of Period,118100000,- -,300000,1900000,3500000,700000,200000,229000,9408000,22095000,2169000,2314000,4921000,11801000,35040000,18600000,11470000,11326000,18854000,92869000,122165000,211168000,165112000,256861000,141498000,137345000,103656000,123708000,282000000,131400000,119100000,120000000,126100000
100,Free Cash Flow,5800000,5600000,4500000,1900000,-5200000,5500000,8800000,20838000,15288000,20928000,-12329000,9065000,5128000,5862000,22029000,25680000,13141000,14145000,63479000,83844000,73736000,21635000,59278000,43956000,-12922000,56582000,43907000,153029000,11800000,53200000,97700000,134800000,-74000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892553/000102140803006133/0001021408-03-006133-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312504053838/0001193125-04-053838-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312505065286/0001193125-05-065286-index.htm,- -,https://www.sec.gov/Archives/edgar/data/892553/000095015207002173/0000950152-07-002173-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000095015208001529/0000950152-08-001529-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312509037557/0001193125-09-037557-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312510040985/0001193125-10-040985-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000119312511049498/0001193125-11-049498-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000144530512000510/0001445305-12-000510-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255313000004/0000892553-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255314000010/0000892553-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255315000008/0000892553-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255316000049/0000892553-16-000049-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255317000010/0000892553-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255318000039/0000892553-18-000039-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255319000040/0000892553-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255320000034/0000892553-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255321000032/0000892553-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/892553/000089255322000061/0000892553-22-000061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
