,https://roic.ai/company/PFE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/78003/000091205795001635/0000912057-95-001635-index.html,https://www.sec.gov/Archives/edgar/data/78003/000091205796005586/0000912057-96-005586-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78003/000095012302003116/0000950123-02-003116-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012303003360/0000950123-03-003360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012304003064/0000950123-04-003064-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012305002379/0000950123-05-002379-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041306001567/0000930413-06-001567-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041307001807/0000930413-07-001807-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041308001360/0000930413-08-001360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312509040568/0001193125-09-040568-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/0001193125-10-042425-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312511048877/0001193125-11-048877-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312512085703/0001193125-12-085703-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/0000078003-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800314000018/0000078003-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800315000014/0000078003-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800316000077/0000078003-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800317000014/0000078003-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/0000078003-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/0000078003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/0000078003-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/0000078003-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/0000078003-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,681100000,801200000,722100000,810900000,657500000,1298400000,1572900000,1929000000,2213000000,3351000000,3179000000,3726000000,7788000000,9126000000,3910000000,11361000000,8085000000,19337000000,8144000000,8104000000,8635000000,8257000000,10009000000,14570000000,22003000000,9135000000,6960000000,7215000000,21308000000,11153000000,16273000000,9616000000,21979000000
74,Depreciation and Amortization,- -,- -,- -,- -,207100000,224800000,244100000,263900000,258200000,292000000,374000000,430000000,502000000,489000000,542000000,968000000,1068000000,1036000000,4078000000,5093000000,5576000000,5293000000,5200000000,5090000000,4757000000,8487000000,9026000000,7611000000,6410000000,5537000000,5157000000,5757000000,6269000000,6384000000,6010000000,4777000000,5191000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-336100000,32600000,-12900000,75000000,24000000,-61000000,286000000,-265000000,217000000,-385000000,-104000000,-1579000000,-1376000000,-1945000000,-2788000000,-1331000000,-9582000000,1953000000,454000000,2198000000,1703000000,317000000,-18000000,-700000000,-2410000000,-2205000000,614000000,-1468000000,-4293000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,349000000,405000000,419000000,481000000,523000000,586000000,669000000,691000000,840000000,949000000,718000000,756000000,1182000000
77,Change in Working Capital,- -,- -,- -,- -,-223100000,- -,- -,- -,- -,962500000,2700000,-137200000,687000000,1224000000,-733000000,3200000000,-396000000,1416000000,-142000000,7152000000,212000000,12112000000,-546000000,-8947000000,8378000000,7414000000,-2200000000,3137000000,82000000,3193000000,-21666000000,-6571000000,2880000000,7354000000,-22569000000,13648000000,7875000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-472000000,-608000000,-66000000,275000000,940000000,148000000,21000000,-134000000,259000000,-644000000,-742000000,-1249000000,-3811000000
79,Inventory,- -,- -,- -,- -,-77100000,-38800000,-118000000,-116100000,-142300000,-110800000,-24600000,-149000000,-375000000,-439000000,-240000000,-436000000,-102000000,-129000000,-202000000,-542000000,72000000,118000000,720000000,294000000,1631000000,2917000000,1084000000,-631000000,-538000000,175000000,-199000000,365000000,-357000000,-717000000,-1050000000,-736000000,-1125000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,579000000,382000000,297000000,254000000,871000000,46000000,431000000,-564000000,353000000,1242000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,962500000,965200000,828000000,1515000000,2739000000,2006000000,5206000000,4810000000,6226000000,6084000000,13236000000,13448000000,25560000000,25014000000,16067000000,24445000000,31859000000,29659000000,32796000000,32878000000,36071000000,14405000000,7834000000,10714000000,18068000000,-4501000000,9147000000,17022000000
82,Other Non-Cash Items,- -,- -,- -,- -,-9300000,-165500000,-118600000,-267800000,683400000,-1097000000,-115300000,-229800000,-1797000000,-2074000000,-218000000,-1434000000,586000000,-1010000000,3997000000,-5687000000,2236000000,-17203000000,3343000000,15322000000,4050000000,-15062000000,2532000000,-10943000000,-12956000000,-1885000000,23410000000,9509000000,-12417000000,-7808000000,11542000000,-12926000000,988000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,655800000,860500000,847600000,807000000,1263000000,1488500000,1821400000,2067000000,1629000000,2929000000,3056000000,6195000000,9263000000,10183000000,11739000000,16340000000,14733000000,17594000000,13353000000,18238000000,16587000000,11454000000,20240000000,17054000000,17765000000,16883000000,14512000000,15901000000,16470000000,15827000000,12588000000,14403000000,32922000000
84,CAPEX,- -,- -,- -,- -,-456500000,-547500000,-593800000,-674200000,-634200000,-671500000,-696300000,-774000000,-943000000,-1198000000,-1561000000,-2191000000,-2203000000,-1758000000,-2641000000,-2601000000,-2106000000,-2050000000,-1880000000,-1701000000,-1205000000,-1513000000,-1660000000,-1327000000,-1465000000,-1583000000,-1496000000,-1999000000,-2217000000,-2196000000,-2594000000,-2791000000,-2711000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2263000000,-2104000000,-2120000000,-440000000,-1172000000,-43123000000,-273000000,-906000000,10800000000,-15000000,-195000000,-16466000000,-18368000000,-1000000000,- -,-10861000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-526900000,-89600000,-210600000,-535700000,-760900000,-1355900000,-2610400000,-2862000000,-317000000,-5845000000,-8633000000,-7982000000,-17931000000,-15529000000,-11814000000,-18828000000,-28727000000,-11522000000,-27061000000,-45062000000,-42219000000,-14851000000,-22491000000,-35163000000,-58058000000,-61672000000,-38123000000,-28186000000,-18133000000,-13474000000,-7036000000,-14402000000,-38457000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,449800000,197200000,242400000,510800000,846800000,1288200000,2184600000,3490000000,217000000,4209000000,7309000000,6592000000,12808000000,13258000000,12416000000,13293000000,28088000000,21004000000,30460000000,36805000000,54643000000,14874000000,27197000000,31751000000,48682000000,57449000000,52761000000,40690000000,15959000000,19908000000,16340000000,12730000000,19359000000
88,Other Investing Activites,- -,- -,- -,- -,-93200000,110900000,436800000,1089000000,351400000,-101100000,-1220700000,-791000000,21000000,2499000000,117000000,-172000000,101000000,-309000000,6877000000,977000000,-223000000,-211000000,-284000000,-1705000000,632000000,1271000000,60000000,93000000,-28000000,-37000000,245000000,-124000000,389000000,133000000,-212000000,-347000000,-725000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-626800000,-329000000,-125200000,389900000,-196900000,-840300000,-2342800000,-937000000,-1022000000,-335000000,-2768000000,-3753000000,-7225000000,-4338000000,4838000000,-9422000000,-5072000000,5101000000,795000000,-12835000000,-31272000000,-492000000,2200000000,6154000000,-10625000000,-5654000000,-2980000000,-7811000000,-4741000000,4525000000,-3945000000,-4271000000,-22534000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35936000000,-10552000000,-18352000000,-9720000000,-8380000000,-3955000000,-6968000000,-15875000000,-14743000000,-9620000000,-12633000000,-30329000000,-96000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,64200000,205000000,280000000,411000000,643000000,442000000,1188000000,773000000,660000000,1072000000,1012000000,451000000,732000000,459000000,74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-154700000,-132200000,-463900000,-665100000,-1019600000,-511200000,-108500000,-27000000,-586000000,-1912000000,-2500000000,-1005000000,-3665000000,-4996000000,-13037000000,-6659000000,-3797000000,-6979000000,-9994000000,-500000000,- -,-1000000000,-9000000000,-8228000000,-16290000000,-5000000000,-6160000000,-5000000000,-5000000000,-12198000000,-8865000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-364000000,-396700000,-437100000,-486500000,-536100000,-594600000,-658500000,-771000000,-881000000,-976000000,-1148000000,-2197000000,-2715000000,-3168000000,-4353000000,-5082000000,-5555000000,-6919000000,-7975000000,-8541000000,-5548000000,-6088000000,-6234000000,-6534000000,-6580000000,-6609000000,-6940000000,-7317000000,-7659000000,-7978000000,-8043000000,-8440000000,-8729000000
94,Other Financing Activites,- -,- -,- -,- -,657500000,29000000,638400000,-76400000,-11300000,1103500000,42900000,136000000,208000000,325000000,2079000000,-1691000000,3511000000,2505000000,-591000000,4100000000,-321000000,-9934000000,4900000000,2407000000,55965000000,6466000000,12979000000,8483000000,16275000000,5578000000,9835000000,19271000000,14367000000,9355000000,21056000000,29120000000,-991000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,138800000,-499900000,-262600000,-1228000000,-1567000000,61900000,-519100000,-382000000,-848000000,-1920000000,-1127000000,-3705000000,-2096000000,-4999000000,-16909000000,-6629000000,-9222000000,-23100000000,-12610000000,-6560000000,14481000000,-11174000000,-20607000000,-15999000000,-14975000000,-9986000000,-10233000000,-8921000000,-13035000000,-20441000000,-8485000000,-9649000000,-9816000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-9000000,13300000,-12500000,-29400000,-26800000,19000000,-14700000,-1000000,-32000000,1000000,26000000,4000000,-5000000,-4000000,-26000000,-1000000,- -,-15000000,41000000,-127000000,60000000,-31000000,-29000000,-2000000,-63000000,-83000000,-1000000000,-215000000,53000000,-116000000,-32000000,-8000000,-59000000
97,Net Change In Cash,- -,- -,- -,- -,138800000,-499900000,-262600000,-1228000000,-1567000000,61900000,-519100000,-382000000,-848000000,-1920000000,-813000000,-1259000000,-63000000,842000000,-358000000,288000000,439000000,-420000000,1579000000,-1284000000,-144000000,-243000000,1804000000,7207000000,-7898000000,1160000000,298000000,-1046000000,-1253000000,-206000000,125000000,475000000,158000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739000000,1099000000,1036000000,1878000000,1520000000,1808000000,2247000000,1827000000,3406000000,2122000000,1978000000,1735000000,3539000000,10389000000,2183000000,3343000000,3641000000,2595000000,1342000000,1225000000,1350000000,1825000000,1983000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,666600000,825400000,870300000,1317600000,1257100000,729400000,1458500000,403000000,1150000000,877000000,1552000000,2358000000,1099000000,1036000000,1878000000,1520000000,1808000000,2247000000,1827000000,3406000000,2122000000,1978000000,1735000000,3182000000,10081000000,2183000000,3343000000,3641000000,2595000000,1431000000,1225000000,1350000000,1825000000
100,Free Cash Flow,- -,- -,- -,- -,199300000,313000000,253800000,132800000,628800000,817000000,1125100000,1293000000,686000000,1731000000,1495000000,4004000000,7060000000,8425000000,9098000000,13739000000,12627000000,15544000000,11473000000,16537000000,15382000000,9941000000,18580000000,15727000000,16300000000,15300000000,13016000000,13902000000,14253000000,13631000000,9994000000,11612000000,30211000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78003/000091205795001635/0000912057-95-001635-index.html,https://www.sec.gov/Archives/edgar/data/78003/000091205796005586/0000912057-96-005586-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78003/000095012302003116/0000950123-02-003116-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012303003360/0000950123-03-003360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012304003064/0000950123-04-003064-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000095012305002379/0000950123-05-002379-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041306001567/0000930413-06-001567-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041307001807/0000930413-07-001807-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000093041308001360/0000930413-08-001360-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312509040568/0001193125-09-040568-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/0001193125-10-042425-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312511048877/0001193125-11-048877-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312512085703/0001193125-12-085703-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/0000078003-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800314000018/0000078003-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800315000014/0000078003-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800316000077/0000078003-16-000077-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800317000014/0000078003-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800318000027/0000078003-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800319000015/0000078003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/0000078003-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800321000038/0000078003-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800322000027/0000078003-22-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
