,https://roic.ai/company/SPGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-214800000,- -,- -,- -,- -,116100000,77200000,-62400000,127300000,-120900000,-109100000,-7295000,-84351000,-37538000,363402000,216750000,-113055000,-576191000,-113747000,95845000,712422000,129295000,-1064737000,683000000,332000000,-565000000,389000000,672000000,50000000,-135000000,644000000,782000000,-70000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95070000,50313000,-37039000,-55000000,-239000000,-35000000,-9000000,-118000000,-177000000,-196000000,-164000000,-135000000,18000000,-144000000
79,Inventory,- -,- -,- -,- -,-19000000,-15600000,-4000000,-6400000,11300000,-7000000,-30800000,4000000,-20700000,6400000,-10500000,- -,- -,- -,- -,- -,-9484000,21619000,-11601000,-26482000,67645000,26923000,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,-93000000,-130000000,-92000000,-26000000,75000000,-106000000,73000000,132000000,38000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,116100000,193300000,130900000,258200000,137300000,28200000,20905000,-63446000,-100984000,262418000,479168000,366113000,-210078000,-323825000,-227980000,484442000,613737000,-451000000,232000000,564000000,-1000000,388000000,1060000000,1110000000,975000000,1619000000,2401000000,167000000
82,Other Non-Cash Items,- -,- -,- -,- -,212000000,-129800000,-65500000,148200000,353700000,-174300000,-121400000,-211700000,-338400000,243600000,91300000,-87944000,350106000,129906000,-21869000,-301814000,443378000,899885000,462583000,-173420000,-586054000,-57469000,1203737000,-660000000,-1171000000,1900000000,-1865000000,-1650000000,191000000,-140000000,-319000000,-14000000,331000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,111300000,194100000,208600000,251100000,465600000,413900000,433200000,460200000,373100000,755100000,708100000,705560000,1070741000,1142391000,1382345000,1063472000,1559890000,1509304000,1716951000,1168753000,1320779000,1458179000,1344000000,747000000,816000000,1209000000,195000000,1464000000,2016000000,2064000000,2776000000,3567000000,3598000000
84,CAPEX,- -,- -,- -,- -,-58000000,-95800000,-51200000,-72700000,-49800000,-77100000,-58800000,-63300000,-122500000,-203600000,-221400000,-97721000,-116895000,-70019000,-114984000,-139003000,-120232000,-426381000,-246263000,-385437000,-269286000,-266285000,-119000000,-97000000,-117000000,-92000000,-139000000,-115000000,-123000000,-113000000,-115000000,-76000000,-35000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-703719000,-333234000,-19310000,-3678000,-306232000,-461842000,-13480000,-86707000,-48261000,- -,-364396000,38000000,-177000000,4000000,12000000,-2382000000,1321000000,-81000000,-395000000,-6000000,-183000000,-83000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-298984000,- -,-24602000,- -,-165000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-301600000,-89200000,4700000,10400000,-397900000,-103900000,-134200000,-176900000,-102300000,-128500000,-179100000,-107587000,-276662000,-277191000,256471000,-201479000,-142916000,12381000,62261000,-279019000,-185564000,-117711000,-119000000,-70000000,-134000000,-77000000,-143000000,-116000000,-128000000,-118000000,-125000000,-57000000,-37000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-359600000,-185000000,-46500000,-62300000,-447700000,-181000000,-193000000,-240200000,-224800000,-332100000,-400500000,-909027000,-726791000,-366520000,137809000,-646714000,-724990000,-427480000,-569693000,-433258000,-278692000,-597550000,-246000000,-247000000,-130000000,-65000000,-2525000000,1205000000,-209000000,-513000000,-131000000,-240000000,-120000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,- -,- -,-400000000,- -,- -,- -,-421000000,- -,-403000000,-868000000,-1394000000,- -
91,Common Stock Issued,- -,- -,- -,- -,7900000,1200000,2500000,4700000,19000000,14000000,20600000,19900000,20400000,23400000,22800000,45317000,63917000,77465000,79162000,218791000,192764000,262856000,146867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63300000,-79900000,-105600000,-173800000,-167611000,-176468000,-183111000,-216356000,-409350000,-677659000,-1540126000,-2212655000,-447233000,- -,-255808000,-1500000000,-295000000,-978000000,-362000000,-974000000,-1123000000,-1001000000,-1660000000,-1240000000,-1164000000,- -
93,Dividends Paid,- -,- -,- -,- -,-99700000,-105300000,-107300000,-109400000,-111800000,-114300000,-119700000,-131400000,-142700000,-154400000,-169000000,-182462000,-189834000,-197016000,-206543000,-228166000,-246048000,-260323000,-277746000,-280455000,-281553000,-311163000,-308000000,-984000000,-308000000,-326000000,-363000000,-380000000,-421000000,-503000000,-560000000,-645000000,-743000000
94,Other Financing Activites,- -,- -,- -,- -,350800000,80700000,-61100000,-85700000,111000000,-167600000,-136800000,-51600000,56700000,-179000000,10200000,507994000,11020000,-479076000,-553127000,-23020000,-12846000,57649000,1222307000,115401000,25503000,33562000,143000000,774000000,-457000000,226000000,2847000000,324000000,-85000000,278000000,917000000,1037000000,-270000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,259000000,-23400000,-165900000,-190400000,18200000,-267900000,-235900000,-226400000,-145500000,-415600000,-309800000,203238000,-291365000,-781738000,-896864000,-441745000,-743789000,-1479944000,-1121227000,-612287000,-326050000,-533409000,-1665000000,-905000000,-1743000000,-462000000,1510000000,-1600000000,-1507000000,-2288000000,-1751000000,-2166000000,-1013000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-500000,300000,-200000,-1900000,-1300000,-4900000,-2200000,-300000,-1500000,-1700000,-1700000,-3089000,-2221000,10518000,14115000,10019000,-22947000,2831000,16567000,-47633000,22219000,-11551000,-15000000,5000000,-1000000,-65000000,-67000000,-158000000,87000000,-84000000,34000000,75000000,-82000000
97,Net Change In Cash,- -,- -,- -,- -,259000000,-23400000,-165900000,-190400000,18200000,-267900000,-235900000,-226400000,-145500000,-415600000,-4000000,-3318000,50364000,4651000,637405000,-14968000,68164000,-395289000,42598000,75575000,738256000,315669000,-582000000,-75000000,782000000,955000000,-1016000000,911000000,387000000,-821000000,928000000,1236000000,2383000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,3171000,53535000,58186000,695591000,680623000,748787000,353498000,396096000,471671000,1209927000,1525596000,944000000,760000000,1542000000,2497000000,1481000000,2392000000,2779000000,1958000000,2886000000,4122000000,6505000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,24500000,34600000,20600000,16600000,13200000,48000000,8100000,10300000,3400000,4800000,10500000,6489000,3171000,53535000,58186000,695591000,680623000,748787000,353498000,396096000,471671000,1209927000,1526000000,835000000,760000000,1542000000,2497000000,1481000000,2392000000,2779000000,1958000000,2886000000,4122000000
100,Free Cash Flow,- -,- -,- -,- -,53300000,98300000,157400000,178400000,415800000,336800000,374400000,396900000,250600000,551500000,486700000,607839000,953846000,1072372000,1267361000,924469000,1439658000,1082923000,1470688000,783316000,1051493000,1191894000,1225000000,650000000,699000000,1117000000,56000000,1349000000,1893000000,1951000000,2661000000,3491000000,3563000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012396001306/0000950123-96-001306-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64040/000095012305002243/0000950123-05-002243-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012306002219/0000950123-06-002219-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012307002897/0000950123-07-002897-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012308002305/0000950123-08-002305-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012309003645/0000950123-09-003645-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012310016328/0000950123-10-016328-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000095012311017079/0000950123-11-017079-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000119312512043165/0001193125-12-043165-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404013000005/0000064040-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404014000007/0000064040-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404015000004/0000064040-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404016000042/0000064040-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404017000015/0000064040-17-000015-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404018000061/0000064040-18-000061-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404019000059/0000064040-19-000059-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404020000055/0000064040-20-000055-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404021000063/0000064040-21-000063-index.htm,https://www.sec.gov/Archives/edgar/data/64040/000006404022000055/0000064040-22-000055-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
