,https://roic.ai/company/PFIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,1400000,6900000,2200000,-4400000,1200000,8700000,700000,5400000,600000,1150956,8923049,5786044,4972000,4951268,3836448,10891230,6556801,4019374,7562000,11787000,5992000,3328000,3242000,8716000,6573000,-1158000,4634000,2966000,-2514000,3047000,-4149000
84,CAPEX,- -,- -,- -,- -,- -,- -,-400000,-1400000,-800000,-200000,-400000,-300000,-700000,-12100000,-1600000,-1147816,-943853,-3943238,-979000,-1115466,-600023,-1549264,-20400857,-759431,-2904000,-244000,-598000,-2169000,-693000,-1072000,-1422000,-1066000,-1110000,-1878000,-1524000,-1104000,-642000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12410797,-351000,-1478182,- -,- -,-1665339,- -,- -,- -,- -,- -,- -,-19828000,- -,- -,-6845000,- -,-3518000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-944219,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8305069,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,-700000,- -,1800000,- -,- -,52194,13905,4200,- -,-23784311,- -,-5501148,5121284,16350,-6213000,-1972000,-596000,-2161000,-693000,-1057000,-1374000,22595000,-1098000,-1852000,7242000,-1103000,-642000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-400000,-1400000,-800000,3200000,-1100000,-300000,1100000,-12100000,-1600000,-1095622,-929948,-16349835,-1330000,-26377959,6760827,-7050412,-16944912,-743081,-7429000,-1972000,-596000,-2161000,-693000,-20885000,-1374000,22595000,-7943000,-1852000,3724000,-1103000,-584000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36995000,-29163000,-46107000,-60226000,-68246000,-73524000,-77707000,-53731000,-14000,-47000,-453000,- -,4391000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,- -,354237,- -,- -,114000,150610,159165,146730,122356,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,- -,- -,-211573,-577092,-117336,-322000,- -,-181050,-294196,- -,-61777,- -,- -,- -,- -,- -,-1583000,- -,-255000,-358000,-1516000,-3518000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-400000,-300000,-300000,-300000,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2335000,-722000,-723000,-632000,-157000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,1400000,-6600000,-1600000,500000,100000,-4800000,-1900000,6500000,100000,-1114927,-7296598,11197516,-4245000,22252541,-10798275,-4125094,10260040,-3505448,36418000,19676000,40280000,59369000,65415000,87934000,72438000,37705000,1906000,971000,2788000,-1274000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,1000000,-6900000,-1900000,200000,100000,-5100000,-4200000,6900000,100000,-972263,-7873690,11080180,-4453000,22403151,-10820160,-4272560,10382396,-3567225,-577000,-9487000,-5827000,-857000,-2831000,12827000,-5269000,-18616000,812000,-1315000,-1815000,-1431000,4391000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804640,- -,- -,- -,- -,- -,- -,- -,- -,-60000,-14000,-49000,39000,-41000,-14000,11000,-23000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,1000000,-6900000,-1900000,200000,100000,-5100000,-4200000,6900000,-1000000,-916929,119411,516389,-811000,976460,581755,-431742,-5715,-290932,-444000,328000,-431000,252000,-282000,598000,-84000,2772000,-2458000,-242000,-619000,524000,-365000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,388422,507833,1024222,213000,1189869,1771624,1339882,1334167,1043235,599000,874000,443000,695000,413000,1011000,927000,3699000,1241000,999000,380000,904000,539000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1800000,3800000,2400000,2000000,1100000,1200000,4600000,2100000,2300000,1305351,388422,507833,1024000,213409,1189869,1771624,1339882,1334167,1043000,546000,874000,443000,695000,413000,1011000,927000,3699000,1241000,999000,380000,904000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1000000,5500000,1400000,-4600000,800000,8400000,- -,-6700000,-1000000,3140,7979196,1842806,3993000,3835802,3236425,9341966,-13844056,3259943,4658000,11543000,5394000,1159000,2549000,7644000,5151000,-2224000,3524000,1088000,-4038000,1943000,-4791000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75340/000091205796005249/0000912057-96-005249-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75340/000104746903011332/0001047469-03-011332-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746904009971/0001047469-04-009971-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746905007988/0001047469-05-007988-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465906021386/0001104659-06-021386-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465907024924/0001104659-07-024924-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746908003855/0001047469-08-003855-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746909003490/0001047469-09-003490-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000104746910004276/0001047469-10-004276-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420411019026/0001144204-11-019026-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420412018388/0001144204-12-018388-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420413018620/0001144204-13-018620-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420414018584/0001144204-14-018584-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420415020040/0001144204-15-020040-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420416091206/0001144204-16-091206-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420417017217/0001144204-17-017217-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420418017894/0001144204-18-017894-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000114420419016851/0001144204-19-016851-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465920040353/0001104659-20-040353-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000110465921042284/0001104659-21-042284-index.htm,https://www.sec.gov/Archives/edgar/data/75340/000141057822000641/0001410578-22-000641-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
