,https://roic.ai/company/EGP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7700000,100000,8200000,4100000,8778000,24536000,39938000,31215000,51090000,17170000,11316000,2917000,841000,14527000,6034000,38412000,- -,7969000,- -,37000,33000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,3500000,200000,-1200000,-26100000,-48900000,-9307000,-3779000,-12887000,-47773000,-8149000,4583000,4674000,8622000,-3509000,-20972000,10959000,-2792000,2571000,-5684000,-13068000,-15912000,-43226000,-119908000,-176111000,-159514000,-156418000,-186472000,-179426000,-241435000,-443337000,-288256000,-495962000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,3500000,5800000,-9200000,-19100000,-46700000,-5721000,-577000,-79959000,-123592000,-68871000,-43147000,-35171000,-47414000,-54869000,-65360000,-98968000,-75055000,-184108000,-152182000,-80324000,-63501000,-150833000,-119908000,-176111000,-159514000,-156418000,-186472000,-179426000,-241435000,-443337000,-288256000,-529263000
90,Debt Repayment,- -,- -,- -,- -,- -,-18100000,-12100000,-9800000,-19200000,-41400000,-54584000,-81539000,-166719000,-136278000,-338480000,-193591000,-169521000,-225400000,-207666000,-135543000,-183497000,-325506000,-26963000,-16434000,-305636000,-241304000,-354481000,-437541000,-519536000,-388611000,-471006000,-739938000,-445507000,-509998000,-1146271000,-772403000,-658230000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,-600000,- -,33200000,340000,553000,677000,815000,14017000,3309000,753000,2582000,84648000,2592000,33104000,70266000,- -,57179000,57181000,303000,25181000,109588000,53247000,78868000,6233000,59283000,109207000,157319000,284710000,90721000,273097000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-300000,200000,- -,-800000,-100000,-200000,- -,-400000,-13700000,-1352000,- -,- -,-86270000,- -,- -,- -,- -,-33008000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-5900000,-5000000,-3700000,- -,-7300000,-7777000,-11169000,-18143000,-24073000,-28245000,-34710000,-38279000,-39881000,-42749000,-42550000,-44907000,-47843000,-50680000,-54174000,-54316000,-56294000,-56042000,-61297000,-64798000,-70456000,-75845000,-80899000,-86725000,-71294000,-108795000,-119765000,-131759000
94,Other Financing Activites,- -,- -,- -,- -,- -,16700000,9700000,15800000,35500000,52200000,57821000,79348000,241319000,255621000,388402000,216679000,190376000,255943000,256667000,182759000,228002000,310592000,175166000,114578000,303272000,283013000,449665000,418434000,596198000,422315000,565688000,809636000,446931000,501035000,1217631000,893215000,794035000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-7300000,-7700000,1900000,16300000,35900000,-4300000,-13007000,57134000,95685000,21994000,-9665000,-16671000,-6756000,4630000,7258000,32702000,7509000,97523000,68141000,501000,-14282000,64323000,29184000,65111000,42116000,25070000,48082000,23906000,77062000,247275000,91768000,277143000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-7300000,-7700000,1900000,16300000,35900000,-275000,412000,860000,1486000,-127000,204000,-1094000,-384000,403000,-578000,707000,-975000,-216000,-431000,769000,-925000,37000,1084000,-1250000,3000,37000,474000,-506000,358000,-150000,-203000,4372000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,438000,1298000,2784000,2657000,2861000,1767000,1383000,1786000,1208000,1915000,940000,724000,293000,1062000,137000,174000,1258000,8000,11000,48000,522000,16000,374000,224000,21000,4393000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,200000,400000,3100000,200000,2700000,301000,26000,438000,1298000,2784000,2657000,2861000,1767000,1383000,1786000,1208000,1915000,940000,724000,293000,1062000,137000,174000,1258000,8000,11000,48000,522000,16000,374000,224000,21000
100,Free Cash Flow,- -,- -,- -,- -,- -,4100000,4600000,-2200000,5300000,8400000,4554000,-7338000,-67225000,-77641000,-65062000,-11884000,-413000,-5167000,-1559000,7796000,-48988000,-44104000,-100310000,-63323000,13336000,20087000,-63241000,91808000,109750000,117401000,131385000,138864000,155014000,164731000,195912000,196285000,223191000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/0000950152-98-004867-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960001000006/0000049600-01-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960002000002/0000049600-02-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960009000003/0000049600-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960010000002/0000049600-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960011000003/0000049600-11-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/49600/000004960013000008/0000049600-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960014000018/egp12-31x201310k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960015000008/egp1231201410k.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960016000047/0000049600-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960017000006/0000049600-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960018000009/0000049600-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960019000007/0000049600-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960020000030/0000049600-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/49600/000004960021000027/0000049600-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/49600/000004960022000027/0000049600-22-000027-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
