,https://roic.ai/company/NL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,-646400000,- -,-536400000,-156600000,-11100000,- -,- -,- -,- -,- -,- -,-26040000,- -,-960000,- -,- -,-7503000,-17501000,-5861000,-156000,-172000,-326000,-104000,-227000,-261000,-643000,-251000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,73500000,623900000,473900000,79400000,- -,- -,- -,6900000,6900000,- -,158000,4000,- -,- -,2745000,6301000,16849000,36894000,554000,164000,299000,239000,27701000,1831000,660000,255000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,102400000,45100000,-1800000,2800000,161700000,4100000,2000000,-700000,9100000,432800000,-2800000,736000,-3566000,6570000,16147000,48012000,23359000,-2431000,73000,13584000,32394000,2838000,14680000,11771000,1414000,-3290000,-3884000,-30606000,-13606000,1307000,6916000,-3140000,6708000
89,Cash Used for Investing Activites,- -,- -,-627400000,-76700000,-109400000,234900000,182000000,-32800000,-62200000,-67600000,-12200000,417300000,-38400000,-56235000,-57231000,-26990000,-19207000,34548000,18481000,-25231000,17491000,7085000,32386000,2811000,9815000,92245000,2984000,-3273000,-3880000,-30606000,-13606000,1307000,9916000,-3140000,6708000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-750000,-12200000,-68298000,-59406000,-18480000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2091000,718000,454000,1738000,9818000,3146000,435000,1395000,6000,84000,69000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-202500000,-3700000,- -,- -,- -,- -,- -,- -,-7200000,-30886000,-15502000,-21254000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1311000
93,Dividends Paid,- -,- -,-39800000,-40100000,-34700000,-17800000,- -,- -,- -,-15300000,- -,-4600000,-7200000,-32692000,-39758000,-157978000,-38183000,- -,-36419000,-24284000,-24295000,-24299000,-25111000,-25123000,-24331000,-24333000,-24336000,- -,- -,- -,- -,- -,- -,-7805000,-11712000
94,Other Financing Activites,- -,- -,570500000,299500000,1600000,-199700000,-155300000,-132100000,-3300000,41900000,-82600000,-391600000,-73600000,-34239000,-20996000,46237000,-29914000,-38529000,-2573000,-3834000,-4445000,-7860000,-133000,19484000,30684000,39653000,-451000,-328000,-330000,168000,-333000,-335000,-470000,-676000,-1324000
95,Cash Used/Provided by Financing Activities,- -,- -,530700000,259400000,-235600000,-221200000,-155300000,-132100000,-3300000,26600000,-82600000,-396200000,-88000000,-95726000,-75538000,-132541000,-66359000,-28711000,-35846000,-27683000,-27345000,-32153000,-25910000,-17770000,-61545000,-44086000,-43267000,-328000,-330000,168000,-333000,-335000,-470000,-8481000,-14347000
96,Effect of Forex Changes on Cash,- -,- -,-3700000,5900000,-14900000,-5000000,-100000,7700000,4200000,-2700000,-2300000,- -,-2600000,-1640000,-1305000,3334000,4746000,-474000,390000,-257000,995000,-354000,238000,447000,-313000,176000,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27200000,- -,- -,-20800000,-13846000,-4341000,-57946000,9708000,9660000,-22273000,-24170000,-11630000,-24662000,8105000,-9094000,-3809000,66335000,-25378000,19951000,23902000,-2739000,4699000,18048000,36881000,7402000,9970000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,114100000,- -,- -,134200000,120378000,116037000,58091000,67799000,99185000,76912000,52742000,41112000,16450000,24555000,15461000,11652000,77987000,52609000,72560000,96462000,98242000,102941000,120989000,157870000,165272000,175242000
99,Cash at the Beginning of Period,- -,- -,138400000,165600000,435300000,125300000,87300000,106600000,131100000,141300000,114100000,97000000,155000000,134224000,120378000,116037000,58091000,89525000,99185000,76912000,52742000,41112000,16450000,24555000,15461000,11652000,77987000,52609000,72560000,100981000,98242000,102941000,120989000,157870000,165272000
100,Free Cash Flow,- -,- -,44200000,-114200000,-145200000,-131800000,-55300000,144900000,7400000,-50400000,61000000,22700000,72700000,108666000,76064000,65651000,55174000,-11912000,-15974000,16853000,-16769000,-6137000,-933000,3286000,44958000,13436000,11364000,20694000,23808000,24493000,15828000,13958000,24269000,17283000,13515000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000007216295000004/0000072162-95-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72162/000005925509000047/0000059255-09-000047-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925510000029/0000059255-10-000029-index.html,https://www.sec.gov/Archives/edgar/data/72162/000005925511000068/nl201010k.htm,https://www.sec.gov/Archives/edgar/data/72162/000119312512097061/0001193125-12-097061-index.html,https://www.sec.gov/Archives/edgar/data/72162/000119312513103353/0001193125-13-103353-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459014000697/nl-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459015001611/nl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/72162/000156459016014434/0001564590-16-014434-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459017003986/0001564590-17-003986-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459018005298/0001564590-18-005298-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459019007207/0001564590-19-007207-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459020010117/0001564590-20-010117-index.html,https://www.sec.gov/Archives/edgar/data/72162/000156459021012084/0001564590-21-012084-index.htm,https://www.sec.gov/Archives/edgar/data/72162/000155837022003144/0001558370-22-003144-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
