,https://roic.ai/company/WERN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,61600000,82300000,74800000,78200000,1021000,-45975000,-18404000,-1377000,-15912000,-64452000,-43471000,42152000,37185000,-105077000,-48658000,-7149000,-4744000,2158000,28345000,807000,15166000,-70620000,-10917000,-62703000,-138061000,26643000,42097000,-52073000,-3474000,-25501000,-10533000,-401529000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,52300000,63200000,70100000,70900000,99305000,93804000,103956000,126037000,137940000,131977000,170147000,226920000,226271000,207474000,226582000,172492000,284065000,227985000,259130000,194442000,228483000,264480000,255096000,232457000,206565000,370392000,312397000,281838000,418159000,426644000,445909000,332819000
84,CAPEX,- -,- -,- -,- -,- -,-76400000,-33700000,-47200000,-84600000,-145369000,-131585000,-117599000,-215585000,-258643000,-255326000,-169113000,-170862000,-309672000,-158351000,-294288000,-414112000,-400548000,-133124000,-206305000,-177846000,-176057000,-302340000,-284942000,-211329000,-296649000,-454097000,-537838000,-316343000,-519872000,-420748000,-11271000,-60528000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201845000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287000,- -,- -,- -,- -,- -,- -,- -,5615000,4286000,4699000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,200000,900000,1700000,2900000,27950000,36088000,31382000,62941000,86260000,84297000,60608000,43960000,74147000,56806000,100801000,119860000,164301000,113018000,85324000,79000000,57024000,77496000,68137000,71071000,93162000,118551000,127584000,132535000,188498000,148439000,-252004000,-134928000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-76200000,-32800000,-45500000,-81700000,-117419000,-95497000,-86217000,-152644000,-172383000,-171029000,-113218000,-126902000,-235525000,-101545000,-193487000,-294252000,-236247000,-20106000,-115366000,-94560000,-114334000,-224844000,-216805000,-140258000,-203487000,-335546000,-410254000,-183808000,-331374000,-272309000,-263275000,-397301000
90,Debt Repayment,- -,- -,- -,- -,- -,-8700000,-19000000,-21800000,-4800000,-4552000,- -,-10000000,-20000000,-20000000,-15000000,-50000000,-60000000,-40000000,-20000000,- -,-60000000,-120000000,-110000000,- -,-50000000,-50000000,-50000000,-160000000,-60000000,-50000000,-13117000,-63117000,-105000000,-60000000,-100000000,-90000000,-27500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,300000,1200000,109000,168000,1514000,3051000,1335000,2188000,657000,8591000,3570000,6167000,5424000,2411000,3377000,8789000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3500000,-1600000,- -,-2939000,-1013000,- -,-2471000,-9072000,-3941000,-2759000,- -,-3778000,-13485000,-21591000,-1573000,-85132000,-122610000,-4486000,- -,- -,- -,- -,-20060000,-30587000,-6438000,- -,- -,-72165000,-42301000,-56521000,-104444000
93,Dividends Paid,- -,- -,- -,- -,- -,-1200000,-1400000,- -,-1800000,-2659000,-2895000,-3344000,-3815000,-4201000,-4740000,-4710000,-4728000,-5019000,-6466000,-9506000,-11904000,-13287000,-13953000,-164420000,-104189000,-130676000,-50969000,-124391000,-14587000,-14440000,-15115000,-17289000,-18784000,-23013000,-286190000,-24888000,-29083000
94,Other Financing Activites,- -,- -,- -,- -,- -,35100000,- -,100000,10000000,30000000,10000000,- -,50000000,60000000,60000000,10000000,5000000,10000000,- -,- -,120000000,162202000,23334000,49650000,23908000,61402000,60216000,248840000,11123000,91359000,9678000,163776000,22368000,87566000,273272000,-14553000,250695000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,25200000,-23900000,-23000000,4600000,19959000,6260000,-11830000,26765000,28062000,38507000,-46812000,-51137000,-35227000,-33784000,-25673000,48934000,-52840000,-214440000,-119256000,-130281000,-119274000,-40753000,-35551000,-83524000,-3668000,-24992000,83370000,-101416000,-67612000,-155219000,-185962000,89668000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-621000,-24000,602000,52000,38000,-974000,205000,661000,-437000,276000,-425000,-484000,-625000,-384000,50000,-374000,396000,-780000,-324000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,1845000,4567000,5909000,158000,-6381000,-545000,10117000,48881000,-44481000,71524000,7398000,-72224000,-4970000,-6523000,23534000,-30194000,-4464000,-1554000,3016000,8250000,-1074000,9229000,-14871000,-3336000,18799000,-488000,-4108000,24862000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11660000,16227000,22136000,22294000,15913000,15368000,25485000,74366000,29885000,101409000,108807000,36583000,31613000,25090000,48624000,18430000,13966000,12412000,15428000,23678000,22604000,31833000,16962000,13626000,33930000,33442000,29334000,54196000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3300000,4600000,11100000,12700000,9815000,11660000,16227000,22136000,22294000,15913000,15368000,25485000,74366000,29885000,101409000,108807000,36583000,31613000,25090000,48624000,18430000,13966000,12412000,15428000,23678000,22604000,31833000,16962000,15131000,33930000,33442000,29334000
100,Free Cash Flow,- -,- -,- -,- -,- -,-24100000,29500000,22900000,-13700000,-46064000,-37781000,-13643000,-89548000,-120703000,-123349000,1034000,56058000,-83401000,49123000,-67706000,-241620000,-116483000,94861000,52825000,16596000,52426000,-37860000,-29846000,21128000,-90084000,-83705000,-225441000,-34505000,-101713000,5896000,434638000,272291000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/0000793074-96-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/0000793074-99-000005-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307405000033/0000793074-05-000033-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793074/000079307409000010/0000793074-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/793074/000079307410000013/0000793074-10-000013-index.html,https://www.sec.gov/Archives/edgar/data/793074/000119312511051228/0001193125-11-051228-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000119312512081560/0001193125-12-081560-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307413000009/0000793074-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307414000011/0000793074-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307415000008/0000793074-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307416000060/0000793074-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307417000016/0000793074-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307418000012/0000793074-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307419000014/0000793074-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307420000014/0000793074-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307421000016/0000793074-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/793074/000079307422000012/0000793074-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
