,https://roic.ai/company/BRC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39043000,34135000,32508000,25943000,36374000,39103000,53755000,45356000,8623000,27320000,22310000,27238000,35456000,7582000,7298000,8845000,16343000
44,Other Non-Current Assets,6100000,8200000,8700000,4200000,800000,1300000,7000000,6900000,6400000,6900000,5900000,5300000,7000000,8000000,13456000,16909000,21555000,24455000,34526000,6305000,10235000,21111000,21381000,18551000,20808000,19244000,20584000,21325000,22314000,18704000,17181000,18077000,17662000,19573000,28838000,26217000
45,Total Non-Current Assets,38500000,44800000,56200000,52800000,53200000,60700000,78500000,74300000,70700000,65500000,105700000,103700000,127700000,147900000,194951000,197483000,210499000,234362000,442407000,547775000,906029000,1115444000,1151428000,1073840000,1077559000,1103218000,956865000,926193000,789823000,654315000,636540000,642409000,585592000,584029000,633018000,912652000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,94500000,104400000,117200000,129900000,147200000,156800000,173100000,179900000,202500000,230000000,261800000,291700000,311800000,351100000,398134000,392476000,420525000,449519000,694330000,850147000,1365186000,1698857000,1850513000,1583267000,1746531000,1861505000,1607719000,1438683000,1253665000,1062897000,1043964000,1050223000,1056931000,1157308000,1142466000,1377756000
48,Accounts Payable,- -,- -,- -,5600000,8200000,7300000,9000000,8600000,9700000,9300000,13900000,17700000,15800000,19400000,26070000,20666000,26294000,28470000,38533000,52696000,78585000,91596000,118209000,83793000,96702000,98847000,86646000,82519000,88099000,73020000,62245000,66817000,66538000,64810000,62547000,82152000
49,Short-Term Debt,700000,700000,600000,1700000,1600000,1800000,700000,500000,400000,400000,500000,600000,400000,2600000,8130000,1410000,162000,929000,32000,4000,20000,21444000,21431000,44893000,61264000,61264000,61264000,111877000,103936000,52925000,4928000,3228000,- -,50166000,15304000,17667000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6262000,17675000,17566000,23664000,15299000,15887000,14826000,13539000,15343000,12203000,14664000,16709000,16969000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,14600000,14700000,17900000,16700000,16400000,16100000,18800000,18600000,21600000,24800000,32000000,38900000,42500000,51300000,52899000,49087000,47806000,61880000,81652000,108112000,140015000,167014000,168921000,93786000,135822000,141770000,119108000,129101000,99910000,83302000,99554000,117153000,124389000,126969000,108037000,157765000
53,Total Current Liabilities,15300000,15400000,18500000,24000000,26200000,25200000,28500000,27700000,31700000,34500000,46400000,57200000,58700000,73300000,87099000,71163000,74262000,91279000,120217000,160812000,218620000,280054000,308561000,222472000,293788000,301881000,267018000,323497000,291945000,209247000,166727000,187198000,190927000,241945000,185888000,257584000
54,Long-Term Debt,4500000,3900000,3100000,3600000,3300000,2000000,2500000,2000000,1900000,1900000,1800000,3900000,3700000,1400000,4157000,4144000,3751000,568000,150019000,150026000,350018000,478575000,457143000,- -,382940000,331914000,254944000,201150000,159296000,200774000,211982000,104536000,52618000,- -,- -,66347000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,10800000,11900000,13500000,12800000,13900000,14300000,22300000,22100000,23800000,22800000,24300000,24100000,16000000,15800000,15654000,14590000,18270000,18711000,20779000,42035000,50502000,49216000,63001000,409703000,64776000,71518000,76404000,83239000,69348000,65188000,61657000,58349000,61274000,64589000,93506000,90797000
58,Total Non-Current Liabilities,15300000,15800000,16600000,16400000,17200000,16300000,24800000,24100000,25700000,24700000,26100000,28000000,19700000,17200000,19811000,18734000,22021000,19279000,170798000,192061000,400520000,527791000,520144000,409703000,447716000,403432000,331348000,284389000,228644000,265962000,273639000,162885000,113892000,64589000,93506000,157144000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47286000,46014000
61,Total Liabilities,30600000,31200000,35100000,40400000,43400000,41500000,53300000,51800000,57400000,59200000,72500000,85200000,78400000,90500000,106910000,89897000,96283000,110558000,291015000,352873000,619140000,807845000,828705000,632175000,741504000,705313000,598366000,607886000,520589000,475209000,440366000,350083000,304819000,306534000,279394000,414728000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,227000,229000,232000,234000,242000,493000,540000,541000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000
