,https://roic.ai/company/DVN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5706000000,6172000000,5579000000,5930000000,6080000000,6013000000,6079000000,5858000000,6303000000,5032000000,3964000000,2383000000,841000000,753000000,753000000,753000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322800000,289489000,2206000000,3555000000,5477000000,5637000000,5705000000,- -,- -,- -,- -,- -,- -,- -,- -,533000000,690000000,1624000000,1497000000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322800000,289489000,2206000000,3555000000,5477000000,5637000000,5705000000,5706000000,6172000000,5579000000,5930000000,6080000000,6013000000,6079000000,5858000000,6836000000,5722000000,5588000000,3880000000,841000000,753000000,753000000,753000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000000,1043000000,1324000000,- -,1250000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,727300000,727316000,869000000,754000000,987000000,1170000000,425000000,507000000,1967000000,671000000,747000000,1640000000,1025000000,960000000,567000000,1007000000,716000000,363000000,399000000,353000000,277000000,283000000,378000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4206000000,5926341000,12103000000,15161000000,24798000000,26153000000,26067000000,31851000000,37542000000,29224000000,26694000000,27372000000,31812000000,34355000000,34872000000,44139000000,25506000000,22141000000,25450000000,15129000000,9866000000,6652000000,16776000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623200000,6860478000,13184000000,16225000000,27162000000,29736000000,30273000000,35063000000,41456000000,31908000000,29686000000,32927000000,41117000000,43326000000,42877000000,50637000000,29532000000,25913000000,30241000000,19566000000,13717000000,9912000000,21025000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133700000,437194000,635000000,637000000,1174000000,1202000000,1613000000,1719000000,1360000000,1819000000,1137000000,1411000000,1471000000,1451000000,1229000000,1400000000,906000000,642000000,819000000,662000000,428000000,242000000,500000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000000,933000000,662000000,2205000000,1004000000,180000000,1527000000,1811000000,3811000000,3189000000,4066000000,1432000000,976000000,- -,115000000,162000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000000,14000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93700000,191793000,284000000,405000000,503000000,965000000,659000000,721000000,1293000000,1136000000,1138000000,1361000000,1456000000,1363000000,1360000000,3103000000,1413000000,1974000000,2381000000,1402000000,1499000000,1198000000,2587000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227400000,628987000,919000000,1042000000,2071000000,3100000000,2934000000,4645000000,3657000000,3135000000,3802000000,4583000000,6738000000,6003000000,6655000000,5935000000,3295000000,2616000000,3315000000,2226000000,1927000000,1440000000,3087000000
