,https://roic.ai/company/RMBS,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,9830000,18960000,13846000,14336000,23985000
57,Other Non-Current Liabilities,- -,- -,- -,13700000,9400000,30100000,37000000,17500000,24122000,24058000,- -,18022000,4552000,9909000,3891000,4111000,2764000,2338000,151078000,65056000,64528000,50679000,46910000,43704000,41646000,41369000,118864000,119255000,82532000,49899000
58,Total Non-Current Liabilities,- -,- -,- -,14400000,9900000,30200000,37000000,17500000,24122000,24058000,- -,18022000,4552000,169909000,3891000,164111000,139804000,114350000,272578000,198549000,212084000,160308000,161999000,164605000,179413000,186646000,279758000,281889000,252899000,102983000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45919000,39349000,39063000,38625000,38029000,37262000,36297000,46246000,39029000,35091000
61,Total Liabilities,- -,- -,- -,26200000,25000000,61200000,69200000,54200000,57309000,46433000,- -,53006000,41267000,190516000,222329000,220263000,175905000,300542000,328389000,263860000,266218000,373150000,196657000,192971000,230714000,319488000,349043000,368068000,338763000,370250000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,97000,100000,- -,99000,103000,99000,104000,105000,104000,106000,103000,110000,112000,113000,115000,109000,111000,110000,109000,112000,112000,- -
64,Retained Earnings,- -,- -,- -,-30100000,-34500000,-32500000,-25700000,-17000000,-123132000,-91861000,- -,-38407000,-4848000,-30973000,-167396000,-194966000,-435712000,-563858000,-576590000,-619643000,-753979000,-787727000,-761526000,-604317000,-615051000,-636227000,-204294000,-290244000,-365344000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-4100000,-5200000,-6900000,-9300000,-11200000,-17395000,-14974000,- -,201000,-26848000,-2000000,-1000000,-52738000,1000000,-64535000,-44207000,-55893000,-66443000,-50814000,-58093000,-67655000,-14000000,-5000000,-10000000,-81089000,-81000,-1452000
66,Other Total Stockholders Equity,- -,- -,- -,26300000,27600000,66100000,76800000,89800000,302752000,298092000,- -,- -,367050000,327877000,550580000,654683000,655593000,883614000,955477000,1105220000,1141904000,1178657000,1211126000,1198396000,1181722000,1212701000,1226297000,1342139000,1270426000,- -
67,Total Stockholders Equity,- -,- -,- -,-7900000,-12100000,26700000,41800000,61600000,162322000,191357000,- -,240080000,335457000,295003000,382288000,407084000,220985000,255327000,334783000,429794000,321594000,340229000,391622000,526533000,552782000,571584000,1012112000,970918000,905113000,862396000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,18300000,12900000,87900000,111000000,115800000,219631000,237790000,- -,293086000,376724000,485519000,604617000,627347000,396890000,555869000,663172000,693654000,587812000,713379000,588279000,719504000,783496000,891072000,1361155000,1338986000,1243876000,1232646000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,18300000,12900000,87900000,111000000,115800000,219631000,237790000,- -,293086000,376724000,485519000,604617000,627347000,396890000,555869000,663172000,693654000,587812000,713379000,588279000,719504000,783496000,891072000,1361155000,1338986000,1243876000,1232646000
