,https://roic.ai/company/K,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,-59000000,40000000,208000000,30000000,- -,96000000,124000000,193000000,115000000,-9000000,- -,-9000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,248300000,163400000,-670400000,-189600000,-222000000,-18600000,-885800000,-305600000,-1252000000,-969000000,- -,-966300000,-1593200000,-1327000000,- -,-1031000000,270000000,-286000000,-1143000000,-568000000,- -,-1024000000,-1534000000,-1486000000,-1372000000,-1347000000,- -,-1756000000
82,Other Non-Cash Items,- -,- -,- -,- -,25100000,70600000,111000000,69500000,-154400000,-267500000,455500000,704800000,-472800000,-74600000,26000000,871200000,-431900000,765700000,-346600000,- -,72600000,724300000,-169200000,- -,-709000000,-1214000000,-72000000,1365000000,-1424000000,- -,1368000000,-589000000,-291000000,-512000000,-361000000,- -,520000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,533500000,819200000,934400000,741900000,800200000,966800000,1041000000,711500000,879800000,720000000,795200000,880900000,1132000000,999900000,1171000000,- -,1143300000,1410500000,1503000000,- -,1267000000,1643000000,1595000000,1758000000,1807000000,- -,1793000000,1628000000,1646000000,1536000000,1176000000,- -,1986000000
84,CAPEX,- -,- -,- -,- -,-508700000,-320500000,-333500000,-473600000,-449700000,-354300000,-315700000,-812500000,-337800000,-402000000,-564400000,-230900000,-276500000,-253500000,-247200000,- -,-374200000,-453100000,-472000000,- -,-461000000,-377000000,-594000000,-533000000,-637000000,- -,-582000000,-507000000,-501000000,-578000000,-586000000,- -,-505000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137200000,-3858000000,-2200000,- -,- -,-50400000,- -,-128000000,- -,-213000000,- -,- -,-2668000000,- -,- -,- -,-373000000,-592000000,-417000000,1324000000,- -,-7000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1700000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-8000000,-19000000,- -,-335000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,- -,269000000
88,Other Investing Activites,- -,- -,- -,- -,13500000,10100000,13600000,123200000,89500000,118900000,6800000,25700000,8500000,4000000,320200000,-11200000,-9300000,66900000,28200000,- -,9600000,9400000,3000000,- -,-7000000,7000000,7000000,-44000000,-4000000,- -,9000000,-13000000,6000000,55000000,-28000000,- -,-7000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-495200000,-310400000,-319900000,-350400000,-360200000,-235400000,-308900000,-786800000,-329300000,-398000000,-244200000,-379300000,-4143800000,-188800000,-219000000,- -,-415000000,-445400000,-601000000,- -,-681000000,-370000000,-587000000,-3245000000,-641000000,- -,-573000000,-893000000,-1094000000,-948000000,774000000,- -,-585000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-784000000,-1836000000,-945000000,-1457000000,-1728000000,- -,-2084000000,-4486000000,-870000000,-695000000,-1096000000,- -,-1279000000
91,Common Stock Issued,- -,- -,- -,- -,9500000,8400000,17700000,13400000,2900000,2300000,36800000,18800000,70700000,15000000,12900000,4500000,26400000,100900000,121600000,- -,221700000,217500000,163000000,- -,175000000,131000000,291000000,229000000,475000000,- -,217000000,368000000,97000000,167000000,64000000,- -,112000000
92,Common Stock Repurchased,- -,- -,- -,- -,-78600000,-86900000,-83600000,-224100000,-548100000,-327300000,-374700000,-535700000,-426000000,-240000000,- -,- -,- -,-101000000,-90000000,- -,-664200000,-649800000,-650000000,- -,-650000000,-187000000,-798000000,-63000000,-544000000,- -,-690000000,-426000000,-516000000,-320000000,-220000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-209900000,-231800000,-259300000,-286400000,-305200000,-313600000,-328500000,-343700000,-360100000,-375000000,-388700000,-403900000,-409800000,-412600000,-412400000,- -,-435200000,-449900000,-475000000,- -,-495000000,-546000000,-604000000,-622000000,-653000000,- -,-680000000,-716000000,-736000000,-762000000,-769000000,- -,-782000000
94,Other Financing Activites,- -,- -,- -,- -,135800000,-180600000,-212500000,74500000,386200000,79100000,-92800000,954600000,108100000,242000000,-151800000,-42400000,3423600000,-531700000,-558600000,- -,-27600000,93200000,174000000,- -,974000000,1256000000,1099000000,3230000000,1309000000,- -,2174000000,4618000000,1421000000,1044000000,116000000,- -,561000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-143200000,-490900000,-537700000,-422600000,-464200000,-559500000,-759200000,94000000,-607300000,-358000000,-527600000,-441800000,3040200000,-944400000,-939400000,- -,-905300000,-789000000,-788000000,- -,-780000000,-1182000000,-957000000,1317000000,-1141000000,- -,-1063000000,-642000000,-604000000,-566000000,-1905000000,- -,-1388000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,2300000,700000,-20600000,-4000000,-3700000,-17300000,3300000,-13800000,- -,-9200000,-6000000,-1000000,2100000,28000000,- -,-21300000,15400000,-1000000,- -,-75000000,-12000000,-35000000,-9000000,-33000000,- -,13000000,-64000000,53000000,18000000,31000000,- -,25000000
97,Net Change In Cash,- -,- -,- -,- -,-143200000,-490900000,-537700000,-422600000,-464200000,-559500000,-759200000,94000000,-607300000,-37000000,14200000,53800000,27400000,-131200000,40600000,- -,-198300000,191500000,113000000,- -,-269000000,79000000,16000000,-179000000,-8000000,- -,170000000,29000000,1000000,40000000,76000000,- -,38000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,150600000,204400000,231800000,100600000,141200000,- -,219100000,410600000,524000000,- -,255000000,334000000,460000000,281000000,273000000,- -,443000000,280000000,281000000,321000000,397000000,- -,435000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,185000000,80300000,100500000,178000000,126300000,98100000,266300000,221900000,243800000,173000000,136400000,150600000,204400000,231800000,100600000,- -,417400000,219100000,411000000,- -,524000000,255000000,444000000,460000000,281000000,- -,273000000,251000000,280000000,281000000,321000000,- -,397000000
100,Free Cash Flow,- -,- -,- -,- -,24800000,498700000,600900000,268300000,350500000,612500000,725300000,-101000000,542000000,318000000,230800000,650000000,855500000,746400000,923800000,- -,769100000,957400000,1031000000,- -,806000000,1266000000,1001000000,1225000000,1170000000,- -,1211000000,1121000000,1145000000,958000000,590000000,- -,1481000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012495000907/0000950124-95-000907-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012496001400/0000950124-96-001400-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012401001250/0000950124-01-001250-index.html,https://www.sec.gov/Archives/edgar/data/55067/000095012402000980/0000950124-02-000980-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095012406000896/k02193e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/55067/000095012408000801/k22969e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000095015209001670/0000950152-09-001670-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312510042654/0001193125-10-042654-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312512085976/0001193125-12-085976-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312513075288/0001193125-13-075288-index.html,https://www.sec.gov/Archives/edgar/data/55067/000119312514065068/d668818d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55067/000119312515062865/d853014d10k.htm,https://www.sec.gov/Archives/edgar/data/55067/000162828017001510/0001628280-17-001510-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828018001872/0001628280-18-001872-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828019001864/0001628280-19-001864-index.html,https://www.sec.gov/Archives/edgar/data/55067/000162828020002113/0001628280-20-002113-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55067/000162828021002660/0001628280-21-002660-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
