,https://roic.ai/company/CHD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11846000,- -,12400000,17000000,17000000,16100000,16000000,18100000,23300000,20800000,21500000,23700000
77,Change in Working Capital,- -,- -,- -,- -,3800000,-20700000,-11400000,9100000,7700000,-30200000,-2400000,14600000,-13500000,19400000,-7400000,-21811000,83802000,-2922000,-37101000,79089000,-51529000,26938000,165899000,435000,83233000,-158844000,169211000,-163400000,256400000,-337400000,-93900000,-278400000,310300000,-313300000,112200000,-140300000,-17300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26473000,6201000,-12702000,-35300000,-9000000,-31200000,-1800000,33500000,-12700000,-9700000,-3400000,-9200000,-13400000,2400000
79,Inventory,- -,- -,- -,- -,900000,-3400000,-13900000,8800000,-7800000,-2000000,13800000,-7400000,-7100000,2100000,-5600000,17110000,-14544000,16771000,16508000,4876000,-9815000,-13061000,-13758000,2443000,-10552000,24052000,-9000000,-1100000,-7300000,1800000,-38500000,19200000,-25200000,-55100000,-33800000,-61900000,-29100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30700000,67900000,2400000,21800000,50500000,30300000,54900000,72800000,168000000,47500000
81,Other Working Capital,- -,- -,- -,- -,70000000,49300000,37900000,47000000,54700000,24500000,22100000,36700000,23200000,42600000,35200000,13389000,97191000,94269000,57168000,136257000,84728000,111666000,277565000,278000000,361233000,202389000,371600000,208200000,464600000,127200000,33300000,-245100000,65200000,-248100000,-135900000,-276200000,-16000000
82,Other Non-Cash Items,- -,- -,- -,- -,11200000,34300000,-12500000,-1200000,-25700000,31200000,26300000,-15400000,-10300000,-16000000,4800000,71624000,-124279000,4541000,31296000,-24965000,72182000,-40173000,-159437000,53999000,-34314000,194338000,-177511000,226600000,-269800000,342900000,148500000,326200000,-278100000,332800000,-66400000,107800000,-79500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,29600000,45100000,12200000,48600000,20400000,15500000,47000000,33700000,17600000,50100000,64000000,102759000,41645000,114016000,117870000,194888000,190107000,186444000,248677000,336167000,400949000,428482000,437800000,523600000,499600000,540300000,606100000,655300000,681500000,763600000,864500000,990300000,993800000
84,CAPEX,- -,- -,- -,- -,-11600000,-10600000,-20300000,-17400000,-28800000,-28400000,-19700000,-7100000,-9900000,-43200000,-87900000,-26646000,-165759000,-38739000,-32211000,-34977000,-37737000,-47598000,-48876000,-98659000,-135950000,-63833000,-76600000,-74500000,-67100000,-70500000,-61800000,-49800000,-45000000,-60400000,-73700000,-98900000,-118800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110674000,-194201000,-83540000,-337471000,-211000,-384381000,543000,-126025000,-69100000,-666000000,-6400000,-216800000,-74900000,-305300000,-1260000000,-49800000,-475000000,-512700000,-556000000
86,Purchases of Investments,- -,- -,- -,- -,-7900000,- -,14700000,-9600000,- -,- -,- -,- -,- -,- -,-2000000,- -,-16380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,- -,- -,1009000,6077000,- -,- -,- -,- -,- -,- -,- -,- -,1838000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,11100000,6600000,900000,500000,10300000,10300000,7800000,600000,-37300000,800000,13000000,-1554000,-201096000,369000,1669000,3513000,16163000,-447000,6565000,16539000,30696000,7572000,-3700000,-800000,-3600000,-1100000,-4500000,500000,1600000,-1900000,-4800000,3500000,-7200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8400000,-4000000,-4700000,-26500000,-14400000,-18100000,-11900000,-6500000,-47200000,-42400000,-76900000,-27191000,-377158000,-38370000,-141216000,-225665000,-105114000,-385516000,-42522000,-466161000,-104140000,-180448000,-147800000,-741300000,-77100000,-288400000,-141200000,-354600000,-1303400000,-112100000,-553500000,-608100000,-682000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149928000,-71491000,-781402000,- -,- -,-1100000,-7900000,-250000000,- -,-200000000,-268800000,-600000000,- -,-300000000
91,Common Stock Issued,- -,- -,- -,- -,500000,1900000,- -,1500000,2900000,2300000,1400000,900000,1700000,3800000,6700000,7465000,9168000,10868000,12640000,18633000,17167000,12195000,16069000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3900000,-11100000,-21200000,-3000000,-10900000,-15100000,-1100000,-3000000,-3000000,-10300000,-9100000,-20484000,- -,- -,- -,- -,- -,- -,-246000,-403000,-389000,-87000,-80200000,-250400000,-50100000,-478800000,-363100000,-400000000,-400000000,-200000000,-250000000,-300000000,-500000000
93,Dividends Paid,- -,- -,- -,- -,-5400000,-6100000,-6700000,-7700000,-8500000,-8700000,-8600000,-8600000,-9000000,-9300000,-10100000,-10744000,-11275000,-11888000,-12495000,-14005000,-15315000,-16868000,-19746000,-23114000,-32344000,-44039000,-97400000,-134500000,-155200000,-167500000,-175300000,-183000000,-190400000,-213300000,-224100000,-237300000,-247500000
94,Other Financing Activites,- -,- -,- -,- -,-2900000,-23500000,-1900000,- -,2000000,23100000,-20000000,-5000000,32000000,9300000,28900000,-49997000,368493000,-50770000,21714000,91753000,-103076000,182326000,-69696000,260667000,45909000,321804000,-48900000,690100000,-53400000,347600000,253400000,143400000,1489300000,73100000,601200000,177200000,795400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-11700000,-38800000,-29800000,-9200000,-14500000,1600000,-28300000,-15700000,21700000,-6500000,16400000,-73760000,366386000,-51790000,21859000,96381000,-101224000,177653000,-73619000,87222000,-58315000,-503724000,-226500000,305200000,-259800000,-306600000,-535000000,-439600000,698900000,-609000000,-472900000,-360100000,-252100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819000,4302000,-2631000,5217000,6797000,-9038000,10650000,-2251000,-1300000,4100000,-8800000,-19200000,-22900000,-3300000,14100000,-4700000,900000,5300000,-2200000
97,Net Change In Cash,- -,- -,- -,- -,-11700000,-38800000,-29800000,-9200000,-14500000,1600000,-28300000,-15700000,21700000,-6500000,3600000,1808000,30873000,23856000,-668000,69906000,-18862000,-16202000,139333000,-51810000,249144000,-257941000,62200000,91600000,153900000,-73900000,-93000000,-142200000,91100000,37800000,-161000000,27400000,57500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,21573000,52446000,76302000,75634000,145540000,126678000,110476000,249809000,197999000,447143000,189202000,251400000,343000000,496900000,423000000,330000000,187800000,278900000,316700000,155700000,183100000,240600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15100000,24600000,27000000,4700000,14000000,5600000,4700000,11400000,22900000,14900000,16200000,19765000,21573000,52446000,76302000,75634000,145540000,126678000,110476000,249809000,197999000,447143000,189200000,251400000,343000000,496900000,423000000,330000000,187800000,278900000,316700000,155700000,183100000
100,Free Cash Flow,- -,- -,- -,- -,18000000,34500000,-8100000,31200000,-8400000,-12900000,27300000,26600000,7700000,6900000,-23900000,76113000,-124114000,75277000,85659000,159911000,152370000,138846000,199801000,237508000,264999000,364649000,361200000,449100000,432500000,469800000,544300000,605500000,636500000,703200000,790800000,891400000,875000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000095012395000782/0000950123-95-000782-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012396001450/0000950123-96-001450-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012397002608/0000950123-97-002608-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012398003168/0000950123-98-003168-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012399002800/0000950123-99-002800-index.html,- -,https://www.sec.gov/Archives/edgar/data/313927/000031392701000084/0000313927-01-000084-index.html,https://www.sec.gov/Archives/edgar/data/313927/000095012302003119/0000950123-02-003119-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/313927/000119312505047881/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312506052189/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312507039869/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312508039878/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312509036152/0001193125-09-036152-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312510038997/0001193125-10-038997-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312511045474/d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000119312512077495/0001193125-12-077495-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312513071188/0001193125-13-071188-index.html,https://www.sec.gov/Archives/edgar/data/313927/000119312514062315/d638344d10k.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459015000786/chd-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459016012917/0001564590-16-012917-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459017002326/0001564590-17-002326-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459018002984/0001564590-18-002984-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459019003587/0001564590-19-003587-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459020004956/0001564590-20-004956-index.html,https://www.sec.gov/Archives/edgar/data/313927/000156459021006669/0001564590-21-006669-index.htm,https://www.sec.gov/Archives/edgar/data/313927/000156459022005528/0001564590-22-005528-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
