,https://roic.ai/company/SBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,- -,7246476000,7576943000,7951588000,8482548000,9018482000,9784006000,9547915000,8438584000,9681800000,10545896000,11715577000,12930801000,13304403000,13716606000,15419211000,17513009000,19551688000,21635783000,22793704000,24931859000
68,Total Liabilities And Stockholders Equity,- -,16331937000,16530670000,16783808000,17435166000,17999953000,18663376000,20113911000,20243124000,23350584000,25214984000,26675793000,28274294000,30355440000,33706614000,36745034000,39546444000,43565118000,46457800000,50418636000,53165485000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,16331937000,16530670000,16783808000,17435166000,17999953000,18663376000,20113911000,20243124000,23350584000,25214984000,26675793000,28274294000,30355440000,33706614000,36745034000,39546444000,43565118000,46457800000,50418636000,53165485000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1170858/000095012304007876/0000950123-04-007876-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000119312505135523/0001193125-05-135523-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281406001731/0001292814-06-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281407002086/0001292814-07-002086-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281408002018/0001292814-08-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281410001201/0001292814-10-001201-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281410002391/0001292814-10-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281411001833/0001292814-11-001833-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281412001158/0001292814-12-001158-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281413001181/0001292814-13-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281414000976/0001292814-14-000976-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281415001029/0001292814-15-001029-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281416004628/0001292814-16-004628-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281417001354/0001292814-17-001354-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281418001401/0001292814-18-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281419001496/0001292814-19-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281420001569/0001292814-20-001569-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,215123724,-650516000,833320000,513028000,865647000,778905000,1048703000,63571000,1507747000,1630447000,1223419000,1911900000,1923559000,902983000,536279000,2947098000,2519310000,2835068000,3367517000,973318000,3170156000
74,Depreciation and Amortization,477300000,519075000,564455000,598911000,595981000,642171000,622549000,617804000,562236000,552184000,768769000,740147000,871073000,1004471000,1074032000,1146626000,1301897000,1392541000,1780094000,2037112000,2253322000
75,Deferred Income Tax,- -,-344268540,16548360,339968,-32470000,-8463140,-104432000,-152313000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-253414440,-615117370,-661000240,-491079339,- -,-709396000,-614559000,-153166000,-679847000,-337956000,-1006124000,-600027000,-102341000,-328553000,-171801000,-968244000,-862233000,-620025000,-1076293000,-1520421000
78,Accounts Receivable,- -,-209001600,-647541135,-685662336,-610175066,-609405860,-400944000,-301844000,-145774000,-208975000,-358516000,-156914000,-11515000,363343000,-111738000,-34665000,-42194000,-71679000,-46180000,-129665000,-721595000
79,Inventory,- -,- -,- -,- -,-6466000,- -,-3307000,5829000,6758000,3484000,-8519000,-8885000,-6133000,-8699000,-550000,7156000,-27633000,20075000,-4858000,-34394000,-8658000
80,Accounts Payable,- -,-44412840,15258765,-355904,26192633,50112720,-14055000,- -,-15249000,72675000,145451000,-25991000,-15454000,-85000,-18314000,6371000,-180353000,-176826000,-349037000,-248404000,-245501000
81,Other Working Capital,- -,- -,- -,- -,29140034,544142140,-257342000,-310424000,8229000,-355819000,-100386000,-722963000,-365495000,-364947000,-277288000,-349147000,-548322000,-505273000,-472897000,-309229000,-346493000
82,Other Non-Cash Items,964576277,1703604980,673013010,875814272,816749339,1566447140,1358176000,2613487000,155635000,580265000,1062826000,690297000,582577000,675139000,1359642000,-918331000,448919000,477544000,-330341000,3044071000,10696000
83,Cash Provided by Operating Activities,1657000000,974481000,1472219000,1327093000,1754828000,2979060000,2215600000,2527990000,2072452000,2083049000,2717058000,2336220000,2777182000,2480252000,2641400000,3003592000,3301882000,3842920000,4197245000,4978208000,3913753000
84,CAPEX,-694600000,-619191000,-1009365000,-600903000,-660373000,- -,-881696000,-1555155000,-1982443000,-1901549000,-2211119000,-2033530000,-2335774000,-2748308000,-2452146000,-2135798000,-1976700000,-2183204000,-78159000,-42407000,-50281000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369000,-16000,-2540000,- -,- -,-1136000,- -,-3416880000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076468000
88,Other Investing Activites,-709500000,-546520000,-1232850000,-803902000,-106000,1536052000,-32818000,-159514000,-1954683000,-2003986000,-1864594000,-1968131000,-2250387000,-2757725000,-2402146000,-2103089000,-1952524000,-2137506000,-3189125000,-3309381000,-3689394000
89,Cash Used for Investing Activites,-709500000,-546520000,-1232850000,-803902000,-660479000,1536052000,-881696000,-1555155000,-1964030000,-2091369000,-2008278000,-1998778000,-2281499000,-2757741000,-2459480000,-2130720000,-1971444000,-2189287000,-3267284000,-6768668000,-2663207000
90,Debt Repayment,- -,-9903000,-1929346635,- -,-3144380660,- -,-1283201000,-1146416000,-1896480000,-1800507000,-1979099000,-1518240000,-1780673000,-529535000,-1292322000,-1535312000,-1098558000,-1678748000,-2148198000,-3244099000,-2896604000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-763600000,-699679000,1595942635,-879456000,2224647660,1443008000,86088000,334316000,1933334000,3026998000,1431129000,951987000,1151017000,748014000,1026625000,909447000,164946000,771259000,442256000,3177750000,1967586000
95,Cash Used/Provided by Financing Activities,-763600000,-709582000,-333404000,-879456000,-919733000,1443008000,-1197113000,-812100000,36854000,1226491000,-547970000,-566253000,-629656000,218479000,-265697000,-625865000,-933612000,-907489000,-1705942000,-66349000,-929018000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-763600000,- -,- -,- -,174616000,- -,136791000,160735000,145276000,1218171000,160810000,-228811000,-133973000,-59010000,-83777000,247007000,396826000,746144000,-775981000,-1856809000,321528000
98,Cash at the End of Period,- -,- -,- -,- -,280173000,- -,464997000,625732000,771008000,1989179000,2149989000,1921178000,1782001000,1722991000,1639214000,1886221000,2283047000,3029191000,2253210000,396401000,717929000
99,Cash at the Beginning of Period,- -,- -,- -,- -,105557000,- -,328206000,464997000,625732000,771008000,1989179000,2149989000,1915974000,1782001000,1722991000,1639214000,1886221000,2283047000,3029191000,2253210000,396401000
100,Free Cash Flow,962400000,355290000,462854000,726190000,1094455000,2979060000,1333904000,972835000,90009000,181500000,505939000,302690000,441408000,-268056000,189254000,867794000,1325182000,1659716000,4119086000,4935801000,3863472000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1170858/000095012304007876/0000950123-04-007876-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000119312505135523/0001193125-05-135523-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281406001731/0001292814-06-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281407002086/0001292814-07-002086-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281408002018/0001292814-08-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281410001201/0001292814-10-001201-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281410002391/0001292814-10-002391-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281411001833/0001292814-11-001833-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281412001158/0001292814-12-001158-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281413001181/0001292814-13-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281414000976/0001292814-14-000976-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281415001029/0001292814-15-001029-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281416004628/0001292814-16-004628-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281417001354/0001292814-17-001354-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281418001401/0001292814-18-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281419001496/0001292814-19-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1170858/000129281420001569/0001292814-20-001569-index.htm,- -,- -
102,Forex Rate,0.4327,0.2825,0.3458,0.3765,0.4277,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
