,https://roic.ai/company/FUN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,-9800000,-15200000,-10300000,-67100000,-23800000,-19200000,-28500000,-30200000,-306700000,-68100000,-109400000,-93487000,-85071000,-55279000,-39789000,-75878000,-75655000,-59458000,-78522000,-83481000,-69136000,-71706000,-90190000,-96232000,-120448000,-166719000,-175865000,-161233000,-188150000,-189816000,-330662000,-129087000,-59183000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144269000,- -,-1253461000,- -,6431000,- -,- -,- -,- -,- -,- -,-2000000,- -,3281000,112000,-270171000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617000,- -,- -
88,Other Investing Activites,- -,- -,200000,- -,- -,2100000,- -,- -,-35900000,-15900000,10300000,- -,- -,- -,356000,- -,- -,- -,- -,- -,- -,-83481000,-15305000,-71706000,-90190000,-80174000,-105151000,-165342000,-175865000,-161233000,-188150000,-189816000,-330662000,-120821000,-57778000
89,Cash Used for Investing Activites,- -,- -,-9600000,-15200000,-10300000,-65000000,-23800000,-19200000,-64400000,-46100000,-296400000,-68100000,-109400000,-93487000,-84715000,-55279000,-39789000,-220147000,-75655000,-1312919000,-78522000,-77050000,-15305000,-71706000,-90190000,-80174000,-105151000,-165342000,-177865000,-161233000,-184869000,-189704000,-600216000,-120821000,-57778000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28836000,-169023000,-1667024000,-47100000,-25000000,-1142250000,-436148000,- -,-6000000,-1133308000,- -,-5625000,-465125000,-460755000
91,Common Stock Issued,- -,- -,- -,- -,- -,21200000,- -,- -,22200000,- -,157400000,- -,- -,- -,- -,- -,435000,73354000,- -,749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,- -,-26566000,-32267000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-24300000,-27800000,-31800000,-36000000,-42400000,-46300000,-51200000,-54500000,-58300000,-65400000,-72500000,-77518000,-80163000,-83448000,-88141000,-92151000,-98122000,-100830000,-102690000,-105078000,-67864000,-43264000,-55347000,-88813000,-143457000,-159432000,-172614000,-187182000,-194756000,-203199000,-210011000,-53020000,- -
94,Other Financing Activites,- -,- -,-6800000,-1200000,-4000000,23700000,-2900000,-15400000,8600000,7600000,102000000,10600000,57400000,85208000,72065000,-7850000,-7400000,91942000,14297000,1273364000,-25204000,6270000,63604000,1597590000,1729000,-49166000,1107375000,440345000,-1589000,-422000,1221643000,-13376000,486105000,1248995000,-5678000
95,Cash Used/Provided by Financing Activities,- -,- -,-31100000,-29000000,-35800000,8900000,-45300000,-61700000,-20400000,-46900000,201100000,-62300000,-15100000,-18876000,-40365000,-91298000,-95106000,73145000,-83825000,1173283000,-127894000,-127644000,-173283000,-112698000,-100718000,-162979000,-178332000,-155235000,-174203000,-193604000,-106421000,-216575000,270469000,730850000,-466433000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1006000,3000,-2522000,1446000,126000,-1510000,526000,-1748000,-2742000,-2432000,569000,3640000,-5357000,3609000,992000,7368000
97,Net Change In Cash,- -,- -,-31100000,-29000000,-35800000,8900000,-45300000,-61700000,-20400000,-46900000,201100000,-62300000,-500000,1754000,-112000,-109000,23000,1159000,1068000,25782000,-24702000,8372000,-1945000,-2163000,25759000,43306000,39226000,13784000,-12283000,3159000,43529000,-60896000,76903000,194484000,-315617000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,2392000,2280000,2171000,2194000,3353000,4421000,30203000,5501000,13873000,11928000,9765000,35524000,78830000,118056000,131840000,119557000,122716000,166245000,105349000,182252000,376736000,61119000
99,Cash at the Beginning of Period,- -,- -,200000,500000,100000,200000,100000,200000,400000,100000,1300000,2500000,1100000,638000,2392000,2280000,2171000,2194000,3353000,4421000,30203000,5501000,13873000,11928000,9765000,35524000,78830000,118056000,131840000,119557000,122716000,166245000,105349000,182252000,376736000
100,Free Cash Flow,- -,- -,31200000,28500000,36000000,-11100000,45400000,61900000,56100000,64000000,-210200000,60800000,14600000,20630000,39897000,91189000,95129000,72283000,84893000,106966000,103189000,132107000,116061000,110409000,127987000,189701000,204009000,170384000,166352000,196194000,143029000,160924000,72379000,-545624000,142043000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153295000010/0000811532-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153296000003/0000811532-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153201500004/ex1017.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153202000002/a123101k.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153203000033/r10k2002doc.htm,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153205000026/r10k_2004-filing.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153206000034/filing10-k_2005.htm,https://www.sec.gov/Archives/edgar/data/811532/000095015207001685/l24898ae10vk.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312508043745/d10k.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312509042534/0001193125-09-042534-index.html,https://www.sec.gov/Archives/edgar/data/811532/000119312510043175/0001193125-10-043175-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153211000019/cedarfair10k2010.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153212000037/0000811532-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153213000018/0000811532-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153214000042/cedarfair-10kx2013.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153215000057/cedarfair-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153216000223/0000811532-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153217000062/0000811532-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153218000040/0000811532-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153219000037/0000811532-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153220000029/0000811532-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153221000033/0000811532-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153222000029/0000811532-22-000029-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
