,https://roic.ai/company/MS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,600500000,2567700000,1110500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33603000000,71057000000,-114500000000,818000000,761000000,-6963000000,-1283000000,26697000000,27971000000,4373000000,1803000000,2007000000,-13063000000,19942000000,10187000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,378800000,1754100000,195600000,-204516000000,-263539000000,-275636000000,-320949000000,-365072000000,-411034000000,76807000000,91763000000,121293000000,137147000000,176992000000,217822000000,- -,220779000000,-470976000000,-416364000000,-436024000000,-463361000000,-404419000000,-359890000000,-368947000000,-329610000000,-335551000000,-553596000000,- -,132658000000
82,Other Non-Cash Items,- -,- -,- -,- -,-9883000000,-4972500000,-3161200000,- -,419300000,874700000,2202300000,204940100000,55588000000,23670000000,10870000000,35775000000,18048000000,-496725000000,-17230000000,-59132000000,-51884000000,-111163000000,-66502000000,288084000000,-269633000000,724809000000,-55155000000,42307000000,57384000000,-63468000000,-50708000000,1074000000,-55479000000,1285000000,245815000000,-594654000000,-120026000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-8458600000,-4679400000,-2756600000,- -,1350600000,2894100000,1476800000,2208400000,-588000000,15369000000,-29271000000,-2384000000,-24091000000,-5054000000,2355000000,-24506000000,-31352000000,-60803000000,-22093000000,73417000000,-45951000000,40307000000,6684000000,24548000000,35553000000,1131000000,3674000000,2447000000,-4505000000,7305000000,40773000000,-25231000000,33971000000
84,CAPEX,- -,- -,- -,- -,-70600000,-165300000,-211400000,- -,- -,- -,- -,- -,-301000000,- -,-656000000,-836000000,-1998000000,-1124000000,-603000000,-569000000,-540000000,- -,-1469000000,-1400000000,-2877000000,-1201000000,-1304000000,-1312000000,-1316000000,-992000000,-1373000000,-1276000000,-1629000000,-1865000000,-1826000000,-1444000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199000000,-183000000,- -,- -,-758000000,-323000000,-2706000000,-693000000,2129000000,-1595000000,787000000,- -,1725000000,1147000000,989000000,998000000,- -,- -,- -,- -,3807000000,-2648000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14073000000,- -,- -,-29989000000,-20601000000,-24477000000,-30557000000,-32623000000,-47291000000,-50911000000,-23962000000,-27800000000,-42586000000,-59777000000,-3765000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4272000000,- -,- -,1246000000,19998000000,15136000000,16182000000,17631000000,43589000000,42083000000,25576000000,15876000000,29163000000,38267000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-2772500000,-4400700000,-6025000000,-2798700000,-2528000000,3193000000,-6651000000,-2486000000,-704000000,-5655000000,1763000000,-2338000000,-3798000000,361000000,525000000,- -,- -,- -,-129000000,-3486000000,-9917000000,-20329000000,-15918000000,-9404000000,-12376000000,-9092000000,-18312000000,-18751000000,-43484000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-70600000,-165300000,-211400000,- -,-2772500000,-4400700000,-6025000000,-2798700000,-2528000000,3193000000,-6651000000,-2685000000,-887000000,-5655000000,1763000000,-3096000000,-4121000000,-2345000000,-11438000000,729000000,-4472000000,-29157000000,-2036000000,-12414000000,-24461000000,-35324000000,-19995000000,-19508000000,-12391000000,-22881000000,-33561000000,-37898000000,-49897000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77600000,-3964000000,-7069000000,-6618000000,-9351000000,-11201000000,-6472000000,-13041000000,-11915000000,-16735000000,-20643000000,-33120000000,-56120000000,-33175000000,-33780000000,-39232000000,-43092000000,-38742000000,-33103000000,-27289000000,-30390000000,-35825000000,-34781000000,-40548000000,-50484000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643000000,1192000000,397000000,6255000000,5581000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3376000000,-3819000000,-1828000000,-11000000000,-317000000,-317000000,-227000000,-691000000,-1458000000,-2773000000,-3933000000,-4292000000,-5566000000,-5954000000,-1890000000,-12075000000
93,Dividends Paid,- -,- -,- -,- -,-55000000,-69500000,-85500000,- -,-690300000,-81100000,-102300000,-134000000,-416000000,-519000000,-575000000,-924000000,-1040000000,-1000000000,-994000000,-1096000000,-1180000000,-1167000000,-1219000000,-1227000000,-1732000000,-1156000000,-834000000,-469000000,-475000000,-904000000,-1455000000,-1746000000,-2085000000,-2375000000,-2627000000,-2739000000,-4171000000
94,Other Financing Activites,- -,- -,- -,- -,7890400000,5599900000,4455100000,- -,1807200000,2091500000,4780900000,1336600000,10365000000,-2351000000,38562000000,21838000000,44996000000,20797000000,10397000000,43732000000,49991000000,78883000000,75489000000,40234000000,42676000000,33835000000,35235000000,31891000000,42541000000,58608000000,55882000000,43493000000,58463000000,66927000000,37163000000,138897000000,57793000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,7835400000,5530400000,4369600000,- -,1116900000,2010400000,4678600000,1125000000,5985000000,-9939000000,31369000000,11563000000,32755000000,13325000000,-3638000000,30721000000,32076000000,54340000000,38523000000,-18544000000,3024000000,4163000000,-5148000000,-11897000000,2633000000,23143000000,24365000000,7424000000,16261000000,24205000000,-11966000000,83784000000,41547000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2546000000,720000000,14000000,-314000000,-119000000,-202000000,-1804000000,-945000000,-1065000000,3670000000,-1828000000,-271000000,2828000000,-3550000000
97,Net Change In Cash,- -,- -,- -,- -,7835400000,5530400000,4369600000,- -,1116900000,2010400000,4678600000,1125000000,5985000000,-9939000000,-4553000000,6494000000,7777000000,2616000000,480000000,3119000000,-3397000000,-8808000000,4992000000,53056000000,-46679000000,15624000000,-303000000,-408000000,12979000000,-12899000000,7099000000,-10702000000,3035000000,6801000000,-5025000000,23483000000,22071000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12325000000,18819000000,26596000000,29212000000,29692000000,32811000000,29414000000,20606000000,25598000000,78654000000,31991000000,47615000000,47312000000,46904000000,59883000000,46984000000,54083000000,43381000000,80395000000,87196000000,82171000000,105654000000,127725000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1152400000,458500000,1144200000,- -,1135300000,830300000,1334100000,1464500000,5386000000,8255000000,16878000000,12325000000,18819000000,26596000000,29212000000,29692000000,32811000000,29414000000,20606000000,25598000000,78670000000,31991000000,47615000000,47312000000,46904000000,59883000000,46984000000,54083000000,77360000000,80395000000,87196000000,82171000000,105654000000
100,Free Cash Flow,- -,- -,- -,- -,-8529200000,-4844700000,-2968000000,- -,1350600000,2894100000,1476800000,2208400000,-889000000,15369000000,-29927000000,-3220000000,-26089000000,-6178000000,1752000000,-25075000000,-31892000000,-60803000000,-23562000000,72017000000,-48828000000,39106000000,5380000000,23236000000,34237000000,139000000,2301000000,1171000000,-6134000000,5440000000,38947000000,-26675000000,33971000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895421/000095013003001275/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312504029127/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312505025463/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312506028736/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312507027693/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312508013719/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/895421/000119312510042763/0001193125-10-042763-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312511050049/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312512081807/0001193125-12-081807-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312513077191/0001193125-13-077191-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312514067354/d639242d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312515071980/d869080d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312516473553/0001193125-16-473553-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312517059212/0001193125-17-059212-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/0001193125-18-060831-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/0001193125-19-051943-index.html,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/0000895421-21-000286-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/0000895421-22-000400-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
