,https://roic.ai/company/MMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,23600000,- -,- -,- -,- -,53700000,55900000,82700000,-2800000,-1946500000,722000000,555000000,334000000,-53000000,11000000,340000000,759000000,-626000000,1676000000,-563000000,-170000000,943000000,-262000000,490000000,92000000,-141000000,-1014000000,-534000000,498000000,-290000000,-621000000,1210000000,-273000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-210000000,106000000,45000000,-125000000,55000000,87000000,23000000,120000000,241000000,225000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,53700000,109600000,192300000,189500000,-1757000000,-1035000000,-480000000,-146000000,-199000000,-188000000,152000000,911000000,285000000,1961000000,1398000000,1228000000,2171000000,1909000000,2399000000,2491000000,2350000000,1336000000,802000000,1300000000,1010000000,389000000,1599000000,527000000
82,Other Non-Cash Items,- -,- -,- -,- -,43800000,-33500000,69200000,-19500000,-308900000,-225300000,-310500000,-344600000,-23200000,1953500000,-880000000,-1035000000,-384000000,-567000000,-165000000,1168000000,-1290000000,-34000000,-4836000000,966000000,176000000,-1467000000,443000000,-815000000,-668000000,180000000,614000000,158000000,-1123000000,420000000,257000000,-915000000,-386000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,448200000,374200000,480900000,345100000,237600000,368500000,318100000,316500000,415400000,1133000000,1000000000,1364000000,1377000000,1280000000,1867000000,2069000000,399000000,878000000,-231000000,837000000,640000000,722000000,1705000000,1322000000,1341000000,2112000000,1888000000,2007000000,1893000000,2428000000,2361000000,3382000000,3516000000
84,CAPEX,- -,- -,- -,- -,-160700000,-154700000,-81200000,-82800000,-98800000,-149100000,-136900000,-157300000,-675000000,-599000000,-715000000,-512000000,-433000000,-423000000,-436000000,-376000000,-345000000,-307000000,-378000000,-386000000,-305000000,-271000000,-280000000,-320000000,-401000000,-368000000,-325000000,-253000000,-302000000,-314000000,-421000000,-348000000,-406000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,-53000000,-92000000,-178000000,-2364000000,-74000000,154000000,-206000000,-126000000,2000000,710000000,-237000000,-292000000,-137000000,-858000000,-881000000,-813000000,-655000000,-774000000,-5367000000,-570000000,-780000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318000000,- -,57000000,97000000,53000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,17000000
88,Other Investing Activites,- -,- -,- -,- -,-17300000,-47500000,58300000,-308400000,-59500000,-74300000,-61200000,143500000,-300000,12000000,-130000000,81000000,-47000000,242000000,144000000,184000000,254000000,124000000,3369000000,67000000,-291000000,-175000000,-220000000,-291000000,-309000000,-364000000,-384000000,-243000000,-301000000,-315000000,-304000000,-348000000,-401000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-178000000,-202200000,-22900000,-391200000,-158300000,-223400000,-198100000,-13800000,-675300000,-587000000,-845000000,-530000000,-533000000,-273000000,-470000000,-2556000000,153000000,-136000000,2842000000,-348000000,-236000000,535000000,-457000000,-583000000,-446000000,-1222000000,-1265000000,-1056000000,-956000000,-1089000000,-5671000000,-814000000,-1164000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408000000,-559000000,-683000000,-259000000,-260000000,-331000000,-61000000,-12000000,-315000000,-263000000,-1064000000,-2515000000,-1016000000
91,Common Stock Issued,- -,- -,- -,- -,61200000,52800000,69200000,96100000,75600000,68600000,82600000,143100000,209800000,185000000,489000000,364000000,387000000,490000000,573000000,456000000,269000000,181000000,186000000,132000000,34000000,41000000,162000000,248000000,352000000,263000000,224000000,188000000,166000000,93000000,158000000,132000000,161000000
92,Common Stock Repurchased,- -,- -,- -,- -,-47100000,-78400000,-225600000,-28200000,-49500000,-142800000,-137700000,-230100000,- -,-242000000,-13000000,-49000000,-763000000,-1184000000,-1195000000,-536000000,- -,- -,-1300000000,- -,-33000000,-86000000,-361000000,-230000000,-550000000,-800000000,-1400000000,-800000000,-900000000,-675000000,-485000000,- -,-1260000000
93,Dividends Paid,- -,- -,- -,- -,-179700000,-186700000,-190600000,-191100000,-198500000,-206400000,-217000000,-239200000,-305600000,-375000000,-447000000,-514000000,-567000000,-593000000,-631000000,-681000000,-363000000,-374000000,-413000000,-412000000,-431000000,-452000000,-480000000,-497000000,-533000000,-582000000,-632000000,-682000000,-740000000,-807000000,-890000000,-943000000,-1026000000
94,Other Financing Activites,- -,- -,- -,- -,-64600000,32100000,-60200000,207000000,63800000,90800000,179300000,1200000,494700000,66000000,-363000000,-802000000,407000000,282000000,-72000000,1951000000,222000000,-566000000,-1117000000,-260000000,374000000,-74000000,355000000,105000000,157000000,489000000,963000000,239000000,780000000,342000000,5587000000,1446000000,1844000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-230200000,-180200000,-407200000,83800000,-108600000,-189800000,-92800000,-325000000,398900000,-366000000,-334000000,-1001000000,-536000000,-1005000000,-1325000000,1190000000,128000000,-759000000,-2644000000,-540000000,-464000000,-1130000000,-1007000000,-633000000,-834000000,-961000000,-906000000,-1067000000,-1009000000,-1310000000,3306000000,-1880000000,-1297000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,800000,19800000,-6400000,-15600000,-9800000,7600000,6000000,-6200000,-14300000,6000000,-3000000,-21000000,-11000000,7000000,47000000,28000000,-43000000,73000000,77000000,-397000000,152000000,-10000000,-22000000,82000000,-59000000,-274000000,-301000000,-232000000,251000000,-168000000,93000000,246000000,-355000000
97,Net Change In Cash,- -,- -,- -,- -,-230200000,-180200000,-407200000,83800000,-108600000,-189800000,-92800000,-325000000,398900000,-366000000,-182000000,-188000000,297000000,9000000,119000000,731000000,637000000,56000000,44000000,-448000000,92000000,117000000,219000000,188000000,2000000,-345000000,-584000000,-348000000,179000000,-139000000,89000000,934000000,700000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000000,240000000,537000000,546000000,665000000,1396000000,2033000000,2089000000,2133000000,1685000000,1777000000,1894000000,2113000000,2301000000,2303000000,1958000000,1374000000,1026000000,1205000000,1066000000,1155000000,2089000000,11374000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,252200000,293000000,304600000,349000000,371100000,332000000,294900000,328100000,299600000,424000000,610000000,428000000,240000000,537000000,546000000,665000000,1396000000,2033000000,2089000000,2133000000,1685000000,1777000000,1894000000,2113000000,2301000000,2303000000,1958000000,1374000000,1026000000,1205000000,1066000000,1155000000,10674000000
100,Free Cash Flow,- -,- -,- -,- -,287500000,219500000,399700000,262300000,138800000,219400000,181200000,159200000,-259600000,534000000,285000000,852000000,944000000,857000000,1431000000,1693000000,54000000,571000000,-609000000,451000000,335000000,451000000,1425000000,1002000000,940000000,1744000000,1563000000,1754000000,1591000000,2114000000,1940000000,3034000000,3110000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000091205795001755/0000912057-95-001755-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000100547797000915/0001005477-97-000915-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000091205701505365/0000912057-01-505365-index.html,https://www.sec.gov/Archives/edgar/data/62709/000093041302001103/0000930413-02-001103-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000114544306000555/d18669_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000120677407000563/fscmarsh_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312508043337/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312509040859/0001193125-09-040859-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312510042765/0001193125-10-042765-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270912000016/0000062709-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/mmc-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/mmc-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270916000040/0000062709-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270917000008/0000062709-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270918000007/0000062709-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270919000010/0000062709-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270920000010/0000062709-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270921000008/0000062709-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270922000009/0000062709-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
