,https://roic.ai/company/KO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134498000004/0000021344-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134499000005/0000021344-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134402000011/0000021344-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746905005411/0001047469-05-005411-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000119312508041768/0001193125-08-041768-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746909001875/0001047469-09-001875-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/0001047469-11-001506-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/0000021344-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/0000021344-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/0000021344-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/0000021344-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/0000021344-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1214300000,1381900000,1618000000,1664400000,2176000000,2554000000,2986000000,3492000000,4129000000,3533000000,2431000000,2177000000,3969000000,3050000000,4347000000,4847000000,4872000000,5080000000,5981000000,5807000000,6824000000,11809000000,8572000000,9019000000,8584000000,7098000000,7351000000,6527000000,1248000000,6434000000,8920000000,7747000000,9771000000
74,Depreciation and Amortization,- -,- -,- -,- -,183800000,243900000,261400000,321900000,360000000,411000000,454000000,479000000,626000000,645000000,792000000,773000000,803000000,806000000,850000000,893000000,932000000,938000000,1163000000,1228000000,1236000000,1443000000,1954000000,1982000000,1977000000,1976000000,1970000000,1787000000,1260000000,1086000000,1365000000,1536000000,1452000000
75,Deferred Income Tax,- -,- -,- -,- -,37000000,-30300000,-66100000,-26600000,-62000000,58000000,157000000,-145000000,380000000,-38000000,97000000,3000000,56000000,40000000,-188000000,162000000,-88000000,-35000000,109000000,-360000000,353000000,617000000,1028000000,632000000,648000000,-40000000,73000000,-856000000,-1256000000,-450000000,-280000000,-18000000,894000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000000,241000000,380000000,354000000,259000000,227000000,209000000,236000000,258000000,219000000,225000000,201000000,126000000,337000000
77,Change in Working Capital,- -,- -,- -,- -,279300000,- -,- -,- -,-972000000,- -,-926000000,402000000,86000000,-850000000,-1116000000,675000000,1443000000,1269000000,499000000,613000000,-709000000,-863000000,-671000000,308000000,4642000000,-759000000,-1857000000,1293000000,986000000,-2881000000,5853000000,1013000000,1873000000,-7940000000,-7973000000,11201000000,1325000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,-404000000,-41000000,-562000000,-33000000,28000000,-253000000,-212000000,-28000000,-141000000,66000000,-158000000,882000000,-225000000
79,Inventory,- -,- -,- -,- -,-34700000,-169400000,-3000000,-138100000,-41000000,43000000,-80000000,-33000000,-43000000,-12000000,-163000000,-2000000,-17000000,-49000000,111000000,-57000000,-79000000,-150000000,-258000000,-165000000,-50000000,182000000,-447000000,-286000000,-105000000,35000000,-250000000,-142000000,-355000000,-171000000,-183000000,99000000,-135000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-556000000,-158000000,-250000000,1004000000,-540000000,-445000000,-289000000,1318000000,-860000000,2843000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-972000000,-972000000,-1898000000,-1496000000,-1410000000,-2260000000,-3376000000,-2701000000,-1258000000,11000000,510000000,1123000000,414000000,-449000000,-1120000000,-812000000,3830000000,3071000000,1214000000,2507000000,3493000000,612000000,6465000000,7478000000,9351000000,1411000000,-6562000000,4639000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-579800000,-311600000,271100000,272700000,1006000000,160000000,444000000,-765000000,-1188000000,143000000,1679000000,-43000000,-2161000000,-423000000,-52000000,-547000000,1416000000,837000000,568000000,322000000,-5110000000,-3958000000,-577000000,-2540000000,-1880000000,4253000000,-4955000000,67000000,3762000000,8272000000,8238000000,-10748000000,-1154000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1134600000,1283900000,2084400000,2232400000,2508000000,3183000000,3115000000,3463000000,4033000000,3433000000,3883000000,3585000000,4110000000,4742000000,5456000000,5968000000,6423000000,5957000000,7150000000,7571000000,8186000000,9532000000,9474000000,10645000000,10542000000,10615000000,10528000000,8796000000,7106000000,7627000000,10471000000,9844000000,12625000000
84,CAPEX,- -,- -,- -,- -,-462500000,-593000000,-791700000,-1083300000,-800000000,-878000000,-937000000,-990000000,-1093000000,-863000000,-1069000000,-733000000,-769000000,-851000000,-812000000,-755000000,-899000000,-1407000000,-1648000000,-1968000000,-1993000000,-2215000000,-2920000000,-2780000000,-2550000000,-2406000000,-2553000000,-2262000000,-1675000000,-1347000000,-2054000000,-1177000000,-1367000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-311000000,-338000000,-645000000,-1100000000,-1428000000,-1876000000,-397000000,-651000000,-544000000,-359000000,-267000000,-637000000,-901000000,-5653000000,-280000000,-60000000,-1539000000,562000000,654000000,519000000,-241000000,-1926000000,197000000,-79000000,322000000,-5113000000,-863000000,-2586000000
86,Purchases of Investments,- -,- -,- -,- -,-145000000,-300500000,-401400000,-769700000,-816000000,-758000000,-190000000,-623000000,-459000000,-610000000,-518000000,-508000000,-456000000,-156000000,-177000000,-46000000,-53000000,-82000000,-99000000,-244000000,-2200000000,-4817000000,-5821000000,-14856000000,-14782000000,-17800000000,-15831000000,-15499000000,-16520000000,-7789000000,-4704000000,-13583000000,-6030000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,1680100000,258100000,182800000,247100000,29000000,856000000,580000000,1302000000,1999000000,1036000000,176000000,290000000,455000000,243000000,147000000,161000000,33000000,640000000,448000000,479000000,- -,4032000000,5647000000,5622000000,12791000000,12986000000,14079000000,16624000000,15911000000,14977000000,6973000000,13835000000,7059000000
88,Other Investing Activites,- -,- -,- -,- -,-543100000,195700000,-114400000,246400000,702000000,54000000,-128000000,-94000000,153000000,-296000000,-134000000,183000000,233000000,121000000,265000000,404000000,60000000,50000000,233000000,-350000000,104000000,134000000,8000000,-44000000,-192000000,-45000000,45000000,-59000000,-87000000,-236000000,922000000,311000000,159000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,529500000,-439700000,-1124700000,-1359500000,-885000000,-1037000000,-1013000000,-1050000000,-500000000,-2161000000,-3421000000,-1165000000,-1188000000,-1187000000,-936000000,-503000000,-1496000000,-1700000000,-6719000000,-2363000000,-4149000000,-4405000000,-2524000000,-11404000000,-4214000000,-7506000000,-6186000000,-999000000,-2450000000,5927000000,-3976000000,-1477000000,-2765000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4308000000,-12326000000,-13403000000,-22530000000,-38573000000,-38714000000,-36962000000,-37738000000,-25615000000,-28768000000,-30568000000,-24850000000,-28796000000,-12866000000
91,Common Stock Issued,- -,- -,- -,- -,41400000,29900000,39400000,131300000,145000000,69000000,86000000,124000000,150000000,302000000,168000000,331000000,164000000,107000000,98000000,193000000,230000000,148000000,1619000000,586000000,662000000,1666000000,1569000000,1489000000,1328000000,1532000000,1245000000,1434000000,1595000000,1476000000,1012000000,647000000,702000000
92,Common Stock Repurchased,- -,- -,- -,- -,-1166900000,-531700000,-474100000,-1259500000,-680000000,-1192000000,-1796000000,-1521000000,-1262000000,-1563000000,-15000000,-133000000,-277000000,-691000000,-1440000000,-1739000000,-2055000000,-2416000000,-1838000000,-1079000000,-1518000000,-2961000000,-4513000000,-4559000000,-4832000000,-4162000000,-3564000000,-3681000000,-3682000000,-1912000000,-1103000000,-118000000,-111000000
93,Dividends Paid,- -,- -,- -,- -,-490700000,-552600000,-640100000,-738000000,-883000000,-1006000000,-1110000000,-1247000000,-1387000000,-1480000000,-1580000000,-1685000000,-1791000000,-1987000000,-2166000000,-2429000000,-2678000000,-2911000000,-3149000000,-3521000000,-3800000000,-4068000000,-4300000000,-4595000000,-4969000000,-5350000000,-5741000000,-6043000000,-6320000000,-6644000000,-6845000000,-7047000000,-7252000000
94,Other Financing Activites,- -,- -,- -,- -,-74300000,510800000,-256700000,948800000,-122000000,337000000,542000000,542000000,-596000000,1408000000,956000000,-585000000,-926000000,-756000000,-93000000,1714000000,-2282000000,-1404000000,4341000000,4337000000,14689000000,15301000000,27540000000,42891000000,43442000000,41311000000,40685000000,27360000000,29728000000,27301000000,22782000000,27244000000,12741000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1690500000,-543600000,-1331500000,-917400000,-1540000000,-1792000000,-2278000000,-2102000000,-3095000000,-1333000000,-471000000,-2072000000,-2830000000,-3327000000,-3601000000,-2261000000,-6785000000,-6583000000,973000000,-3985000000,-2293000000,-3465000000,-2234000000,-3347000000,-3745000000,-3631000000,-5113000000,-6545000000,-7447000000,-10347000000,-9004000000,-8070000000,-6786000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-22900000,32900000,500000,-58100000,-41000000,34000000,-43000000,-45000000,-134000000,-28000000,-28000000,-140000000,-45000000,32000000,183000000,141000000,-148000000,65000000,249000000,-615000000,576000000,-166000000,-430000000,-255000000,-611000000,-934000000,-878000000,-6000000,242000000,-262000000,-72000000,76000000,-159000000
97,Net Change In Cash,- -,- -,- -,- -,-1690500000,-543600000,-1331500000,-917400000,-1540000000,388000000,-219000000,266000000,304000000,-89000000,-37000000,208000000,47000000,260000000,1102000000,3345000000,-2006000000,-2261000000,1653000000,608000000,2320000000,1496000000,4286000000,-4361000000,1972000000,-1456000000,-1649000000,1246000000,-2549000000,2945000000,-2581000000,373000000,2915000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1386000000,1167000000,1433000000,1737000000,1648000000,1611000000,1819000000,1866000000,2126000000,3362000000,6707000000,4701000000,2440000000,4093000000,4701000000,7021000000,8517000000,12803000000,8442000000,10414000000,8958000000,7309000000,8555000000,6006000000,9318000000,6737000000,7110000000,10025000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1145300000,1096000000,1429600000,1058300000,956000000,998000000,1386000000,1167000000,1433000000,1737000000,1648000000,1611000000,1819000000,1866000000,2260000000,3362000000,6707000000,4701000000,2440000000,4093000000,4701000000,7021000000,8517000000,12803000000,8442000000,10414000000,8958000000,7309000000,8555000000,6373000000,9318000000,6737000000,7110000000
100,Free Cash Flow,- -,- -,- -,- -,672100000,690900000,1292700000,1149100000,1708000000,2305000000,2178000000,2473000000,2940000000,2570000000,2814000000,2852000000,3341000000,3891000000,4644000000,5213000000,5524000000,4550000000,5502000000,5603000000,6193000000,7317000000,6554000000,7865000000,7992000000,8209000000,7975000000,6534000000,5431000000,6280000000,8417000000,8667000000,11258000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134498000004/0000021344-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134499000005/0000021344-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134402000011/0000021344-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746905005411/0001047469-05-005411-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000119312508041768/0001193125-08-041768-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746909001875/0001047469-09-001875-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/0001047469-11-001506-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/0000021344-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/0000021344-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/0000021344-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/0000021344-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/0000021344-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
