,https://roic.ai/company/MSFT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000089102094000175/0000891020-94-000175-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102095000433/0000891020-95-000433-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102096001130/0000891020-96-001130-index.html,https://www.sec.gov/Archives/edgar/data/789019/000101706297001764/0001017062-97-001764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000103221000001961/0001032210-00-001961-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221001501099/0001032210-01-501099-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,170500000,279200000,462700000,708100000,953000000,1146000000,1453000000,2195000000,3454000000,4490000000,7785000000,9421000000,7346000000,7829000000,9993000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,16798000000,21204000000,16571000000,39240000000,44281000000,61271000000
74,Depreciation and Amortization,- -,- -,- -,24200000,46300000,75800000,112300000,151000000,237000000,269000000,480000000,557000000,1024000000,1010000000,748000000,1536000000,1084000000,1439000000,1186000000,855000000,903000000,1440000000,2056000000,2562000000,2673000000,2766000000,2967000000,3755000000,5212000000,5957000000,6622000000,8778000000,10261000000,11682000000,12796000000,11686000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-420000000,-416000000,336000000,-1479000000,-179000000,219000000,421000000,935000000,762000000,-220000000,2000000,954000000,-19000000,-331000000,224000000,332000000,-3296000000,13040000000,-3534000000,-3620000000,-150000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1479000000,1708000000,1891000000,2166000000,2244000000,2406000000,2446000000,2574000000,2668000000,3266000000,3940000000,4652000000,5289000000,6118000000
77,Change in Working Capital,- -,- -,- -,27800000,223000000,202000000,587700000,964200000,1112000000,874000000,1141000000,1349000000,3396000000,1356000000,9038000000,7952000000,7327000000,9167000000,10598000000,-23737000000,-5292000000,-10154000000,-3058000000,8890000000,7283000000,16615000000,6252000000,11653000000,4572000000,6233000000,5449000000,15021000000,15850000000,-5042000000,3473000000,-13856000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1569000000,2215000000,-2238000000,-1451000000,-1156000000,-1807000000,-1120000000,1456000000,-530000000,-925000000,-3862000000,-2812000000,-2577000000,-6481000000
79,Inventory,- -,- -,- -,14700000,-15600000,8100000,-40000000,-51000000,23000000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-561000000,184000000,-802000000,-161000000,-272000000,600000000,50000000,-465000000,597000000,168000000,-737000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,-31000000,537000000,473000000,-1054000000,88000000,81000000,1148000000,232000000,3018000000,2798000000
81,Other Working Capital,- -,- -,- -,310100000,533100000,735100000,1322800000,2287000000,3399000000,4273000000,5414000000,6763000000,10159000000,11515000000,20553000000,28505000000,35832000000,44999000000,55597000000,31860000000,26568000000,16414000000,13356000000,22246000000,29529000000,46144000000,52396000000,64049000000,68621000000,74854000000,80303000000,95324000000,111174000000,106132000000,109605000000,95749000000
82,Other Non-Cash Items,- -,- -,- -,- -,-270200000,-182600000,-501100000,-994200000,-902000000,-606000000,-97000000,-671000000,-2030000000,-121000000,-5246000000,-2992000000,-1315000000,-5138000000,-3847000000,27412000000,5975000000,12024000000,2519000000,-9454000000,-6314000000,-17705000000,2231000000,-10825000000,-1742000000,1899000000,1456000000,-5466000000,-15778000000,5187000000,-1544000000,11671000000
83,Cash Provided by Operating Activities,- -,- -,- -,222500000,278300000,557900000,907000000,1074000000,1593000000,1990000000,3719000000,4689000000,6880000000,10030000000,13961000000,13422000000,14509000000,15797000000,14626000000,16605000000,14404000000,17796000000,21612000000,19037000000,24073000000,26994000000,31626000000,28833000000,32231000000,29080000000,33325000000,39507000000,43884000000,52185000000,60675000000,76740000000
84,CAPEX,- -,- -,- -,-89400000,-158100000,-264400000,-316600000,-236000000,-278000000,-495000000,-494000000,-499000000,-656000000,-583000000,-879000000,-1103000000,-770000000,-891000000,-1109000000,-812000000,-1578000000,-2264000000,-3182000000,-3119000000,-1977000000,-2355000000,-2305000000,-4257000000,-5485000000,-5944000000,-8343000000,-8129000000,-11632000000,-13925000000,-15441000000,-20622000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000000,- -,- -,- -,- -,-1063000000,-4000000,-207000000,-649000000,-1150000000,-8053000000,-868000000,-245000000,-71000000,-10112000000,-1584000000,-5937000000,-3723000000,-1393000000,-25944000000,-888000000,-2388000000,-2521000000,-8909000000
86,Purchases of Investments,- -,- -,- -,-15700000,-94500000,-76600000,-284300000,-723000000,-860000000,-651000000,-1551000000,-921000000,-4828000000,-36441000000,-43158000000,-66346000000,-89386000000,-89621000000,-92495000000,-68045000000,-51117000000,-36308000000,-20954000000,-36850000000,-30168000000,-35993000000,-57250000000,-75396000000,-72690000000,-98729000000,-129758000000,-176905000000,-137380000000,-57697000000,-77190000000,-62924000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25754000000,32110000000,58715000000,79311000000,84362000000,90863000000,84091000000,58230000000,46187000000,27729000000,25997000000,22578000000,23803000000,45275000000,57594000000,65366000000,85861000000,115341000000,164394000000,143937000000,58237000000,84170000000,65800000000
88,Other Investing Activites,- -,- -,- -,-39900000,-18100000,-39700000,-40700000,-17000000,-64000000,-230000000,-625000000,-1669000000,-1598000000,79000000,- -,- -,- -,- -,- -,- -,3117000000,-376000000,-127000000,-930000000,-1502000000,- -,-394000000,-168000000,-87000000,-466000000,203000000,-197000000,-98000000,- -,-1241000000,-922000000
89,Cash Used for Investing Activites,- -,- -,- -,-145000000,-270700000,-380700000,-641600000,-976000000,-1202000000,-1376000000,-2670000000,-3089000000,-7272000000,-11191000000,-11927000000,-8734000000,-10845000000,-7213000000,-2745000000,15027000000,8003000000,6089000000,-4587000000,-15770000000,-11314000000,-14616000000,-24786000000,-23811000000,-18833000000,-23001000000,-23950000000,-46781000000,-6061000000,-15773000000,-12223000000,-27577000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-228000000,-2986000000,-814000000,- -,-1346000000,-3888000000,-1500000000,-2796000000,-7922000000,-10060000000,-4000000000,-5518000000,-3750000000
91,Common Stock Issued,- -,- -,- -,6300000,109800000,179700000,265100000,436000000,431000000,332000000,504000000,1724000000,959000000,2116000000,2717000000,1620000000,1497000000,2120000000,2748000000,3109000000,2101000000,6782000000,3494000000,579000000,2311000000,2422000000,1913000000,931000000,607000000,634000000,668000000,772000000,1002000000,1142000000,1343000000,1693000000
92,Common Stock Repurchased,- -,- -,- -,- -,-46700000,-197000000,-135000000,-250000000,-348000000,-649000000,-1261000000,-3101000000,-2468000000,-2950000000,-4896000000,-7441000000,-6069000000,-6486000000,-3383000000,-8057000000,-19207000000,-27575000000,-12533000000,-9353000000,-11269000000,-11555000000,-5029000000,-5360000000,-7316000000,-14443000000,-15969000000,-11788000000,-10721000000,-19543000000,-22968000000,-27385000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-28000000,-28000000,-13000000,- -,- -,-857000000,-1729000000,-36112000000,-3545000000,-3805000000,-4015000000,-4468000000,-4578000000,-5180000000,-6385000000,-7455000000,-8879000000,-9882000000,-11006000000,-11845000000,-12699000000,-13811000000,-15137000000,-16521000000
94,Other Financing Activites,- -,- -,- -,19200000,-19600000,13000000,-11100000,- -,- -,179000000,352000000,891000000,2091000000,3107000000,- -,235000000,- -,- -,- -,-18000000,89000000,54000000,120000000,6007000000,3231000000,6751000000,93000000,5082000000,11082000000,16111000000,20710000000,39191000000,-1112000000,-675000000,-3751000000,-2523000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,25500000,43500000,-4300000,119000000,186000000,83000000,-138000000,-405000000,-501000000,554000000,2245000000,-2192000000,-5586000000,-4572000000,-5223000000,-2364000000,-41078000000,-20562000000,-24544000000,-12934000000,-7463000000,-13291000000,-8376000000,-9408000000,-8148000000,-8394000000,-9080000000,-8393000000,8408000000,-33590000000,-36887000000,-46031000000,-48486000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1100000,2800000,-2000000,-10100000,-62000000,-10000000,9000000,-5000000,6000000,-29000000,52000000,29000000,-26000000,2000000,61000000,27000000,-7000000,18000000,56000000,137000000,-67000000,-39000000,103000000,-104000000,-8000000,-139000000,-73000000,-67000000,19000000,50000000,-115000000,-201000000,-29000000
97,Net Change In Cash,- -,- -,- -,25500000,43500000,-4300000,119000000,186000000,83000000,-138000000,-405000000,-501000000,133000000,1136000000,-129000000,-924000000,-906000000,3422000000,9544000000,-9453000000,1863000000,-603000000,4228000000,-4263000000,-571000000,4105000000,-2672000000,-3134000000,4865000000,-3074000000,915000000,1153000000,4283000000,-590000000,2220000000,648000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,15982000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000,14224000000
99,Cash at the Beginning of Period,- -,- -,- -,90500000,192400000,246300000,417200000,791000000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,14304000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000
100,Free Cash Flow,- -,- -,- -,133100000,120200000,293500000,590400000,838000000,1315000000,1495000000,3225000000,4190000000,6224000000,9447000000,13082000000,12319000000,13739000000,14906000000,13517000000,15793000000,12826000000,15532000000,18430000000,15918000000,22096000000,24639000000,29321000000,24576000000,26746000000,23136000000,24982000000,31378000000,32252000000,38260000000,45234000000,56118000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000089102094000175/0000891020-94-000175-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102095000433/0000891020-95-000433-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102096001130/0000891020-96-001130-index.html,https://www.sec.gov/Archives/edgar/data/789019/000101706297001764/0001017062-97-001764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000103221000001961/0001032210-00-001961-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221001501099/0001032210-01-501099-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
