,https://roic.ai/company/TEX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-1000000,125300000,211300000,-68200000,-13900000,-89300000,-176500000,-25300000,-228200000,-506900000,99500000,-158400000,-166000000,451300000,-104200000,-271100000,-81700000,-1527500000,320700000,233500000,-1204200000,-1200000,62800000,-57500000,108900000,-69600000,938300000,-172300000,32400000,104900000,148300000,42800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-17800000,6300000,5100000,-46200000,-9200000,-21900000,-17600000,-300000,-19500000,5000000,200600000,-5500000,70300000,384100000,164600000,273400000,484400000,361400000,183700000,-37700000,-663200000,19100000,292300000,188500000,410700000,212900000,367000000,153000000,94200000,173400000,225400000,293400000
84,CAPEX,- -,- -,- -,- -,-9500000,-4100000,-86500000,-12200000,-12700000,-10500000,-8100000,-107100000,-224400000,-557000000,-24200000,-13500000,-29200000,-27100000,-35500000,-48600000,-78900000,-111500000,-120800000,-51400000,-55000000,-79100000,-82500000,-82800000,-81500000,-103800000,-73000000,-43500000,-103800000,-108900000,-64500000,-59700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-130800000,-445900000,-7700000,-58700000,-5100000,-33200000,-154400000,-481500000,-9800000,989200000,-1034700000,-3400000,- -,- -,-71200000,-7000000,- -,-6900000,- -,- -,-42700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,-7100000,-900000,- -,- -,-40400000,-16100000,-24100000,- -,-20000000,- -,- -,- -,- -,- -,- -,-1700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7300000,-600000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19800000,30700000,7500000,- -
88,Other Investing Activites,- -,- -,- -,- -,20400000,14800000,11800000,15600000,49500000,-88400000,143800000,8500000,2400000,4000000,155100000,8000000,34500000,6100000,32400000,1600000,67300000,15300000,-97800000,-51300000,-44900000,458300000,-48800000,-37400000,115000000,-101500000,-4800000,1535600000,-98800000,73100000,-46000000,-57800000
89,Cash Used for Investing Activites,- -,- -,- -,- -,18200000,10100000,-80900000,3400000,36800000,-98900000,135700000,-98600000,-222000000,-553000000,110900000,-136300000,-440600000,-28700000,-61800000,-56700000,-51900000,-251500000,-579300000,-61100000,903900000,-592500000,-76300000,-37400000,95000000,-172700000,-11800000,1535600000,-85900000,103800000,-38500000,-102200000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208500000,-274700000,-444200000,-1533000000,-571800000,-1801800000,-1397800000,-1286300000,-1630500000,-1150600000,-1660500000,-176000000,-1103500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,27200000,- -,- -,- -,104600000,- -,162800000,- -,96300000,113300000,- -,9200000,5100000,15300000,10400000,- -,156300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45400000,- -,- -,-20200000,- -,- -,- -,- -,- -,- -,-166600000,-395500000,- -,-1200000,- -,- -,-31400000,-171200000,-50800000,-82700000,-924900000,-427500000,-7400000,-56000000,-3000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5500000,-21800000,-25800000,-30000000,-29500000,-30000000,-31400000,-8400000,-33500000
94,Other Financing Activites,- -,- -,- -,- -,-19500000,-10500000,93000000,-500000,-28300000,120100000,-50400000,5000000,239300000,494400000,-241000000,115200000,346700000,-269600000,-179300000,-54100000,-360100000,587300000,46300000,610800000,-39800000,898400000,1209700000,188600000,1598100000,1460000000,1098900000,978400000,1363200000,1595600000,157600000,559900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-19500000,-10500000,93000000,26700000,-28300000,120100000,-50400000,64200000,239300000,657200000,-261200000,211500000,460000000,-269600000,-170100000,-49000000,-344800000,431100000,-349200000,558600000,-315700000,454200000,-323300000,-420100000,-396700000,-14400000,-300100000,-1606500000,-244900000,-103700000,-82800000,-580100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,1000000,-2400000,-400000,1300000,-1200000,-2700000,-8600000,-1400000,-1000000,-2200000,-700000,12100000,29500000,18600000,-32900000,35400000,54700000,-43200000,27000000,-2000000,-900000,11200000,-900000,-38900000,-37500000,-19700000,46100000,-21400000,-5500000,25900000,-14300000
97,Net Change In Cash,- -,- -,- -,- -,-19500000,-10500000,93000000,26700000,500000,120100000,-50400000,64200000,239300000,108200000,48100000,69000000,101800000,115300000,-48700000,134800000,123100000,595700000,-788000000,486800000,-77000000,-120100000,-96100000,-269900000,70100000,-11700000,35400000,128200000,-258000000,168000000,130000000,-403200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,9700000,- -,- -,- -,- -,133300000,181400000,250400000,352200000,467500000,418800000,553600000,676700000,1272400000,484400000,971200000,894200000,774100000,678000000,408100000,478200000,466500000,501900000,630100000,372100000,540100000,670100000,266900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,24400000,6500000,13900000,25700000,9200000,9700000,7000000,72000000,28700000,25100000,133300000,181400000,250400000,352200000,467500000,418800000,553600000,676700000,1272400000,484400000,971200000,894200000,774100000,678000000,408100000,478200000,466500000,501900000,630100000,372100000,540100000,670100000
100,Free Cash Flow,- -,- -,- -,- -,-27300000,2200000,-81400000,-58400000,-21900000,-32400000,-25700000,-107400000,-243900000,-552000000,176400000,-19000000,41100000,357000000,129100000,224800000,405500000,249900000,62900000,-89100000,-718200000,-60000000,209800000,105700000,329200000,109100000,294000000,109500000,-9600000,64500000,160900000,233700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97216/000112528206001131/0001125282-06-001131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000093041307001796/c47041.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420408012125/v105140_10k.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420409011131/0001144204-09-011131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000110465910009153/0001104659-10-009153-index.html,- -,https://www.sec.gov/Archives/edgar/data/97216/000009721612000047/0000097216-12-000047-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721613000040/0000097216-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721614000027/tex201310-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721615000030/tex201410-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721616000245/0000097216-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721617000029/0000097216-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721618000024/0000097216-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721619000024/0000097216-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721620000027/0000097216-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721621000030/0000097216-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721622000009/0000097216-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
