,https://roic.ai/company/SANM,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-3300000,-2100000,-3100000,-15300000,-14100000,-105700000,-43200000,-28500000,-418100000,-320573000,-845426000,305292000,-207190000,-125649000,-170050000,-86167000,-16864000,11383000,-91916000,-64295000,-98105000,-78027000,-42870000,-141890000,-102423000,-174538000,-107898000,-116178000,-127641000,-64409000,-91325000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31492000,-219867000,-657423000,-971730000,-1555081000,-1076246000,-2717115000,-3069846000,-916186000,-3914016000,-4477741000,-1948048000,-418352000
91,Common Stock Issued,- -,- -,20900000,21900000,2000000,3100000,7100000,9700000,32600000,605648000,57211000,17545000,13585000,35680000,16767000,12848000,3000,- -,- -,3821000,4603000,2595000,11611000,16859000,18724000,18221000,27129000,4407000,13539000,7793000,2993000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24929000,-116344000,- -,- -,- -,- -,- -,- -,-29163000,-759000,-21000,-305000,-1525000,-76237000,-122762000,-142246000,-176944000,-157625000,-12614000,-179025000,-64059000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2300000,-3100000,-30700000,-4400000,81500000,-1900000,-400000,-31400000,318500000,477407000,-9961000,-534951000,-384132000,-25175000,-256014000,-156907000,-43775000,-120000000,-19140000,54192000,563887000,602627000,1265736000,1032597000,2694392000,2962450000,930508000,4038899000,4256598000,1909000000,402100000
95,Cash Used/Provided by Financing Activities,-2300000,-3100000,-9800000,17500000,83500000,1200000,6700000,-21700000,351100000,1083055000,22321000,-633750000,-370547000,10505000,-239247000,-144059000,-43772000,-120000000,-79795000,-162613000,-88954000,-366813000,-279259000,-103027000,-126761000,-231421000,-135493000,-28335000,-220218000,-210280000,-77318000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5776000,-9015000,2024000,5598000,-6401000,-8091000,-11694000,16297000,5729000,3831000,-1097000,-373000,-1243000,-2503000,1267000,-66000,1878000,803000,956000,107000,-81000,-199000
97,Net Change In Cash,-2300000,-3100000,-9800000,17500000,83500000,-77700000,11900000,33000000,48100000,844088000,-430593000,496885000,-20684000,72299000,-1394000,-576224000,441595000,-63623000,29350000,-306339000,47476000,-230670000,-6743000,63732000,-54354000,-13965000,8373000,12867000,35213000,25785000,169500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,29600000,41500000,75300000,136100000,992842000,567649000,1064534000,1043850000,1116149000,1068053000,491829000,933424000,869801000,899151000,592812000,640288000,409618000,402875000,466607000,412253000,398288000,406661000,419528000,454741000,480526000,650026000
99,Cash at the Beginning of Period,2000000,1200000,3800000,600000,14700000,107300000,29600000,42300000,88000000,148754000,998242000,567649000,1064534000,1043850000,1069447000,1068053000,491829000,933424000,869801000,899151000,592812000,640288000,409618000,402875000,466607000,412253000,398288000,406661000,419528000,454741000,480526000
100,Free Cash Flow,1500000,5700000,6600000,600000,13300000,5000000,18200000,54200000,49800000,-111285000,213996000,730328000,480708000,106646000,341445000,-473499000,397576000,-82213000,131299000,-159750000,127334000,136782000,241939000,237875000,55799000,269716000,139128000,37543000,248291000,234573000,265046000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/0000891618-97-005030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/000089161801502766/0000891618-01-502766-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089161802005406/f86269e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000089161803006226/f94972e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746904038573/a2147074z10-k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465905063029/a05-21815_410k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465907000416/a06-25805_310k.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746907009573/0001047469-07-009573-index.html,https://www.sec.gov/Archives/edgar/data/897723/000104746908012528/0001047469-08-012528-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772309000007/0000897723-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772310000011/0000897723-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772311000023/0000897723-11-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772312000027/0000897723-12-000027-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772313000023/0000897723-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772314000022/0000897723-14-000022-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772315000026/0000897723-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772316000049/0000897723-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772317000029/0000897723-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772318000031/0000897723-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772319000034/0000897723-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772320000034/0000897723-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/897723/000089772321000028/0000897723-21-000028-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
