,https://roic.ai/company/J,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843094000977/0000898430-94-000977-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843096005938/0000898430-96-005938-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843098004557/0000898430-98-004557-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843000003950/0000898430-00-003950-index.html,https://www.sec.gov/Archives/edgar/data/52988/000089843001504046/0000898430-01-504046-index.html,https://www.sec.gov/Archives/edgar/data/52988/000089843002004659/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312503099528/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312504211891/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312505241653/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312506248847/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312507255216/0001193125-07-255216-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312508244600/0001193125-08-244600-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312509239188/0001193125-09-239188-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/0001193125-10-267422-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/0001193125-11-318681-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/0000052988-12-000086-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298813000140/0000052988-13-000140-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298814000173/0000052988-14-000173-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298815000155/0000052988-15-000155-index.html,https://www.sec.gov/Archives/edgar/data/52988/000156459016029571/0001564590-16-029571-index.html,https://www.sec.gov/Archives/edgar/data/52988/000156459017024192/0001564590-17-024192-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298818000036/0000052988-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/0000052988-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298820000070/0000052988-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298821000065/0000052988-21-000065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,900000,3500000,6600000,10200000,14400000,20400000,26600000,28700000,18800000,32200000,40400000,46900000,54400000,65400000,50981000,87760000,109690000,128010000,128975000,151020000,196883000,287130000,420742000,400000000,246000000,331029000,379000000,423000000,328000000,302971000,210463000,292433000,162623000,847184000,491845000,477030000
74,Depreciation and Amortization,- -,- -,- -,2700000,2200000,3200000,4100000,5500000,6900000,7700000,8800000,11000000,14200000,17300000,18800000,23000000,31600000,40098000,38940000,35087000,35350000,34154000,47535000,48262000,55670000,73126000,86342000,88495000,95370000,100824000,98874000,145412000,149292000,129971000,122513000,198587000,169269000,181633000,250800000
75,Deferred Income Tax,- -,- -,- -,100000,1900000,1500000,-1700000,-3900000,-4300000,-3800000,-3600000,- -,- -,- -,- -,-5100000,-7200000,14437000,- -,-3639000,3036000,-10923000,-4026000,-223000,-1450000,386000,342000,551000,15853000,-1036000,-4358000,30799000,-31177000,-27407000,36663000,288126000,-105939000,82275000,113623000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24085000,24361000,29084000,32442000,39518000,43400000,41412000,32370000,38764000,79242000,69137000,48150000,56221000
77,Change in Working Capital,- -,- -,- -,14200000,18900000,-4700000,10900000,6600000,21100000,26100000,13900000,5500000,7200000,42200000,22700000,19500000,-53100000,22560000,78340000,-11014000,124197000,38916000,154737000,224430000,224878000,171593000,348763000,6000000,-428692000,765692000,287000000,-610000000,-400488000,-59728000,-11831000,340938000,-372829000,559940000,-31795000
78,Accounts Receivable,- -,- -,- -,23000000,-24000000,-58000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107784000,242154000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,3000000,-6000000,-44000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46920000,-15997000,10673000,82389000,108241000,-28943000,-44214000,153961000,183057000,295146000,-92838000,-165502000
81,Other Working Capital,- -,- -,- -,7800000,26700000,22000000,32900000,39500000,60600000,86700000,100600000,106100000,113300000,155500000,178200000,197700000,144600000,167160000,245500000,234486000,358683000,397599000,552336000,776766000,1001644000,1173237000,1522000000,1528000000,1099308000,1865000000,2152000000,1542000000,1141512000,1081784000,1069953000,1410891000,1038062000,1598002000,- -
82,Other Non-Cash Items,- -,- -,- -,200000,-26800000,14700000,-32400000,-20400000,-12000000,-58700000,-26100000,6000000,-21600000,-45600000,-44500000,-1300000,45100000,-46775000,-189932000,30639000,-143049000,-103360000,-187937000,-245821000,-205367000,-352436000,-326065000,-168437000,193846000,-977117000,-395518000,784105000,422562000,394504000,96339000,-588364000,-973258000,-556994000,-139603000
83,Cash Provided by Operating Activities,- -,- -,- -,18100000,-300000,21300000,-8900000,2200000,32100000,-2100000,21700000,41300000,32000000,54300000,43900000,90500000,81800000,81301000,15108000,160763000,147544000,87762000,161329000,223531000,360861000,313411000,533467000,196970000,236490000,299805000,448516000,721716000,484572000,680173000,574881000,481152000,-366436000,806849000,726276000
84,CAPEX,- -,- -,- -,-1900000,-3200000,-3900000,-6700000,-5600000,-8500000,-12100000,-9900000,-24300000,-39700000,-16700000,-28000000,-46300000,-240100000,-44369000,-28795000,-37182000,-25804000,-37110000,-43902000,-53980000,-64620000,-114786000,-55528000,-49075000,-98749000,-102574000,-127270000,-132146000,-88404000,-77715000,-118060000,-94884000,-135977000,-118269000,-92814000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27284000,-28605000,-43529000,- -,-163752000,- -,-10955000,-88721000,-264067000,-23329000,-259492000,-711421000,-91575000,-34085000,-1384342000,-8101000,-68982000,-152226000,-1480600000,2225202000,-310919000,-1709718000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-15000000,-7500000,-900000,-3000000,-21700000,-20000000,-5400000,-1800000,-7772000,-4209000,-2686000,-5606000,-8772000,- -,-3714000,-2853000,- -,-34040000,-108492000,-193000,-38000,-15000,-25137000,- -,-3403000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1500000,1000000,1900000,12400000,2700000,18700000,100000,300000,900000,10000000,18300000,3169000,3023000,8499000,12443000,8321000,1564000,- -,- -,7431000,- -,- -,4667000,15000,11000,58000,13000,- -,31701000,- -,64708000,- -,421315000
88,Other Investing Activites,- -,- -,- -,100000,-1500000,-6400000,200000,700000,-900000,700000,-9800000,-44600000,-2400000,-1900000,-22400000,32100000,3000000,-30449000,-5042000,-17633000,1311000,-1747000,-25992000,1081000,-9602000,-38488000,17983000,42708000,3860000,13045000,4276000,22785000,369000,452000,2387000,-2123000,-1584000,96000,474000
89,Cash Used for Investing Activites,- -,- -,- -,-1800000,-4700000,-10300000,-5100000,-3900000,-7500000,-14000000,-24500000,-51100000,-45000000,-40000000,-69500000,-9600000,-220600000,-106705000,-63628000,-92531000,-17656000,-203060000,-68330000,-67568000,-165796000,-409910000,-94914000,-374351000,-801836000,-181127000,-157083000,-1518782000,-96123000,-139621000,-236198000,-1577607000,2152349000,-429092000,-1380743000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47993000,-217000,-398583000,-579999000,-153693000,-681517000,-2289299000,-1854831000,-1847499000,-4575573000,-4025536000,-2721475000,-3224640000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,9300000,1100000,4800000,6700000,6500000,6800000,6500000,8300000,- -,- -,14700000,16006000,18198000,21672000,27849000,27661000,37059000,29388000,34691000,46362000,43361000,36209000,45943000,43568000,46079000,44704000,33222000,43140000,62645000,53584000,64958000,37235000,38077000
92,Common Stock Repurchased,- -,- -,- -,-1200000,- -,200000,- -,- -,- -,- -,- -,- -,- -,-3600000,-12100000,-18000000,- -,-13714000,-9523000,-2003000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78399000,-422316000,-152550000,-97180000,-2981000,-853676000,-337251000,-274948000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54234000,-86569000,-106396000,-143962000,-155972000
94,Other Financing Activites,- -,- -,- -,-10200000,18400000,-10600000,800000,-4000000,-17300000,- -,-6700000,27600000,100000,4900000,32400000,-17400000,79600000,40555000,23476000,-84372000,-82812000,63691000,12603000,18931000,-54986000,52427000,-34371000,59638000,909573000,533707000,47907000,1020132000,2125079000,1647215000,1693688000,5753959000,2951638000,2957138000,4416466000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-11400000,18400000,-10400000,10100000,-2900000,-12500000,6700000,-200000,34400000,6600000,9600000,20300000,-35400000,94300000,42847000,32151000,-64703000,-54963000,91352000,49662000,48319000,-20295000,98789000,-39003000,95630000,556933000,-2724000,-59707000,304920000,-553314000,-317026000,-242580000,1142420000,-1969012000,-208315000,798983000
96,Effect of Forex Changes on Cash,- -,- -,- -,500000,600000,-100000,-100000,1100000,-500000,300000,-300000,500000,- -,-100000,-1600000,-100000,-3300000,-5077000,-216000,-4323000,2761000,-2134000,-2887000,-10064000,4515000,-11222000,29649000,-13026000,-24796000,10870000,-7778000,-31612000,-106923000,-28669000,22332000,-26758000,20809000,61914000,19635000
97,Net Change In Cash,- -,- -,- -,5400000,14000000,500000,10100000,-2900000,-12500000,6700000,-200000,34400000,6600000,9600000,20300000,-35400000,-47800000,12366000,-16585000,-794000,77686000,-26080000,139774000,194218000,179285000,-8932000,429199000,-94777000,-33209000,126824000,223948000,-523758000,-271788000,194857000,118435000,19207000,-162290000,231356000,164151000
98,Cash at the End of Period,- -,- -,- -,9400000,19000000,27500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53500000,65848000,49263000,48469000,126155000,100075000,239849000,434067000,613352000,604420000,1033619000,938842000,905633000,1032457000,1256405000,732647000,460859000,655716000,774151000,793358000,631068000,862424000,1026575000
99,Cash at the Beginning of Period,- -,- -,- -,4000000,5000000,27000000,27600000,23700000,20200000,31800000,24000000,20500000,45600000,39100000,62900000,56000000,101300000,53482000,65848000,49263000,48469000,126155000,100075000,239849000,434067000,613352000,604420000,1033619000,938842000,905633000,1032457000,1256405000,732647000,460859000,655716000,774151000,793358000,631068000,862424000
100,Free Cash Flow,- -,- -,- -,16200000,-3500000,17400000,-15600000,-3400000,23600000,-14200000,11800000,17000000,-7700000,37600000,15900000,44200000,-158300000,36932000,-13687000,123581000,121740000,50652000,117427000,169551000,296241000,198625000,477939000,147895000,137741000,197231000,321246000,589570000,396168000,602458000,456821000,386268000,-502413000,688580000,633462000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843094000977/0000898430-94-000977-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843096005938/0000898430-96-005938-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843098004557/0000898430-98-004557-index.html,- -,https://www.sec.gov/Archives/edgar/data/52988/000089843000003950/0000898430-00-003950-index.html,https://www.sec.gov/Archives/edgar/data/52988/000089843001504046/0000898430-01-504046-index.html,https://www.sec.gov/Archives/edgar/data/52988/000089843002004659/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312503099528/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312504211891/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312505241653/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312506248847/d10k.htm,https://www.sec.gov/Archives/edgar/data/52988/000119312507255216/0001193125-07-255216-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312508244600/0001193125-08-244600-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312509239188/0001193125-09-239188-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312510267422/0001193125-10-267422-index.html,https://www.sec.gov/Archives/edgar/data/52988/000119312511318681/0001193125-11-318681-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298812000086/0000052988-12-000086-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298813000140/0000052988-13-000140-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298814000173/0000052988-14-000173-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298815000155/0000052988-15-000155-index.html,https://www.sec.gov/Archives/edgar/data/52988/000156459016029571/0001564590-16-029571-index.html,https://www.sec.gov/Archives/edgar/data/52988/000156459017024192/0001564590-17-024192-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298818000036/0000052988-18-000036-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298819000069/0000052988-19-000069-index.html,https://www.sec.gov/Archives/edgar/data/52988/000005298820000070/0000052988-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/52988/000005298821000065/0000052988-21-000065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
