,https://roic.ai/company/LZB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,170300000,172900000,184500000,201500000,224100000,237300000,240600000,245100000,274700000,293200000,455400000,458900000,444800000,464900000,370353000,409641000,356149000,312588000,263600000,221800000,280800000,300119000,350200000,350700000,355300000,321560000,324545000,318746000,336871000,302482000,276157000,8790000
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,-1800000,-9700000,-21800000,-46600000,-21800000,-9700000,-8000000,-48200000,-21700000,-215915000,6877000,49957000,31893000,219920000,-70469000,120479000,61841000,93058000,139813000,-32323000,-43422000,-42291000,-16256000,-573000,19625000,-9266000,27487000,-41743000,76100000,5143000,-3092000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,18000000,38200000,36400000,34600000,28100000,40300000,52000000,60200000,55500000,81900000,58430000,116009000,133214000,124992000,136846000,45965000,89777000,33233000,49239000,51688000,89659000,27846000,82848000,68440000,90832000,86751000,112361000,146174000,115750000,150745000,164242000,309917000
84,CAPEX,- -,- -,- -,- -,-22400000,-21400000,-12200000,-12200000,-17500000,-19000000,-18200000,-17800000,-22000000,-25300000,-37968000,-37416000,-32966000,-32821000,-31593000,-34771000,-27991000,-25811000,-27386000,-15625000,-10986000,-10540000,-15663000,-25912000,-33730000,-70319000,-24684000,-20304000,-36337000,-48433000,-46035000,-37960000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57952000,- -,- -,-3089000,-9189000,-6806000,- -,- -,- -,- -,- -,- -,-971000,-15832000,6043000,-1774000,-23311000,-35878000,-16495000,-76505000,-6850000,-2000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25289000,-18165000,-34562000,-11330000,-4933000,-10200000,-7944000,-49589000,-54233000,-40327000,-21009000,-29763000,-28593000,-20698000,-37477000,-39584000
87,Sales/Maturities of Investments,- -,- -,- -,- -,3100000,2900000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12983000,17342000,35580000,34675000,8833000,10655000,8649000,18662000,34557000,33750000,28721000,19954000,22674000,20944000,37244000,36071000
88,Other Investing Activites,- -,- -,- -,- -,200000,1900000,500000,-600000,-2800000,-1300000,-100000,-7000000,-14500000,-4500000,-8479000,-174000,18587000,-25862000,5620000,17590000,9624000,88678000,12225000,-25353000,10109000,-10715000,-18828000,-31282000,-31383000,-58322000,-20971000,-19566000,-32810000,-46308000,-33682000,-35190000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-19100000,-16600000,-10100000,-12800000,-20300000,-20300000,-18300000,-24800000,-36500000,-29800000,-104399000,-37590000,-14379000,-61772000,-35162000,-23987000,-30673000,62044000,-14143000,-2008000,14009000,-10260000,-19094000,-78041000,-45016000,-66673000,-36570000,-65253000,-55224000,-122567000,-40765000,-40703000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92139000,-54707000,-41618000,-25936000,-2511000,-579000,-7571000,-508000,-288000,-262000,-223000,-161000,-75050000
91,Common Stock Issued,- -,- -,- -,- -,1700000,2700000,3500000,3900000,4900000,1800000,4300000,5800000,7400000,8300000,9235000,10564000,22652000,11462000,6714000,4573000,- -,- -,- -,- -,- -,270000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-200000,-900000,-400000,-2700000,-2900000,-12800000,-10000000,-20800000,-16400000,-30500000,-31046000,-23906000,-42372000,-130287000,-72509000,-2476000,-10890000,-6947000,-269000,- -,- -,- -,-5179000,-10333000,-32097000,-51853000,-44082000,-35957000,-56730000,-22957000,-43369000,-44202000
93,Dividends Paid,- -,- -,- -,- -,-9600000,-10000000,-10500000,-10900000,-11700000,-12300000,-13700000,-14100000,-15000000,-16400000,-17447000,-21189000,-21886000,-22941000,-21514000,-22868000,-22923000,-24886000,-20746000,-5177000,- -,- -,- -,-4236000,-10514000,-14513000,-18141000,-20655000,-22009000,-23508000,-25091000,-16542000
94,Other Financing Activites,- -,- -,- -,- -,-2500000,-7300000,-9700000,-4800000,-700000,4300000,-14300000,-7800000,8400000,-7900000,66104000,-34026000,-73982000,79989000,-10085000,1939000,-39423000,-35356000,-50929000,50794000,42852000,30585000,4598000,5464000,16500000,2781000,1684000,5303000,2746000,13901000,78029000,-5260000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-10600000,-15500000,-17100000,-14500000,-10400000,-19000000,-33700000,-36900000,-15600000,-46500000,26846000,-68557000,-115588000,-61777000,-97394000,-18832000,-73236000,-67189000,-71944000,-46522000,-11855000,-10763000,-26517000,-11616000,-26690000,-71156000,-61047000,-51597000,-76255000,-32787000,9408000,-141054000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,100000,-400000,-200000,-300000,- -,- -,-100000,- -,-700000,-74000,-650000,-41000,603000,775000,677000,516000,-456000,109000,-901000,-756000,12000,-129000,-68000,-550000,-281000,-688000,178000,1741000,-475000,-1144000,3015000
97,Net Change In Cash,- -,- -,- -,- -,-10600000,-15500000,-17100000,-14500000,-10400000,-19000000,-33700000,-36900000,-15600000,-46500000,-19197000,9212000,3206000,2046000,5065000,3823000,-13616000,27632000,-36739000,2888000,91057000,6835000,37108000,-21285000,18576000,-51359000,14056000,29502000,-13988000,-5084000,131741000,131175000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14353000,23565000,26771000,28817000,33882000,37705000,24089000,51721000,14982000,17364000,108421000,115262000,152370000,131085000,149661000,98302000,112358000,141860000,136871000,131787000,263528000,394703000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18200000,6700000,13000000,21700000,28800000,25900000,27000000,27100000,25400000,28700000,33550000,14353000,23565000,26771000,28817000,33882000,37705000,24089000,51721000,14476000,17364000,108427000,115262000,152370000,131085000,149661000,98302000,112358000,150859000,136871000,131787000,263528000
100,Free Cash Flow,- -,- -,- -,- -,-4400000,16800000,24200000,22400000,10600000,21300000,33800000,42400000,33500000,56600000,20462000,78593000,100248000,92171000,105253000,11194000,61786000,7422000,21853000,36063000,78673000,17306000,67185000,42528000,57102000,16432000,87677000,125870000,79413000,102312000,118207000,271957000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713194000013/0000057131-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713195000048/0000057131-95-000048-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713196000034/0000057131-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713197000021/0000057131-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713198000032/0000057131-98-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713100000017/0000057131-00-000017-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713101500015/0000057131-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713102000017/0000057131-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000095012408002750/0000950124-08-002750-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420409032651/0001144204-09-032651-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420410033393/0001144204-10-033393-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420411036816/0001144204-11-036816-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420412035439/v314673_10k.htm,https://www.sec.gov/Archives/edgar/data/57131/000114036113025602/0001140361-13-025602-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114036114025965/0001140361-14-025965-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746915005489/0001047469-15-005489-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746916013932/0001047469-16-013932-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746917004131/0001047469-17-004131-index.html,https://www.sec.gov/Archives/edgar/data/57131/000110465918041060/0001104659-18-041060-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746919003700/0001047469-19-003700-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713120000035/0000057131-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/57131/000005713121000049/0000057131-21-000049-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
