,https://roic.ai/company/PCAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1011000000,1160300000,2126900000,1334300000,1311200000,1474500000,1654900000,1547400000,1551700000,1556800000,2314400000,6246300000,3057400000,3769000000,3908600000,3377200000,3126100000,2981800000,4555100000,6007400000,5724600000,5971100000,6232700000,6155700000,6693700000,7425500000,7739800000,7406700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547200000,563800000,712000000,903500000,1093800000,970900000,1047400000,1072600000,1339000000,842400000,587300000,457400000,329100000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,143500000,150600000,152100000,154900000,162500000,190100000,220600000,267300000,639600000,703900000,823600000,806500000,913000000,1038000000,1369700000,734800000,713800000,942800000,940000000,973300000,909200000,889100000,934900000,773700000,704900000,790200000,854600000,590400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,118100000,225200000,226100000,336400000,395700000,512000000,696300000,516400000,560400000,526200000,410400000,477500000,539400000,470800000,405300000,370300000,507000000,579500000,734400000,718800000,720200000,739100000,939800000,1145700000,1435100000,1487200000,1436500000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1240300000,1429000000,2504200000,1715300000,1810100000,2060300000,2387500000,2511000000,2707700000,2821100000,3664200000,7463200000,4447900000,5346400000,5749100000,5064500000,4774000000,5143600000,6978100000,8808900000,8323500000,8627800000,8979300000,9208200000,9386700000,10238100000,10539000000,9762700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2720800000,3139300000,3940800000,4101600000,5030600000,5822400000,6021800000,5661300000,6101800000,6693200000,8465600000,9814300000,11651200000,12215100000,11403100000,9465300000,8876300000,11808300000,12780900000,14091200000,13865600000,14169400000,13861300000,15389700000,16889500000,18655000000,17870000000,17864300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78300000,78800000,79200000,115900000,175100000,173900000,169400000,248500000,368400000,363100000,364400000,365300000,356800000,353400000,354300000,355200000,351300000,350700000,351800000,346600000,346300000,346600000,347300000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,556500000,653800000,757700000,940800000,1185700000,1580900000,1854100000,1916500000,2113300000,2399200000,2826900000,3471500000,4026100000,4260600000,4724700000,4640500000,4846100000,5174500000,5596400000,6165100000,6863800000,7536800000,7484900000,8369100000,9275400000,10398500000,11005200000,11869200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365500000,-370000000,-528400000,-549400000,-675300000,-665300000,-712700000,-774000000,-893200000,-1052400000,-1170300000,155000000,156000000,408000000,-270000000,36000000,41000000,-219000000,-160000000,9000000,-580000000,-1017000000,-1128000000,-794000000,-1099000000,-1100000000,-1050300000,-921100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,983500000,967400000,1128700000,1106400000,1253800000,1116700000,1028900000,1030900000,1264700000,1724500000,1931900000,105200000,25600000,-23900000,28900000,62800000,105400000,52100000,57100000,105900000,114200000,69300000,70000000,123600000,69900000,61300000,88500000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174500000,1251200000,1358000000,1497800000,1764200000,2110600000,2249100000,2252600000,2600700000,3246400000,3762400000,3901100000,4456200000,5013100000,4846700000,5103700000,5357800000,5364400000,5846900000,6634300000,6753200000,6940400000,6777600000,8050500000,8592900000,9706100000,10390000000,11437400000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3895300000,4390500000,5298800000,5599400000,6794800000,7933000000,8270900000,7913900000,8702500000,9939600000,12228000000,13715400000,16107400000,17228200000,16249800000,14569000000,14234100000,17172700000,18627800000,20725500000,20618800000,21109800000,20638900000,23440200000,25482400000,28361100000,28260000000,29301700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,32900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3928200000,4390500000,5298800000,5599400000,6794800000,7933000000,8270900000,7913900000,8702500000,9939600000,12228000000,13715400000,16107400000,17228200000,16249800000,14569000000,14234100000,17172700000,18627800000,20725500000,20618800000,21109800000,20638900000,23440200000,25482400000,28361100000,28260000000,29301700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75362/000091205701504547/a2040860z10-k405.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465902000837/j3169_10k405.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465903003908/j8019_10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465904007210/ba_10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465905009484/a05-1783_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465906012138/a06-2326_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465907013855/a07-4930_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465908013201/a08-2420_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465909012954/0001104659-09-012954-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312510042642/0001193125-10-042642-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312511051678/d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312512086978/0001193125-12-086978-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312513080215/0001193125-13-080215-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312514073103/d628678d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312515065702/d823556d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312516465258/0001193125-16-465258-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312517050405/0001193125-17-050405-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459018002675/0001564590-18-002675-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459019003670/0001564590-19-003670-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459020005276/0001564590-20-005276-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459021006370/0001564590-21-006370-index.htm,https://www.sec.gov/Archives/edgar/data/75362/000156459022006237/0001564590-22-006237-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,241900000,63700000,39700000,65200000,142200000,204500000,252800000,201000000,344600000,416800000,583600000,441800000,173600000,372000000,526500000,906800000,1133200000,1496000000,1227300000,1017900000,111900000,457600000,1042300000,1111600000,1171300000,1358800000,1604000000,521700000,1675200000,2195100000,2387900000,1298400000,1852100000
74,Depreciation and Amortization,- -,- -,- -,- -,52700000,51800000,49200000,47200000,56700000,63200000,72400000,81100000,112000000,123900000,146900000,155500000,179900000,218200000,267500000,315000000,370100000,434600000,526400000,649400000,638100000,623200000,673800000,700900000,810700000,917700000,907100000,993100000,1107500000,1054100000,1077300000,1049000000,903300000
75,Deferred Income Tax,- -,- -,- -,- -,-7200000,-1700000,-4900000,-8400000,-14000000,-24300000,-4600000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000000,159700000,46300000,224100000,151700000,97300000,-98000000,-55200000,30900000,-173900000,17500000,70800000,-500000,-212900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
