,https://roic.ai/company/COO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13090000,-24789000,- -,-4956000,55000,-5167000,-4528000,1645000,-25100000,-59500000,-55600000,8500000,-75500000
79,Inventory,- -,- -,- -,- -,-900000,- -,-2800000,-3700000,1200000,3300000,2100000,-400000,-3900000,-6900000,-3100000,-2150000,-11581000,-8111000,-12860000,-15126000,-13596000,-49374000,-27676000,-15540000,22601000,34978000,-17205000,-58094000,-22574000,-7582000,-37357000,12249000,-30900000,-5000000,-37300000,-62300000,-9200000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13517000,8644000,5185000,13575000,-6294000,1288000,10108000,-10465000,25000000,2900000,3600000,23200000,-16000000
81,Other Working Capital,- -,- -,- -,- -,151900000,- -,122200000,66300000,14300000,1200000,1600000,9200000,35000000,69400000,58600000,47410000,87232000,72229000,145910000,187989000,186092000,180321000,231042000,270625000,328464000,291820000,273141000,395308000,425988000,349435000,272646000,398003000,557100000,554400000,52800000,269800000,-27500000
82,Other Non-Cash Items,- -,- -,- -,- -,-19500000,- -,27700000,57100000,48900000,11700000,-200000,-20400000,-23100000,-35400000,-1800000,3622000,-75222000,-1030000,-82688000,-61539000,42710000,41577000,13887000,-94580000,-47190000,89620000,71925000,-181333000,-47605000,102809000,34372000,-107044000,-156897000,210500000,448100000,-292600000,92900000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-25100000,- -,-25500000,-22700000,-44800000,-2000000,3400000,3500000,11700000,11400000,27700000,41028000,25619000,55947000,79556000,101198000,183843000,162716000,133984000,96528000,223128000,267663000,336281000,315121000,415925000,454823000,390970000,509637000,593600000,668900000,713200000,486600000,738600000
84,CAPEX,- -,- -,- -,- -,-20900000,- -,-1500000,-3700000,-1700000,- -,-2200000,-3200000,-7800000,-53900000,-10100000,-39109000,-16991000,-23434000,-33872000,-40505000,-117093000,-154864000,-183625000,-124885000,-93906000,-73757000,-103665000,-99779000,-178127000,-238065000,-243023000,-152640000,-127200000,-193600000,-292100000,-310400000,-214400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48217000,-136138000,-75158000,-63942000,-627006000,-67953000,-80969000,-3872000,-4731000,-32847000,-58010000,-145319000,-13045000,-1109702000,-44924000,-266139000,-254100000,-1323900000,-59200000,-54100000,-235900000
86,Purchases of Investments,- -,- -,- -,- -,-16400000,- -,- -,-263500000,-3700000,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,267500000,32100000,7300000,100000,- -,- -,- -,5400000,- -,- -,4382000,1609000,3810000,1779000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,524300000,- -,-14000000,-10000000,-100000,2700000,-300000,-3300000,-9700000,-5400000,24900000,-1455000,- -,97000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,6624000,1254000,1359000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,487000000,- -,-15500000,-9700000,26600000,9100000,-2400000,-6500000,-17500000,-59300000,20200000,-40564000,-65208000,-155093000,-107428000,-100637000,-742320000,-222817000,-264594000,-128757000,-98637000,-106604000,-161675000,-238474000,-189918000,-1346408000,-287947000,-418779000,-381300000,-1517500000,-351300000,-364500000,-450300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-857745000,-736560000,-1683212000,-1317898000,-1813663000,-1673772000,-1423337000,-1592259000,-1576300000,-1912100000,-1861800000,-3242500000,-1416000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,50400000,- -,900000,3078000,18912000,6125000,23986000,13766000,25163000,3020000,9258000,6250000,- -,11096000,82035000,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71150000,-167334000,-75778000,-67304000,- -,-55000000,- -,-156100000,-47800000,-24800000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-1134000,-1038000,-1527000,-1952000,-1943000,-2306000,-2671000,-2681000,-2699000,-2712000,-2732000,-2816000,-2857000,-2918000,-2884000,-2906000,-2914000,-2900000,-2900000,-3000000,-3000000,-3000000
94,Other Financing Activites,- -,- -,- -,- -,-308500000,- -,-19200000,-6200000,-9700000,-6900000,-200000,-1500000,-33300000,45300000,-27600000,-9157000,20112000,91727000,42570000,-20496000,528932000,36969000,118571000,27653000,737718000,566629000,1431120000,1323462000,1822318000,2594599000,1386870000,1593791000,1406300000,2759400000,1669500000,3195800000,1132400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-308500000,- -,-19200000,-6200000,-9700000,-6900000,-100000,-1300000,17100000,37300000,-34600000,-7213000,37986000,96325000,64604000,-8673000,551789000,37318000,125148000,31204000,-122739000,-161567000,-172873000,-68443000,-161597000,842165000,-106677000,-1382000,-227900000,844400000,-351400000,-95500000,-311400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,300000,435000,-77000,148000,446000,47000,-1854000,181000,464000,-257000,236000,149000,-131000,-539000,143000,-2751000,-5142000,-5085000,3600000,-4400000,-1200000,700000,2900000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,-6314000,-1680000,-2673000,37178000,-8065000,-8542000,-22602000,-4998000,-1282000,1988000,-359000,1602000,7665000,64553000,-52171000,-8796000,84391000,-12000000,-8600000,9300000,27300000,-20200000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20900000,14608000,12928000,10255000,47433000,39368000,30826000,8224000,3226000,1944000,3932000,3573000,5175000,12840000,77393000,25222000,16426000,100817000,88800000,80200000,89500000,116800000,96600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,43700000,- -,136900000,76700000,38100000,10100000,10300000,11200000,6800000,18200000,7300000,20922000,14608000,12928000,10255000,47433000,39368000,30826000,8224000,3226000,1944000,3932000,3573000,5175000,12840000,77393000,25222000,16426000,100800000,88800000,80200000,89500000,116800000
100,Free Cash Flow,- -,- -,- -,- -,-46000000,- -,-27000000,-26400000,-46500000,-2000000,1200000,300000,3900000,-42500000,17600000,1919000,8628000,32513000,45684000,60693000,66750000,7852000,-49641000,-28357000,129222000,193906000,232616000,215342000,237798000,216758000,147947000,356997000,466400000,475300000,421100000,176200000,524200000
101,SEC Link,undefined,undefined,undefined,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011795000007/0000950117-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011797000110/0000950117-97-000110-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/0000950117-00-000158-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000119312506007300/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312506259322/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312507270797/0001193125-07-270797-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312508257120/0001193125-08-257120-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312509256112/0001193125-09-256112-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312510283357/0001193125-10-283357-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312511343993/0001193125-11-343993-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140412000011/0000711404-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140413000012/0000711404-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140414000017/0000711404-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140415000021/0000711404-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140416000042/0000711404-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140417000044/0000711404-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140418000047/0000711404-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140419000051/0000711404-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140420000042/0000711404-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/711404/000071140421000038/0000711404-21-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
