,https://roic.ai/company/ROST,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,-28500000,- -,- -,- -,- -,131800000,-10100000,13100000,39900000,-3900000,19900000,6300000,28400000,87000000,96294000,7606000,-66500000,81900000,-44300000,-28944000,196444000,136000000,-112600000,30500000,-134700000,129322000,165926000,291195000,164212000,169780000,-663641000,1994564000,532789000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-12200000,-28500000,-27100000,-36000000,-7900000,1700000,-20800000,-77700000,-45100000,-47600000,-34034000,-59071000,-63824000,-93128000,-124973000,-11621000,-84979000,-113638000,26434000,144237000,8560000,-214419000,-43153000,-79167000,-47918000,-115520000,-46429000,-93782000,-128849000,-108707000,-81897000,323357000,-753291000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101682000,115893000,102851000,-11614000,40109000,-4104000,204158000,-41464000,83085000,41322000,110483000,114153000,938837000,135311000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,131800000,121700000,134800000,174700000,170800000,190700000,197000000,225400000,312400000,408694000,416300000,349800000,431700000,387400000,358456000,554900000,690900000,578300000,608800000,474100000,603422000,769348000,1060543000,1224755000,1394535000,730894000,2725458000,3258247000
82,Other Non-Cash Items,- -,- -,- -,- -,2900000,6600000,12100000,-12200000,-19700000,-153500000,26000000,-5000000,-77300000,31600000,-29425000,-80030000,-15765000,-38106000,-117775000,-2143000,133433000,85516000,26859000,118761000,48038000,-197201000,34647000,-63260000,54334000,-21986000,-304840000,-241695000,-211364000,-148279000,695920000,-272014000,-1027185000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,16600000,37000000,52800000,43400000,39900000,45200000,88000000,117100000,117900000,200500000,183366000,143348000,242889000,332445000,315306000,298157000,375191000,506867000,353559000,583439000,888384000,673066000,820105000,979644000,1022003000,1372865000,1326252000,1558851000,1681278000,2066677000,2171546000,2245933000,1738849000
84,CAPEX,- -,- -,- -,- -,-30800000,-40700000,-31700000,-21700000,-34800000,-52100000,-41700000,-37100000,-33300000,-78500000,-74012000,-82114000,-86002000,-133166000,-146529000,-149541000,-175851000,-223955000,-236121000,-224418000,-158487000,-198651000,-416271000,-424434000,-550515000,-646691000,-366960000,-297880000,-371423000,-413898000,-555483000,-405433000,-557840000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67400000,- -,-71938000,-146082000,-36984000,-2904000,-6842000,- -,-5430000,-12012000,- -,-718000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43455000,59337000,137104000,42522000,24548000,8648000,4589000,6247000,1614000,12021000,1104000,1729000,40000,3489000,517000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,2500000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,- -,615000,356000,117000,10000,- -,-60086000,-2107000,-2895000,-4329000,4065000,3388000,18291000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-28300000,-39000000,-31700000,-21700000,-34800000,-52100000,-41700000,-37100000,-33300000,-78500000,-74012000,-82114000,-86002000,-133166000,-146529000,-199541000,-132396000,-235941000,-244743000,-218763000,-136833000,-196845000,-471768000,-425724000,-563808000,-638999000,-362509000,-292763000,-353092000,-410409000,-554966000,-405433000,-557840000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000000,- -,-1580610000,-65000000
91,Common Stock Issued,- -,- -,- -,- -,3800000,1000000,6600000,9700000,4600000,- -,7900000,38700000,34100000,22000000,21654000,14332000,54582000,50863000,24695000,23391000,39356000,32517000,20753000,47873000,49393000,36479000,17290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,25069000000
92,Common Stock Repurchased,- -,- -,- -,- -,-45600000,- -,- -,- -,-17600000,-12900000,-12100000,-80400000,-98100000,-110000000,-120000000,-169324000,-130676000,-149997000,-150003000,-175000000,-175000000,-203787000,-203879000,-304909000,-306045000,-384544000,-465854000,-479446000,-579851000,-589041000,-768925000,-743321000,-920433000,-1129384000,-1335665000,-177689000,-707342000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4900000,-5900000,-7000000,-8800000,-10400000,-11762000,-12418000,-13596000,-14847000,-17572000,-25260000,-30715000,-33634000,-40638000,-49838000,-55202000,-77321000,-102042000,-125694000,-147917000,-168454000,-192312000,-214640000,-247526000,-337189000,-369793000,-101404000,-405123000
94,Other Financing Activites,- -,- -,- -,- -,8900000,3700000,-16600000,-7300000,-300000,15900000,-36300000,-9900000,-200000,100000,- -,64000000,-64000000,25000000,25000000,-7962000,- -,109599000,5140000,5973000,7291000,14746000,18180000,48146000,45980000,297069000,62488000,41870000,18468000,20112000,22209000,3561562000,-25043931000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-32900000,4700000,-10000000,2400000,-13300000,-1900000,-46400000,-58600000,-73000000,-98300000,-110108000,-103410000,-153690000,-88981000,-117880000,-184831000,-166359000,-95305000,-218624000,-300901000,-304563000,-410640000,-532426000,-556994000,-681788000,-460426000,-898749000,-916091000,-1149491000,-1531461000,-1683249000,1701859000,-1152396000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-32900000,4700000,-10000000,2400000,-13300000,-1900000,-46400000,-58600000,-73000000,-98300000,-754000,-42175000,3197000,110298000,50897000,-86215000,76436000,175621000,-109808000,63775000,446988000,65581000,-184089000,-3074000,-223593000,273440000,64994000,349997000,178695000,124807000,-66669000,3542359000,28613000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79329000,37154000,40351000,150649000,201546000,115331000,191767000,367388000,257580000,321355000,768343000,833924000,649835000,646761000,423168000,696608000,761602000,1111599000,1290294000,1478079000,1411410000,4953769000,4982382000
99,Cash at the Beginning of Period,- -,- -,- -,- -,47000000,2500000,5300000,16400000,40500000,32300000,23600000,23400000,44800000,56400000,80083000,79329000,37154000,40351000,150649000,201546000,115331000,191767000,367388000,257580000,321355000,768343000,833924000,649835000,646761000,423168000,696608000,761602000,1111599000,1353272000,1478079000,1411410000,4953769000
100,Free Cash Flow,- -,- -,- -,- -,-14200000,-3700000,21100000,21700000,5100000,-6900000,46300000,80000000,84600000,122000000,109354000,61234000,156887000,199279000,168777000,148616000,199340000,282912000,117438000,359021000,729897000,474415000,403834000,555210000,471488000,726174000,959292000,1260971000,1309855000,1652779000,1616063000,1840500000,1181009000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745732/000074573296000004/0000745732-96-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745732/000091205700020304/0000912057-00-020304-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205701510903/0000912057-01-510903-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205702016435/0000912057-02-016435-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677403000339/d12512.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677404000332/rs907356.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677405000592/rs907928.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677406000745/rs101600.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677407000885/0001206774-07-000885-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677408000659/0001206774-08-000659-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677409000660/0001206774-09-000660-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677410000742/0001206774-10-000742-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677411000627/rossstores_10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677412001210/0001206774-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573213000006/0000745732-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573214000006/0000745732-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573215000009/rost-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573216000037/0000745732-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573217000009/0000745732-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573218000004/0000745732-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573219000009/0000745732-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573220000016/0000745732-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573221000017/0000745732-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573222000014/0000745732-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
