,https://roic.ai/company/FSS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,4000000,2600000,2600000,-2500000,1900000,-3100000,-13900000,-5200000,15600000,-6600000,-13900000,6000000
81,Other Working Capital,76600000,55700000,- -,59500000,63800000,1900000,-19200000,-23300000,-22700000,-56300000,-78900000,-107600000,-103900000,-35700000,76600000,60016000,162895000,172933000,119182000,188700000,164900000,144900000,187700000,158900000,113000000,85400000,126800000,117600000,132900000,151400000,197900000,174700000,186700000,169700000,200500000,257100000,261000000
82,Other Non-Cash Items,-17100000,3700000,- -,-29700000,200000,74400000,25500000,-1000000,-400000,26800000,15500000,5300000,-23200000,-79700000,-140100000,-5400000,-85139000,13735000,62355000,-50918000,84200000,11800000,-71800000,247200000,63200000,226700000,-44900000,48900000,-6700000,-50300000,-57800000,-27700000,-20500000,-22600000,-89800000,-75600000,-59900000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,34600000,48300000,43900000,40200000,48800000,53800000,62900000,61400000,64200000,75500000,57700000,64390000,95113000,88350000,75377000,52500000,72900000,29700000,65400000,123700000,62400000,31200000,6300000,23200000,74800000,72300000,97200000,24700000,72800000,92800000,103100000,136200000,101000000
84,CAPEX,- -,- -,- -,- -,-9200000,-8300000,-12000000,-8800000,-10100000,-11100000,-15700000,-16900000,-19600000,-20400000,-82300000,-22288000,-18424000,-20144000,-17850000,-20500000,-19500000,-18200000,-23500000,-28500000,-14600000,-12800000,-15700000,-13000000,-17000000,-19500000,-9600000,-6100000,-8000000,-14100000,-35400000,-29700000,-37000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24401000,-19657000,-48059000,- -,- -,- -,- -,-147500000,- -,-13500000,-97300000,- -,82100000,- -,7400000,- -,-102600000,-269200000,3000000,-49600000,-5400000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,81200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-14900000,-6300000,-35800000,-18100000,-28000000,-167000000,-72400000,-37300000,-18800000,-72600000,-22800000,-18141000,-21129000,10874000,2648000,54600000,16500000,400000,64400000,83100000,59100000,2100000,1900000,800000,1100000,500000,-3200000,91900000,-1000000,100000,600000,700000,-131000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-24100000,-14600000,-47800000,-26900000,-38100000,-96900000,-88100000,-54200000,-38400000,-93000000,-105100000,-64830000,-59210000,-57329000,-15202000,34100000,-3000000,-19300000,-106600000,54600000,31000000,-108000000,-13800000,69900000,-15900000,-11600000,-12800000,-16800000,-278200000,-11000000,-84400000,-34400000,-168000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77600000,-70800000,-15600000,-282300000,-153900000,-41600000,-5800000,-43400000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71200000,- -,- -,2600000,2600000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-400000,-6800000,-5600000,-4700000,-1800000,-9700000,-4100000,-6300000,-10200000,-9800000,-3600000,-17279000,-13155000,-4356000,-117000,- -,-5000000,-12100000,- -,-6000000,- -,- -,- -,- -,- -,-10300000,-13800000,-40500000,-2900000,-1700000,-3100000,-22800000,- -
93,Dividends Paid,- -,- -,- -,- -,-8300000,-9700000,-11700000,-13800000,-15900000,-18500000,-21800000,-25500000,-29300000,-32100000,-33600000,-34534000,-35150000,-35983000,-38333000,-19300000,-13500000,-11500000,-11500000,-11500000,-11700000,-13300000,-3700000,- -,- -,-5600000,-15600000,-16900000,-16800000,-18700000,-19300000,-19400000,-22000000
94,Other Financing Activites,- -,- -,- -,- -,-200000,-18100000,19800000,7300000,7400000,73300000,55800000,27700000,12000000,64100000,78100000,57045000,15728000,2218000,-21388000,-62400000,25600000,-59400000,48300000,-149200000,-7200000,130500000,-26500000,209600000,85700000,1200000,2200000,64400000,210400000,-60800000,-2200000,-11200000,48000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-8900000,-34600000,2500000,-11200000,-10300000,45100000,29900000,-4100000,-27500000,22200000,40900000,5232000,-32577000,-38121000,-59838000,-81700000,7100000,-83000000,36800000,-166700000,-96500000,117600000,-45800000,-72700000,-65600000,-53700000,-33000000,-36400000,190700000,-81200000,-24600000,-53400000,26000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,-700000,800000,200000,700000,-200000,800000,-400000,-800000,-1800000,1500000,-700000,100000,1700000,- -
97,Net Change In Cash,- -,- -,- -,- -,-8900000,-34600000,2500000,-11200000,-10300000,45100000,29900000,-4100000,-27500000,22200000,-6500000,4792000,3326000,-7100000,337000,4900000,77000000,-72600000,-3300000,10900000,-2300000,41000000,-52600000,20200000,-5900000,6600000,45600000,-30300000,-13200000,-100000,-5800000,50100000,-41000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,13556000,16882000,9782000,10119000,14900000,91900000,19300000,16000000,23400000,21100000,62100000,9500000,29700000,23800000,30400000,76000000,50700000,37500000,37400000,31600000,81700000,40000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,2500000,1500000,100000,2200000,2600000,4600000,9400000,12400000,10700000,15300000,8764000,13556000,16882000,9782000,10000000,14900000,91900000,19300000,12500000,23400000,21100000,62100000,9500000,29700000,23800000,30400000,81000000,50700000,37500000,37400000,31600000,81000000
100,Free Cash Flow,- -,- -,- -,- -,25400000,40000000,31900000,31400000,38700000,42700000,47200000,44500000,44600000,55100000,-24600000,42102000,76689000,68206000,57527000,32000000,53400000,11500000,41900000,95200000,47800000,18400000,-9400000,10200000,57800000,52800000,87600000,18600000,64800000,78700000,67700000,106500000,64000000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750995000002/0000277509-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750996000004/0000277509-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750997000004/0000277509-97-000004-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750902000002/0000277509-02-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000095013707002610/c12538e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013708002837/c24027e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013709001359/0000950137-09-001359-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012310017679/0000950123-10-017679-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012311025900/c62191e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000119312512115045/0001193125-12-115045-index.html,https://www.sec.gov/Archives/edgar/data/277509/000119312513109337/0001193125-13-109337-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750914000007/fss10k20131231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750915000008/fss10k20141231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750916000096/0000277509-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750917000008/0000277509-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750918000006/0000277509-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750919000008/0000277509-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750920000006/0000277509-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750921000005/0000277509-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750922000006/0000277509-22-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
