,https://roic.ai/company/MRTN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,19100000,18700000,20700000,23500000,21200000,2725000,2627000,-1200000,1708000,-20199000,-10474000,-25594000,4880000,304000,-28947000,7106000,-3008000,9532000,-7188000,3558000,12431000,-19440000,-43497000,-2307000,-16700000,-37953000,16166000,20652000,-27128000,-40877000,-7175000,8254000,-30895000
83,Cash Provided by Operating Activities,- -,- -,- -,9500000,14600000,11800000,16100000,16500000,21777000,21418000,16595000,24354000,24486000,28327000,26963000,39952000,38148000,39551000,50890000,72472000,77070000,61807000,76356000,81686000,64522000,86206000,85539000,89187000,81971000,128238000,133566000,121879000,150623000,153180000,189598000,171204000
84,CAPEX,- -,- -,- -,-9400000,-7700000,-16800000,-25600000,-29500000,-28017000,-39768000,-43387000,-34492000,-43802000,-64345000,-56245000,-31840000,-40028000,-55590000,-107102000,-121440000,-126645000,-77708000,-68564000,-112790000,-121304000,-84905000,-135353000,-120839000,-162530000,-187647000,-162353000,-156549000,-168522000,-189403000,-173052000,-6187000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1168000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32527000,-3635000,-50000,-28146000,-113170000,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32095000,3829000,- -,25892000,115656000,- -,138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,5000000,7900000,8420000,13309000,17706000,10123000,14540000,23905000,10327000,8369000,10653000,17496000,29116000,33315000,39603000,30932000,33216000,33140000,40143000,36496000,47238000,46117000,43924000,62566000,65063000,61231000,67252000,51006000,66727000,-117547000
89,Cash Used for Investing Activites,- -,- -,- -,-9400000,-7000000,-16800000,-20600000,-21600000,-19597000,-26459000,-25681000,-24369000,-29262000,-40440000,-45918000,-23471000,-29375000,-38094000,-77986000,-88557000,-86848000,-46826000,-37602000,-77164000,-81181000,-48271000,-88115000,-74722000,-118606000,-125081000,-97290000,-95318000,-101270000,-137229000,-106325000,-123734000
90,Debt Repayment,- -,- -,- -,-13400000,-14300000,-15100000,-13900000,-14700000,-17529000,-17446000,-21500000,-23783000,-59700000,-74239000,-86707000,-83385000,-81787000,-70972000,-114400000,-112674000,-120664000,-153121000,-196053000,-2473000,-142548000,-58044000,-18791000,-85423000,-144071000,-128414000,-209668000,-48717000,- -,- -,- -,-2743000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,- -,- -,129000,172000,353000,- -,- -,- -,294000,594000,53115000,3239000,525000,813000,303000,356000,332000,303000,137000,968000,1126000,1214000,3490000,4416000,1090000,938000,1620000,- -,876000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,- -,- -,- -,- -,-2130000,-1688000,- -,- -,- -,- -,- -,- -,- -,-810000,- -,- -,- -,- -,- -,- -,-16175000,-7513000,- -,-3756000,- -,-597000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-877000,-1758000,-18679000,-2769000,-3339000,-3342000,-3252000,-4361000,-5459000,-42089000,-52366000,-54735000
94,Other Financing Activites,- -,- -,- -,12900000,13600000,17500000,17600000,19200000,21139000,22559000,30112000,22469000,63540000,87366000,107350000,68600000,70430000,16400000,138257000,128459000,131537000,138467000,156530000,634000,159677000,37245000,21730000,82778000,169304000,141595000,179795000,40730000,-104000,-784000,4356000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-500000,-700000,2400000,3800000,4500000,-4390000,5242000,8784000,-961000,3840000,10997000,18955000,-14491000,-10763000,-1457000,27096000,16310000,11686000,-14351000,-39977000,-1507000,16555000,-22420000,-14772000,-4288000,23108000,-2846000,-36222000,-11258000,-8381000,-41253000,-48607000,-56602000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-500000,-700000,2400000,3800000,4500000,-2210000,201000,-302000,-976000,-936000,10997000,18955000,-14491000,-10763000,-1457000,27096000,225000,1908000,630000,-1223000,3015000,-104000,15515000,-17348000,10177000,-13527000,311000,54000,15303000,40972000,-25302000,34666000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,3129000,3330000,3028000,2052000,1116000,- -,- -,1990000,- -,- -,- -,1080000,2988000,3618000,2395000,5410000,5306000,20821000,3473000,13650000,123000,434000,488000,15791000,56763000,31461000,66127000,- -
99,Cash at the Beginning of Period,- -,- -,- -,2800000,2300000,9200000,6600000,5900000,5339000,3129000,3330000,3028000,2052000,1116000,- -,- -,1990000,- -,- -,855000,1080000,2988000,3618000,2395000,5410000,5306000,20821000,3473000,13650000,123000,434000,488000,15791000,56763000,31461000,- -
100,Free Cash Flow,- -,- -,- -,100000,6900000,-5000000,-9500000,-13000000,-6240000,-18350000,-26792000,-10138000,-19316000,-36018000,-29282000,8112000,-1880000,-16039000,-56212000,-48968000,-49575000,-15901000,7792000,-31104000,-56782000,1301000,-49814000,-31652000,-80559000,-59409000,-28787000,-34670000,-17899000,-36223000,16546000,165017000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205795001979/0000912057-95-001979-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205701505159/0000912057-01-505159-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000091205702012536/0000912057-02-012536-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465903005212/0001104659-03-005212-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465904007404/0001104659-04-007404-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465905010810/0001104659-05-010810-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465906015641/0001104659-06-015641-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465907019535/0001104659-07-019535-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465908017602/0001104659-08-017602-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465909017144/0001104659-09-017144-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465910014083/0001104659-10-014083-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774911001540/0001437749-11-001540-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774912002256/0001437749-12-002256-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774913002815/0001437749-13-002815-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774914003910/0001437749-14-003910-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774915004791/0001437749-15-004791-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774916027411/0001437749-16-027411-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774917004526/0001437749-17-004526-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774918004257/0001437749-18-004257-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774919003693/0001437749-19-003693-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774920003828/0001437749-20-003828-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774921004453/0001437749-21-004453-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774922004503/0001437749-22-004503-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
