,https://roic.ai/company/AEM,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,2179691,-2057534,1211122,-2462000,87311000,1175000,-920000,1887000,3074000,-10857000,-12522000,1066000,8329000,-31442000,55330000,-10926000,24513000,-51428000,1228475000,13934000,578947000,33179000,-15533000,-99211000,35307000,398609000,-358786000,-61821000,79672000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14048763,22885742,32335171,9267000,-2448000,3295000,-2903000,1334000,-4179000,13112000,4253000,49525000,82980000,226252000,229189000,118081000,115106000,483470000,663462000,696007000,438296000,668324000,616238000,778617000,767557000,605650000,881692000,1192054000,1315994000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14275356,-27163451,-43920108,-39623000,-36584000,-43347000,-68913000,-68387000,-36278000,-64836000,-42039000,-53318000,-70270000,-149185000,-510877000,-908853000,-657175000,-511641000,-482831000,-445550000,-577789000,-475412000,-449758000,-516050000,-874153000,-1089100000,-882664000,-759342000,-867684000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52284000,84207000,- -,- -,- -,-163047000,-9322000,-10051000,-400032000,-12983000,-12434000,-71989000,-162479000,- -,- -,-235898000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-356476,-146645,- -,- -,- -,- -,- -,-278000,-1773000,-10438000,-35890000,-9451000,-122538000,-13079000,-113225000,-9693000,-45741000,-91115000,-4633000,-59804000,-29650000,-22638000,-34754000,-54219000,-11163000,-38720000,-61234000,-57241000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,75531,- -,806546,1168000,- -,- -,- -,- -,- -,- -,- -,- -,5009000,34034000,96665000,122353000,48258000,36586000,9440000,73358000,6444000,44692000,61075000,9461000,333000,22338000,43808000,10828000,5361000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,2416991,-2994396,-3079540,-2773000,-6295000,-1033000,-69000,-46000,- -,- -,-1000,-5624000,8173000,-9750000,-17099000,-17824000,30999000,-2510000,-32931000,9991000,-3273000,8783000,49785000,287000,-24000,36036000,3692000,936000,-79227000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11782833,-30514323,-46339747,-41228000,-42879000,-44380000,-68982000,-68433000,-36556000,-66609000,-52478000,-94832000,-66539000,-299723000,-360183000,-917549000,-587611000,-523306000,-760484000,-376156000,-644473000,-851619000,-374519000,-553490000,-1000052000,-1204368000,-873884000,-808812000,-1234689000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123177000,-1392019000,-218092000,-617063000,-130605000,-745503000,-720743000,-415378000,-415664000,-303382000,-235451000,-1450870000,-620020000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,59367352,1140722,1979704,19994000,48196000,65181000,7050000,7023000,95506000,193784000,8141000,23906000,14243000,315160000,144138000,401123000,68522000,84659000,26536000,32742000,23672000,10428000,9411000,29027000,224896000,13757000,15511000,13866000,18388000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1782379,- -,- -,-2099000,-323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12031000,-19000000,-7518000,-11899000,-15576000,-24684000,-30062000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2719115,-3422167,-3739442,-3649000,-3637000,-840000,-1106000,-1064000,-1114000,-1344000,-2431000,-2480000,-2525000,-3166000,-13406000,-23779000,-27132000,-26830000,-98354000,-118121000,-126266000,-54065000,-59512000,-71375000,-76075000,-83961000,-105408000,-190255000,-275158000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19486994,96961401,73322,- -,-3288000,-7105000,12027000,52412000,-45825000,-7115000,-270000,-253000,-29000,-13415000,- -,183822000,641605000,1312245000,472455000,511867000,300928000,1025894000,501983000,663688000,620694000,677747000,335958000,1324437000,579548000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,37161244,92897577,-1686415,16345000,39172000,56913000,17971000,58371000,48567000,185325000,5440000,21173000,11689000,298579000,130732000,561166000,559818000,-21945000,182545000,-202606000,48729000,229236000,-280760000,190386000,329167000,274099000,10610000,-302822000,-297242000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,46000,-558000,-74000,215000,205000,20000,2312000,26481000,-8110000,4585000,-2939000,-1636000,1376000,-1519000,-7505000,-14346000,311000,-3668000,-6533000,1653000,210000,-804000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,39502704,85268997,-15690990,-15615000,-6086000,15762000,-53637000,-8682000,7274000,131754000,-42571000,-23929000,28150000,227420000,26219000,-246412000,91898000,-64720000,83887000,118621000,-158967000,38436000,-53387000,415824000,93004000,-331152000,20071000,80630000,-216741000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,48037705,130612710,118635617,102450000,92124000,75517000,22602000,13906000,21180000,152934000,110368000,33005000,61155000,288575000,314794000,68382000,160280000,95560000,179447000,298068000,139101000,177537000,124150000,539974000,632978000,301826000,321897000,402527000,185786000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,8535001,45343714,134326607,118065000,98210000,59755000,76239000,22588000,13906000,21180000,152939000,56934000,33005000,61155000,288575000,314794000,68382000,160280000,95560000,179447000,298068000,139101000,177537000,124150000,539974000,632978000,301826000,321897000,402527000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226593,-4277709,-11584937,-30356000,-39032000,-40052000,-71816000,-67053000,-40457000,-51724000,-37786000,-3793000,12710000,77067000,-281688000,-790772000,-542069000,-28171000,180631000,250457000,-139493000,192912000,166480000,262567000,-106596000,-483450000,-972000,432712000,448310000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746905008704/a2153918z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/a2168598z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746909003515/0001047469-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746910002778/0001047469-10-002778-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746911002754/a2202678z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746912003484/0001047469-12-003484-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746913003581/0001047469-13-003581-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746914003006/a2219161zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746915002736/a2223824zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746916011508/0001047469-16-011508-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746917002009/0001047469-17-002009-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746918002083/0001047469-18-002083-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746919001634/0001047469-19-001634-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746920001879/0001047469-20-001879-index.html,https://www.sec.gov/Archives/edgar/data/2809/000110465921023483/0001104659-21-023483-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
