,https://roic.ai/company/AZZ,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21133219,- -,-38765992,- -,- -,- -,- -,-13425967,- -,-96332010,-6899561,-104091416,-27362834,-137057680,-275702030,-11518000,-60584000,-22679000,-44785000,-8000000,-37044000,8025000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-7400000,200000,900000,-6400000,500000,-3800000,900000,-6700000,300000,252429,86870,72995,17481,724987,11300,658480,749118,219795,3529481,423751,235303,300859,11838811,8204997,1330000,1137000,769000,458000,1543000,340000,461000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-9000000,-1200000,-200000,-7600000,-4400000,-6700000,-1100000,-10100000,-6700000,-25033236,-4811664,-51465084,-3941130,-2919681,-6637885,-5943344,-23335410,-9706403,-112811112,-18512536,-120266987,-46845730,-150141856,-310968559,-39565000,-99308000,-63344000,-73939000,-32073000,-71748000,-28593000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19300000,- -,-18135866,-77098214,-78753000,-192347000,-234192000,-320004000,-324286000,-466500000,-402000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,100000,400000,100000,1400000,1200000,100000,312600,1534055,2099576,304892,1093241,815783,3391691,1527036,3450413,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3113000,2832000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,-2100000,-11900000,- -,-55108,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5282000,-7518000,- -,-5799000,-48311000
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-600000,-600000,-100000,-100000,-100000,-200000,-400000,-600000,-566872,-770568,-795763,- -,- -,- -,- -,- -,- -,- -,-3089130,-12466812,-12565821,-13423199,-14290437,-14897000,-15482000,-16645000,-17678000,-17718000,-17822000,-17642000
94,Other Financing Activites,- -,- -,- -,- -,- -,4900000,-2000000,-1400000,3800000,4100000,-1400000,-1700000,3900000,10400000,11982031,-8150632,36302629,-19045000,-13675000,-1500000,-9500000,15325000,-32146351,98103695,2075242,137856207,199475,1199021,267721452,11236000,182506000,179500000,349000000,264000000,427269000,376696000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,4400000,-2600000,-2000000,3800000,4400000,-2100000,-500000,2600000,-2000000,11727759,-7442253,37606442,-18740108,-12581759,-684217,-6108309,16852036,-28695938,98103695,-1013888,106089395,-12366346,-30360044,176332801,-82414000,-25323000,-76619000,3800000,-78004000,-59739000,-88425000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157983,-12044,-124955,60077,59372,-672756,-1216000,-1294000,-102000,781000,-1439000,-590000,3133000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527956,118363,291374,245953,-538847,-928154,742117,444147,523849,45330770,63049318,27782808,4912829,-87704915,-28033218,-5038000,17664000,-28889000,9551000,3152000,12682000,-21850000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1328139,1446502,1737876,1983829,1444982,516828,1258945,1703092,2226941,47557711,110607029,138389837,143302666,55597751,27564533,22527000,40191000,11302000,20853000,24005000,36687000,14837000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,2300000,700000,200000,100000,100000,200000,400000,5600000,800000,800183,1328139,1446502,1737876,1983829,1444982,516828,1258945,1703092,2226941,47557711,110607029,138389837,143302666,55597751,27565000,22527000,40191000,11302000,20853000,24005000,36687000
100,Free Cash Flow,- -,- -,- -,- -,- -,1400000,1900000,1000000,2600000,-4900000,6200000,4800000,-700000,1800000,9680987,7273746,1377929,18968580,11317925,-255237,6191946,-3731040,28999992,40187587,70551060,25674481,44281073,67814626,63803770,88780000,103728000,69742000,49297000,89052000,109715000,54956000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312503006649/0001193125-03-006649-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312504094778/0001193125-04-094778-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312505116167/0001193125-05-116167-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312506110998/0001193125-06-110998-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312507113151/0001193125-07-113151-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894708000006/0000008947-08-000006-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312512225281/0001193125-12-225281-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894713000092/0000008947-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894714000068/0000008947-14-000068-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894715000035/0000008947-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894716000189/0000008947-16-000189-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894717000050/0000008947-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894718000071/0000008947-18-000071-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894719000058/0000008947-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894720000045/0000008947-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894721000052/0000008947-21-000052-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
