,https://roic.ai/company/REGN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200807000,- -,-1028000,-1667000,-2203000,-2024000,-221734000,-166467000,-40583000,-19925000,- -,- -,-1500000000,- -
91,Common Stock Issued,- -,91600000,- -,51100000,- -,23200000,70000000,43400000,500000,1400000,94365000,158522000,2149000,94678000,1502000,4081000,185008000,319400000,7949000,8598000,196790000,18509000,63549000,57393000,126045000,206358000,126739000,240213000,114500000,211800000,2575200000,1672300000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-888000,- -,- -,- -,- -,- -,- -,- -,-163300000,-195087000,-267584000,-160537000,-143182000,-301688000,-191600000,-463900000,-6527600000,-2678100000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-100000,-800000,-1300000,-200000,-3300000,-3700000,-4000000,-1900000,-1100000,-1498000,190598000,-426000,13506000,3827000,- -,390000,- -,- -,22765000,47544000,367407000,4308000,216857000,154004000,-142150000,-643365000,57000000,- -,- -,3481900000,- -
95,Cash Used/Provided by Financing Activities,- -,91500000,-800000,49800000,-200000,19900000,66300000,39400000,-1400000,300000,92867000,349120000,1723000,108184000,4441000,4081000,185398000,319400000,-192858000,31363000,243306000,384249000,-97646000,77139000,-209269000,-262796000,-700391000,-24400000,-77100000,-252100000,-1970500000,-1005800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,91500000,-800000,49800000,-200000,19900000,66300000,39400000,-1400000,3900000,7281000,216415000,-167316000,38208000,-17051000,89279000,53368000,261049000,-251129000,-40721000,-94503000,371038000,-253334000,305332000,113111000,160383000,-273899000,277530000,655000000,150100000,577000000,690800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,23700000,30978000,247393000,80077000,118285000,101234000,184508000,237876000,498925000,247796000,207075000,112572000,483610000,230276000,535608000,648719000,809102000,535203000,812733000,1480200000,1630300000,2207300000,2898100000
99,Cash at the Beginning of Period,- -,19200000,26200000,16400000,12500000,23600000,32700000,34500000,28900000,19800000,23697000,30978000,247393000,80077000,118285000,95229000,184508000,237876000,498925000,247796000,207075000,112572000,483610000,230276000,535608000,648719000,809102000,535203000,825200000,1480200000,1630300000,2207300000
100,Free Cash Flow,- -,-7800000,-19300000,-40300000,-27400000,-21500000,-28900000,-8200000,-13200000,-19500000,-34405000,-65543000,-144893000,-35789000,-23083000,-35260000,20264000,8926000,-123943000,-169548000,-3345000,-198899000,-123952000,427325000,410151000,652847000,961455000,1034486000,1812000000,2000400000,2003500000,6529400000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872589/000095012303003582/y84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012304003254/y94850e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012305002979/y06183e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012306002365/y17762e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012307003627/y31048e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012308002191/y50008e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677409000338/0001206774-09-000338-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677410000298/0001206774-10-000298-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677411000263/regeneron_10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677412000709/0001206774-12-000709-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/0001532176-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/regn-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/regn-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/0001532176-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/0001532176-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217618000013/0001532176-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217619000009/0001532176-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217620000008/0001532176-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000180422021000008/0001804220-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/0001804220-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
