,https://roic.ai/company/CLH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17221000,-11429000,-49411000,-65210000,54373000,-53735000,-14342000,55271000,-15009000,-33764000,-79563000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-1100000,400000,-100000,-200000,-200000,-300000,100000,100000,- -,-200000,-571000,-736000,456000,705000,-1261000,-2389000,-2540000,- -,- -,- -,- -,- -,-12871000,-1144000,-21339000,14059000,-16080000,-5002000,-26958000,-15869000,-7933000,-31689000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17763000,5050000,38553000,-8116000,5930000,37117000,-52026000,-16299000,-3503000,-10684000,46915000,7153000,-80328000,108398000
81,Other Working Capital,- -,-3600000,- -,-600000,-3600000,5400000,-3400000,15500000,18300000,20800000,11600000,14300000,11700000,11200000,14600000,-33474000,11279000,24899000,-17958000,50696000,100354000,124465000,169585000,307679000,386930000,446253000,510126000,517741000,531634000,553962000,404076000,588203000,650239000,599880000,680808000,889577000,- -
82,Other Non-Cash Items,- -,-2000000,- -,-9000000,-3400000,-11300000,1200000,-19300000,-12000000,4800000,19300000,- -,200000,-1400000,-4900000,43869000,-38995000,1749000,70730000,-45640000,-74672000,-39974000,-41361000,-137223000,-93363000,-70341000,-183604000,-18773000,467000,-14653000,217575000,-198462000,-95310000,23427000,-92022000,-214678000,11996000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,5700000,8500000,13900000,4900000,17500000,10000000,5200000,-1500000,3900000,6100000,13569000,24632000,5649000,38857000,52460000,29667000,61382000,79995000,109590000,93270000,224108000,179531000,324365000,415839000,297366000,396383000,259624000,285698000,373210000,413192000,430597000,545997000
84,CAPEX,- -,- -,- -,- -,- -,-12000000,-9500000,-9800000,-7900000,-5300000,-13000000,-3100000,-3400000,-4500000,-7000000,-7403000,-7277000,-12460000,-34832000,-26343000,-19455000,-43016000,-36528000,-57462000,-62244000,-120654000,-151440000,-201443000,-286947000,-264132000,-262492000,-222215000,-168624000,-198032000,-220228000,-198285000,-245704000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44217000,7890000,- -,- -,-51492000,-7410000,-27628000,-54476000,-14646000,-336960000,-1373921000,-63264000,-16187000,-94345000,-159781000,-3801000,-151023000,-24649000,-1127000,-1253232000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95115000,-3469000,-55628000,-2310000,-2529000,- -,-12633000,- -,-10517000,- -,- -,- -,-598000,-38342000,-44772000,-35836000,-70891000,-129234000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,700000,7300000,200000,1200000,1152000,- -,792000,6573000,167132000,20300000,48857000,3200000,4350000,105000,4857000,1425000,- -,- -,13861000,- -,- -,376000,28723000,51202000,61220000,98412000
88,Other Investing Activites,- -,- -,- -,- -,- -,-15300000,-500000,-1400000,-1600000,-1000000,-8900000,-200000,1700000,-2100000,-300000,-712000,-228000,-59854000,-32629000,1957000,-885000,2394000,257000,-1246000,-1776000,13185000,3867000,9199000,-2041000,1645000,899000,17986000,5507000,10757000,7751000,7594000,18308000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-27300000,-10000000,-11200000,-9500000,-6100000,-21700000,-2600000,5600000,-6400000,-6100000,-6963000,-7505000,-115739000,-52998000,47631000,-3509000,-98885000,-42791000,-84515000,-118391000,-125687000,-480181000,-1572636000,-345512000,-258294000,-350642000,-361777000,-203267000,-349659000,-217856000,-199460000,-1507602000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68971000,-284895000,-35126000,-7837000,-526599000,-4891000,-7122000,-511000,- -,-408028000,-457006000,-855822000,-162004000,-15993000
91,Common Stock Issued,- -,- -,- -,- -,- -,400000,400000,- -,600000,- -,200000,200000,200000,100000,100000,310000,297000,26256000,1062000,873000,77737000,3155000,2847000,175361000,2315000,2449000,3516000,369520000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2891000,- -,-25000000,- -,- -,- -,-483000,-415000,-399000,- -,-2912000,-731000,-107134000,-75506000,-25007000,-48971000,-45080000,-21390000,-74844000,-54410000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-400000,-300000,- -,- -,- -,- -,- -,-224000,-536000,-974000,-2187000,-279000,-276000,-206000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,21200000,1100000,-2500000,4500000,-10800000,11000000,-1600000,-1800000,400000,800000,-7070000,-13114000,94264000,5781000,-49461000,-2435000,-23209000,83000,10888000,286579000,846000,263061000,1377859000,18748000,20311000,-14162000,245242000,384239000,391089000,823787000,147902000,968652000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,21600000,1500000,-2500000,4800000,-11200000,10900000,-1400000,-1600000,500000,900000,-6760000,-13041000,117093000,5869000,-75775000,75023000,-20330000,2724000,116795000,3584000,-32230000,258740000,1217868000,13126000,-93945000,-90179000,220235000,-72760000,-110997000,-53425000,-88946000,898249000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000,921000,434000,187000,-1066000,6060000,-11884000,5559000,2473000,423000,-484000,-3216000,-8321000,-17733000,4207000,2731000,-5446000,3573000,4919000,-3170000
97,Net Change In Cash,- -,- -,- -,- -,- -,21600000,1500000,-2500000,4800000,-11200000,10900000,-1400000,-1600000,500000,900000,-154000,4086000,6967000,-7351000,24750000,101368000,-58899000,45988000,129986000,-15978000,68664000,-41487000,-30887000,80237000,-63194000,-62171000,122289000,12402000,-92892000,145484000,147110000,-66526000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2629000,6715000,13682000,6331000,31081000,132449000,73550000,119538000,249524000,233546000,302210000,260723000,229836000,310073000,246879000,184708000,306997000,319399000,226507000,371991000,519101000,452575000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,300000,300000,600000,800000,1000000,200000,1400000,3900000,1900000,2783000,2629000,6715000,13682000,6331000,31081000,132449000,73550000,119538000,249524000,233546000,302210000,260723000,229836000,310073000,246879000,184708000,306997000,319399000,226507000,371991000,519101000
100,Free Cash Flow,- -,- -,- -,- -,- -,-6300000,-1000000,4100000,-3000000,12200000,-3000000,2100000,-4900000,-600000,-900000,6166000,17355000,-6811000,4025000,26117000,10212000,18366000,43467000,52128000,31026000,103454000,28091000,122922000,128892000,33234000,133891000,37409000,117074000,175178000,192964000,232312000,300293000
101,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000095013595000287/0000950135-95-000287-index.html,https://www.sec.gov/Archives/edgar/data/822818/000095010996001820/0000950109-96-001820-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000092701602001496/d10k405.htm,https://www.sec.gov/Archives/edgar/data/822818/000092701603001753/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000119312504042394/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746905008610/a2154703z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000110465906017572/0001104659-06-017572-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746907001861/a2176682z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746908002447/a2183336z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746909002140/0001047469-09-002140-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746910001670/0001047469-10-001670-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746911001635/a2202164z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000144530512000549/0001445305-12-000549-index.html,https://www.sec.gov/Archives/edgar/data/822818/000144530513000500/0001445305-13-000500-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281814000004/clh-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281815000003/clh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281816000033/0000822818-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281817000006/0000822818-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281818000006/0000822818-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281819000003/0000822818-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281820000002/0000822818-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281821000003/0000822818-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281822000008/0000822818-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
