,https://roic.ai/company/MTRX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,38100000,500000,- -,500000,- -,- -,300000,1100000,100000,64000,319000,1094000,1476000,2432000,539000,15315000,2571000,1041000,- -,- -,10000,47000,- -,- -,- -,638000,253000,317000,128000,- -,349000
92,Common Stock Repurchased,- -,-4000000,- -,-2600000,-100000,-300000,- -,- -,- -,-3000000,-1354000,-6376000,- -,- -,- -,- -,- -,- -,-13543000,-170000,-473000,-299000,-8663000,-1162000,-1776000,-7528000,-15049000,-2290000,-627000,-6875000,-20569000,-1554000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-2900000,- -,-1500000,-3500000,4200000,-4500000,1300000,3700000,-7600000,-7591000,3493000,6365000,32380000,25051000,-4316000,-45886000,-564000,-2763000,399000,197000,-515000,9272000,26531000,90210000,22304000,24701000,127020000,85246000,16536000,18887000,149000
95,Cash Used/Provided by Financing Activities,- -,31200000,- -,-4100000,-3100000,3900000,-4500000,1600000,4800000,-10500000,-8881000,-2564000,7459000,33856000,27483000,-3777000,-30571000,2007000,-15265000,-1152000,-1353000,-1020000,-9350000,-238000,12229000,794000,-10585000,42732000,-45312000,-1107000,-16039000,-12324000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-95000,-52000,76000,167000,39000,35000,348000,29000,361000,-590000,461000,795000,-527000,-383000,-1209000,-2534000,-758000,-418000,229000,-181000,-609000,1401000
97,Net Change In Cash,- -,31200000,- -,-4100000,-3100000,3900000,-100000,- -,4800000,400000,-1166000,-971000,-9000,-51000,-23000,744000,7089000,562000,12842000,12564000,-1577000,8458000,-19631000,24024000,13365000,2124000,-7583000,-27851000,20252000,25658000,10321000,-16158000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1900000,1900000,- -,3000000,1806000,835000,826000,775000,752000,1496000,8585000,9147000,21989000,34553000,50899000,59357000,39726000,63750000,77115000,79239000,71656000,43805000,64057000,89715000,100036000,83878000
99,Cash at the Beginning of Period,- -,300000,8200000,3200000,5500000,2900000,2000000,1900000,1900000,2600000,2972000,1806000,835000,826000,775000,752000,1496000,8585000,9147000,21989000,52476000,50899000,59357000,39726000,63750000,77115000,79239000,71656000,43805000,64057000,89715000,100036000
100,Free Cash Flow,- -,1300000,-6600000,5800000,4500000,-4600000,6200000,400000,400000,11300000,2099000,715000,-7704000,1422000,-32774000,2702000,30266000,-1762000,27294000,28641000,-903000,12333000,-10593000,33853000,53399000,8665000,16387000,-30654000,65960000,21836000,25546000,-7325000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000086627396000010/0000866273-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000102336300000064/0001023363-00-000064-index.html,https://www.sec.gov/Archives/edgar/data/866273/000093066101501696/0000930661-01-501696-index.html,- -,https://www.sec.gov/Archives/edgar/data/866273/000119312503041447/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312504139665/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312505169705/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312506162096/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312507182493/0001193125-07-182493-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312508166640/0001193125-08-166640-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312509163619/0001193125-09-163619-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312510218700/0001193125-10-218700-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312511243489/0001193125-11-243489-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312512382978/0001193125-12-382978-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627313000057/0000866273-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627314000092/0000866273-14-000092-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627315000080/0000866273-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627316000209/mtrx2016-06x30x10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627317000091/0000866273-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627318000082/0000866273-18-000082-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627319000094/0000866273-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627320000109/0000866273-20-000109-index.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627321000088/0000866273-21-000088-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
