,https://roic.ai/company/NSC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,102100000,- -,- -,- -,- -,205700000,-68700000,129500000,-256500000,-214000000,-349000000,-485000000,-301000000,785000000,178000000,142000000,963000000,-422000000,-580000000,167000000,563000000,-68000000,-339000000,111000000,609000000,228000000,-596000000,-450000000,-348000000,-333000000,510000000,377000000,147000000
78,Accounts Receivable,- -,- -,- -,- -,78200000,35100000,127800000,-23700000,18100000,-12900000,28100000,-800000,-23000000,33000000,-322000000,446000000,-74000000,-208000000,-12000000,-71000000,-94000000,-60000000,30000000,269000000,63000000,-41000000,-215000000,-64000000,85000000,-31000000,109000000,23000000,-41000000,-70000000,87000000,71000000,-133000000
79,Inventory,- -,- -,- -,- -,1600000,-16100000,10500000,-10500000,9800000,8400000,200000,-1300000,3000000,-1000000,-40000000,9000000,1000000,-7000000,5000000,-12000000,-28000000,-19000000,-25000000,-18000000,30000000,-5000000,-40000000,-7000000,-7000000,-13000000,-35000000,42000000,35000000,15000000,-37000000,23000000,3000000
80,Accounts Payable,- -,- -,- -,- -,78200000,35100000,127800000,-23700000,18100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,205700000,137000000,266500000,10000000,-204000000,-553000000,-1038000000,-1339000000,-554000000,-376000000,-234000000,729000000,307000000,-273000000,-106000000,457000000,389000000,50000000,161000000,770000000,998000000,402000000,-48000000,-396000000,-729000000,-219000000,158000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,645600000,814400000,1238100000,733000000,451900000,-245700000,113200000,-221500000,178500000,-194000000,69000000,1136000000,9000000,-1149000000,-319000000,-213000000,-1006000000,405000000,538000000,-273000000,-920000000,148000000,254000000,-83000000,-625000000,-626000000,538000000,559000000,-3000000,116000000,-809000000,-49000000,-262000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1107200000,994700000,762400000,958200000,874600000,1144300000,1237400000,1204700000,1150000000,890000000,533000000,1342000000,654000000,803000000,1054000000,1661000000,2105000000,2206000000,2333000000,2715000000,1860000000,2714000000,3227000000,3065000000,3078000000,2852000000,2877000000,3034000000,3253000000,3726000000,3892000000,3637000000,4255000000
84,CAPEX,- -,- -,- -,- -,-651600000,-669700000,-659400000,-716100000,-669200000,-712900000,-658900000,-688200000,-875000000,-956000000,-912000000,-731000000,-746000000,-689000000,-720000000,-1041000000,-1025000000,-1178000000,-1341000000,-1558000000,-1299000000,-1470000000,-2160000000,-2241000000,-1971000000,-2118000000,-2385000000,-1887000000,-1723000000,-1951000000,-2019000000,-1494000000,-1470000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-102500000,-93600000,- -,- -,-133100000,-75400000,-82000000,-185000000,-116000000,-123000000,-77000000,-99000000,-78000000,-106000000,-228000000,-1822000000,-1804000000,-635000000,-86000000,-266000000,-504000000,-135000000,-23000000,-130000000,-104000000,-5000000,-123000000,-7000000,-10000000,-122000000,-14000000,-10000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,46100000,91900000,212400000,40200000,88600000,330700000,104000000,185400000,217000000,155000000,343000000,90000000,88000000,63000000,108000000,61000000,910000000,2179000000,827000000,307000000,30000000,421000000,439000000,78000000,63000000,106000000,240000000,48000000,47000000,99000000,- -,- -,99000000
88,Other Investing Activites,- -,- -,- -,- -,60000000,243700000,-4200000,800000,110500000,27400000,62400000,49100000,-5667000000,250000000,101000000,137000000,156000000,31000000,78000000,75000000,110000000,119000000,124000000,109000000,84000000,97000000,84000000,192000000,144000000,114000000,63000000,130000000,202000000,204000000,377000000,333000000,159000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-545500000,-436600000,-544800000,-675100000,-470100000,-487900000,-567900000,-535700000,-6510000000,-667000000,-591000000,-581000000,-601000000,-673000000,-640000000,-1133000000,-1827000000,-684000000,-1025000000,-1228000000,-1451000000,-1456000000,-1772000000,-1994000000,-1894000000,-2002000000,-2087000000,-1832000000,-1481000000,-1658000000,-1764000000,-1175000000,-1222000000
90,Debt Repayment,- -,- -,- -,- -,-111400000,-100800000,-210400000,-255300000,-108600000,-123600000,-73800000,-92600000,-245000000,-179000000,-730000000,-1549000000,-1765000000,-763000000,-428000000,-455000000,-889000000,-339000000,-489000000,-1145000000,-687000000,-489000000,-600000000,-362000000,-250000000,-645000000,-102000000,-600000000,-702000000,-750000000,-1188000000,-381000000,-584000000
91,Common Stock Issued,- -,- -,- -,- -,22500000,11000000,12900000,15200000,15700000,9800000,19100000,28600000,24000000,34000000,14000000,2000000,14000000,42000000,13000000,162000000,194000000,1261000000,183000000,229000000,66000000,89000000,120000000,89000000,131000000,130000000,43000000,57000000,89000000,40000000,27000000,69000000,17000000
92,Common Stock Repurchased,- -,- -,- -,- -,-363400000,-576300000,-635300000,-177200000,-138100000,-344800000,-338200000,-389400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-964000000,-1379000000,-1128000000,- -,-863000000,-2051000000,-1288000000,-627000000,-318000000,-1075000000,-803000000,-1012000000,-2781000000,-2099000000,-1439000000,-3390000000
93,Dividends Paid,- -,- -,- -,- -,-241900000,-248200000,-238500000,-255000000,-259700000,-262700000,-273500000,-283700000,-301000000,-303000000,-304000000,-306000000,-93000000,-101000000,-117000000,-142000000,-194000000,-278000000,-377000000,-456000000,-500000000,-514000000,-576000000,-624000000,-637000000,-687000000,-713000000,-695000000,-703000000,-844000000,-949000000,-960000000,-1028000000
94,Other Financing Activites,- -,- -,- -,- -,122100000,529700000,622200000,342800000,54900000,41400000,7600000,209600000,5709000000,196000000,1110000000,1055000000,1995000000,672000000,218000000,202000000,433000000,-964000000,433000000,1425000000,1090000000,350000000,1101000000,1491000000,989000000,200000000,1185000000,694000000,290000000,2023000000,2215000000,784000000,1676000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-572100000,-384600000,-449100000,-329500000,-435800000,-679900000,-658800000,-527500000,5187000000,-252000000,90000000,-798000000,151000000,-150000000,-314000000,-233000000,-456000000,-1284000000,-1629000000,-1075000000,-31000000,-1427000000,-2006000000,-694000000,-394000000,-1320000000,-662000000,-1347000000,-2038000000,-2312000000,-1994000000,-1927000000,-3309000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-572100000,-384600000,-231500000,-46400000,-31300000,-23500000,10700000,141500000,-173000000,-29000000,32000000,- -,- -,-20000000,100000000,295000000,-178000000,238000000,-321000000,412000000,378000000,-169000000,-551000000,377000000,790000000,-470000000,128000000,-145000000,-266000000,-244000000,134000000,535000000,-276000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,158200000,111800000,80500000,57000000,67700000,209200000,34000000,5000000,37000000,- -,204000000,184000000,284000000,579000000,289000000,527000000,206000000,618000000,996000000,827000000,276000000,653000000,1443000000,973000000,1101000000,956000000,690000000,446000000,580000000,1115000000,839000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,226700000,216200000,389700000,158200000,111800000,80500000,57000000,67700000,207000000,34000000,5000000,37000000,- -,204000000,184000000,284000000,467000000,289000000,527000000,206000000,618000000,996000000,827000000,276000000,653000000,1443000000,973000000,1101000000,956000000,690000000,446000000,580000000,1115000000
100,Free Cash Flow,- -,- -,- -,- -,455600000,325000000,103000000,242100000,205400000,431400000,578500000,516500000,275000000,-66000000,-379000000,611000000,-92000000,114000000,334000000,620000000,1080000000,1028000000,992000000,1157000000,561000000,1244000000,1067000000,824000000,1107000000,734000000,492000000,1147000000,1530000000,1775000000,1873000000,2143000000,2785000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/702165/000070216503000077/nsc10k02.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216504000053/nscf10ks.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216505000071/nsc04s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216506000097/nsc10k052.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216507000067/nsc10k06s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216508000047/nsc07fnls.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216509000050/0000702165-09-000050-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216510000049/0000702165-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216511000047/nsc10s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216512000043/0000702165-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216513000042/0000702165-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216514000019/nsc13.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/nsc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/0000702165-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/0000702165-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216518000011/0000702165-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/0000702165-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216520000011/0000702165-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216521000006/0000702165-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216522000007/0000702165-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
