,https://roic.ai/company/OI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,4399100000,5151100000,4901400000,5317600000,5439200000,6105300000,6845100000,11060700000,10756300000,10343200000,10106600000,9869300000,9531300000,10736700000,9521800000,9320700000,9324600000,7976500000,8727400000,9754000000,8926000000,8598000000,8419000000,7858000000,9421000000,9135000000,9756000000,9699000000,9610000000,8882000000,8832000000
48,Accounts Payable,219000000,256300000,240700000,280300000,289500000,318900000,452300000,534900000,520100000,522700000,457400000,514200000,541500000,857800000,843000000,940000000,957500000,838200000,863200000,878000000,1038000000,1032000000,1144000000,1137000000,1212000000,1135000000,1324000000,1321000000,1276000000,1126000000,1210000000
49,Short-Term Debt,- -,- -,- -,65000000,75500000,141500000,176900000,249500000,205700000,120000000,71200000,78200000,92400000,192500000,278300000,737200000,700900000,393800000,352000000,354000000,406000000,319000000,322000000,488000000,228000000,195000000,162000000,160000000,124000000,197000000,72000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,486000000,557600000,485400000,582700000,523900000,444500000,414600000,542700000,547300000,675300000,702900000,705000000,729500000,856200000,700600000,688500000,871100000,771300000,819100000,847000000,801000000,811000000,788000000,703000000,682000000,730000000,794000000,726000000,595000000,575000000,564000000
53,Total Current Liabilities,705000000,813900000,726100000,928000000,888900000,904900000,1043800000,1327100000,1273100000,1318000000,1231500000,1297400000,1363400000,1906500000,1821900000,2365700000,2529500000,2003300000,2034300000,2079000000,2245000000,2162000000,2254000000,2328000000,2122000000,2060000000,2280000000,2207000000,1995000000,1898000000,1846000000
54,Long-Term Debt,2851100000,2982600000,2419300000,2624700000,2757700000,3253200000,3146700000,5667200000,5733100000,5729800000,5329700000,5268000000,5333100000,5167900000,5018700000,4719400000,3013500000,2940300000,3257500000,3924000000,3627000000,3454000000,3245000000,2972000000,5345000000,5133000000,5121000000,5181000000,5435000000,4945000000,4753000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,39500000,99300000,32700000,47000000,133400000,201200000,229200000,325000000,407400000,218200000,465200000,278400000,119600000,183300000,186000000,112200000,109400000,77600000,186300000,203000000,212000000,182000000,196000000,121000000,124000000,100000000,99000000,96000000,110000000,109000000,- -
57,Other Non-Current Liabilities,340800000,899600000,1337300000,1216800000,959800000,821600000,837000000,1028800000,797900000,1021300000,769100000,1212800000,1550700000,1765100000,1589800000,1559900000,1233100000,1661900000,1512900000,1522000000,1850000000,1745000000,1121000000,1162000000,1256000000,1479000000,1329000000,1315000000,1506000000,1529000000,1406000000
58,Total Non-Current Liabilities,3231400000,3981500000,3789300000,3888500000,3850900000,4276000000,4212900000,7021000000,6938400000,6969300000,6564000000,6759200000,7003400000,7116300000,6794500000,6391500000,4356000000,4679800000,4956700000,5649000000,5689000000,5381000000,4562000000,4255000000,6725000000,6712000000,6549000000,6592000000,7051000000,6583000000,6159000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000,175000000,170000000,165000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3936400000,4795400000,4515400000,4816500000,4739800000,5180900000,5256700000,8348100000,8211500000,8287300000,7795500000,8056600000,8366800000,9022800000,8616400000,8757200000,6885500000,6683100000,6991000000,7728000000,7934000000,7543000000,6816000000,6583000000,8847000000,8772000000,8829000000,8799000000,9046000000,8481000000,8005000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452500000,452500000,452500000,452500000,452500000,452500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,1600000,1600000,1600000,1600000,1700000,1700000,1700000,1800000,1800000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -
64,Retained Earnings,-567400000,-701600000,-696700000,-618400000,-449300000,-258200000,-90300000,7300000,284100000,-30400000,304700000,-177000000,-1189300000,-975300000,-1555400000,-1604400000,-285300000,-32400000,129400000,82000000,-428000000,-195000000,-11000000,64000000,-10000000,-96000000,84000000,333000000,-89000000,152000000,- -
65,Other Comprehensive Income/Loss,-736800000,-957400000,-988100000,-1181900000,-1302400000,-1494300000,-1699700000,-1967100000,-2146700000,-2377500000,-2536300000,-2654100000,-3024700000,-2758600000,-236000000,-594000000,-177000000,-1621000000,-1318000000,-897000000,-1321000000,-1506000000,-1121000000,-1494000000,-2017000000,-2172000000,-1826000000,-1968000000,-1843000000,-2272000000,-1972000000
66,Other Total Stockholders Equity,1719100000,1957600000,1979600000,2176200000,2283600000,2482200000,3131900000,4431800000,4210900000,4289300000,4381800000,4047800000,4763300000,4824100000,2061100000,2100900000,2195500000,2692200000,2725000000,2628000000,2586000000,2580000000,2586000000,2586000000,2491000000,2520000000,2548000000,2419000000,2397000000,2415000000,- -
67,Total Stockholders Equity,414900000,298600000,294800000,375900000,531900000,729700000,1341900000,2472000000,2349900000,1883000000,2151800000,1670800000,1003400000,1544300000,723900000,356700000,2187400000,1040600000,1538200000,1815000000,839000000,881000000,1456000000,1158000000,466000000,254000000,808000000,786000000,467000000,297000000,827000000
68,Total Liabilities And Stockholders Equity,4351300000,5094000000,4810200000,5192400000,5271700000,5910600000,6598600000,10820100000,10561400000,10170300000,9947300000,9727400000,9370200000,10567100000,9340300000,9113900000,9072900000,7723700000,8529200000,9543000000,8773000000,8424000000,8272000000,7741000000,9313000000,9026000000,9637000000,9585000000,9513000000,8778000000,8832000000
69,Minority Interest,47800000,57100000,91200000,125200000,167500000,194700000,246500000,240600000,194900000,172900000,159300000,141900000,161100000,169600000,181500000,206800000,251700000,252800000,198200000,211000000,153000000,174000000,147000000,117000000,108000000,109000000,119000000,114000000,97000000,104000000,- -
70,Total Liabilities & Equity,4399100000,5151100000,4901400000,5317600000,5439200000,6105300000,6845100000,11060700000,10756300000,10343200000,10106600000,9869300000,9531300000,10736700000,9521800000,9320700000,9324600000,7976500000,8727400000,9754000000,8926000000,8598000000,8419000000,7858000000,9421000000,9135000000,9756000000,9699000000,9610000000,8882000000,8832000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000081207495000006/0000812074-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000091205701506253/0000912057-01-506253-index.html,- -,https://www.sec.gov/Archives/edgar/data/812074/000104746903010557/a2106089z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746904007941/a2130443z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746905006751/a2153665z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465906017125/a06-6864_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465907015390/a07-5962_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465908014206/a08-2811_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465909010082/0001104659-09-010082-index.html,https://www.sec.gov/Archives/edgar/data/812074/000110465910006102/0001104659-10-006102-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746911000741/a2201749z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746912000772/0001047469-12-000772-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746913000991/0001047469-13-000991-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746914000875/a2218189z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746915000716/a2222968z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837016003216/0001558370-16-003216-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837017000499/0001558370-17-000499-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837018000669/0001558370-18-000669-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837019000652/0001558370-19-000652-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837020001125/0001558370-20-001125-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837021001009/0001558370-21-001009-index.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837022000923/0001558370-22-000923-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-130100000,-134200000,4900000,78300000,169100000,191100000,167900000,108000000,298300000,-269700000,356600000,-460200000,-990800000,235500000,-558600000,-27500000,1340600000,258300000,161800000,-47000000,-510000000,184000000,184000000,75000000,-74000000,209000000,180000000,257000000,-400000000,249000000,149000000
74,Depreciation and Amortization,165200000,251100000,232300000,233600000,238100000,271600000,343500000,463900000,545300000,549500000,543700000,480700000,525200000,474800000,524000000,509200000,460900000,431000000,395900000,391000000,422000000,412000000,397000000,418000000,409000000,478000000,488000000,494000000,499000000,468000000,463000000
75,Deferred Income Tax,- -,- -,-145600000,30200000,48700000,77500000,83900000,-17400000,110800000,-243800000,227300000,-94600000,-182600000,-93300000,-75000000,10800000,3200000,21000000,51900000,-56000000,-42000000,-5000000,-3000000,51000000,12000000,-4000000,-12000000,-9000000,7000000,-5000000,-71000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-70100000,50100000,-11300000,-62800000,156800000,52300000,224300000,245500000,-13300000,-73000000,-8000000,-165900000,168600000,-264100000,-33900000,-393400000,98100000,276300000,321000000,-103400000,-210000000,37000000,-190000000,-253000000,169000000,-18000000,-54000000,10000000,343000000,-94000000,-13000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000000,18000000,59000000,-14000000,-32000000,-37000000,43000000,- -,- -,- -
79,Inventory,-19200000,- -,- -,6900000,8400000,10900000,17900000,-69700000,-46900000,-50900000,43200000,-70400000,- -,106700000,73000000,-31200000,- -,-74100000,151900000,-29000000,-92000000,-74000000,-30000000,-26000000,-13000000,16000000,2000000,-29000000,-26000000,75000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56700000,32600000,17000000,145000000,-53000000,128000000,103000000,100000000,-58000000,69000000,67000000,-62000000,-67000000,- -
81,Other Working Capital,195100000,245200000,233900000,171100000,327900000,380200000,604500000,850000000,836700000,763700000,755700000,589800000,758400000,494300000,460400000,67000000,165100000,441400000,762400000,659000000,449000000,486000000,296000000,43000000,212000000,194000000,140000000,150000000,493000000,399000000,- -
82,Other Non-Cash Items,319300000,47400000,151400000,-51900000,-360100000,-274700000,-374400000,-152700000,-378100000,401800000,-581500000,843100000,832700000,257000000,647300000,51200000,-1266400000,-279000000,-130600000,407400000,843000000,-53000000,294000000,384000000,92000000,86000000,119000000,39000000,-44000000,-161000000,159000000
83,Cash Provided by Operating Activities,284300000,214400000,231700000,227400000,252600000,317800000,445200000,647300000,563000000,364800000,538100000,603100000,353100000,609900000,503800000,150300000,636400000,707600000,800000000,592000000,503000000,575000000,682000000,675000000,608000000,751000000,721000000,791000000,405000000,457000000,687000000
84,CAPEX,-216200000,-250800000,-266200000,-286000000,-283600000,-831300000,-471300000,-4273700000,-684400000,-481400000,-531900000,-496000000,-431500000,-461800000,-404100000,-320300000,-292500000,-361700000,-427600000,-503000000,-285000000,-290000000,-361000000,-369000000,-402000000,-454000000,-441000000,-536000000,-426000000,-311000000,-398000000
