,https://roic.ai/company/MEI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25192000,1678000,36800000,2900000,-11300000,11100000,39800000,- -,-47500000,- -
81,Other Working Capital,- -,- -,- -,- -,29500000,32400000,31100000,38000000,58800000,76000000,91000000,78300000,94200000,113900000,123350000,123326000,115221000,125847000,112095000,140107000,147069000,136900000,184100000,127700000,125900000,133106000,148500000,168200000,262600000,307700000,378300000,405900000,393000000,272600000,421800000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1000000,-1000000,12000000,-11300000,-35200000,-18300000,-18800000,3200000,-31800000,-38900000,-3503000,-2735000,34184000,3107000,16845000,-30658000,-14339000,17455000,-33208000,167507000,-8806000,-23221000,-17165000,-42007000,-116100000,-50700000,-84000000,-8100000,54100000,77900000,-188600000,2000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,16400000,15900000,21600000,18600000,16900000,37300000,43400000,44900000,38300000,32300000,56774000,32501000,40847000,52730000,44126000,44954000,29648000,56374000,79003000,43168000,27366000,17040000,24825000,33245000,72400000,122900000,110700000,145200000,117800000,102000000,140600000,179800000
84,CAPEX,- -,- -,- -,- -,-6100000,-7800000,-10400000,-17000000,-12700000,-17400000,-22100000,-61200000,-27100000,-26000000,-24668000,-15578000,-16304000,-23171000,-19304000,-18982000,-20756000,-10780000,-20018000,-18639000,-9909000,-15223000,-25744000,-38555000,-29000000,-22500000,-23200000,-22400000,-48400000,-49800000,-45100000,-24900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13967000,- -,- -,-12455000,-3641000,-4374000,-5344000,-63168000,-9647000,-57469000,-325000,-2470000,-6353000,-1434000,- -,11200000,1600000,700000,-130600000,-421000000,600000,100000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2464000,1515000,- -,- -,6100000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-800000,-100000,-800000,100000,-800000,-2800000,-3600000,-2200000,-4700000,900000,-2601000,2581000,-12336000,321000,6091000,2303000,285000,-556000,-892000,-1589000,-530000,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6900000,-7900000,-11200000,-16900000,-13500000,-20200000,-25700000,-63400000,-31800000,-25100000,-41236000,-12997000,-28640000,-35305000,-16854000,-21053000,-25815000,-74504000,-30557000,-76122000,-7770000,-16178000,-32097000,-39989000,-22900000,-11300000,-21600000,-21700000,-179000000,-470800000,-44500000,-24800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-41500000,-33500000,-43000000,-19000000,-30000000,-79400000,-120500000,-99100000,-117200000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,- -,2700000,2093000,521000,2767000,6462000,689000,7208000,1298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,- -,- -,- -,- -,- -,- -,-1783000,-3596000,-1249000,-5252000,- -,- -,- -,- -,- -,- -,-62300000,-9800000,- -,- -,- -,-6700000
93,Dividends Paid,- -,- -,- -,- -,-800000,-800000,-800000,-900000,-1200000,-2800000,-5600000,-7100000,-7100000,-7100000,-7106000,-7141000,-7186000,-7237000,-8573000,-7252000,-7465000,-7472000,-7575000,-9778000,-10414000,-10329000,-10364000,-10378000,-11300000,-13800000,-13500000,-13700000,-14700000,-16300000,-16300000,-17400000
94,Other Financing Activites,- -,- -,- -,- -,-1600000,-5500000,-1000000,1300000,2700000,-300000,-2700000,-1400000,- -,1600000,-1771000,-1165000,- -,- -,-25788000,- -,- -,1175000,383000,-96000,154000,1028000,52263000,37608000,43400000,8300000,66100000,6500000,81400000,354200000,157100000,-1600000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2400000,-6300000,-1800000,400000,1500000,-3100000,-8300000,-8500000,-5400000,-8600000,-8877000,-5606000,-5093000,-6716000,-31594000,-790000,-8559000,-2685000,-7143000,-15126000,-10260000,-9301000,37899000,-14270000,-1400000,-48500000,-28700000,-47000000,-12700000,217400000,41700000,-142900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3650000,1818000,2274000,-770000,-740000,3322000,-2195000,455000,2063000,-1275000,28000,2500000,-11400000,-700000,-10300000,26000000,-11500000,-3700000,3800000
97,Net Change In Cash,- -,- -,- -,- -,-2400000,-6300000,-1800000,400000,1500000,-3100000,-8300000,-8500000,-5400000,-8600000,6662000,13898000,7114000,14359000,-2504000,25385000,-5496000,-21555000,44625000,-50275000,9791000,-6376000,29352000,-20986000,50600000,51700000,59700000,66200000,-47900000,-162900000,134100000,15900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29427000,42788000,49902000,64261000,61757000,87142000,81646000,60091000,104716000,54030000,63821000,57445000,86797000,65811000,116400000,168100000,227800000,294000000,246100000,83200000,217300000,233200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2300000,9400000,11100000,19800000,21900000,26800000,40800000,50200000,23100000,24200000,22765000,28890000,42788000,49902000,64261000,61757000,87142000,81646000,60091000,104305000,54030000,63821000,57445000,86797000,65800000,116400000,168100000,227800000,294000000,246100000,83200000,217300000
100,Free Cash Flow,- -,- -,- -,- -,10300000,8100000,11200000,1600000,4200000,19900000,21300000,-16300000,11200000,6300000,32106000,16923000,24543000,29559000,24822000,25972000,8892000,45594000,58985000,24529000,17457000,1817000,-919000,-5310000,43400000,100400000,87500000,122800000,69400000,52200000,95500000,154900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65270/000095013196003488/0000950131-96-003488-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013197004644/0000950131-97-004644-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013198004476/0000950131-98-004476-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013199004532/0000950131-99-004532-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205700033674/0000912057-00-033674-index.html,https://www.sec.gov/Archives/edgar/data/65270/000089155401503710/0000891554-01-503710-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205702028847/0000912057-02-028847-index.html,https://www.sec.gov/Archives/edgar/data/65270/000104746903025450/a2115537z10-k.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013704005575/c86692e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013705008702/c96693e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013706007779/c06694e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013707009955/0000950137-07-009955-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013408012861/0000950134-08-012861-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465909041502/0001104659-09-041502-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465910036590/0001104659-10-036590-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527011000008/0000065270-11-000008-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527012000017/mei-4282012x10k.htm,https://www.sec.gov/Archives/edgar/data/65270/000006527013000020/0000065270-13-000020-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527014000023/0000065270-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527015000016/0000065270-15-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527016000055/0000065270-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527017000016/0000065270-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527018000014/0000065270-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527019000019/0000065270-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/65270/000156459020031145/0001564590-20-031145-index.htm,https://www.sec.gov/Archives/edgar/data/65270/000156459021034113/0001564590-21-034113-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
