,https://roic.ai/company/PNM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27400000,124500000,-13300000,-40700000,104500000,167000000,147764000,-1471000,-42783000,-39618000,6937000,-127199000,-619976000,-978192000,-675755000,14932000,23756000,89551000,8088000,-91132000,-271465000,-255550000,-427069000,-541224000,-209929000,-673471000,-600183000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,91300000,-82000000,185500000,148400000,-35200000,68900000,157805000,333748000,27022000,40179000,57368000,251910000,568284000,470452000,102996000,-931186000,98580000,-276788000,-9590000,110849000,190148000,110616000,158124000,153299000,-280019000,606718000,-104105000,-7926000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,201100000,147100000,151700000,213100000,211000000,214500000,239515000,334946000,97251000,228692000,235755000,210451000,244424000,222533000,88097000,87706000,287352000,292240000,281349000,386587000,414876000,386874000,415454000,524462000,428226000,503163000,485700000,547873000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120600000,-107400000,-103600000,-135200000,-133000000,-95300000,-146878000,-264844000,-240225000,-177204000,-145710000,-221814000,-321118000,-455944000,-344951000,-288031000,-281488000,-326931000,-308909000,-348039000,-460658000,-558589000,-600076000,-500461000,-501213000,-616273000,-679028000,-935016000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11567000,- -,- -,- -,- -,-481058000,-172327000,-185439000,652933000,- -,329281000,4034000,- -,-36235000,- -,- -,8338000,-9000000,-38250000,-23250000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26700000,-21500000,- -,-400000,-49200000,- -,- -,-50438000,- -,- -,- -,-109795000,-102265000,- -,- -,-129833000,-106126000,-149185000,-173158000,-282000000,-127016000,-262548000,-538383000,-650284000,-1007022000,-513866000,-607591000,-477672000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86800000,- -,- -,- -,- -,- -,76633000,80291000,- -,104623000,96624000,163642000,180296000,151122000,109704000,177560000,190785000,294497000,138747000,273868000,531148000,637492000,984533000,494528000,590998000,459867000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,39600000,206500000,-207400000,-46800000,-208000000,39400000,-10622000,25504000,-36835000,-4654000,1259000,72343000,8242000,391098000,29379000,-6465000,2004000,-10947000,1353000,4096000,-167000,2741000,-92064000,38752000,56978000,-37000,-14928000,563000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107700000,77600000,-224200000,-182400000,-390200000,-55900000,-157500000,-301345000,-200427000,-101567000,-144451000,-154643000,-799575000,-73531000,-320715000,379726000,-275906000,19778000,-285895000,-331446000,-485329000,-544528000,-699375000,-466163000,-475724000,-673898000,-733799000,-952258000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-352084000,-405970000,-110752000,-46387000,-38968000,-168600000,-333066000,-453793000,-274070000,-869662000,-407302000,-977845000,-1411345000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101231000,240170000,15282000,251042000,1245000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283208000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7700000,-64200000,- -,- -,- -,-18800000,-29099000,- -,-2412000,-9639000,-17548000,-234299000,-20243000,-18267000,-1401000,-951000,-2986000,-209262000,- -,- -,-17319000,-17720000,-15451000,-13929000,-12635000,- -,- -,-10130000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,-5100000,-15600000,-26900000,-32800000,-33400000,-32265000,-158876000,-34226000,-36702000,-38848000,-51128000,-59708000,-70336000,-57498000,-46229000,-46254000,-45656000,-45137000,-51508000,-59468000,-64251000,-70623000,-77792000,-84961000,-92926000,-98502000,-112972000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78700000,-172200000,95000000,-6200000,205900000,-47300000,-33359000,32261000,115108000,-71792000,-30407000,179392000,450152000,-181309000,163328000,-195416000,444527000,53339000,89964000,28883000,341581000,590468000,782259000,306944000,1012904000,672674000,1085333000,1892008000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92800000,-241500000,79400000,-33100000,173100000,-99500000,-94723000,-126615000,78470000,-118133000,-86803000,-4804000,610371000,-254630000,355471000,-593435000,-10683000,-312331000,-1560000,-61593000,96194000,175431000,242392000,-58847000,45646000,172446000,292194000,357561000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-16800000,6900000,-2400000,-6200000,59100000,-12708000,-93014000,-24706000,8992000,4501000,51004000,55220000,-105628000,122853000,-126003000,763000,-313000,-6106000,-6452000,25741000,17777000,-41529000,-548000,-1852000,1711000,44095000,-46824000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,4200000,11100000,8700000,2600000,120400000,107691000,14677000,3702000,12694000,17195000,68199000,123419000,17791000,140644000,14641000,15404000,15091000,8985000,2533000,28274000,46051000,4522000,3974000,2122000,3833000,47928000,1104000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,20500000,21000000,4200000,11100000,8800000,61300000,120399000,107691000,28408000,3702000,12694000,17195000,68199000,123419000,17791000,140644000,14641000,15404000,15091000,8985000,2533000,28274000,46051000,4522000,3974000,2122000,3833000,47928000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,80500000,39700000,48100000,77900000,78000000,119200000,92637000,70102000,-142974000,51488000,90045000,-11363000,-76694000,-233411000,-256854000,-200325000,5864000,-34691000,-27560000,38548000,-45782000,-171715000,-184622000,24001000,-72987000,-113110000,-193328000,-387143000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108426/000110842603000009/0001108426-03-000009-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842604000037/0001108426-04-000037-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842605000030/0001108426-05-000030-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842606000040/f10k_123105pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842607000028/f10k_123106pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842608000032/f10k_123107pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842609000022/0001108426-09-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108426/000119312511051990/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842612000014/0001108426-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842613000011/0001108426-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842614000016/pnm1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842615000008/pnm1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842616000165/0001108426-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842617000006/0001108426-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842618000011/0001108426-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842619000020/0001108426-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842620000014/0001108426-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842621000010/0001108426-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842622000010/0001108426-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
