,https://roic.ai/company/FMC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,107400000,12200000,171700000,251100000,269800000,-159500000,-70100000,-258900000,301100000,282200000,252600000,408000000,365300000,442700000,673700000,778500000,682800000,949500000,1046400000,958300000,1024000000,1518600000,1411000000,1443300000,1036800000,1350900000,1546600000,222000000
82,Other Non-Cash Items,- -,- -,- -,17200000,101500000,30300000,190700000,119800000,-234400000,-469000000,-595400000,477500000,21700000,602700000,-133900000,385900000,-645200000,53600000,5600000,-247700000,-14300000,-80400000,-449100000,-208900000,97300000,-483500000,-365900000,-38100000,-84500000,-1492300000,180900000,-470900000,129000000,-524800000,-314600000,7000000
83,Cash Provided by Operating Activities,- -,- -,- -,361000000,445400000,424000000,345100000,343800000,305700000,-103400000,81000000,941900000,380900000,587300000,247100000,-209300000,106600000,168500000,210400000,217000000,264000000,269600000,307600000,301500000,354500000,381300000,359700000,328700000,373700000,-357700000,497800000,335500000,368400000,488500000,647800000,820100000
84,CAPEX,- -,- -,- -,-280800000,-324300000,-216800000,-314500000,-244500000,-356000000,-566300000,-533000000,-316700000,-277700000,-522300000,-240400000,-145600000,-83900000,-87000000,-85400000,-93500000,-124600000,-115400000,-174800000,-161200000,-142300000,-189500000,-206600000,-221900000,-224700000,-108500000,-130800000,-85700000,-205100000,-141900000,-114400000,-100100000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47400000,-300000,- -,- -,- -,- -,- -,- -,-90600000,-34300000,-7500000,-148100000,-157400000,-346000000,-1100000,-1205100000,- -,-1225600000,107600000,- -,-65600000,-5200000
86,Purchases of Investments,- -,- -,- -,-12700000,- -,-4900000,12100000,- -,-55800000,- -,- -,- -,-159200000,- -,- -,-20300000,-8700000,- -,- -,- -,-200000,- -,- -,- -,- -,-3200000,- -,- -,- -,- -,- -,- -,-48500000,-48000000,-47200000,-12700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,34700000,- -,- -,23600000,- -,49500000,35400000,21200000,- -,5800000,127900000,- -,- -,3200000,5200000,13700000,11700000,- -,- -,- -,- -,- -,- -,- -,27500000,66400000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,14900000,10400000,12200000,18000000,7800000,19000000,31200000,61100000,57100000,72900000,261300000,125900000,11300000,-18200000,-74000000,-29200000,73400000,3300000,-5200000,-101100000,-166400000,-146500000,-206700000,-236200000,-307200000,-61600000,1487500000,-135200000,-108200000,-190000000,-138700000,-56500000,-94100000
89,Cash Used for Investing Activites,- -,- -,- -,-278600000,-279200000,-209500000,-284400000,-213100000,-392800000,-485600000,-436500000,-238400000,-364000000,-255200000,-34000000,-154900000,-110800000,-157800000,-109400000,-6400000,-109800000,-120600000,-191700000,-200700000,-154000000,-358000000,-393600000,-653200000,-35200000,348800000,-135200000,-1333800000,-130900000,-186700000,-169300000,-112000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119800000,-377800000,-40900000,-121300000,-20400000,-134900000,-34600000,-1036600000,-242600000,-302300000,-552000000,-901900000,-100000000,-1203100000
91,Common Stock Issued,- -,- -,- -,3600000,2500000,9600000,14700000,7400000,10500000,181000000,20300000,21600000,17400000,7400000,15800000,39800000,15700000,4700000,- -,- -,40600000,14600000,13100000,10200000,18100000,11300000,18700000,10700000,8600000,5900000,4100000,22500000,374300000,50700000,24700000,7900000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209000000,-156700000,-136400000,-600000,- -,- -,- -,- -,- -,-92200000,-116400000,-186900000,-36600000,-137700000,-4200000,-149000000,-367000000,-4700000,-3700000,-13000000,-2600000,-206800000,-416200000,-58400000,-408000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,-37800000,-44900000,-8000000,-5300000,-5900000,-2800000,-3200000,-2800000,-3000000,-1500000,- -,-21000000,-29700000,-46900000,-36300000,-47400000,-54100000,-47800000,-73600000,-78100000,-86400000,-88600000,-88800000,-89200000,-210300000,-228500000,-247200000
94,Other Financing Activites,- -,- -,- -,-116100000,-176600000,-277100000,-90500000,-78200000,171700000,409800000,380800000,-509200000,137100000,-205300000,-263300000,339900000,52900000,-54900000,42700000,-215300000,-125900000,-111900000,203000000,362700000,91300000,143000000,150300000,936000000,-241200000,1104100000,-36900000,1584300000,110400000,1353500000,111900000,1102500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-112500000,-174100000,-267500000,-75800000,-70800000,112200000,553000000,356200000,-704600000,-7500000,-340200000,-250900000,376500000,65800000,-53200000,41200000,-215300000,-198500000,-243400000,-137500000,-77800000,-116600000,-25300000,-48200000,371200000,-350000000,-16700000,-377000000,1213100000,-363300000,-124200000,-250300000,-747900000
96,Effect of Forex Changes on Cash,- -,- -,- -,-6200000,6500000,4200000,-4900000,-6500000,-4000000,8500000,3200000,-11000000,-10400000,10400000,-1100000,3800000,4600000,9900000,13200000,-1300000,3400000,4400000,-1500000,1200000,1000000,-600000,300000,-600000,-2200000,-5300000,- -,4000000,4500000,-200000,1600000,-12300000
97,Net Change In Cash,- -,- -,- -,-112500000,-174100000,-267500000,-75800000,-70800000,112200000,553000000,356200000,-704600000,-7500000,2300000,-38900000,16100000,66200000,-32600000,155400000,-6000000,-40900000,-90000000,-23100000,24200000,84900000,-2600000,-81800000,46100000,-13700000,-30900000,-14400000,218800000,-121300000,177400000,229800000,-52100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,25100000,23400000,89600000,57000000,212400000,206400000,165500000,75500000,52400000,76600000,161500000,158900000,77100000,123200000,109500000,78600000,64200000,283000000,161700000,339100000,568900000,516800000
99,Cash at the Beginning of Period,- -,- -,- -,130800000,94500000,93000000,44200000,24300000,77500000,98400000,70900000,74800000,62700000,61700000,64000000,7300000,23400000,89600000,57000000,212400000,206400000,165500000,75500000,52400000,76600000,161500000,158900000,77100000,123200000,109500000,78600000,64200000,283000000,161700000,339100000,568900000
100,Free Cash Flow,- -,- -,- -,80200000,121100000,207200000,30600000,99300000,-50300000,-669700000,-452000000,625200000,103200000,65000000,6700000,-354900000,22700000,81500000,125000000,123500000,139400000,154200000,132800000,140300000,212200000,191800000,153100000,106800000,149000000,-466200000,367000000,249800000,163300000,346600000,533400000,720000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37785/000095013196001103/0000950131-96-001103-index.html,https://www.sec.gov/Archives/edgar/data/37785/000095013197002068/0000950131-97-002068-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37785/000093066102000678/0000930661-02-000678-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000119312504039049/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312505049229/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312506048313/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312507039630/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312508036999/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312509035095/0001193125-09-035095-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312510036348/0001193125-10-036348-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312511041464/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778512000004/0000037785-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778513000008/0000037785-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778514000006/fmc201310k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778515000008/fmc201410k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778516000081/0000037785-16-000081-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778517000011/0000037785-17-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000003778519000039/0000037785-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/0000037785-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778521000024/0000037785-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778522000025/0000037785-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
