,https://roic.ai/company/IO,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
92,Common Stock Repurchased,- -,- -,-2100000,- -,- -,- -,-100000,- -,- -,- -,- -,-86000,-4032000,-30160000,-81000,-98000,-272000,-615000,-1431000,-1699000,-348000,-612000,-59000,- -,- -,- -,-1989000,-964000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321000,-550000,-411000,- -,- -,-1635000,-2280000,-2375000,-3889000,-3500000,-1936000,-1352000,-1352000,-1014000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5300000,-1900000,6900000,44100000,20100000,- -,11900000,-900000,-1100000,-756000,9428000,-2550000,20813000,-6341000,-2644000,-9940000,-8424000,208554000,130094000,210766000,17360000,147600000,201327000,7024000,-72000,8004000,1223000,-2384000,39007000,32927000
95,Cash Used/Provided by Financing Activities,- -,- -,3200000,-1900000,7900000,45500000,24600000,131300000,16600000,12900000,39700000,-340000,7621000,-31306000,21202000,149109000,27851000,-8400000,808000,244289000,19729000,-92730000,9804000,-6454000,98702000,-55974000,-9513000,-21594000,-3593000,3808000,-3546000,25768000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-200000,-600000,-100000,-200000,74000,-1079000,3385000,2688000,43000,-801000,1454000,753000,-2616000,968000,72000,-183000,219000,-231000,496000,898000,1386000,-260000,319000,-125000,136000
97,Net Change In Cash,- -,- -,3200000,-1900000,7900000,45500000,24600000,131300000,16600000,12900000,2800000,-6834000,9305000,-24537000,-16711000,-44572000,918000,1203000,19353000,-1237000,-18955000,68202000,-42017000,18569000,87085000,25552000,-88675000,-32281000,-596000,-18565000,-736000,6695000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75100000,92376000,101681000,77144000,59507000,14935000,15853000,17056000,36409000,35172000,16217000,84419000,42402000,60971000,148056000,173608000,84933000,52652000,52056000,33854000,33118000,39813000
99,Cash at the Beginning of Period,- -,- -,1300000,6300000,9000000,4500000,9300000,57400000,34300000,2600000,72300000,99210000,92376000,101681000,76218000,59507000,14935000,15853000,17056000,36409000,35172000,16217000,84419000,42402000,60971000,148056000,173608000,84933000,52652000,52419000,33854000,33118000
100,Free Cash Flow,- -,- -,1800000,5500000,-11500000,15500000,-22000000,-151700000,-46900000,57300000,-36600000,-6568000,8339000,6034000,-37657000,-25065000,-3429000,5183000,82385000,-16186000,49020000,125996000,118924000,8577000,16091000,53731000,-81323000,-14801000,3257000,-22692000,2935000,-19209000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866609/000095012904001245/0000950129-04-001245-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012905002516/0000950129-05-002516-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012906003519/0000950129-06-003519-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012907001389/0000950129-07-001389-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000114420408012074/0001144204-08-012074-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012909000701/0000950129-09-000701-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012310019337/0000950123-10-019337-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012311017936/0000950123-11-017936-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000119312512078454/0001193125-12-078454-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660913000007/0000866609-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660914000010/0000866609-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660915000010/0000866609-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000162828016010990/0001628280-16-010990-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000162828017001062/0001628280-17-001062-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660918000006/0000866609-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660919000033/0000866609-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660920000017/0000866609-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000143774921002669/0001437749-21-002669-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
