,https://roic.ai/company/STAA,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2923000,-5796000,-575000,-741000,- -,-841000,-490000,-424000,-1300000,-2654000,- -,-3312000,-1645000
91,Common Stock Issued,- -,- -,1500000,6900000,3100000,900000,1000000,300000,- -,1100000,1000000,1500000,21200907,63000,- -,6000,829000,130000,2890000,17197000,- -,- -,- -,- -,- -,- -,- -,- -,4000,1000,72150000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1200000,- -,- -,-1600000,- -,-300000,-100000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6800000,- -,- -,- -,- -,- -,-611000,-234000,-54000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-100000,-400000,2500000,1800000,900000,2900000,- -,4200000,-800000,4100000,-8984055,-1724000,- -,-598000,11718000,12168000,-81000,1538000,- -,3920000,1074000,3343000,5024000,- -,3286000,3022000,3984000,3970000,5197000,- -,3461000,19438000
95,Cash Used/Provided by Financing Activities,- -,- -,1400000,6500000,4400000,2700000,1900000,1600000,- -,5000000,100000,5200000,12216852,-1661000,- -,-592000,12547000,12298000,2809000,18735000,- -,997000,-11522000,2768000,4283000,- -,2445000,2532000,2953000,2437000,74639000,- -,149000,17793000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-500000,-700000,-301768,-328000,- -,585000,452000,-878000,743000,261000,- -,207000,214000,-19000,-261000,- -,-1073000,-468000,-200000,279000,197000,- -,203000,-857000
97,Net Change In Cash,- -,- -,1400000,6500000,4400000,2700000,1900000,1600000,- -,5000000,100000,-1400000,2742890,-5234000,- -,156000,-3099000,8521000,-4950000,3137000,- -,-5903000,3046000,7206000,5093000,- -,1279000,-9941000,597000,4523000,85358000,- -,15969000,47253000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,6087018,853000,- -,1009000,4187000,12708000,7758000,10895000,- -,4992000,9376000,16582000,21675000,- -,22954000,13013000,13999000,18641000,103999000,- -,119968000,199706000
99,Cash at the Beginning of Period,- -,- -,-100000,700000,2300000,1500000,1400000,3200000,- -,3800000,6500000,4700000,3344128,6087000,- -,853000,7286000,4187000,12708000,7758000,- -,10895000,6330000,9376000,16582000,- -,21675000,22954000,13402000,14118000,18641000,- -,103999000,152453000
100,Free Cash Flow,- -,- -,-600000,-5400000,-5000000,-2100000,1800000,1500000,- -,4200000,4800000,-100000,-8711683,-3738000,- -,-305000,-10509000,-8170000,-9426000,-11875000,- -,-9320000,-4737000,4384000,946000,- -,-93000,-12005000,-2156000,1807000,10522000,- -,15617000,30317000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718937/000089843096001034/0000898430-96-001034-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000089843097001373/0000898430-97-001373-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843098001283/0000898430-98-001283-index.html,- -,https://www.sec.gov/Archives/edgar/data/718937/000091205701008706/0000912057-01-008706-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843002001104/d10k.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/718937/000095012905003017/a06720e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095012906002678/a15268e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095015007000013/a28372e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420408014809/v106516_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420409018646/0001144204-09-018646-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420411012356/v213096_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420412013710/0001144204-12-013710-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420413014619/0001144204-13-014619-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420414015041/v369981_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420415016000/v403257_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420417012557/0001144204-17-012557-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420418011838/0001144204-18-011838-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459019003674/0001564590-19-003674-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000156459020006791/0001564590-20-006791-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459022006264/0001564590-22-006264-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
