,https://roic.ai/company/APT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,-646000,- -,1412000,39000,749000,1415000,630000,605000,3211000,2650000,1274000,5433000,3051000,-976000,7301000,835000,-91000,-177000,1354000,2294000,-2283000,-3728000,-3021000,363000,120000,-8703000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-669000,-3502000,4777000,-909000,-1625000,1279000,-595000,2896000,-2052000,-136000,-360000,1026000,-4745000,4257000
79,Inventory,-844000,-755000,698000,-200000,558000,-1182000,223000,-2657000,1213000,-5810000,-2101000,-1398000,2150000,-1037000,-4224000,1571000,-1598000,3024000,-2404000,146000,5404000,745000,371000,-1425000,-5446000,-8220000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,2200000,2200000,3612000,3651000,4400000,5815000,6445000,7050000,10261000,12911000,14185000,19618000,22669000,21693000,28994000,29829000,29738000,29561000,30915000,33209000,30926000,27198000,24177000,24540000,24660000,- -
82,Other Non-Cash Items,2239000,-1110000,-1950000,161000,-616000,-1366000,194000,-2866000,-4091000,-7670000,-5964000,-6289000,-1559000,-1536000,-12827000,857000,-2886000,3322000,-5996000,1957000,5193000,4614000,280000,-1398000,-10023000,107000
83,Cash Provided by Operating Activities,-298000,-1720000,180000,1700000,2091000,1305000,3028000,1295000,1463000,-2040000,-427000,2085000,3846000,7543000,-3441000,3766000,-1014000,6093000,-879000,5971000,6833000,4008000,2000000,3101000,18274000,-480000
84,CAPEX,-408000,-534000,-390000,-500000,-872000,-1143000,-174000,-370000,-586000,-594000,-446000,-607000,-1207000,-548000,-1143000,-277000,-525000,-350000,-947000,-274000,-267000,-1222000,-606000,-1296000,-1135000,-2524000
85,Acquisitions Net,-49000,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,417000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1450000,- -,- -,- -,- -,- -,- -,-255000,- -,-134000,-175000,-41000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,417000,- -,440000,- -,- -,- -,36000,154000,273000,- -
88,Other Investing Activites,-23000,-35000,-43000,- -,-24000,98000,-8000,53000,-25000,-26000,- -,- -,-51000,14000,-9000,227000,-423000,-1000,- -,- -,- -,537000,- -,- -,- -,- -
