,https://roic.ai/company/ACU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-2300000,-2600000,- -,-3900000,2900000,-3000000,-5000000,10700000,-7300000,-1000000,13400000,18200000,-8800000,7400000,-5909152,-2808458,-603058,1212958,-2729342,-164365,-8342361,-15121696,-6209776,-2715466,3660244,-9072245,-6378807,-15165162,252902,2352507,-11627581,-4903310,-11872745,-3210345,7689251,-25988386,-13271942
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,900000,1300000,1000000,2700000,700000,900000,6200000,-3400000,600000,495443,506689,2049390,1642242,1752627,4310841,-438611,-823393,2705858,3265632,6581443,-1135084,2063068,-1272612,6475466,4649020,1079738,8857211,4810876,4475269,14702231,5721036,5140578
84,CAPEX,- -,- -,- -,- -,- -,-1300000,-1400000,-1200000,-1200000,-1400000,-1000000,-1100000,-1800000,-1600000,-459707,-456823,-308062,-598304,-540152,-443330,-1430530,-707510,-1513675,-1037768,-699183,-1054488,-1042566,-814571,-4694069,-2160643,-1918609,-1839194,-7146194,-3230914,-1680479,-2569174,-6372615
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3126986,-1473793,- -,-13805884,- -,-6970910,-7233114,- -,- -,-11382728,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474551,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-2300000,-1900000,-1000000,- -,100000,500000,-1800000,2200000,400000,384432,311178,139987,58597,250196,-285090,-92423,12853,- -,-295338,-132244,-117405,-101853,-133436,1624748,654634,-156897,-29371,- -,-379921,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-3600000,-3300000,-2200000,-1200000,-1300000,-500000,-2900000,400000,-1200000,8080725,-145645,306476,-539707,-289956,-728420,-1522953,-694657,-1513675,-1037767,-699183,-1054488,-4169552,-2288364,-2967181,-15193423,-1913629,-8810104,-14379308,-3230914,-1680479,-13951902,-6372615
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2565000,- -,- -,- -,-1408000,- -,- -,- -,-22222,-3433900,-7309375,-266667,-5729995
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,- -,2594,- -,88782,862,694179,846951,108755,368826,132813,43775,162475,287269,171872,529179,1138711,1248782,394538,649231,- -,- -,58754,3089045
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288996,-214713,-470247,-252798,-3564165,- -,-491223,-2476723,-1737603,-1566290,-133738,-438897,- -,- -,-679696,-907094,- -,-365149,- -,-286988,-1473444
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-600000,-700000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-143007,-380978,-428934,-529329,-594631,-662547,-655832,-771582,-1089627,-728392,-1064050,-1198848,-1332757,-1408428,-1484829,-1608956,-1604706,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,4100000,2300000,1800000,-1800000,700000,-300000,-3700000,2300000,700000,-8472282,-342006,-1825523,-556540,-197251,-3467595,4159274,4634611,-37070,1568825,- -,4368000,4046484,6751345,-1,1235012,1765811,5316140,13690887,-768075,-1687782,7390689,6157040
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,3600000,1700000,1100000,-2000000,700000,-300000,-3500000,2500000,700000,-8472282,-339412,-2114519,-682471,-666636,-3169221,1061082,4314432,-688796,-1369716,-4921375,2308353,3428433,5394693,-1607214,1309673,1136049,3470827,12909468,-6051953,-10606113,5291082,2042646
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,200000,100000,-400000,- -,- -,- -,- -,- -,- -,-55223,-88590,-91321,6069,-3064,126553,88461,-34699,646432,-621574,333616,-36429,-70022,62804,-7172,-123375,-161929,-33056,86463,-121629,-2799,285277,-134636
97,Net Change In Cash,- -,- -,- -,- -,- -,3600000,1700000,1100000,-2000000,700000,100000,-100000,2500000,700000,48663,-66958,150026,426134,792971,539753,-812021,2761683,1149819,236573,1294501,82351,1251927,1896521,1893900,-9358104,140231,3484879,3427499,-4929227,2412841,-2654507,675973
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,400000,- -,- -,88468,21510,171536,597670,1390641,1930394,1076489,3838172,4987991,5224564,6519065,6601416,7853343,9749864,11643764,2285660,2425891,5910770,9338269,4409042,6821883,4167376,4843349
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,500000,1600000,1400000,900000,300000,500000,500000,400000,- -,39805,88468,21510,171536,597670,1390641,1888510,1076489,3838172,4987991,5224564,6519065,6601416,7853343,9749864,11643764,2285660,2425891,5910770,9338269,4409042,6821883,4167376
100,Free Cash Flow,- -,- -,- -,- -,- -,-400000,-100000,-200000,1500000,-700000,-100000,5100000,-5200000,-1000000,35736,49866,1741328,1043938,1212475,3867511,-1869141,-1530903,1192183,2227864,5882260,-2189572,1020502,-2087183,1781397,2488377,-838871,7018017,-2335318,1244355,13021752,3151862,-1232037
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000000209896000003/0000002098-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660897000026/0001026608-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660898000010/0001026608-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660899000031/0001026608-99-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660801500005/0001026608-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660802000007/0001026608-02-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660809000026/0001026608-09-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660810000024/0001026608-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660811000025/0001026608-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660812000017/0001026608-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660813000014/0001026608-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660814000011/0001026608-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660815000007/0001026608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660816000091/0001026608-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660817000009/0001026608-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660818000010/0001026608-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660819000011/0001026608-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459020010850/0001564590-20-010850-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459021017128/0001564590-21-017128-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459022012597/0001564590-22-012597-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
