,https://roic.ai/company/HURC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-25200000,3200000,-4900000,29500000,13700000,6800000,600000,-1900000,-12000000,-9000000,12525000,-9303000,23478000,-1501000,-4797000,-18118000,-16913000,-29526000,-50563000,2847000,27256000,-31339000,-46630000,-2574000,-18547000,-132000,-32807000,-6573000,-25271000,-43180000,17376000,-244000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-1700000,-3900000,2900000,-6000000,-1200000,4000000,3700000,8500000,16000000,5900000,-800000,12850000,-3482000,6201000,2276000,6806000,11977000,14046000,14193000,161000,-1483000,21752000,-1195000,-6987000,14385000,16335000,28544000,-6863000,30372000,21012000,-6413000,10932000,32175000
84,CAPEX,- -,- -,- -,- -,-3400000,-3800000,-12400000,-2900000,-600000,-400000,-600000,-600000,-600000,-1000000,-1200000,-1193000,-1253000,-1184000,-536000,-762000,-1879000,-3301000,-4510000,-5514000,-3699000,-1848000,-2842000,-3732000,-2380000,-2635000,-4533000,-4177000,-4445000,-5863000,-4870000,-1656000,-2369000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-380000,- -,-17650000,- -,- -,-1156000,-4353000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9100000,- -,- -,- -,- -,-256000,-76000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1898000,12100000,6674000,- -,- -,- -,- -,- -,308000,- -,417000,233000,243000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,-1700000,-500000,-1300000,- -,-1100000,-800000,-1400000,-1900000,-1600000,-1200000,-808000,-1456000,157000,-1312000,-972000,-660000,-319000,- -,-63000,-2670000,-1126000,-1131000,-1018000,-954000,-830000,-1344000,-1941000,-2264000,-2146000,-1618000,-496000,-2085000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3200000,-5500000,-12900000,-4200000,-600000,-1500000,-1400000,-2000000,-2500000,-2600000,-2400000,-2001000,-2709000,-1027000,-1848000,-1734000,-2539000,-3620000,-2612000,-2577000,2325000,-1758000,-2876000,-3773000,-3014000,-2586000,-21813000,-3913000,-4028000,-6606000,-8897000,-1179000,-3345000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4271000,-379000,-1605000,- -,- -,- -,-1450000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,18900000,100000,200000,100000,200000,- -,- -,4800000,- -,100000,- -,8000,35000,4000,- -,2128000,797000,562000,186000,151000,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1800000,-1200000,-100000,- -,- -,- -,- -,- -,- -,-1800000,-2400000,- -,-1706000,- -,-23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -
93,Dividends Paid,- -,- -,- -,- -,-500000,-1100000,-1100000,-900000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-646000,-1693000,-2034000,-2310000,-2590000,-2898000,-3203000,-3420000,-3674000
94,Other Financing Activites,- -,- -,- -,- -,-8400000,9400000,8400000,11500000,2200000,-3000000,-1300000,-11300000,-12000000,-1700000,5900000,-10436000,8264000,-4621000,-6000,-4698000,-464000,618000,-3712000,36000,69000,- -,844000,2294000,305000,357000,376000,- -,239000,345000,-499000,-431000,153000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8200000,7200000,7400000,10700000,2300000,-3000000,-1300000,-6500000,-12000000,-3400000,3500000,-10428000,6593000,-4617000,-29000,-2570000,333000,1180000,-3526000,187000,69000,- -,844000,2294000,-4612000,-1713000,-3263000,-2310000,-2351000,-2553000,-5152000,-10851000,-3521000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,300000,- -,- -,-200000,100000,100000,- -,-200000,- -,- -,- -,-532000,-263000,278000,532000,458000,-461000,681000,1859000,-1137000,1477000,-521000,-67000,-725000,275000,-994000,-2077000,-934000,1097000,-990000,235000,2014000,895000
97,Net Change In Cash,- -,- -,- -,- -,8200000,7200000,7400000,10700000,2300000,-3000000,-1300000,-6500000,-12000000,-3400000,200000,-111000,139000,835000,931000,2960000,9310000,12287000,9914000,-3366000,2388000,19473000,-3294000,-9191000,7034000,11042000,1391000,-14020000,25090000,10863000,-20227000,916000,26204000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,3384000,3523000,4358000,5289000,8249000,17559000,29846000,39760000,26394000,28782000,48255000,44961000,35770000,42804000,53846000,55237000,41217000,66307000,77170000,56943000,57859000,84063000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1800000,5400000,3200000,500000,900000,1500000,1100000,2100000,1900000,3400000,3300000,3495000,3384000,3523000,4358000,5289000,8249000,17559000,29846000,29760000,26394000,28782000,48255000,44961000,35770000,42804000,53846000,55237000,41217000,66307000,77170000,56943000,57859000
100,Free Cash Flow,- -,- -,- -,- -,-5100000,-7700000,-9500000,-8900000,-1800000,3600000,3100000,7900000,15400000,4900000,-2000000,11657000,-4735000,5017000,1740000,6044000,10098000,10745000,9683000,-5353000,-5182000,19904000,-4037000,-10719000,12005000,13700000,24011000,-11040000,25927000,15149000,-11283000,9276000,29806000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537496000003/0000315374-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537497000001/0000315374-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537498000001/0000315374-98-000001-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537401000003/0000315374-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/315374/000031537402000002/0000315374-02-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000031537405000010/fy2004_form10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114036106001046/body.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315374/000114420411001979/v207797_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420412002212/0001144204-12-002212-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420413001855/0001144204-13-001855-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420414001644/v364037_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420415001643/v397518_10k.htm,https://www.sec.gov/Archives/edgar/data/315374/000114420416074937/0001144204-16-074937-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420417001161/0001144204-17-001161-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420418001087/0001144204-18-001087-index.html,https://www.sec.gov/Archives/edgar/data/315374/000114420419000709/0001144204-19-000709-index.html,https://www.sec.gov/Archives/edgar/data/315374/000110465920000756/0001104659-20-000756-index.html,https://www.sec.gov/Archives/edgar/data/315374/000155837021000128/0001558370-21-000128-index.htm,https://www.sec.gov/Archives/edgar/data/315374/000155837022000137/0001558370-22-000137-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
