,https://roic.ai/company/RES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,27200000,33600000,39000000,33000000,33900000,37800000,41900000,39100000,50400000,40100000,38400000,47794000,41124000,49495000,63226000,77509000,92888000,111302000,144338000,200494000,151681000,281174000,447089000,403316000,436873000,612616000,384744000,377589000,494775000,475701000,335456000,348794000,-1065000
82,Other Non-Cash Items,- -,- -,- -,- -,2000000,-1300000,-4400000,-900000,-5300000,-4900000,-8300000,3600000,-16200000,3600000,-600000,-31838000,8690000,-16090000,-12576000,-32980000,-54040000,-60523000,-72444000,-111573000,103609000,-268109000,-341225000,102436000,-45757000,-353547000,548865000,53058000,-281032000,35078000,277485000,198613000,-10882000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,13400000,13700000,9400000,2200000,8600000,12300000,13800000,24100000,30200000,24500000,25600000,24872000,55938000,27556000,50631000,50374000,66362000,118228000,141872000,177320000,168740000,168657000,386007000,559933000,365624000,322757000,473792000,101704000,133704000,389009000,209141000,77958000,47719000
84,CAPEX,- -,- -,- -,- -,-6100000,-6400000,-5100000,-9400000,-6600000,-10600000,-15500000,-20900000,-20500000,-30100000,-22100000,-35526000,-45850000,-22481000,-30356000,-49869000,-72808000,-159831000,-248758000,-170318000,-67830000,-187486000,-416400000,-328936000,-201681000,-371502000,-167426000,-33938000,-117509000,-242610000,-250629000,-65065000,-67645000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8391000,-1885000,-6210000,-3310000,-8836000,- -,- -,- -,- -,- -,- -,-6211000,-17044000,-2554000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3500000,-1900000,-2800000,-2800000,- -,-9500000,-7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2218000,-507000,-1566000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,7900000,3300000,11913000,11296000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2218000,507000,1566000,- -
88,Other Investing Activites,- -,- -,- -,- -,1400000,900000,1600000,1300000,1700000,2700000,2400000,1300000,3200000,3600000,-400000,3723000,-9872000,2535000,1896000,15964000,19229000,8746000,9134000,-158953000,-61144000,-171769000,-391637000,-309627000,-190610000,-352795000,-157583000,-21339000,-104386000,-219727000,-235788000,-42659000,-47631000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4700000,-5500000,-7000000,-10000000,-7700000,-10700000,-10700000,-29100000,-24900000,-18600000,-19200000,-19890000,-52817000,-21831000,-34670000,-37215000,-62415000,-151085000,-239624000,-158953000,-61144000,-171769000,-391637000,-315838000,-207654000,-355349000,-157583000,-21339000,-104386000,-219727000,-235788000,-42659000,-47631000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-374250000,-360484000,-487536000,-858800000,-940350000,-740400000,-996900000,-837800000,- -,- -,- -,- -,- -,-1584000
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,- -,100000,100000,- -,- -,500000,100000,100000,376000,534000,187000,104000,421000,1060000,1341000,636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,-4800000,-330000,-826000,-882000,-1870000,-1728000,-10268000,-2024000,-1730000,-17489000,-1747000,-1650000,-34419000,-30224000,-25122000,-49597000,-4093000,-3257000,-26784000,-43001000,-7361000,-826000,-567000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-4100000,-4000000,-3954000,-3136000,-2867000,-2874000,-3408000,-6766000,-12996000,-19473000,-23328000,-21556000,-20647000,-47327000,-114069000,-87789000,-91608000,-33602000,-10861000,-43319000,-101069000,-32231000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-900000,500000,-484000,-855000,-1365000,-552000,-1110000,-4800000,36456000,121928000,393399000,277643000,517491000,944534000,847318000,689878000,1171769000,614710000,392000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-100000,100000,- -,- -,100000,100000,- -,- -,-1000000,-13300000,-8200000,-4392000,-4283000,-4927000,-5192000,-5825000,-20774000,22777000,101361000,-21668000,-106144000,7658000,3988000,-237325000,-163433000,33664000,-260785000,-13726000,-70103000,-144070000,-39592000,-826000,-2151000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-100000,100000,- -,- -,100000,100000,- -,- -,-1000000,-13300000,-1700000,590000,-1162000,798000,10769000,7334000,-16827000,-10080000,3609000,-3301000,1452000,4546000,-1642000,6770000,-5463000,1072000,55424000,66639000,-40785000,25212000,-66239000,34473000,-2063000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,5437000,4275000,11533000,22302000,29636000,12809000,2729000,6338000,3037000,4489000,9035000,7393000,14163000,8700000,9772000,65196000,131835000,91050000,116262000,50023000,84496000,82433000
99,Cash at the Beginning of Period,- -,- -,- -,- -,15600000,24200000,17600000,20100000,12300000,13300000,15000000,18100000,13100000,17400000,10000000,4847000,5437000,10735000,11533000,22302000,29636000,12809000,2729000,6338000,3037000,4489000,9035000,7393000,14163000,8700000,9772000,65196000,131835000,91050000,116262000,50023000,84496000
100,Free Cash Flow,- -,- -,- -,- -,7300000,7300000,4300000,-7200000,2000000,1700000,-1700000,3200000,9700000,-5600000,3500000,-10654000,10088000,5075000,20275000,505000,-6446000,-41603000,-106886000,7002000,100910000,-18829000,-30393000,230997000,163943000,-48745000,306366000,67766000,16195000,146399000,-41488000,12893000,-19926000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/742278/000091205702011203/a2074107z10-k405.htm,https://www.sec.gov/Archives/edgar/data/742278/000104746903009676/a2105863z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/742278/000116796605000383/t5161_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811206000661/t9288.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811207000585/t13155_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811208000719/d22770_10-k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811209000487/0001188112-09-000487-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811210000460/0001188112-10-000460-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811211000495/t69879_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000118811212000533/0001188112-12-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811213000533/0001188112-13-000533-index.html,https://www.sec.gov/Archives/edgar/data/742278/000118811214000518/t78386_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104915001479/t81553_10k.htm,https://www.sec.gov/Archives/edgar/data/742278/000157104916012371/0001571049-16-012371-index.html,https://www.sec.gov/Archives/edgar/data/742278/000157104917001715/0001571049-17-001715-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420418011709/0001144204-18-011709-index.html,https://www.sec.gov/Archives/edgar/data/742278/000114420419011175/0001144204-19-011175-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465920027017/0001104659-20-027017-index.html,https://www.sec.gov/Archives/edgar/data/742278/000110465921029211/0001104659-21-029211-index.htm,https://www.sec.gov/Archives/edgar/data/742278/000155837022002344/0001558370-22-002344-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
